Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-01-01,39,00:13:00,Tuesday,NECR,Mechanical,9.0,18.0,W/B,1794.0
2019-01-01,111,00:15:00,Tuesday,Eglington,Mechanical,15.0,30.0,S/B,8065.0
2019-01-01,35,00:18:00,Tuesday,Finch,Mechanical,9.0,18.0,S/B,3275.0
2019-01-01,25,00:30:00,Tuesday,Don Mills Rd/Eglinton Ave E,Mechanical,9.0,18.0,N/B,8840.0
2019-01-01,36,00:40:00,Tuesday,Humberwood,Investigation,9.0,18.0,E/B,9119.0
2019-01-01,45,00:51:00,Tuesday,Kipling stn,Utilized Off Route,10.0,20.0,N/B,8061.0
2019-01-01,32,01:55:00,Tuesday,Royal York and Eglitnon,Mechanical,10.0,20.0,W/B,1502.0
2019-01-01,53,02:19:00,Tuesday,FSTN,Utilized Off Route,19.0,38.0,E/B,1623.0
2019-01-01,112,02:33:00,Tuesday,Kipling Station,Mechanical,20.0,40.0,NB,8059.0
2019-01-01,85,02:57:00,Tuesday,DONS,Mechanical,20.0,40.0,E/B,1726.0
2019-01-01,84,03:00:00,Tuesday,WEBR,Mechanical,11.0,22.0,E/B,3133.0
2019-01-01,123,03:03:00,Tuesday,Browns Line and Coules Court,Investigation,14.0,28.0,NB,8087.0
2019-01-01,29,03:28:00,Tuesday,Exhibtion Loop,Emergency Services,1.0,1.0,W/B,9044.0
2019-01-01,320,03:32:00,Tuesday,QQYU,Utilized Off Route,4.0,7.0,N/B,8949.0
2019-01-01,89,04:14:00,Tuesday,Weston and Oak,Mechanical,10.0,20.0,N/B,1262.0
2019-01-01,341,05:00:00,Tuesday,Keele Station,Late Leaving Garage,30.0,60.0,N/B,1614.0
2019-01-01,329,05:13:00,Tuesday,Dufferin and St. Clair,Diversion,62.0,92.0,S/B,1553.0
2019-01-01,29,05:15:00,Tuesday,Dufferin and St.Clair West,Diversion,225.0,235.0,bw,
2019-01-01,56,06:00:00,Tuesday,Eglinton Station,Late Leaving Garage,30.0,30.0,E/B,1286.0
2019-01-01,320,06:12:00,Tuesday,Queens Quay,Late Leaving Garage,3.0,6.0,N/B,1227.0
2019-01-01,52,06:12:00,Tuesday,LAWRENCE AVE. AT YONGE ST.,Utilized Off Route,22.0,46.0,W/B,8109.0
2019-01-01,32,06:15:00,Tuesday,Eglinton Station,Utilized Off Route,30.0,60.0,W/B,1423.0
2019-01-01,939,07:02:00,Tuesday,Scarborough Town Center,Late Leaving Garage,12.0,24.0,B/W,1530.0
2019-01-01,63,07:20:00,Tuesday,Eglinton West Station,Mechanical,10.0,20.0,S/B,1220.0
2019-01-01,102,07:20:00,Tuesday,Warden statoin,Mechanical,60.0,120.0,N/B,8534.0
2019-01-01,54,07:23:00,Tuesday,Straspray Loop,Utilized Off Route,20.0,1.0,W/B,8779.0
2019-01-01,165,07:26:00,Tuesday,FWEST,Late Leaving Garage,18.0,36.0,N/B,3102.0
2019-01-01,29,07:28:00,Tuesday,Dufferin and Lawrence,Late Leaving Garage,35.0,70.0,N/B,9027.0
2019-01-01,320,07:32:00,Tuesday,Yonge and Eglinton,Mechanical,3.0,6.0,S/B,8728.0
2019-01-01,76,07:36:00,Tuesday,EVRY,Mechanical,1.0,1.0,S/B,7949.0
2019-01-01,116,07:38:00,Tuesday,Kennedy Station,Mechanical,10.0,20.0,E/B,8824.0
2019-01-01,16,07:45:00,Tuesday,warden stn,Mechanical,17.0,34.0,N/B,9200.0
2019-01-01,54,07:53:00,Tuesday,Starspary Loop,Utilized Off Route,10.0,26.0,W/B,8856.0
2019-01-01,34,07:56:00,Tuesday,Eglinton Station,Mechanical,9.0,18.0,E/B,8929.0
2019-01-01,123,08:04:00,Tuesday,LONG,Late Leaving Garage,20.0,40.0,N/B,8428.0
2019-01-01,34,08:06:00,Tuesday,Kennedy Station,Utilized Off Route,10.0,19.0,W/B,8632.0
2019-01-01,162,08:06:00,Tuesday,Davenport and Dufferin,Emergency Services,1.0,1.0,W/B,8109.0
2019-01-01,30,08:30:00,Tuesday,HPST,Mechanical,30.0,60.0,W/B,8028.0
2019-01-01,108,08:35:00,Tuesday,Shepppard West Station,Mechanical,30.0,60.0,W/B,3125.0
2019-01-01,169,08:55:00,Tuesday,S T C,Mechanical,30.0,60.0,W/B,1365.0
2019-01-01,34,09:17:00,Tuesday,Eglinton Station,Mechanical,15.0,30.0,E/B,8916.0
2019-01-01,43,09:40:00,Tuesday,Scarb Towne Centre,Mechanical,15.0,30.0,W/B,8623.0
2019-01-01,32,10:00:00,Tuesday,Emmett and Verona,Mechanical,30.0,60.0,E/B,1140.0
2019-01-01,66,10:01:00,Tuesday,HUMBERLOOP,Mechanical,20.0,40.0,N/B,7953.0
2019-01-01,900,10:10:00,Tuesday,Terminal 3,Mechanical,8.0,16.0,S/B,8009.0
2019-01-01,36,10:21:00,Tuesday,Finch and Arrow,Late Leaving Garage,6.0,12.0,E/B,3110.0
2019-01-01,985,11:00:00,Tuesday,V.P./Sheppard,Mechanical,16.0,32.0,W/B,9063.0
2019-01-01,39,11:06:00,Tuesday,Cherokee and finch,Mechanical,17.0,34.0,S/B,1641.0
2019-01-01,32,11:11:00,Tuesday,Pine and Lawrence,Mechanical,10.0,20.0,E/B,1051.0
2019-01-01,43,11:30:00,Tuesday,Kennedy & Transway,Diversion,37.0,47.0,S/B,8799.0
2019-01-01,985,12:20:00,Tuesday,DONS,Late Leaving Garage,12.0,24.0,E/B,9096.0
2019-01-01,6,12:30:00,Tuesday,Davenport and Dupont,Late Leaving Garage,14.0,29.0,S/B,1136.0
2019-01-01,52,12:53:00,Tuesday,Lawrence West Station,Late Leaving Garage,7.0,14.0,W/B,8355.0
2019-01-01,29,13:07:00,Tuesday,Wilson Stn,Mechanical,4.0,9.0,S/B,9146.0
2019-01-01,32,13:25:00,Tuesday,Eglinton Station,Mechanical,10.0,20.0,W/B,1348.0
2019-01-01,43,14:39:00,Tuesday,Kennedy Station,Mechanical,0.0,0.0,N/B,8622.0
2019-01-01,92,15:05:00,Tuesday,Queen St and Woodbine Ave,Diversion,40.0,52.0,N/B,8525.0
2019-01-01,106,16:10:00,Tuesday,Sheppard West Station,Mechanical,10.0,20.0,N/B,8153.0
2019-01-01,927,17:00:00,Tuesday,Kipling stn,Late Leaving Garage,5.0,10.0,W/B,3278.0
2019-01-01,60,17:23:00,Tuesday,Pioneer village,Mechanical,5.0,10.0,W/B,3254.0
2019-01-01,102,17:49:00,Tuesday,NASHDENE / MARKHAM,Diversion,101.0,111.0,N/B,8451.0
2019-01-01,133,18:29:00,Tuesday,Neilson and Silverbell,Investigation,10.0,20.0,N/B,1577.0
2019-01-01,87,18:32:00,Tuesday,BSTN,Utilized Off Route,10.0,20.0,E/B,8555.0
2019-01-01,100,18:38:00,Tuesday,BSTN,Utilized Off Route,8.0,17.0,N/B,8803.0
2019-01-01,36,19:19:00,Tuesday,Humberwood blvd and humberline dr,Diversion,1.0,1.0,E/B,3318.0
2019-01-01,96,19:22:00,Tuesday,Humberline and Humber College,Diversion,20.0,57.0,E/B,3173.0
2019-01-01,95,20:09:00,Tuesday,York Mills at Old York Mills Road,Mechanical,10.0,20.0,E/B,1592.0
2019-01-01,84,20:40:00,Tuesday,Tuscangate/Sheppard,Mechanical,10.0,20.0,W/B,3299.0
2019-01-01,133,21:10:00,Tuesday,STC,Mechanical,13.0,26.0,N/B,1298.0
2019-01-01,56,21:24:00,Tuesday,ESTN,Emergency Services,24.0,48.0,E/B,1388.0
2019-01-01,89,21:47:00,Tuesday,SB on Keele at St. Clair,Investigation,10.0,20.0,S/B,1123.0
2019-01-01,35,22:14:00,Tuesday,Jane Stn,Emergency Services,10.0,20.0,N/B,3161.0
2019-01-01,63,22:50:00,Tuesday,Eglinton West Station,Utilized Off Route,10.0,20.0,S/B,1355.0
2019-01-02,7,00:03:00,Wednesday,Bathurst and Roselawn,Mechanical,10.0,20.0,S/B,9021.0
2019-01-02,14,00:05:00,Wednesday,Bathurst/Strathallan,Diversion,35.0,59.0,N/B,
2019-01-02,7,00:05:00,Wednesday,Strathallan Wood and Bathurst,Diversion,33.0,43.0,N/B,9012.0
2019-01-02,36,00:13:00,Wednesday,Humber College and Finch,Mechanical,10.0,20.0,EB,9131.0
2019-01-02,63,00:15:00,Wednesday,St. Clair and Oakwood,Investigation,10.0,20.0,N/B,8385.0
2019-01-02,52,00:27:00,Wednesday,Lawrence West Station,Utilized Off Route,18.0,36.0,E/B,8114.0
2019-01-02,32,01:18:00,Wednesday,WB on Eglinotn at Royal York,Mechanical,10.0,20.0,W/B,1146.0
2019-01-02,39,01:20:00,Wednesday,FSTN,Emergency Services,10.0,20.0,E/B,1650.0
2019-01-02,353,04:08:00,Wednesday,MLGA,Late Leaving Garage,30.0,60.0,S/B,9063.0
2019-01-02,84,04:39:00,Wednesday,Rivalda and Sheppard,Late Leaving Garage,31.0,1.0,W/B,3219.0
2019-01-02,20,04:44:00,Wednesday,main station,Late Leaving Garage,13.0,40.0,,8588.0
2019-01-02,46,05:00:00,Wednesday,Steeles to Kipling Station,General Delay,,,BW,
2019-01-02,85,05:00:00,Wednesday,SHEPP,Late Leaving Garage,20.0,20.0,E/B,1339.0
2019-01-02,927,05:00:00,Wednesday,Steeles to Kipling Station,General Delay,,,BW,
2019-01-02,36,05:00:00,Wednesday,Humberwood Loop to Finch Station,General Delay,,,BW,
2019-01-02,52,05:00:00,Wednesday,Lawrence Station to Westwood Mall,General Delay,30.0,40.0,B/W,
2019-01-02,107,05:00:00,Wednesday,Pioneer Village to Sheppard West Station,General Delay,,,BW,
2019-01-02,85,05:12:00,Wednesday,Malvern Gate,Mechanical,11.0,11.0,W/B,1377.0
2019-01-02,12,05:14:00,Wednesday,victoria park station,Late Leaving Garage,15.0,30.0,E/B,9218.0
2019-01-02,85,05:15:00,Wednesday,Meadowvale Loop,Late Leaving Garage,16.0,33.0,W/B,1609.0
2019-01-02,89,05:15:00,Wednesday,Keele Station,Late Leaving Garage,15.0,27.0,N/B,1417.0
2019-01-02,939,05:15:00,Wednesday,sheppard and mccowan,Late Leaving Garage,10.0,20.0,S/B,1750.0
2019-01-02,95,05:20:00,Wednesday,KNRD,Late Leaving Garage,10.0,20.0,W/B,1528.0
2019-01-02,34,05:26:00,Wednesday,ESTN,Mechanical,4.0,12.0,E/B,8894.0
2019-01-02,68,05:26:00,Wednesday,Warden & Danforth,Mechanical,19.0,32.0,N/B,8782.0
2019-01-02,131,05:29:00,Wednesday,MORN,Late Leaving Garage,13.0,13.0,N/B,1514.0
2019-01-02,100,05:33:00,Wednesday,Don ills & Wynford,Mechanical,12.0,24.0,E/B,8857.0
2019-01-02,939,05:37:00,Wednesday,MLGA,Late Leaving Garage,8.0,16.0,S/B,1798.0
2019-01-02,85,05:40:00,Wednesday,Rouge Hill GO Station,Late Leaving Garage,16.0,29.0,W/B,1791.0
