Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-03-01,34,02:21:00,Friday,Bayview and Eglinton Ave,Investigation,1.0,1.0,E/B,8824.0
2019-03-01,116,02:46:00,Friday,Halfway and Morningside Ave,Emergency Services,14.0,28.0,S/B,8632.0
2019-03-01,320,03:59:00,Friday,Yonge/Eglinton,Investigation,4.0,7.0,S/B,8141.0
2019-03-01,168,04:50:00,Friday,AVLP,Late Leaving Garage,20.0,40.0,S/B,1056.0
2019-03-01,102,04:54:00,Friday,Warden Station,Late Leaving Garage,20.0,40.0,N/B,8539.0
2019-03-01,60,04:59:00,Friday,Finch stn,Late Leaving Garage,5.0,10.0,W/B,3342.0
2019-03-01,35,05:02:00,Friday,Steeles,Late Leaving Garage,5.0,10.0,W/B,3359.0
2019-03-01,113,05:05:00,Friday,Kennedy Station,Late Leaving Garage,12.0,24.0,W/B,8542.0
2019-03-01,29,05:06:00,Friday,Dufferin and Lawrence,Late Leaving Garage,10.0,20.0,N/B,9148.0
2019-03-01,35,05:07:00,Friday,PKAI,Late Leaving Garage,11.0,21.0,N/B,3349.0
2019-03-01,12,05:19:00,Friday,KRBR,Late Leaving Garage,18.0,36.0,W/B,8426.0
2019-03-01,48,05:20:00,Friday,Mill Road Loop,Late Leaving Garage,10.0,20.0,E/B,8014.0
2019-03-01,929,05:29:00,Friday,Dufferin / Lawrence,Late Leaving Garage,9.0,17.0,S/B,9037.0
2019-03-01,329,05:29:00,Friday,Princess Gate Loop,Mechanical,1.0,1.0,N/B,9049.0
2019-03-01,112,05:38:00,Friday,Eglinton and Renforth,Late Leaving Garage,1.0,1.0,N/B,8050.0
2019-03-01,63,05:39:00,Friday,Eglinton W Station,Late Leaving Garage,8.0,16.0,S/B,1228.0
2019-03-01,86,05:41:00,Friday,Kennedy Station,Mechanical,17.0,33.0,E/B,8640.0
2019-03-01,25,05:44:00,Friday,Pape Station,Late Leaving Garage,7.0,17.0,N/B,8667.0
2019-03-01,129,05:48:00,Friday,STC,Mechanical,6.0,6.0,N/B,1520.0
2019-03-01,32,05:49:00,Friday,Eglinton and Keele,Late Leaving Garage,4.0,7.0,E/B,1106.0
2019-03-01,25,05:51:00,Friday,Pape Station,Late Leaving Garage,5.0,12.0,N/B,8756.0
2019-03-01,929,05:52:00,Friday,Dufferin / Lawrence,Mechanical,9.0,17.0,N/B,9030.0
2019-03-01,129,05:56:00,Friday,SLMC,Late Leaving Garage,3.0,15.0,S/B,1306.0
2019-03-01,64,05:57:00,Friday,Main Station,Late Leaving Garage,11.0,22.0,EB,8517.0
2019-03-01,100,06:00:00,Friday,100 Flemington Park route,General Delay,10.0,20.0,B/W,
2019-03-01,34,06:00:00,Friday,34 Eglinton East route,General Delay,15.0,30.0,B/W,
2019-03-01,12,06:00:00,Friday,Military Trail and Pan Am centre,Late Leaving Garage,21.0,21.0,S/B,8531.0
2019-03-01,12,06:03:00,Friday,Victoria Park Station,Late Leaving Garage,14.0,28.0,E/B,8937.0
2019-03-01,7,06:04:00,Friday,BWIL,Late Leaving Garage,5.0,13.0,S/B,8337.0
2019-03-01,924,06:07:00,Friday,Victoria Park Station,Late Leaving Garage,10.0,20.0,N/B,8936.0
2019-03-01,117,06:07:00,Friday,DUST,Late Leaving Garage,10.0,30.0,N/B,1228.0
2019-03-01,81,06:11:00,Friday,Millwood,Late Leaving Garage,10.0,19.0,S/B,8409.0
