Report Date,Route,Time,Day,Location,Incident ID,Incident,Delay,Gap,Direction,Vehicle
2019-04-01,76,00:27:00,Monday,mimico and lakeshore,5,Investigation,25.0,50.0,S/B,7949.0
2019-04-01,135,00:55:00,Monday,MSTN,1,Mechanical,30.0,60.0,E/B,8448.0
2019-04-01,87,01:05:00,Monday,MSTN,4,Utilized Off Route,10.0,20.0,W/B,8937.0
2019-04-01,64,01:23:00,Monday,MSTN,4,Utilized Off Route,20.0,40.0,S/B,8948.0
2019-04-01,320,01:30:00,Monday,Yonge/Dundas,3,Diversion,243.0,273.0,B/W,
2019-04-01,332,03:23:00,Monday,Weston/Eglinton,3,Diversion,90.0,120.0,E/B,1633.0
2019-04-01,21,03:54:00,Monday,Kennedy Station,9,,11.0,22.0,N/B,3400.0
2019-04-01,68,04:48:00,Monday,Warden & Danforth,9,,12.0,12.0,N/B,8629.0
2019-04-01,168,04:50:00,Monday,Avon loop,9,,10.0,10.0,S/B,1626.0
2019-04-01,39,04:52:00,Monday,Baldoon and Finch,9,,19.0,19.0,E/B,3518.0
2019-04-01,134,04:55:00,Monday,TARC,9,,18.0,18.0,W/B,9086.0
2019-04-01,36,04:56:00,Monday,FARR,9,,10.0,20.0,E/B,3290.0
2019-04-01,939,05:00:00,Monday,939 Finch Express-All Branch,8,General Delay,10.0,18.0,B/W,1327.0
2019-04-01,39,05:00:00,Monday,39 Finch route-All Branch,8,General Delay,14.0,28.0,B/W,3518.0
2019-04-01,40,05:05:00,Monday,Dundas west,1,Mechanical,12.0,20.0,W/B,7951.0
2019-04-01,320,05:08:00,Monday,Yonge and Eglinton,9,,4.0,8.0,N/B,8338.0
2019-04-01,87,05:25:00,Monday,Broadview Statoin,9,,5.0,10.0,NB,8946.0
2019-04-01,22,05:30:00,Monday,Coxwell Ave and Gerrard St East,3,Diversion,330.0,338.0,NB,
2019-04-01,134,05:32:00,Monday,TARC,9,,18.0,34.0,N/B,9077.0
2019-04-01,96,05:35:00,Monday,Jane and Wilson,1,Mechanical,19.0,37.0,W/B,3268.0
2019-04-01,96,05:35:00,Monday,Finch and Humberline,9,,12.0,14.0,E/B,3317.0
2019-04-01,25,05:36:00,Monday,PSTN,9,,1.0,1.0,N/B,8789.0
2019-04-01,87,05:40:00,Monday,Broadview Station,9,,5.0,10.0,NB,8465.0
2019-04-01,32,05:40:00,Monday,ESTN,9,,14.0,24.0,W/B,1349.0
2019-04-01,39,05:41:00,Monday,Baldoon and Finch,9,,7.0,14.0,E/B,1361.0
2019-04-01,36,05:44:00,Monday,YEGL,9,,11.0,26.0,S/B,8720.0
2019-04-01,53,05:45:00,Monday,PAMK,9,,5.0,11.0,W/B,3454.0
2019-04-01,12,05:46:00,Monday,Kennedy stn,9,,7.0,14.0,,8484.0
2019-04-01,68,05:46:00,Monday,Warden Station,1,Mechanical,1.0,1.0,N/B,8721.0
2019-04-01,60,05:56:00,Monday,SLPM,9,,10.0,31.0,E/B,3329.0
2019-04-01,165,05:58:00,Monday,Signet and Steeles,9,,3.0,12.0,W/B,3183.0
2019-04-01,47,05:59:00,Monday,Yorkdale,9,,18.0,36.0,S/B,1144.0
2019-04-01,82,05:59:00,Monday,rosedale stn,9,,25.0,0.0,S/B,8368.0
2019-04-01,129,06:00:00,Monday,STC,9,,6.0,16.0,N/B,1565.0
2019-04-01,88,06:06:00,Monday,Laird and Mcrae,9,,9.0,18.0,S/B,1282.0
2019-04-01,32,06:06:00,Monday,PINE,9,,4.0,6.0,E/B,1076.0
2019-04-01,52,06:08:00,Monday,LSTA,1,Mechanical,15.0,23.0,W/B,8349.0
2019-04-01,39,06:10:00,Monday,Finch Station,9,,17.0,34.0,E/B,1596.0
2019-04-01,985,06:13:00,Monday,STC,9,,14.0,14.0,W/B,9068.0
2019-04-01,54,06:15:00,Monday,Eglinton Station,9,,9.0,18.0,E/B,8685.0
2019-04-01,939,06:16:00,Monday,STC SRT,9,,8.0,16.0,E/B,1327.0
2019-04-01,953,06:17:00,Monday,MOFI,9,,18.0,31.0,W/B,9071.0
2019-04-01,95,06:24:00,Monday,KNRD,9,,8.0,16.0,W/B,3415.0
2019-04-01,54,06:24:00,Monday,Eglinton Station,4,Utilized Off Route,9.0,18.0,E/B,8720.0
