Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-05-01,86,01:50:00,Wednesday,Meadowvale @ Ellesmere,Investigation,15.0,15.0,S/B,8850.0
2019-05-01,320,02:33:00,Wednesday,Yonge and Queens Quay,Emergency Services,3.0,7.0,NB,8365.0
2019-05-01,396,04:00:00,Wednesday,Wilson and Clayson,Diversion,108.0,168.0,W/B,3496.0
2019-05-01,88,04:00:00,Wednesday,entire route,General Delay,6.0,12.0,W/B,
2019-05-01,300,04:00:00,Wednesday,Kennedy to Airport,General Delay,30.0,60.0,B/W,
2019-05-01,334,04:00:00,Wednesday,Eglinton Night bus route,General Delay,30.0,60.0,B/W,
2019-05-01,354,04:00:00,Wednesday,Lawrence Night Bus Route,General Delay,30.0,60.0,B/W,
2019-05-01,91,05:00:00,Wednesday,Eglinton and Bermondsey,Diversion,999.0,999.0,B/W,
2019-05-01,67,05:00:00,Wednesday,Pharmacy and Eglinton,Diversion,999.0,999.0,B/W,
2019-05-01,320,05:12:00,Wednesday,Richmond,Investigation,5.0,6.0,N/B,7070.0
2019-05-01,16,05:20:00,Wednesday,STC,Vision,20.0,20.0,S/B,8447.0
2019-05-01,134,05:30:00,Wednesday,Sheppard and Washburn,Diversion,90.0,108.0,B/W,
2019-05-01,41,05:41:00,Wednesday,KSTN,Mechanical,12.0,24.0,N/B,9040.0
2019-05-01,98,06:10:00,Wednesday,Sheppard stn,Investigation,30.0,60.0,W/B,1293.0
2019-05-01,29,06:39:00,Wednesday,SB at Rogers Road,Investigation,10.0,20.0,S/B,9037.0
2019-05-01,130,06:40:00,Wednesday,MDSL,Mechanical,20.0,40.0,S/B,1533.0
2019-05-01,106,06:58:00,Wednesday,Sheppard W Station,Mechanical,8.0,16.0,W/B,1355.0
2019-05-01,25,06:58:00,Wednesday,Pape Station,Utilized Off Route,9.0,17.0,N/B,8857.0
2019-05-01,601,06:59:00,Wednesday,Scarborough Town Center,Utilized Off Route,1.0,1.0,,3437.0
2019-05-01,112,07:00:00,Wednesday,Kipling Station - Ranforth Station - Disco Road,General Delay,20.0,30.0,B/W,
2019-05-01,900,07:00:00,Wednesday,Kipling Station - Pearson Airport T3,General Delay,20.0,30.0,B/W,
2019-05-01,45,07:00:00,Wednesday,Kipling Station - Steeles Loop,General Delay,10.0,20.0,B/W,
2019-05-01,160,07:11:00,Wednesday,wilson stn,Mechanical,20.0,40.0,N/B,1227.0
2019-05-01,11,07:15:00,Wednesday,Bayview and Finch,Mechanical,15.0,30.0,N/B,8338.0
2019-05-01,939,07:25:00,Wednesday,Finch/Kennedy Rd,Mechanical,7.0,15.0,W/B,3543.0
2019-05-01,953,07:29:00,Wednesday,Steeles on Staines,Mechanical,14.0,29.0,E/B,9079.0
2019-05-01,165,07:38:00,Wednesday,Wilson Station,Investigation,5.0,11.0,W/B,3196.0
2019-05-01,81,07:42:00,Wednesday,Floyd,Mechanical,10.0,20.0,N/B,8568.0
2019-05-01,25,07:42:00,Wednesday,Pape station,Utilized Off Route,1.0,1.0,N/B,8636.0
2019-05-01,32,07:50:00,Wednesday,Eglinton West Station,Mechanical,7.0,14.0,W/B,1354.0
2019-05-01,162,08:00:00,Wednesday,Lawrence/ Mt pleasant,Mechanical,30.0,60.0,W/B,8311.0
2019-05-01,70,08:00:00,Wednesday,Route 70- O'Connor,General Delay,30.0,47.0,B/W,
2019-05-01,91,08:00:00,Wednesday,Woodbine North / WOOD,General Delay,12.0,24.0,B/W,
2019-05-01,90,08:00:00,Wednesday,st clair wstn / oakwood,General Delay,3.0,7.0,B/W,
2019-05-01,7,08:03:00,Wednesday,wilson avenue,Mechanical,8.0,16.0,N/B,1351.0
2019-05-01,75,08:10:00,Wednesday,lakeshore / maple,General Delay,6.0,14.0,B/W,
2019-05-01,90,08:14:00,Wednesday,st clair wstn,Mechanical,4.0,8.0,N/B,8124.0
2019-05-01,97,08:25:00,Wednesday,York Mills stn,Mechanical,30.0,60.0,S/B,8102.0
2019-05-01,36,08:27:00,Wednesday,Jane,Investigation,18.0,36.0,E/B,3163.0
2019-05-01,88,08:29:00,Wednesday,St Clair stn,Mechanical,11.0,22.0,E/B,8308.0
2019-05-01,143,08:30:00,Wednesday,Downtown Beach Express,General Delay,15.0,30.0,B/W,
2019-05-01,95,08:41:00,Wednesday,Park Wood Village Dr at Vanity Ct.,Investigation,8.0,16.0,E/B,3428.0
2019-05-01,21,08:44:00,Wednesday,Kennedy Station,Mechanical,10.0,20.0,N/B,1566.0
2019-05-01,38,08:44:00,Wednesday,STC,Vision,10.0,20.0,E/B,1374.0
2019-05-01,29,08:44:00,Wednesday,Jane Osler,Mechanical,10.0,20.0,S/B,1119.0
2019-05-01,84,08:56:00,Wednesday,Rivalda Rd & Sheppard West,Investigation,10.0,20.0,E/B,3365.0
