Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2019-06-01,84,00:04:00,Saturday,Sheppard Yonge Station,Emergency Services,10.0,20.0,W/B,3269.0
2019-06-01,29,01:08:00,Saturday,Princes Gates,Mechanical,4.0,7.0,N/B,9011.0
2019-06-01,29,01:25:00,Saturday,Exhibition loop,Utilized Off Route,9.0,17.0,N/B,1023.0
2019-06-01,118,01:28:00,Saturday,Tanridge at Arcot Blvd,Emergency Services,30.0,60.0,W/B,3286.0
2019-06-01,161,01:37:00,Saturday,Jane / Alliance,Investigation,1.0,1.0,N/B,1417.0
2019-06-01,300,02:00:00,Saturday,Terminal 3,General Delay,30.0,60.0,BW,8484.0
2019-06-01,300,02:06:00,Saturday,Kipling Station,Investigation,15.0,30.0,WB,8060.0
2019-06-01,339,02:29:00,Saturday,Midland and Finch to Kennedy and Finch,Diversion,191.0,221.0,B/W,3407.0
2019-06-01,320,02:58:00,Saturday,Yonge and Eglington,Investigation,3.0,6.0,N/B,8140.0
2019-06-01,320,03:05:00,Saturday,Yonge at Adelaide,Emergency Services,4.0,7.0,N/B,9004.0
2019-06-01,300,03:37:00,Saturday,Kennedy Station,Emergency Services,1.0,1.0,WB,8452.0
2019-06-01,34,04:28:00,Saturday,Sheppard and Warden,Mechanical,30.0,60.0,B/W,3107.0
2019-06-01,300,04:30:00,Saturday,Kipling Station,General Delay,20.0,40.0,B/W,8067.0
2019-06-01,336,04:43:00,Saturday,Humberline?Humber College Blvd,Emergency Services,4.0,6.0,N/B,3424.0
2019-06-01,354,04:58:00,Saturday,Starspray Loop,Mechanical,24.0,84.0,W/B,8773.0
2019-06-01,334,04:59:00,Saturday,Eglinton and Duplex,Emergency Services,30.0,60.0,B/W,8795.0
2019-06-01,32,05:00:00,Saturday,Eglinton and Black Creek,Diversion,760.0,770.0,B/W,
2019-06-01,320,05:00:00,Saturday,St Clair,Mechanical,5.0,10.0,W/B,8156.0
2019-06-01,329,05:10:00,Saturday,Wilson Station,Utilized Off Route,30.0,60.0,NB,1107.0
2019-06-01,23,05:40:00,Saturday,Ferris / Dawes,Diversion,13.0,26.0,N/B,8581.0
2019-06-01,320,05:47:00,Saturday,St Clair,Mechanical,4.0,6.0,N/B,8346.0
2019-06-01,52,05:50:00,Saturday,wilson garage,Mechanical,15.0,20.0,S/B,1218.0
2019-06-01,91,06:14:00,Saturday,Eglinton and Bermondsay,Diversion,999.0,999.0,B/W,9219.0
2019-06-01,89,07:11:00,Saturday,Rogers and Weston,Investigation,10.0,20.0,N/B,1268.0
2019-06-01,111,08:00:00,Saturday,Entire Route,General Delay,60.0,70.0,B/W,
2019-06-01,32,08:00:00,Saturday,Lloyd Manor to 401 ( Eglinton),General Delay,40.0,52.0,B/W,
2019-06-01,8,08:02:00,Saturday,Broadview Station,Mechanical,30.0,60.0,B/W,8531.0
2019-06-01,45,08:23:00,Saturday,Kipling and Albion,Diversion,1.0,1.0,B/W,8045.0
2019-06-01,45,08:30:00,Saturday,Entire Route,General Delay,25.0,30.0,B/W,
2019-06-01,29,08:54:00,Saturday,N/B Queen and Dufferin,Investigation,5.0,11.0,N/B,9143.0
2019-06-01,39,09:00:00,Saturday,Finch Stn to Scarborough Town Center,General Delay,18.0,32.0,B/W,
2019-06-01,939,09:00:00,Saturday,Kennedy Finch to Midland and Finch,General Delay,18.0,32.0,B/W,
2019-06-01,52,09:16:00,Saturday,Wilson Garage,Mechanical,15.0,27.0,S/B,8351.0
2019-06-01,52,09:20:00,Saturday,Lawrence station,Mechanical,15.0,27.0,S/B,8139.0
2019-06-01,17,09:30:00,Saturday,Warden Station to Steeles and Warden Loop,General Delay,15.0,20.0,B/W,
2019-06-01,64,09:58:00,Saturday,Main station,Mechanical,20.0,40.0,S/B,3114.0
2019-06-01,62,10:00:00,Saturday,Mortimer Route,General Delay,10.0,1.0,B/W,
2019-06-01,9,10:00:00,Saturday,Warden Station to Scarborough Town Center,General Delay,10.0,15.0,B/W,
2019-06-01,73,10:00:00,Saturday,Lakeshore and Mimico to Claireport,General Delay,15.0,25.0,B/W,
2019-06-01,83,10:00:00,Saturday,Donlands Station to lakeshore Garage,General Delay,10.0,15.0,B/W,
2019-06-01,64,10:00:00,Saturday,Main street route,General Delay,10.0,1.0,B/W,
2019-06-01,65,10:00:00,Saturday,Castlefrnak Station to Front and Bay,General Delay,10.0,15.0,B/W,
2019-06-01,102,10:00:00,Saturday,Markham route,General Delay,10.0,1.0,B/W,
2019-06-01,37,10:00:00,Saturday,Islington Station to Steeles and Humberwood Loop,General Delay,15.0,28.0,B/W,
2019-06-01,67,10:00:00,Saturday,Pharmach and Eglinton Both ways,General Delay,16.0,31.0,B/W,
2019-06-01,63,10:04:00,Saturday,Oakwood and Rogers,Mechanical,6.0,12.0,S/B,1230.0
2019-06-01,102,10:05:00,Saturday,Progress and Markham RD,Investigation,10.0,20.0,S/B,8465.0
2019-06-01,87,10:05:00,Saturday,main station,Utilized Off Route,10.0,20.0,S/B,8588.0
