Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-09-01,32,00:10:00,Sunday,Eglinton Station,Mechanical,10.0,20.0,W/B,1208.0
2019-09-01,84,00:10:00,Sunday,Bradstock and Rivaldi,Mechanical,10.0,20.0,E/B,3183.0
2019-09-01,320,01:00:00,Sunday,Bay and Front,Diversion,1.0,1.0,S/B,
2019-09-01,20,01:24:00,Sunday,Midland and Danforth,Mechanical,1.0,1.0,W/B,8569.0
2019-09-01,52,01:51:00,Sunday,Lawrence ave W and Scarlett Rd,Diversion,98.0,108.0,W/B,1382.0
2019-09-01,7,02:00:00,Sunday,Exhibition loop to Steeles,General Delay,10.0,30.0,E/B,
2019-09-01,320,02:00:00,Sunday,Bay and Front,General Delay,10.0,14.0,B/W,
2019-09-01,320,03:25:00,Sunday,Yonge and Queens quay,Mechanical,3.0,7.0,N/B,8167.0
2019-09-01,354,03:38:00,Sunday,Eglinton and Yonge,Diversion,142.0,172.0,B/W,
2019-09-01,334,03:38:00,Sunday,Eglinton/Yonge,Diversion,130.0,160.0,W/B,
2019-09-01,329,04:42:00,Sunday,Dufferin and Lawrence,Mechanical,30.0,60.0,S/B,1103.0
2019-09-01,354,05:00:00,Sunday,Eglinton and Dunfield,Vision,30.0,60.0,W/B,8702.0
2019-09-01,54,05:45:00,Sunday,Eglinton and Dunfield,Vision,30.0,60.0,W/B,8623.0
2019-09-01,102,08:14:00,Sunday,Markham/ Parkway,Diversion,18.0,78.0,W/B,
2019-09-01,52,08:19:00,Sunday,Dixon and Westona st,Emergency Services,20.0,40.0,W/B,1365.0
2019-09-01,95,08:58:00,Sunday,Birchmount/York Mills,Mechanical,20.0,40.0,E/B,3401.0
2019-09-01,29,09:15:00,Sunday,Springhurst Loop,Mechanical,8.0,16.0,N/B,9147.0
2019-09-01,57,09:40:00,Sunday,midland and mcnichol,Emergency Services,16.0,32.0,N/B,8771.0
2019-09-01,52,10:27:00,Sunday,Keele and Lawrence,Investigation,20.0,40.0,E/B,8120.0
2019-09-01,32,11:00:00,Sunday,Eglinton West Station,Investigation,10.0,20.0,W/B,1626.0
2019-09-01,60,11:00:00,Sunday,Steeles West Route,General Delay,15.0,28.0,BW,0.0
2019-09-01,94,11:16:00,Sunday,Ossington Station,Mechanical,13.0,25.0,E/B,1047.0
2019-09-01,939,11:21:00,Sunday,Finch and Dufferin,Diversion,33.0,49.0,E/B,3430.0
2019-09-01,104,11:26:00,Sunday,Finch and Dufferin,Diversion,30.0,50.0,S/B,
2019-09-01,105,11:26:00,Sunday,Finch and Dufferin,Diversion,30.0,45.0,S/B,
2019-09-01,36,11:30:00,Sunday,Finch and Dufferin,Diversion,6.0,12.0,E/B,0.0
2019-09-01,9,12:00:00,Sunday,Warden Stn to Scarborough Town Center,General Delay,17.0,47.0,B/W,
2019-09-01,68,12:00:00,Sunday,Warden STN to Angus Glenn Community Center,General Delay,21.0,51.0,B/W,
2019-09-01,102,12:00:00,Sunday,Warden Stn to Major Mackenzie,General Delay,17.0,47.0,B/W,
2019-09-01,17,12:00:00,Sunday,Warden STN to Warden loop/Steeles,General Delay,14.0,29.0,B/W,
2019-09-01,129,12:00:00,Sunday,Scarborough Town Center to major Mackenzie,General Delay,13.0,39.0,B/W,
2019-09-01,96,12:00:00,Sunday,Wilson Route,General Delay,20.0,29.0,B/W,
2019-09-01,161,12:00:00,Sunday,Rogers Rd Route,General Delay,15.0,31.0,B/W,
2019-09-01,134,12:00:00,Sunday,Scarborough Town Center to Finchdene Square,General Delay,8.0,23.0,B/W,
2019-09-01,165,12:00:00,Sunday,Weston Rd North,General Delay,20.0,30.0,B/W,
2019-09-01,16,12:00:00,Sunday,Scarborough Town Center to warden STN,General Delay,10.0,22.0,B/W,
2019-09-01,7,12:10:00,Sunday,Lawerence,Mechanical,8.0,16.0,S/B,8161.0
2019-09-01,84,12:14:00,Sunday,Sheppard stn,Mechanical,7.0,14.0,W/B,3354.0
2019-09-01,168,12:25:00,Sunday,Weston Rd & Watt Ave,Diversion,60.0,69.0,E/B,
2019-09-01,35,12:30:00,Sunday,Jane Station,Mechanical,10.0,20.0,N/B,3567.0
2019-09-01,160,12:34:00,Sunday,Wilson Station,Mechanical,36.0,72.0,N/B,8328.0
2019-09-01,106,12:50:00,Sunday,Sheppard West Stn,Utilized Off Route,10.0,20.0,N/B,1278.0
2019-09-01,17,12:51:00,Sunday,Warden Stn,Mechanical,18.0,36.0,W/B,3143.0
2019-09-01,65,13:00:00,Sunday,Entire route,General Delay,10.0,26.0,B/W,
2019-09-01,41,13:00:00,Sunday,Keele Station,Utilized Off Route,11.0,22.0,N/B,1259.0
2019-09-01,100,13:00:00,Sunday,Entire route,General Delay,10.0,18.0,,
2019-09-01,94,13:00:00,Sunday,Ossington Station,Mechanical,12.0,22.0,,1033.0
2019-09-01,96,13:00:00,Sunday,Wilson at Keele,Investigation,8.0,16.0,E/B,3266.0
2019-09-01,52,13:25:00,Sunday,Lawrence and Culford,Mechanical,7.0,14.0,W/B,1296.0
2019-09-01,41,13:27:00,Sunday,Howard Moscoe Way,Mechanical,9.0,18.0,S/B,1053.0
2019-09-01,63,13:45:00,Sunday,Shaw at Queen,Utilized Off Route,73.0,80.0,N/B,8377.0
2019-09-01,29,13:53:00,Sunday,Wilson at Dufferin,Mechanical,5.0,10.0,S/B,9150.0
2019-09-01,108,13:56:00,Sunday,Pioneer Village Station,Mechanical,7.0,14.0,S/B,3702.0
2019-09-01,70,13:56:00,Sunday,Coxwell station,Investigation,1.0,1.0,N/B,8897.0
2019-09-01,32,14:20:00,Sunday,Kane Street,Mechanical,10.0,20.0,W/B,1055.0
2019-09-01,43,14:25:00,Sunday,midland and eglinton,Mechanical,10.0,20.0,E/B,8694.0
2019-09-01,50,14:30:00,Sunday,Islington Station,Mechanical,18.0,36.0,W/B,7958.0
2019-09-01,52,14:30:00,Sunday,Lawrence west stn,Mechanical,14.0,28.0,W/B,8368.0
2019-09-01,9,14:54:00,Sunday,Eglinton and Bellamy,Diversion,33.0,55.0,N/B,8529.0
2019-09-01,161,15:12:00,Sunday,Rogers at Keele,Mechanical,15.0,30.0,E/B,1119.0
2019-09-01,35,15:13:00,Sunday,Jane & Weston,Investigation,10.0,20.0,S/B,3489.0
2019-09-01,41,15:33:00,Sunday,Wilson,Investigation,11.0,22.0,N/B,1606.0
2019-09-01,29,15:51:00,Sunday,Dufferin at Dundas,Investigation,3.0,7.0,S/B,9015.0
2019-09-01,96,16:00:00,Sunday,HUMBERLINE LOOP to York Mills Station,General Delay,35.0,45.0,B/W,
2019-09-01,165,16:00:00,Sunday,BARMAC DR. AT STEELES AVE. W. to York Mills Station,General Delay,46.0,56.0,B/W,
2019-09-01,161,16:00:00,Sunday,JANE ST AT ALLIANCE AVE to Ossington Station,General Delay,37.0,52.0,B/W,
2019-09-01,86,16:00:00,Sunday,Scarborough Route,General Delay,10.0,1.0,B/W,
2019-09-01,116,16:00:00,Sunday,Morningside route,General Delay,10.0,1.0,B/W,
2019-09-01,168,16:00:00,Sunday,Old Weston & Rogers Rd,General Delay,28.0,37.0,B/W,
2019-09-01,63,16:00:00,Sunday,ATLANTIC AVE & KING ST W to Eglinton West station,General Delay,42.0,52.0,B/W,
2019-09-01,72,16:04:00,Sunday,Pape Station,Mechanical,18.0,36.0,B/W,8480.0
2019-09-01,96,16:04:00,Sunday,Carrier Drive,Mechanical,9.0,18.0,E/B,3347.0
2019-09-01,129,16:12:00,Sunday,Steeles Loop and McCowan,Mechanical,9.0,27.0,S/B,1566.0
2019-09-01,165,16:17:00,Sunday,Wilson and Bathurst St,Investigation,8.0,16.0,E/B,3202.0
2019-09-01,7,16:29:00,Sunday,Basthurst Station,Mechanical,7.0,14.0,N/B,8379.0
2019-09-01,52,17:00:00,Sunday,Lawrence And Allen,Investigation,7.0,14.0,E/B,8153.0
2019-09-01,54,17:00:00,Sunday,Eglinton Station to Lawrence ave E at Starspray Blvd.,General Delay,16.0,36.0,B/W,
2019-09-01,52,17:00:00,Sunday,Lawrence west station to Pearson Airport both ways,General Delay,7.0,27.0,B/W,
2019-09-01,95,17:06:00,Sunday,Military trail/Ellesmere,Investigation,8.0,17.0,S/B,1232.0
2019-09-01,24,17:17:00,Sunday,Steeles Loop,Mechanical,7.0,14.0,S/B,8549.0
2019-09-01,26,17:29:00,Sunday,Dupont & Dufferin,Investigation,22.0,44.0,E/B,1065.0
2019-09-01,32,17:40:00,Sunday,PINE ST. AT LAWRENCE AVE. W.,Mechanical,10.0,20.0,E/B,1075.0
2019-09-01,134,17:53:00,Sunday,Progress and Markham,Investigation,15.0,30.0,S/B,3429.0
2019-09-01,39,18:00:00,Sunday,Finch Station to Neilson rd,General Delay,15.0,25.0,B/W,
2019-09-01,984,18:00:00,Sunday,Sheppard Station. Yonge and Sheppard,Investigation,13.0,26.0,E/B,3240.0
2019-09-01,84,18:00:00,Sunday,Sheppard ave west both ways,General Delay,7.0,32.0,B/W,
2019-09-01,118,18:07:00,Sunday,Wilson and Jane St,Investigation,30.0,60.0,E/B,3251.0
2019-09-01,94,18:15:00,Sunday,Hoskin Ave St George St,Mechanical,23.0,26.0,B/W,1079.0
2019-09-01,36,18:15:00,Sunday,Finch/ Arrow,Mechanical,4.0,8.0,E/B,3225.0
2019-09-01,35,18:16:00,Sunday,Jane and Eglinton,Investigation,8.0,16.0,N/B,3201.0
2019-09-01,704,18:16:00,Sunday,Jane and Lawrence,Investigation,1.0,1.0,N/B,3244.0
2019-09-01,32,18:27:00,Sunday,RENFORTH STATION,Mechanical,10.0,20.0,E/B,1104.0
2019-09-01,85,18:33:00,Sunday,Sheppard/Bards Walkway,Mechanical,18.0,36.0,W/B,1707.0
2019-09-01,32,19:05:00,Sunday,PINE ST. AT LAWRENCE AVE. W.,Emergency Services,15.0,30.0,E/B,1109.0
2019-09-01,29,19:06:00,Sunday,Dufferin at Springhurst,Investigation,4.0,8.0,S/B,9037.0
2019-09-01,53,19:36:00,Sunday,Steeles/ McCowan,Mechanical,15.0,30.0,W/B,3443.0
