Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-02-01,35,00:07:00,Saturday,Jane Station,Mechanical,9.0,18.0,N/B,3271.0
2020-02-01,54,00:08:00,Saturday,Eglinton Ave East at Bayview Ave,Mechanical,20.0,40.0,W/B,8801.0
2020-02-01,66,00:25:00,Saturday,Prince Edward and Eldridge,Investigation,16.0,32.0,NB,8414.0
2020-02-01,72,00:25:00,Saturday,Lakeshore & Parliament,Diversion,100.0,118.0,W/B,8582.0
2020-02-01,7,01:11:00,Saturday,greenwin village and bathurst,Emergency Services,8.0,17.0,S/B,8366.0
2020-02-01,300,01:38:00,Saturday,Kipling Station,Utilized Off Route,9.0,18.0,W/B,8019.0
2020-02-01,63,01:51:00,Saturday,atlantic and king,Utilized Off Route,30.0,60.0,N/B,8209.0
2020-02-01,320,02:00:00,Saturday,Yonge & Queens Quay,Utilized Off Route,5.0,8.0,N,8333.0
2020-02-01,320,02:31:00,Saturday,Yonge and King Street,Diversion,27.0,31.0,S/B,8763.0
2020-02-01,320,02:31:00,Saturday,Yonge & King,Emergency Services,4.0,7.0,S/B,8763.0
2020-02-01,320,02:55:00,Saturday,Yonge & Queens Quay,Utilized Off Route,3.0,7.0,N/B,8209.0
2020-02-01,300,03:08:00,Saturday,Kennedy Station,Mechanical,17.0,25.0,W/B,8450.0
2020-02-01,102,03:09:00,Saturday,McCowan and Lawrence,Investigation,20.0,40.0,N/B,3146.0
2020-02-01,300,03:19:00,Saturday,Quebec Ave and Bloor Street,Investigation,17.0,34.0,W/B,8709.0
2020-02-01,300,03:50:00,Saturday,Don Valley Parkway South of Don Mills Rd,Mechanical,1.0,1.0,S/B,8082.0
2020-02-01,341,04:00:00,Saturday,GLEN LAKE & KEEL,Mechanical,30.0,60.0,N/B,9012.0
2020-02-01,320,04:00:00,Saturday,Queens Quay and Youge,Investigation,4.0,19.0,N/B,8327.0
2020-02-01,320,04:00:00,Saturday,Queens Quay and Younge,Utilized Off Route,4.0,19.0,N/B,8327.0
2020-02-01,167,05:25:00,Saturday,Birchmount Division,Late Leaving Garage - Mechanical,8.0,25.0,N/B,8510.0
2020-02-01,85,05:34:00,Saturday,Sheppard station,Mechanical,20.0,40.0,W/B,1303.0
2020-02-01,25,06:41:00,Saturday,Yorkmill and  Donmills,Mechanical,8.0,16.0,,8949.0
2020-02-01,63,06:45:00,Saturday,East liberty and Atlantic,Utilized Off Route,6.0,12.0,,8200.0
2020-02-01,7,06:49:00,Saturday,Bathurst Station,Utilized Off Route,10.0,20.0,N/B,1383.0
2020-02-01,60,06:53:00,Saturday,Finch stn,Mechanical,7.0,14.0,W/B,3227.0
2020-02-01,985,06:55:00,Saturday,Don mills station,Mechanical,14.0,14.0,W/B,9076.0
2020-02-01,29,07:00:00,Saturday,Princess Gates,Utilized Off Route,8.0,16.0,N/B,9056.0
2020-02-01,985,07:02:00,Saturday,Malvern garage,Late Leaving Garage - Mechanical,12.0,20.0,W/B,9061.0
2020-02-01,925,07:21:00,Saturday,Eglinton Garage,Mechanical,0.0,0.0,OB,8626.0
2020-02-01,39,08:22:00,Saturday,Little Rd. and Finch,Mechanical,15.0,30.0,E/B,1326.0
2020-02-01,81,08:25:00,Saturday,OVERLEA & THORNCLIFFE,Vision,7.0,14.0,N/B,8590.0
2020-02-01,600,08:30:00,Saturday,Eglinton Station,Mechanical,1.0,1.0,S/B,8168.0
2020-02-01,22,09:37:00,Saturday,COXWELL STATION,Utilized Off Route,9.0,18.0,S/B,8529.0
2020-02-01,81,09:40:00,Saturday,THORNCLIFFE & OVERLEAE,Utilized Off Route,7.0,14.0,S/B,3171.0
2020-02-01,25,09:42:00,Saturday,Gerrard and Coxwell,Utilized Off Route,9.0,18.0,,8777.0
2020-02-01,97,09:45:00,Saturday,Yonge and Avondale,Mechanical,15.0,30.0,N/B,8140.0
2020-02-01,32,09:50:00,Saturday,Eglinton Station,Late Leaving Garage - Mechanical,10.0,20.0,W/B,1411.0
2020-02-01,7,09:57:00,Saturday,Bathurst Station,Utilized Off Route,9.0,18.0,N/B,1383.0
2020-02-01,100,10:00:00,Saturday,BROADVIEW STSTION,Utilized Off Route,9.0,18.0,N/B,8770.0
2020-02-01,35,10:04:00,Saturday,Jane and Sheppard,Mechanical,10.0,20.0,S/B,3614.0
2020-02-01,600,10:06:00,Saturday,Finch station,Mechanical,1.0,1.0,W/B,9083.0
2020-02-01,29,10:09:00,Saturday,Princess Gates,Utilized Off Route,6.0,11.0,N/B,9032.0
2020-02-01,168,10:10:00,Saturday,Avon loop,Mechanical,10.0,20.0,S/B,1107.0
2020-02-01,47,10:12:00,Saturday,Queen and Lansdowne,Utilized Off Route,18.0,36.0,S/B,1073.0
2020-02-01,7,10:46:00,Saturday,Bathurst and Lawrence,Mechanical,9.0,18.0,N/B,8194.0
2020-02-01,52,11:10:00,Saturday,Lawerence West Station,Mechanical,20.0,40.0,E/B,8388.0
2020-02-01,63,11:12:00,Saturday,King and Ossington,Utilized Off Route,5.0,10.0,,8105.0
2020-02-01,54,11:15:00,Saturday,Eglinton Station,Late Leaving Garage - Mechanical,19.0,38.0,W/B,8861.0
2020-02-01,60,11:24:00,Saturday,Steeles / Weston,Mechanical,9.0,18.0,E/B,3182.0
2020-02-01,41,11:32:00,Saturday,Keele Station,Mechanical,10.0,20.0,N/B,1097.0
2020-02-01,7,11:38:00,Saturday,Bathurst Station,Mechanical,9.0,18.0,N/B,8129.0
2020-02-01,41,11:49:00,Saturday,Eglinton and Keele,Mechanical,10.0,20.0,N/B,1097.0
2020-02-01,29,11:51:00,Saturday,Wilson Station,Investigation,3.0,6.0,S/B,9036.0
2020-02-01,22,11:53:00,Saturday,Kingston Rd/Waverly,Investigation,9.0,18.0,W/B,8493.0
2020-02-01,111,11:55:00,Saturday,Queensway Garage,Late Leaving Garage - Mechanical,10.0,20.0,W/B,8024.0
2020-02-01,89,12:00:00,Saturday,Keele Station to Albion and Weston,General Delay,20.0,30.0,B/W,
2020-02-01,34,12:00:00,Saturday,Entire route,General Delay,10.0,40.0,B/W,
2020-02-01,85,12:00:00,Saturday,Don Mill station,Mechanical,5.0,10.0,E/B,1291.0
2020-02-01,89,12:02:00,Saturday,"On Weston, at Coulter",Diversion,93.0,103.0,B/W,
2020-02-01,7,12:17:00,Saturday,Steeles and Bathurst,Mechanical,8.0,15.0,S/B,8374.0
2020-02-01,59,12:20:00,Saturday,Weston and St. Phillips,Diversion,100.0,130.0,B/W,
2020-02-01,41,12:22:00,Saturday,Pioneer Vilage Station,Mechanical,9.0,18.0,S/B,1603.0
2020-02-01,34,12:25:00,Saturday,Grenoble and Span bridge,Late Leaving Garage - Vision,13.0,31.0,W/B,8640.0
2020-02-01,60,12:31:00,Saturday,Finch station,Late Leaving Garage - Mechanical,9.0,18.0,W/B,3265.0
2020-02-01,90,12:31:00,Saturday,Vaughn and Oakwood,Investigation,8.0,16.0,N/B,1317.0
2020-02-01,94,12:32:00,Saturday,Castle Frank Station,Mechanical,16.0,26.0,W/B,1058.0
2020-02-01,36,12:33:00,Saturday,Finch stn,Late Leaving Garage - Operator,6.0,11.0,W/B,3304.0
2020-02-01,52,12:48:00,Saturday,Dixion & Islinton,Mechanical,15.0,30.0,W/B,8216.0
2020-02-01,51,13:00:00,Saturday,Entire Route,General Delay,24.0,44.0,B/W,
2020-02-01,52,13:00:00,Saturday,Lawerence & Allen,Diversion,20.0,25.0,E/B,1302.0
2020-02-01,52,13:00:00,Saturday,Lawerence and Allen,General Delay,20.0,25.0,E/B,1302.0
2020-02-01,60,13:21:00,Saturday,Steeles / Alness,Mechanical,9.0,18.0,W/B,3263.0
2020-02-01,29,13:22:00,Saturday,Eglinton and Dufferin,Investigation,8.0,16.0,S/B,9053.0
2020-02-01,29,13:24:00,Saturday,Dufferin and Lawrence,Late Leaving Garage - Mechanical,3.0,7.0,N/B,9046.0
2020-02-01,41,13:32:00,Saturday,Keele / Eglinton,Mechanical,9.0,18.0,,1606.0
2020-02-01,36,13:53:00,Saturday,Humberwood Loop,Vision,5.0,9.0,E/B,3707.0
