Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-03-01,85,00:25:00,Sunday,Brimley and Sheppard,Diversion,80.0,100.0,E/B,1652.0
2020-03-01,32,00:44:00,Sunday,Eglinton & Gabian Way,Emergency Services,10.0,20.0,W/B,1092.0
2020-03-01,116,01:57:00,Sunday,Kennedy Station,Utilized Off Route,9.0,18.0,E/B,8750.0
2020-03-01,396,02:35:00,Sunday,York Mills Station,Mechanical,30.0,60.0,W/B,3275.0
2020-03-01,320,02:58:00,Sunday,Yonge Street and Wilson Ave,Emergency Services,3.0,7.0,W/B,8116.0
2020-03-01,320,05:00:00,Sunday,Queens Quay,Investigation,15.0,26.0,N/B,8340.0
2020-03-01,96,05:05:00,Sunday,Yorkmills Station,Late Leaving Garage - Mechanical,30.0,60.0,W/B,3186.0
2020-03-01,384,05:16:00,Sunday,Welbeck/ Sheppard,Mechanical,30.0,30.0,N/B,3348.0
2020-03-01,395,05:39:00,Sunday,Ellesmere and Markham,Investigation,30.0,60.0,W/B,3413.0
2020-03-01,105,05:49:00,Sunday,Steeles and Yonge,Mechanical,4.0,8.0,S/B,8326.0
2020-03-01,34,06:03:00,Sunday,Grenoble and Spanbridge,Late Leaving Garage - Mechanical,17.0,34.0,N/B,8886.0
2020-03-01,600,07:00:00,Sunday,Arrow Road Division,Late Leaving Garage - Operator,1.0,1.0,W/B,3364.0
2020-03-01,56,07:00:00,Sunday,Eglinton station,Mechanical,22.0,45.0,N/B,8160.0
2020-03-01,39,07:11:00,Sunday,Sewells and Littles,Mechanical,17.0,34.0,W/B,3474.0
2020-03-01,51,07:16:00,Sunday,Frshmeadows and Don Mills,Late Leaving Garage - Mechanical,30.0,30.0,N/B,8212.0
2020-03-01,95,07:20:00,Sunday,Markham and Ellesmere,Mechanical,23.0,23.0,W/B,1386.0
2020-03-01,116,07:25:00,Sunday,EglintonYard,Late Leaving Garage - Mechanical,6.0,0.0,E/B,8792.0
2020-03-01,57,07:28:00,Sunday,Midland and Steeles,Late Leaving Garage - Operator,10.0,0.0,S/B,8729.0
2020-03-01,125,07:29:00,Sunday,Bathurst and Antibes,Late Leaving Garage - Operator,30.0,30.0,W/B,1399.0
2020-03-01,1,07:30:00,Sunday,Finch station,Utilized Off Route,1.0,1.0,W/B,1285.0
2020-03-01,41,07:38:00,Sunday,Pioneer Village,Late Leaving Garage - Operator,13.0,30.0,S/B,1549.0
2020-03-01,79,07:38:00,Sunday,Pine St and Lawrene,Late Leaving Garage - Mechanical,1.0,18.0,S/B,1421.0
2020-03-01,17,07:48:00,Sunday,Warden Station,Mechanical,19.0,1.0,N/B,3159.0
2020-03-01,162,07:55:00,Sunday,Donway and Lawrence,Late Leaving Garage - Mechanical,30.0,60.0,N/B,1382.0
2020-03-01,161,07:58:00,Sunday,Jane and Alliance,Mechanical,20.0,40.0,E/B,1008.0
2020-03-01,57,07:59:00,Sunday,Midland and Steeles,Late Leaving Garage - Management,10.0,28.0,S/B,8749.0
2020-03-01,47,08:35:00,Sunday,Yorkdale Station,Mechanical,20.0,40.0,S/B,1124.0
2020-03-01,112,08:47:00,Sunday,Highway 27 & Dixon,Mechanical,20.0,40.0,N/B,8435.0
2020-03-01,6,08:50:00,Sunday,Davenport/DuPont,Late Leaving Garage - Mechanical,18.0,36.0,S/B,3729.0
2020-03-01,35,08:50:00,Sunday,Jane Station,Late Leaving Garage - Mechanical,10.0,20.0,N/B,3571.0
2020-03-01,86,08:51:00,Sunday,Kennedy Station,General Delay,9.0,16.0,E/B,8660.0
2020-03-01,505,08:53:00,Sunday,Dundas west station,Late Leaving Garage - Operator,6.0,12.0,E/B,3731.0
2020-03-01,116,09:00:00,Sunday,Kennedy Station,General Delay,8.0,16.0,E/B,8643.0
2020-03-01,35,09:10:00,Sunday,Pioneer Village Station,Mechanical,1.0,1.0,N/B,3221.0
2020-03-01,100,09:20:00,Sunday,Overlea and Thorncliffe,Mechanical,10.0,20.0,W/B,8709.0
2020-03-01,45,09:43:00,Sunday,Kipling & Steels Loop,Mechanical,10.0,20.0,N/B,8413.0
2020-03-01,29,09:44:00,Sunday,wilson station,Late Leaving Garage - Mechanical,6.0,13.0,S/B,9025.0
2020-03-01,65,10:00:00,Sunday,Entire route,General Delay,10.0,25.0,N/B,
2020-03-01,60,10:00:00,Sunday,Steeles West Route,General Delay,10.0,25.0,BW,0.0
2020-03-01,23,10:00:00,Sunday,Entire route,General Delay,10.0,20.0,N/B,8958.0
2020-03-01,939,10:06:00,Sunday,Scarborough town centre,Mechanical,8.0,16.0,W/B,3524.0
2020-03-01,5,10:17:00,Sunday,Museum station,Mechanical,20.0,40.0,N/B,1282.0
2020-03-01,23,10:26:00,Sunday,Dawes Road and Gower St,Diversion,94.0,106.0,N/B,8568.0
2020-03-01,89,10:41:00,Sunday,Weston Road & King St.,Mechanical,10.0,20.0,S/B,1011.0
2020-03-01,24,11:30:00,Sunday,Parma Court,Diversion,53.0,62.0,N/B,8409.0
2020-03-01,29,11:39:00,Sunday,dufferin and bloor,Investigation,5.0,9.0,nb,9053.0
2020-03-01,89,12:00:00,Sunday,Entire Route - Keele to Albion,General Delay,30.0,40.0,BW,
2020-03-01,939,12:00:00,Sunday,route 939,General Delay,13.0,29.0,B/W,
2020-03-01,52,12:12:00,Sunday,Lawrence West Station,Mechanical,10.0,20.0,E/B,8175.0
2020-03-01,63,12:28:00,Sunday,King and Atlantic,Mechanical,7.0,14.0,N/B,1280.0
2020-03-01,121,12:31:00,Sunday,Front and Simcoe,Diversion,215.0,230.0,B/W,
2020-03-01,15,12:50:00,Sunday,Evans and Horner,Diversion,30.0,60.0,W/B,7937.0
2020-03-01,113,12:50:00,Sunday,Kennedy Rd and Daforth Road,Mechanical,20.0,40.0,N/B,8527.0
2020-03-01,17,13:00:00,Sunday,Birchmount route,General Delay,15.0,1.0,B/W,
2020-03-01,68,13:00:00,Sunday,Warden route,General Delay,15.0,1.0,B/W,
2020-03-01,9,13:00:00,Sunday,Bellamy route,General Delay,10.0,1.0,B/W,
2020-03-01,25,13:00:00,Sunday,Overlea Blvd & Eglinton Ave,General Delay,15.0,25.0,N/B,
2020-03-01,63,13:08:00,Sunday,King and Atlantic,Utilized Off Route,6.0,12.0,N/B,1364.0
2020-03-01,7,13:10:00,Sunday,Bathurst Station,Utilized Off Route,7.0,14.0,N/B,8183.0
2020-03-01,7,13:20:00,Sunday,Bathurst Station,Utilized Off Route,7.0,14.0,N/B,8139.0
2020-03-01,85,13:25:00,Sunday,DonMills Station,Mechanical,20.0,40.0,W/B,1335.0
2020-03-01,63,13:27:00,Sunday,King and Atlantic,Utilized Off Route,7.0,14.0,N/B,1237.0
2020-03-01,41,13:30:00,Sunday,Keele Station,Utilized Off Route,11.0,22.0,N/B,1258.0
2020-03-01,935,13:30:00,Sunday,Pioneer Village Station,Mechanical,10.0,20.0,S/B,3338.0
2020-03-01,86,13:31:00,Sunday,Kennedy Station,Utilized Off Route,8.0,16.0,E/B,8755.0
2020-03-01,63,13:40:00,Sunday,King and Atlantic,Utilized Off Route,7.0,14.0,N/B,8332.0
2020-03-01,81,13:44:00,Sunday,pape station,Mechanical,10.0,20.0,B/W,9223.0
2020-03-01,35,14:30:00,Sunday,Pioneer Village Station- Jane Station,General Delay,7.0,14.0,B/W,3253.0
2020-03-01,7,14:32:00,Sunday,Bathurst and Alcina,Investigation,7.0,14.0,S/B,8390.0
2020-03-01,106,14:33:00,Sunday,Sheppard and Sentinel,Investigation,10.0,20.0,S/B,8380.0
2020-03-01,47,14:46:00,Sunday,Lansdowne and Eglinton,Investigation,9.0,18.0,S/B,1030.0
2020-03-01,41,15:10:00,Sunday,Pioneer Village Station,Emergency Services,11.0,22.0,S/B,1016.0
2020-03-01,6,15:15:00,Sunday,Dockside and Queens Quay,Mechanical,14.0,28.0,B/W,1614.0
2020-03-01,34,15:45:00,Sunday,Windford and Garamond,Mechanical,18.0,36.0,E/B,8886.0
2020-03-01,939,15:46:00,Sunday,Finch & Brimley,Mechanical,16.0,32.0,E/B,3553.0
2020-03-01,925,16:00:00,Sunday,925 Don Mills Route from Pape Station to Freshmeadow/Don Mills Rd,General Delay,15.0,25.0,B/W,
2020-03-01,64,16:00:00,Sunday,64 Main Route,General Delay,10.0,20.0,B/W,
2020-03-01,54,16:10:00,Sunday,Railside rd. and Lawrence East,General Delay,9.0,17.0,W/B,8736.0
2020-03-01,21,16:32:00,Sunday,Lawrence,Mechanical,18.0,36.0,S/B,3495.0
2020-03-01,52,16:51:00,Sunday,Lawrence Stn,Investigation,7.0,14.0,W/B,1321.0
2020-03-01,112,16:57:00,Sunday,Renforth/Eglinton,Mechanical,20.0,4.0,N/B,8411.0
2020-03-01,43,16:59:00,Sunday,Kennedy station,Mechanical,10.0,20.0,N/B,8768.0
2020-03-01,33,17:20:00,Sunday,Chaplin Cresent,Emergency Services,30.0,30.0,S/B,1302.0
2020-03-01,98,17:25:00,Sunday,Sheppard and Bangor,Investigation,30.0,60.0,W/B,8325.0
2020-03-01,46,17:30:00,Sunday,Martin Grove/Finch,Mechanical,17.0,34.0,S/B,3331.0
2020-03-01,112,17:30:00,Sunday,West Mall/ Dundas,Mechanical,20.0,40.0,N/B,8066.0
