Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-04-01,395,02:35:00,Wednesday,York Mills Station,Mechanical,30.0,50.0,E/B,1393.0
2020-04-01,320,02:42:00,Wednesday,Yonge & Finch,Utilized Off Route,3.0,7.0,S/B,8205.0
2020-04-01,34,05:03:00,Wednesday,Eglinton Station,Mechanical,7.0,14.0,E/B,8842.0
2020-04-01,116,05:38:00,Wednesday,morningside and finch,Late Leaving Garage - Operator,4.0,8.0,S/B,8901.0
2020-04-01,75,05:45:00,Wednesday,Jarvis St/Queens Quay,Late Leaving Garage - Management,15.0,30.0,N/B,8875.0
2020-04-01,116,06:08:00,Wednesday,Nightstar/ Morningside,Investigation,10.0,18.0,S/B,8697.0
2020-04-01,6,06:09:00,Wednesday,Davenport Rd/Dupont Street,Late Leaving Garage - Mechanical,5.0,11.0,S/B,1000.0
2020-04-01,116,06:28:00,Wednesday,Morningside and nightstart,Investigation,7.0,15.0,S/B,8659.0
2020-04-01,953,06:30:00,Wednesday,Finch Station,Late Leaving Garage - Operator,15.0,30.0,W/B,
2020-04-01,106,06:44:00,Wednesday,Sentinel and Sheppard,Mechanical,8.0,16.0,S/B,1370.0
2020-04-01,63,06:45:00,Wednesday,Marlee and Lawerence Ave W,Mechanical,8.0,16.0,S/B,8217.0
2020-04-01,927,06:48:00,Wednesday,Martin Grove Rd and Royalcrest Rd,Late Leaving Garage - Operator,19.0,32.0,W/B,3297.0
2020-04-01,26,06:59:00,Wednesday,Jane Station,Investigation,13.0,26.0,E/B,1419.0
2020-04-01,75,07:04:00,Wednesday,Bloor St/ Sherbourne,Late Leaving Garage - Management,5.0,13.0,S/B,8214.0
2020-04-01,954,07:26:00,Wednesday,LAWRENCE EAST STATION,Mechanical,9.0,19.0,E/B,8896.0
2020-04-01,88,07:38:00,Wednesday,Sutherland and Bayview,Diversion,7.0,14.0,E/B,1293.0
2020-04-01,36,07:39:00,Wednesday,Jane,Mechanical,5.0,10.0,W/B,9118.0
2020-04-01,32,07:47:00,Wednesday,EGLINTON STATION,Investigation,11.0,22.0,W/B,1618.0
2020-04-01,39,08:05:00,Wednesday,Finch Station,Investigation,15.0,30.0,E/B,3430.0
2020-04-01,168,08:47:00,Wednesday,Dundas West Station,Mechanical,8.0,16.0,N/B,1555.0
2020-04-01,60,09:23:00,Wednesday,Steeles & Jane,Investigation,8.0,16.0,W/B,3636.0
2020-04-01,63,09:35:00,Wednesday,Oakwood Loop,Utilized Off Route,5.0,10.0,S/B,8312.0
2020-04-01,53,09:36:00,Wednesday,Tappscott road,Mechanical,7.0,20.0,W/B,3429.0
2020-04-01,5,10:00:00,Wednesday,QUEENS PARK AND WELLESLY,Diversion,22.0,22.0,N/B,1368.0
2020-04-01,995,10:10:00,Wednesday,York Mills Stn,Emergency Services,10.0,20.0,E/B,3404.0
2020-04-01,17,10:13:00,Wednesday,Warden STN,Mechanical,1.0,1.0,N/B,8465.0
2020-04-01,55,10:16:00,Wednesday,Jane Station,Investigation,30.0,60.0,S/B,7969.0
2020-04-01,35,10:17:00,Wednesday,Jane at Wilson,Mechanical,7.0,14.0,S/B,3282.0
2020-04-01,36,10:22:00,Wednesday,Weston Road,Investigation,5.0,10.0,E/B,9128.0
2020-04-01,65,10:43:00,Wednesday,Castle frank stn,Mechanical,13.0,26.0,S/B,8499.0
2020-04-01,54,10:43:00,Wednesday,EGLINTON STATION,Utilized Off Route,14.0,28.0,E/B,8679.0
2020-04-01,52,10:47:00,Wednesday,Lawrence west station,Mechanical,17.0,34.0,eb,1307.0
2020-04-01,93,11:09:00,Wednesday,Parkview Hill and Aspen,Mechanical,25.0,1.0,S/B,8572.0
2020-04-01,124,11:24:00,Wednesday,LAWRENCE STATION,Utilized Off Route,9.0,18.0,E/B,8202.0
2020-04-01,52,11:33:00,Wednesday,Lawrence stn,Mechanical,17.0,34.0,WB,8393.0
2020-04-01,63,11:45:00,Wednesday,Athlantic and King,Mechanical,5.0,10.0,N/B,8304.0
2020-04-01,92,11:46:00,Wednesday,Woodbine stn,Utilized Off Route,12.0,24.0,S/B,9210.0
2020-04-01,54,11:53:00,Wednesday,EGLINTON STATON,Utilized Off Route,14.0,28.0,E/B,8732.0
2020-04-01,52,12:08:00,Wednesday,Lawrence & Jane,Mechanical,17.0,34.0,WB,1249.0
2020-04-01,54,12:14:00,Wednesday,EGLINTON STATION,Investigation,14.0,28.0,E/B,8907.0
2020-04-01,163,12:25:00,Wednesday,Oakwood and Earnsliffe,Investigation,12.0,24.0,N/B,8100.0
2020-04-01,39,12:55:00,Wednesday,Finch and Tapscott,Investigation,8.0,16.0,W/B,9088.0
2020-04-01,42,13:00:00,Wednesday,42 Cummer Route,General Delay,14.0,28.0,B/W,8212.0
2020-04-01,60,13:00:00,Wednesday,60 Steeles Route-All Branch,General Delay,11.0,22.0,B/W,
2020-04-01,90,14:06:00,Wednesday,st clair wstn,Diversion,19.0,27.0,B/W,8395.0
2020-04-01,36,14:17:00,Wednesday,Finch and Jayzel,Diversion,85.0,91.0,W/B,9134.0
2020-04-01,95,14:17:00,Wednesday,Malvern Garage,Late Leaving Garage - Operator,1.0,1.0,,3483.0
2020-04-01,39,14:21:00,Wednesday,Malvern Garage,Late Leaving Garage - Operator,1.0,1.0,,3509.0
2020-04-01,98,14:24:00,Wednesday,Sheppard Station,Late Leaving Garage - Management,13.0,26.0,N/B,1302.0
2020-04-01,95,14:28:00,Wednesday,Malvern garage,Late Leaving Garage - Operator,1.0,1.0,,3447.0
2020-04-01,953,14:30:00,Wednesday,Malvern Garage,Late Leaving Garage - Operator,1.0,1.0,,9068.0
2020-04-01,32,14:35:00,Wednesday,eglinton wstn,Mechanical,14.0,28.0,W/B,1079.0
2020-04-01,95,14:38:00,Wednesday,Malvern garage,Late Leaving Garage - Operator,1.0,1.0,,3479.0
2020-04-01,953,14:40:00,Wednesday,Malvern Garage,Late Leaving Garage - Operator,1.0,1.0,,9082.0
2020-04-01,29,14:45:00,Wednesday,dufferin and king,Diversion,15.0,23.0,S/B,
2020-04-01,39,14:47:00,Wednesday,Malvern garage,Late Leaving Garage - Operator,1.0,1.0,,3401.0
2020-04-01,939,14:47:00,Wednesday,McCowan and Victoria Park,Late Leaving Garage - Operator,10.0,20.0,W/B,3483.0
2020-04-01,985,14:49:00,Wednesday,Malvern Garage,Late Leaving Garage - Operator,1.0,1.0,,9064.0
2020-04-01,95,14:50:00,Wednesday,Malvern Garage,Late Leaving Garage - Operator,1.0,1.0,,3405.0
2020-04-01,85,14:56:00,Wednesday,Sheppard and Warden,Mechanical,7.0,14.0,E/B,3436.0
2020-04-01,129,14:58:00,Wednesday,Scarborough Town centre,Late Leaving Garage - Operator,6.0,12.0,N/B,
2020-04-01,129,14:58:00,Wednesday,Malvern Garage,Late Leaving Garage - Operator,1.0,1.0,,3521.0
2020-04-01,985,14:59:00,Wednesday,Malvern Garage,Late Leaving Garage - Operator,1.0,1.0,,9015.0
2020-04-01,95,15:00:00,Wednesday,Malvern Garage,Late Leaving Garage - Operator,1.0,1.0,,1401.0
2020-04-01,131,15:03:00,Wednesday,Scarborough Town Centre,Late Leaving Garage - Operator,1.0,1.0,,3409.0
2020-04-01,985,15:09:00,Wednesday,Malvern Garage,Late Leaving Garage - Operator,1.0,1.0,,9086.0
2020-04-01,131,15:10:00,Wednesday,Kennedy Station,Late Leaving Garage - Operator,9.0,18.0,N/B,
2020-04-01,985,15:10:00,Wednesday,Malvern garage,Late Leaving Garage - Operator,1.0,1.0,,9016.0
2020-04-01,131,15:10:00,Wednesday,Malvern garage,Late Leaving Garage - Operator,1.0,1.0,,3531.0
