Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2020-08-01,300.0,02:18,Saturday,BLOOR AND SHAVER,Operations - Operator,6,20,E,8097
2020-08-01,88.0,03:17,Saturday,SOUTHVALE AND MILLWOOD,Cleaning,11,42,E,8166
2020-08-01,51.0,03:21,Saturday,EGLINTON STATION,Operations - Operator,26,52,N,8135
2020-08-01,119.0,03:26,Saturday,DAVISVILLE STATION,Operations - Operator,28,56,,0
2020-08-01,300.0,03:27,Saturday,DANFORTH AND GREENWOOD,Emergency Services,17,34,E,9227
2020-08-01,127.0,06:28,Saturday,SPADINA STATION,Operations - Operator,22,45,N,0
2020-08-01,80.0,08:00,Saturday,HIGH PARK STATION,Mechanical,20,40,W,8089
2020-08-01,35.0,08:02,Saturday,JANE AND WILLIAM CRAGG,Security,10,20,S,3324
2020-08-01,43.0,08:13,Saturday,MIDLAND AND STEELES,Operations - Operator,10,20,S,8815
2020-08-01,37.0,08:28,Saturday,ISLINGTON STATION,Operations - Operator,21,42,N,8086
2020-08-01,36.0,10:06,Saturday,FINCH WEST STATION,Collision - TTC,7,13,,3579
2020-08-01,2.0,10:29,Saturday,BLOOR AND PARK RD,Security,0,0,E,8659
2020-08-01,6.0,11:56,Saturday,BAY AND CUMBERLAND,Emergency Services,23,46,N,3725
2020-08-01,52.0,12:14,Saturday,LAWRENCE WEST STATION,Operations - Operator,20,40,E,0
2020-08-01,6.0,13:01,Saturday,BAY AND DUNDAS,General Delay,0,0,S,1009
2020-08-01,108.0,13:02,Saturday,PIONEER VILLAGE STATIO,Collision - TTC,8,16,S,3339
2020-08-01,84.0,13:05,Saturday,SHEPPARD AND WILSON HE,Investigation,6,12,E,3644
2020-08-01,55.0,13:11,Saturday,JANE STATION,Operations - Operator,25,50,N,7961
2020-08-01,32.0,13:15,Saturday,EGLINTON AND KEELE,Operations - Operator,24,48,W,1411
2020-08-01,12.0,14:48,Saturday,KENNEDY STATION,Mechanical,15,30,W,9229
2020-08-01,92.0,14:51,Saturday,WOODBINE AND QUEEN,Mechanical,6,12,N,8543
2020-08-01,125.0,15:04,Saturday,TORRESDALE AND ANTIBES,Security,15,30,E,1293
2020-08-01,85.0,15:09,Saturday,SHEPPARD AND DON MILLS,Mechanical,22,44,E,1658
2020-08-01,54.0,15:36,Saturday,LAWRENCE AND GREENBRAE,Emergency Services,15,29,W,8730
2020-08-01,54.0,16:46,Saturday,LAWRENCE AND MCCOWAN,Emergency Services,14,28,E,8919
2020-08-01,102.0,16:54,Saturday,WARDEN STATION,Security,10,20,S,9209
2020-08-01,85.0,17:16,Saturday,DON MILLS STATION,Operations - Operator,22,44,E,0
2020-08-01,95.0,17:26,Saturday,YORK MILLS AND FENSIDE,Road Blocked - NON-TTC Collision,33,46,W,0
2020-08-01,35.0,17:30,Saturday,JANE AND BEXLEY,Security,8,16,S,3345
2020-08-01,96.0,18:19,Saturday,WILSON AND BELGRAVE,Security,0,0,W,3354
2020-08-01,73.0,19:01,Saturday,ROYAL YORK STATION,Emergency Services,0,0,,8048
2020-08-01,89.0,19:45,Saturday,WESTON AND ROGERS,Mechanical,10,20,S,1147
2020-08-01,36.0,20:01,Saturday,FINCH AND JAYZEL,Security,6,12,W,3232
2020-08-01,2.0,20:23,Saturday,BLOOR AND RESURRECTION,Mechanical,0,0,E,8080
2020-08-01,70.0,20:26,Saturday,ST CLAIR AND WESTBOURN,Road Blocked - NON-TTC Collision,10,34,E,0
2020-08-01,168.0,20:50,Saturday,DUNDAS WEST STATION,Security,12,24,E,1409
2020-08-01,127.0,20:55,Saturday,DAVENPORT AND LANSDOWN,Security,275,303,W,1529
2020-08-01,32.0,22:53,Saturday,EGLINTON AND BATHURST,Mechanical,10,20,W,1555
2020-08-01,100.0,00:50,Saturday,BROADVIEW STATION,Security,10,20,,8639
2020-08-01,100.0,01:39,Saturday,WOODBINE STATION,Security,0,0,E,3552
2020-08-01,600.0,01:59,Saturday,WESTON AND WALSH,Mechanical,10,20,E,3624
2020-08-01,165.0,01:59,Saturday,WESTON AND WALSH,Mechanical,10,20,E,3624
2020-08-02,307.0,02:20,Sunday,SPADINA AND FRONT,Road Blocked - NON-TTC Collision,212,242,B,8325
2020-08-02,35.0,02:52,Sunday,JANE AND PATIKA,Emergency Services,15,0,N,3610
2020-08-02,39.0,03:35,Sunday,FINCH AND BATHURST,Security,30,60,W,3406
2020-08-02,300.0,05:23,Sunday,KENNEDY STATION,Security,0,0,E,8405
2020-08-02,302.0,05:39,Sunday,BINGHAM LOOP,Emergency Services,10,20,S,3429
2020-08-02,300.0,05:58,Sunday,KIPLING STATION,Operations - Operator,37,49,W,0
2020-08-02,315.0,06:14,Sunday,LONG BRANCH LOOP,Operations - Operator,30,60,E,0
2020-08-02,353.0,06:18,Sunday,STAINES AND QUIETBROOK,Security,69,0,S,3442
2020-08-02,52.0,06:27,Sunday,PEARSON AIRPORT TERMIN,Mechanical,14,28,E,8150
2020-08-02,76.0,07:26,Sunday,ROYAL YORK AND EVANS,Mechanical,12,25,S,7909
2020-08-02,49.0,07:30,Sunday,BLOOR AND MARKLAND,Operations - Operator,30,60,W,0
2020-08-02,48.0,07:44,Sunday,MILL ROAD LOOP,Mechanical,30,60,E,8050
2020-08-02,16.0,07:49,Sunday,BIRCHMOUNT GARAGE,Vision,17,34,N,9213
2020-08-02,12.0,08:00,Sunday,KENNEDY STATION,General Delay,15,30,E,3111
2020-08-02,53.0,08:27,Sunday,MARKHAM AND PASSMORE,Late Leaving Garage - Mechanical,27,54,E,9079
2020-08-02,76.0,08:30,Sunday,KIPLING STATION,Emergency Services,8,16,,8603
2020-08-02,32.0,08:47,Sunday,EGLINTON STATION,Mechanical,10,20,W,1062
2020-08-02,44.0,09:02,Sunday,KIPLING STATION,Utilized Off Route,17,34,S,7969
2020-08-02,40.0,09:03,Sunday,DUNDAS WEST STATION,Mechanical,10,20,E,8097
2020-08-02,85.0,09:35,Sunday,MEADOWVALE LOOP,Mechanical,8,16,E,9073
2020-08-02,96.0,09:44,Sunday,CARRIER LOOP,Mechanical,20,40,E,3175
2020-08-02,32.0,09:51,Sunday,PINE AND LAWERENCE,Cleaning,10,20,N,1423
2020-08-02,161.0,12:11,Sunday,99A CORDELLA AVENUE,Security,0,0,E,1107
2020-08-02,161.0,12:26,Sunday,CLIFF AND CORDELLA,General Delay,62,77,B,1107
2020-08-02,999.0,13:09,Sunday,28 BEATY - BEATY AND K,Utilized Off Route,0,0,,1032
2020-08-02,79.0,13:49,Sunday,RUNNYMEDE AND BLOOR,Diversion,121,145,B,3726
2020-08-02,162.0,13:51,Sunday,DONWAY AND DON MILLS,Mechanical,0,0,W,1280
2020-08-02,162.0,14:06,Sunday,DON MILLS AND THE DONW,Mechanical,0,0,S,1297
2020-08-02,71.0,14:09,Sunday,RUNNYMEDE AND BLOOR,General Delay,81,96,B,0
2020-08-02,54.0,15:02,Sunday,LESLIE AND OVERLAND,Operations - Operator,0,0,S,8713
2020-08-02,106.0,15:20,Sunday,SHEPPARD AND KEELE,Mechanical,0,0,E,1241
