Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2020-10-01,320.0,03:46,Thursday,YONGE AND QUEENS QUAY,Emergency Services,0,0,N,8160
2020-10-01,320.0,04:30,Thursday,YONGE AND QUEEN,Security,15,15,N,8649
2020-10-01,332.0,04:59,Thursday,PEARSON AIRPORT T 3,Security,0,0,,1031
2020-10-01,95.0,06:23,Thursday,ELLESMERE AND MORRISH,Security,0,0,E,3531
2020-10-01,48.0,06:34,Thursday,RATHBURN AND RENFORTH,Operations - Operator,15,30,W,7925
2020-10-01,29.0,08:17,Thursday,DUFFERIN AND DUNDAS,Security,8,16,S,9024
2020-10-01,36.0,08:57,Thursday,FINCH WEST STATION,Emergency Services,0,0,,9133
2020-10-01,36.0,09:01,Thursday,FINCH AND JANE,Collision - TTC,22,23,W,9135
2020-10-01,47.0,09:05,Thursday,LANSDOWNE AND DAVENPOR,Collision - TTC,12,24,N,1149
2020-10-01,123.0,09:10,Thursday,KIPLING STATION,Emergency Services,0,0,,8416
2020-10-01,53.0,09:25,Thursday,STEELES AND BAYVIEW,Collision - TTC,6,12,W,1653
2020-10-01,39.0,09:39,Thursday,FINCH STATION,Mechanical,6,7,S,9004
2020-10-01,100.0,09:39,Thursday,OVERLEA AND DON MILLS,Collision - TTC,9,18,E,8837
2020-10-01,35.0,09:45,Thursday,JANE AND FINCH,Security,4,8,N,3342
2020-10-01,161.0,09:59,Thursday,OSSINGTON STATION,Security,25,50,N,1058
2020-10-01,29.0,10:08,Thursday,DUFFERIN AND DUPONT,Collision - TTC,8,16,N,1406
2020-10-01,62.0,10:48,Thursday,MAIN STREET STATION,Cleaning,0,0,E,3139
2020-10-01,86.0,10:58,Thursday,KENNEDY STATION,Security,11,22,E,8863
2020-10-01,102.0,11:04,Thursday,MARKHAM AND PAINTED PO,Mechanical,10,12,N,8578
2020-10-01,52.0,11:04,Thursday,LAWRENCE AVE AND BOILI,Emergency Services,15,30,W,1383
2020-10-01,70.0,11:08,Thursday,COXWELL AND SAMMON,Cleaning,18,36,N,8879
