Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-08-01,96,00:33:00,Thursday,Carrier Loop,Mechanical,20.0,40.0,E/B,3179.0
2019-08-01,35,01:31:00,Thursday,Jane Stn,Utilized Off Route,1.0,1.0,N/B,3566.0
2019-08-01,300,02:00:00,Thursday,Kenndy Station,General Delay,20.0,40.0,BW,8403.0
2019-08-01,300,03:52:00,Thursday,Danforth and Main,Emergency Services,20.0,40.0,WB,8007.0
2019-08-01,939,05:00:00,Thursday,939 Finch Express-All Branch,General Delay,12.0,24.0,B/W,3459.0
2019-08-01,39,05:00:00,Thursday,39 Finch Route-All Branch,General Delay,18.0,36.0,B/W,3540.0
2019-08-01,607,05:10:00,Thursday,STC Station,Utilized Off Route,1.0,1.0,S/B,1327.0
2019-08-01,701,05:11:00,Thursday,Eglinton Station,Utilized Off Route,1.0,1.0,S/B,8104.0
2019-08-01,607,05:11:00,Thursday,Mlavern Yard,Utilized Off Route,1.0,1.0,S/B,3421.0
2019-08-01,701,05:12:00,Thursday,Sheppard West Station,Utilized Off Route,1.0,1.0,S/B,1301.0
2019-08-01,607,05:12:00,Thursday,Malvern Yard,Utilized Off Route,1.0,1.0,S/B,3414.0
2019-08-01,707,05:13:00,Thursday,U-F-T University loop,Utilized Off Route,1.0,1.0,W/B,1650.0
2019-08-01,600,05:13:00,Thursday,Wilson Station,Utilized Off Route,1.0,1.0,S/B,8324.0
2019-08-01,606,05:14:00,Thursday,Birchmount Garage,Utilized Off Route,1.0,1.0,EB,3131.0
2019-08-01,600,05:14:00,Thursday,Wilson Garage,Utilized Off Route,1.0,1.0,S/B,1355.0
2019-08-01,706,05:14:00,Thursday,Main Station,Utilized Off Route,1.0,1.0,WB,8492.0
2019-08-01,606,05:14:00,Thursday,Birchmount Garage,Utilized Off Route,1.0,1.0,EB,8551.0
2019-08-01,600,05:15:00,Thursday,Eglinton Yard,Utilized Off Route,1.0,1.0,E/B,8874.0
2019-08-01,600,05:15:00,Thursday,Eglinton Yard,Utilized Off Route,1.0,1.0,E/B,8737.0
2019-08-01,716,05:15:00,Thursday,Victoria Park Station,Utilized Off Route,1.0,1.0,WB,3132.0
2019-08-01,606,05:15:00,Thursday,Birchmount Garage,Utilized Off Route,1.0,1.0,EB,3147.0
2019-08-01,600,05:15:00,Thursday,Eglinton Yard,Utilized Off Route,1.0,1.0,E/B,8839.0
2019-08-01,710,05:20:00,Thursday,Eglinton and Markham,Utilized Off Route,1.0,1.0,W/B,8865.0
2019-08-01,52,05:20:00,Thursday,Wilson and Dufferin,Utilized Off Route,22.0,44.0,E/B,8314.0
2019-08-01,34,05:24:00,Thursday,Kennedy Station,Utilized Off Route,6.0,12.0,W/B,8736.0
2019-08-01,25,05:32:00,Thursday,Pape Station,Utilized Off Route,5.0,10.0,N/B,8728.0
2019-08-01,22,05:35:00,Thursday,Coxwell Ave and Gerrard Street East,Diversion,1.0,1.0,NB,8471.0
2019-08-01,54,05:45:00,Thursday,Starspray Loop,Mechanical,15.0,23.0,E/B,8793.0
2019-08-01,39,05:50:00,Thursday,Warden and Finch,Utilized Off Route,15.0,30.0,W/B,3537.0
2019-08-01,25,05:59:00,Thursday,Freshmeadow/Don Mills,Mechanical,0.0,0.0,S/B,8802.0
2019-08-01,91,06:00:00,Thursday,Bermondsay and Eglinton,Diversion,999.0,999.0,B/W,
2019-08-01,17,06:00:00,Thursday,Eglinton,Diversion,999.0,999.0,B/W,
2019-08-01,43,06:09:00,Thursday,Kennedy Station,Utilized Off Route,1.0,1.0,N/B,8829.0
2019-08-01,119,06:20:00,Thursday,Wilson Station,Diversion,20.0,40.0,W/B,3199.0
2019-08-01,68,06:30:00,Thursday,Warden Station,Mechanical,24.0,30.0,N/B,8873.0
2019-08-01,11,06:32:00,Thursday,Davisville Ave and Belle Ayra Blvd,Mechanical,17.0,27.0,E/B,1283.0
2019-08-01,939,06:40:00,Thursday,McCowan and Finch,Mechanical,1.0,1.0,B/W,1745.0
2019-08-01,96,06:45:00,Thursday,Humberline Loop,Mechanical,18.0,43.0,E/B,3263.0
2019-08-01,41,06:48:00,Thursday,Keele at Wilson,Vision,12.0,24.0,N/B,9150.0
2019-08-01,53,06:54:00,Thursday,Finch Station,Mechanical,6.0,12.0,E/B,1707.0
2019-08-01,32,07:28:00,Thursday,Eglinton and Elmsthrope,Investigation,7.0,14.0,E/B,1553.0
2019-08-01,32,07:34:00,Thursday,Kipling and Eglinton,Mechanical,7.0,14.0,W/B,1146.0
2019-08-01,960,07:40:00,Thursday,Steeles and Village gate,Investigation,10.0,20.0,E/B,3203.0
2019-08-01,60,07:40:00,Thursday,Steeles and Village gate,Investigation,8.0,16.0,E/B,3324.0
2019-08-01,36,07:41:00,Thursday,Finch and Islington,Mechanical,6.0,12.0,W/B,9109.0
2019-08-01,60,07:43:00,Thursday,Steeles and Village gate,Diversion,199.0,207.0,E/B,3220.0
2019-08-01,7,07:47:00,Thursday,Steels Ave and Village Gate,Diversion,120.0,128.0,E/B,
2019-08-01,939,07:55:00,Thursday,Leslie and Finch,Mechanical,1.0,1.0,B/W,1752.0
2019-08-01,996,08:09:00,Thursday,Wilson Station,Mechanical,10.0,20.0,W/B,3369.0
2019-08-01,25,08:10:00,Thursday,pape and gowan,Investigation,5.0,10.0,S/B,8759.0
2019-08-01,85,08:10:00,Thursday,V.P and Sheppard,Mechanical,1.0,1.0,B/W,3422.0
2019-08-01,72,08:25:00,Thursday,Cherry St and Villiers St,Diversion,1.0,1.0,NB,8582.0
2019-08-01,121,08:40:00,Thursday,Villies/ Commisioners,Diversion,,,S/B,8469.0
2019-08-01,91,08:52:00,Thursday,Woodbine Station,Mechanical,12.0,24.0,N/B,3100.0
2019-08-01,121,09:00:00,Thursday,Lakeshore/Cherry,General Delay,20.0,20.0,bw,
2019-08-01,6,09:04:00,Thursday,Dupont and Davenport,Mechanical,5.0,10.0,S/B,1132.0
2019-08-01,97,09:24:00,Thursday,Yorkmills Stn,Mechanical,30.0,60.0,,1371.0
2019-08-01,39,09:34:00,Thursday,Sewells Rd-Littles Rd,Vision,18.0,36.0,W/B,1308.0
2019-08-01,21,09:54:00,Thursday,Brimley loop,Mechanical,12.0,24.0,S/B,1566.0
2019-08-01,45,10:04:00,Thursday,WESTWAY AND KIPLING,Mechanical,10.0,20.0,N/B,8060.0
2019-08-01,29,10:15:00,Thursday,NB at St.Clair,Investigation,8.0,16.0,N/B,9136.0
2019-08-01,73,10:19:00,Thursday,royal york stn,Mechanical,11.0,22.0,N/B,7958.0
2019-08-01,11,10:24:00,Thursday,Davisville Station,Mechanical,12.0,24.0,N/B,1355.0
2019-08-01,160,10:25:00,Thursday,Bathurst st and Cedarcroft Blvd,Mechanical,25.0,50.0,S/B,1376.0
2019-08-01,35,10:30:00,Thursday,Pioneer Village Station,General Delay,17.0,24.0,B/W,
2019-08-01,935,10:30:00,Thursday,Pioneer Village Station to Jane Station,General Delay,21.0,32.0,B/W,
2019-08-01,92,10:30:00,Thursday,Woodbine station to Ashbridge Loop,General Delay,15.0,20.0,B/W,
2019-08-01,29,10:33:00,Thursday,Nb On Dufferin at St. Calir,Investigation,8.0,16.0,N/B,9045.0
2019-08-01,54,10:35:00,Thursday,Lawrence & Don Mills,Mechanical,13.0,26.0,E/B,8734.0
2019-08-01,85,10:43:00,Thursday,Don Mills Station,Utilized Off Route,14.0,21.0,E/B,3454.0
2019-08-01,169,11:15:00,Thursday,Commander / McCowan,Investigation,30.0,60.0,B/W,8112.0
2019-08-01,81,11:31:00,Thursday,Pape Station,Mechanical,11.0,22.0,NB,8549.0
2019-08-01,925,12:00:00,Thursday,Don Mills/Eglinton,General Delay,20.0,30.0,B/W,
2019-08-01,45,12:00:00,Thursday,ENTIRE ROUTE,General Delay,10.0,30.0,B/W,
2019-08-01,25,12:00:00,Thursday,Don Mills/Eglinton,General Delay,20.0,29.0,B/W,
