Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-10-01,108,00:13:00,Tuesday,Pioneer Village Station,Investigation,15.0,30.0,S/B,3205.0
2019-10-01,35,00:20:00,Tuesday,Jane Station,Utilized Off Route,10.0,20.0,S/B,3533.0
2019-10-01,63,00:45:00,Tuesday,Ossington Station,Utilized Off Route,10.0,20.0,S/B,8108.0
2019-10-01,32,01:04:00,Tuesday,Renforth Station,Utilized Off Route,15.0,30.0,E/B,1269.0
2019-10-01,322,02:00:00,Tuesday,Kingston & Queen,Diversion,218.0,248.0,B/W,
2019-10-01,324,02:00:00,Tuesday,Eglinton & Victoria Park,Diversion,234.0,264.0,B/W,
2019-10-01,322,02:00:00,Tuesday,Queen & Kingston,Diversion,218.0,248.0,B/W,
2019-10-01,320,02:06:00,Tuesday,Steeles and Yonge,Mechanical,3.0,6.0,S/B,8369.0
2019-10-01,300,05:14:00,Tuesday,Spadina and Bloor,Emergency Services,10.0,35.0,E/B,8705.0
2019-10-01,36,06:10:00,Tuesday,dufferin,Mechanical,5.0,10.0,E/B,3479.0
2019-10-01,76,06:17:00,Tuesday,ROYAL YORK STN,Mechanical,5.0,10.0,S/B,8025.0
2019-10-01,45,06:23:00,Tuesday,SLPK,Mechanical,5.0,10.0,S/B,8425.0
2019-10-01,945,06:24:00,Tuesday,Eglinton and Kipling,Mechanical,5.0,10.0,S/B,7979.0
2019-10-01,953,06:26:00,Tuesday,Finch station,Mechanical,15.0,30.0,E/B,9076.0
2019-10-01,76,06:42:00,Tuesday,ROYAL YORK STN,Mechanical,5.0,10.0,S/B,8091.0
2019-10-01,34,06:53:00,Tuesday,Eglinton Station,Mechanical,4.0,8.0,E/B,8864.0
2019-10-01,66,07:00:00,Tuesday,ENTIRE ROUTE,General Delay,9.0,35.0,B/W,
2019-10-01,100,07:01:00,Tuesday,Don Mills and Wynford,Mechanical,3.0,10.0,W/B,8757.0
2019-10-01,52,07:23:00,Tuesday,Lawrence Station,Mechanical,23.0,45.0,W/B,1215.0
2019-10-01,95,07:30:00,Tuesday,Kennedy to Leslie & York Mills,General Delay,30.0,38.0,W/B,
2019-10-01,39,07:30:00,Tuesday,39 Finch Route all Branch,General Delay,18.0,36.0,B/W,3424.0
2019-10-01,995,07:30:00,Tuesday,Kennedy to Leslie and York mills,General Delay,30.0,40.0,W/B,
2019-10-01,937,07:30:00,Tuesday,entire route,General Delay,12.0,35.0,B/W,
2019-10-01,37,07:30:00,Tuesday,ENTIRE ROUTE,General Delay,14.0,40.0,B/W,
2019-10-01,939,07:30:00,Tuesday,939 Finch Express-All branch,General Delay,20.0,29.0,B/W,1322.0
2019-10-01,939,07:42:00,Tuesday,Nightstar and Morningside,Mechanical,7.0,14.0,W/B,1509.0
2019-10-01,42,07:49:00,Tuesday,McNicoll / Boxdene,Diversion,76.0,90.0,W/B,8148.0
2019-10-01,985,08:00:00,Tuesday,Sheppard and Parkway Forest,General Delay,20.0,35.0,B/W,
2019-10-01,85,08:00:00,Tuesday,Sheppard and Parkway Forest,General Delay,15.0,27.0,B/W,
2019-10-01,39,08:04:00,Tuesday,Morningside and Old Finch,Mechanical,15.0,30.0,W/B,1656.0
2019-10-01,5,08:07:00,Tuesday,Avenue Rd and Chaplin,Mechanical,13.0,26.0,N/B,8377.0
2019-10-01,41,08:07:00,Tuesday,Dundas / Keele,Investigation,15.0,30.0,S/B,9032.0
2019-10-01,133,08:10:00,Tuesday,Markham / Ellesmere Rd.,General Delay,25.0,36.0,B/W,
2019-10-01,38,08:10:00,Tuesday,Markham and Ellesmere,General Delay,25.0,45.0,B/W,
2019-10-01,169,08:10:00,Tuesday,Sheppard Ave. E/Fairview Mall,General Delay,35.0,95.0,W/B,
2019-10-01,92,08:30:00,Tuesday,Woodbine stn to queen,General Delay,10.0,20.0,,
2019-10-01,953,08:30:00,Tuesday,Morningside Finch,Mechanical,15.0,30.0,W/B,9070.0
2019-10-01,17,08:30:00,Tuesday,Birchmount Rd (Lawrence to Finch),General Delay,20.0,27.0,B/W,
2019-10-01,89,08:30:00,Tuesday,Keele Station,General Delay,10.0,17.0,S/B,
2019-10-01,989,08:30:00,Tuesday,Keele Station,General Delay,10.0,25.0,S/B,
2019-10-01,52,08:33:00,Tuesday,Lawrence/Keele,Mechanical,15.0,30.0,E/B,1342.0
2019-10-01,89,08:36:00,Tuesday,Weston/Albion,Mechanical,7.0,14.0,N/B,1023.0
2019-10-01,935,08:50:00,Tuesday,Pioneer Village Stn,Mechanical,11.0,22.0,S/B,3572.0
2019-10-01,168,08:53:00,Tuesday,Avon Loop,Mechanical,6.0,11.0,W/B,1092.0
2019-10-01,52,09:22:00,Tuesday,Lawrence West station,Mechanical,15.0,30.0,W/B,8170.0
2019-10-01,5,09:35:00,Tuesday,Elm and Elizabeth,Diversion,190.0,220.0,N/B,
2019-10-01,123,09:40:00,Tuesday,KPSN,Mechanical,21.0,42.0,W/B,8447.0
2019-10-01,34,09:50:00,Tuesday,Kennedy Station,Utilized Off Route,8.0,16.0,W/B,8850.0
2019-10-01,935,09:50:00,Tuesday,Pioneer Village,Mechanical,11.0,22.0,N/B,3577.0
2019-10-01,35,09:55:00,Tuesday,Jane and Finch,Vision,5.0,10.0,N/B,3475.0
2019-10-01,34,10:05:00,Tuesday,Kennedy Stn.,Utilized Off Route,8.0,16.0,W/B,8628.0
2019-10-01,57,10:11:00,Tuesday,Kennedy Station,Mechanical,14.0,28.0,N/B,8648.0
2019-10-01,51,10:15:00,Tuesday,Steeles and Don Mills,Diversion,9.0,18.0,S/B,8154.0
2019-10-01,927,10:17:00,Tuesday,Finch/Martin Grove,Mechanical,6.0,11.0,W/B,3231.0
2019-10-01,34,10:28:00,Tuesday,Kennedy Station,Utilized Off Route,8.0,16.0,W/B,8739.0
2019-10-01,54,10:37:00,Tuesday,Birchmount and Lawrence,Emergency Services,11.0,22.0,W/B,8780.0
2019-10-01,92,10:45:00,Tuesday,Woodbine and Norway,Investigation,10.0,20.0,N/B,8941.0
2019-10-01,37,10:50:00,Tuesday,WESTHAMPTON AND ISLINGTON,Mechanical,20.0,40.0,N/B,8420.0
2019-10-01,70,11:25:00,Tuesday,Craigton and Eglintion,Mechanical,15.0,30.0,N/B,8630.0
2019-10-01,29,11:33:00,Tuesday,Dundas,Investigation,7.0,14.0,S/B,9028.0
2019-10-01,39,11:40:00,Tuesday,Winlock and Finch,Investigation,16.0,32.0,W/B,3424.0
2019-10-01,11,11:55:00,Tuesday,Hillsdale and Bayview,Investigation,13.0,26.0,N/B,1278.0
2019-10-01,11,11:58:00,Tuesday,Post and Bayview,Investigation,13.0,26.0,N/B,1270.0
2019-10-01,84,12:07:00,Tuesday,Weston/Braford,Utilized Off Route,8.0,16.0,E/B,3303.0
2019-10-01,939,12:24:00,Tuesday,Finch & Banstock,Investigation,9.0,17.0,W/B,1316.0
2019-10-01,62,12:55:00,Tuesday,Broadview Station,Mechanical,10.0,20.0,S/B,8561.0
2019-10-01,70,13:00:00,Tuesday,70 O'Connor Route- All Branch,General Delay,16.0,36.0,B/W,8806.0
2019-10-01,91,13:00:00,Tuesday,91 Woodbine Route,General Delay,12.0,26.0,B/W,8515.0
2019-10-01,31,13:00:00,Tuesday,31 Greenwood Route-All Branch,General Delay,9.0,18.0,B/W,8546.0
2019-10-01,102,13:00:00,Tuesday,Markham Route,General Delay,30.0,60.0,B/W,
2019-10-01,81,13:00:00,Tuesday,81 Thorncliff Park Route,General Delay,11.0,22.0,B/W,8598.0
2019-10-01,9,13:00:00,Tuesday,Bellamy Route,General Delay,12.0,24.0,B/W,
2019-10-01,902,13:00:00,Tuesday,Markham express route,General Delay,10.0,20.0,B/W,
2019-10-01,22,13:00:00,Tuesday,22 Coxwell Route- All Branch,General Delay,10.0,18.0,B/W,8491.0
2019-10-01,16,13:00:00,Tuesday,McCowan route,General Delay,12.0,24.0,B/W,
2019-10-01,17,13:00:00,Tuesday,Birchmount route,General Delay,40.0,80.0,B/W,
2019-10-01,68,13:00:00,Tuesday,Warden route,General Delay,30.0,60.0,B/W,
2019-10-01,925,13:00:00,Tuesday,925 Don Mills Express Route,General Delay,10.0,20.0,B/W,8743.0
2019-10-01,25,13:00:00,Tuesday,25 Don Mills Route- All Branch,General Delay,9.0,18.0,B/W,8705.0
2019-10-01,160,13:18:00,Tuesday,Centre and New Westminster,Diversion,1.0,1.0,N/B,8194.0
2019-10-01,63,13:53:00,Tuesday,Oakwood Loop,Mechanical,10.0,20.0,S/B,8396.0
2019-10-01,129,14:06:00,Tuesday,Scarborough Town centre,Utilized Off Route,7.0,14.0,N/B,3529.0
2019-10-01,45,14:41:00,Tuesday,Finch and Kipling,Mechanical,10.0,20.0,N/B,8431.0
2019-10-01,45,14:41:00,Tuesday,Kipling and Finch,Mechanical,10.0,20.0,N/B,8431.0
2019-10-01,63,14:45:00,Tuesday,Oakwood Loop,Mechanical,9.0,19.0,S/B,1373.0
2019-10-01,985,14:46:00,Tuesday,Don Mills Stn,Utilized Off Route,12.0,24.0,E/B,9099.0
2019-10-01,37,14:50:00,Tuesday,Woodbine Racetrack,Mechanical,22.0,42.0,N/B,8023.0
2019-10-01,112,14:54:00,Tuesday,Rangoon and Hagersville,Mechanical,18.0,36.0,S/B,8456.0
2019-10-01,52,14:55:00,Tuesday,Lawrence West Station,Mechanical,14.0,28.0,E/B,1387.0
2019-10-01,15,15:00:00,Tuesday,Entire Route,General Delay,25.0,40.0,B/W,
2019-10-01,76,15:00:00,Tuesday,Entire Route,General Delay,20.0,27.0,B/W,
2019-10-01,37,15:00:00,Tuesday,Entire Route,General Delay,30.0,40.0,B/W,
2019-10-01,75,15:00:00,Tuesday,Between Lower Jarvis/Queens Quay and Sherbourne/Bloor,General Delay,28.0,34.0,B/W,
2019-10-01,132,15:00:00,Tuesday,Scarborough Town Centre to Hupfield trail,General Delay,15.0,20.0,B/W,
2019-10-01,87,15:00:00,Tuesday,Between Broadview Stn and Main Street Station,General Delay,15.0,21.0,B/W,
2019-10-01,130,15:00:00,Tuesday,Scarborough Town centre to steeles,General Delay,15.0,20.0,B/W,
2019-10-01,129,15:00:00,Tuesday,Scarborough town centre to Major Mac,General Delay,15.0,20.0,B/W,
2019-10-01,131,15:00:00,Tuesday,Scarborough Town centre to Sewells,General Delay,15.0,18.0,B/W,
2019-10-01,100,15:00:00,Tuesday,Between Broadview Stn and DonMills/Eglinton,General Delay,25.0,31.0,B/W,
2019-10-01,134,15:00:00,Tuesday,Scarborough Town centre to Finchdene,General Delay,10.0,15.0,B/W,
