Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2019-11-01,90,00:07:00,Friday,oakwood and vaughn,Mechanical,10.0,20.0,N/B,8340.0
2019-11-01,25,00:11:00,Friday,Pape station,Utilized Off Route,9.0,18.0,S/B,8774.0
2019-11-01,62,00:32:00,Friday,Chisholm Ave between Lumsden and Doncaster,Diversion,1.0,1.0,B/W,9238.0
2019-11-01,11,00:37:00,Friday,Davisville stn,Utilized Off Route,15.0,30.0,E/B,8188.0
2019-11-01,34,00:45:00,Friday,Eglinton Station,Utilized Off Route,11.0,22.0,E/B,8711.0
2019-11-01,33,00:50:00,Friday,stclair west station,Diversion,31.0,51.0,W/B,
2019-11-01,320,01:53:00,Friday,Yonge and Eglinton,Utilized Off Route,10.0,20.0,S/B,8188.0
2019-11-01,34,02:06:00,Friday,Gervais Dr and Eglinton Ave,Diversion,54.0,66.0,W/B,8850.0
2019-11-01,334,02:15:00,Friday,Gervais Dr and Eglinton Ave,Diversion,213.0,243.0,W/B,8804.0
2019-11-01,300,02:20:00,Friday,Kennedy Station,Emergency Services,20.0,40.0,W/B,8916.0
2019-11-01,36,02:29:00,Friday,Humber College/Finch,Diversion,40.0,52.0,W/B,9116.0
2019-11-01,54,02:41:00,Friday,Lawrence Ave and Scarborough Golf Club Rd,Investigation,20.0,20.0,S/B,8658.0
2019-11-01,34,04:00:00,Friday,EGLINTON/WYNFORD,Diversion,840.0,846.0,W/B,
2019-11-01,302,04:20:00,Friday,Birchmount garage,Late Leaving Garage - Mechanical,20.0,,S/B,8163.0
2019-11-01,600,04:30:00,Friday,EGLINTON YARD,Mechanical,1.0,1.0,E/B,8880.0
2019-11-01,600,04:30:00,Friday,eglinton yard,Mechanical,1.0,1.0,E/B,8735.0
2019-11-01,36,04:36:00,Friday,Arrow garage POD Finch  stn,Late Leaving Garage - Operator,15.0,45.0,.s,9133.0
2019-11-01,54,04:49:00,Friday,Eglinton Garage,Late Leaving Garage - Management,7.0,1.0,OB,8675.0
2019-11-01,100,04:51:00,Friday,eglinton yard,Mechanical,1.0,1.0,E/B,8940.0
