Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2019-12-01,85,00:50:00,Sunday,Don Mills Station,Emergency Services,20.0,40.0,E/B,8538.0
2019-12-01,35,01:00:00,Sunday,Jane and Lawrence,Mechanical,9.0,17.0,S/B,3530.0
2019-12-01,39,01:03:00,Sunday,Neilson and Crow,Mechanical,20.0,40.0,E/B,3412.0
2019-12-01,45,02:20:00,Sunday,Kipling Station,Emergency Services,1.0,1.0,N/B,8037.0
2019-12-01,329,03:32:00,Sunday,Ehbibition loop.,Mechanical,30.0,60.0,N/B,9040.0
2019-12-01,337,03:42:00,Sunday,Humber Loop & lakeshore,Utilized Off Route,30.0,60.0,N/B,8088.0
2019-12-01,337,03:45:00,Sunday,Sherway Gardens,Utilized Off Route,30.0,60.0,E/B,8059.0
2019-12-01,320,04:07:00,Sunday,Yonge and Queensquay,Late Leaving Garage - Mechanical,5.0,10.0,N/B,8327.0
2019-12-01,320,04:27:00,Sunday,Yonge and St.Clair,Diversion,84.0,99.0,B/W,9049.0
2019-12-01,300,04:42:00,Sunday,Keele Station,Utilized Off Route,15.0,30.0,W/B,8681.0
2019-12-01,320,04:46:00,Sunday,BATHURST/ST. CLAIR,Utilized Off Route,1.0,1.0,N/B,8113.0
2019-12-01,320,05:33:00,Sunday,YONGE/STEELES,Late Leaving Garage - Mechanical,4.0,8.0,S/B,1315.0
2019-12-01,47,06:24:00,Sunday,Lansdowne at Queen,Emergency Services,20.0,40.0,N/B,1053.0
2019-12-01,300,06:30:00,Sunday,Kennedy Station - East mall at Bloor,General Delay,20.0,25.0,B/W,
2019-12-01,39,06:53:00,Sunday,Finch and Markham,Mechanical,17.0,34.0,E/B,3527.0
2019-12-01,26,07:15:00,Sunday,Jane Station,Late Leaving Garage - Mechanical,25.0,50.0,E/B,1349.0
2019-12-01,84,07:21:00,Sunday,Sheppard Ave West at Rivalda Rd,Late Leaving Garage - Management,15.0,30.0,W/B,3239.0
2019-12-01,600,07:23:00,Sunday,Broadview & Danforth,Utilized Off Route,,,W/B,3119.0
2019-12-01,63,07:23:00,Sunday,King/Atlantic,Utilized Off Route,10.0,20.0,W/B,8118.0
2019-12-01,600,07:33:00,Sunday,Main  stn,Utilized Off Route,,,W/B,8522.0
2019-12-01,354,07:40:00,Sunday,Lawrence RT,Mechanical,1.0,1.0,W/B,8662.0
2019-12-01,32,07:43:00,Sunday,MDGA,Late Leaving Garage - Mechanical,10.0,20.0,E/B,1120.0
2019-12-01,106,08:00:00,Sunday,Sheppard West Station,Late Leaving Garage - Vision,15.0,30.0,W/B,1271.0
2019-12-01,604,08:10:00,Sunday,Yonge St and Lawrence Ave East,Mechanical,1.0,2.0,SB,3214.0
2019-12-01,54,08:15:00,Sunday,Eglinton Station,Mechanical,15.0,30.0,E/B,8662.0
2019-12-01,63,08:18:00,Sunday,Liberty/Atlantic,Diversion,72.0,81.0,N/B,1201.0
2019-12-01,96,08:28:00,Sunday,York Mills Stn,Mechanical,20.0,40.0,W/B,3183.0
2019-12-01,935,08:59:00,Sunday,Jane and Finch,Mechanical,9.0,18.0,S/B,3202.0
