Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2020-09-01,26.0,02:00,Tuesday,ST GEORGE STATION,General Delay,20,20,,1471
2020-09-01,600.0,02:27,Tuesday,FINCH AND YONGE,Emergency Services,0,0,W,3230
2020-09-01,385.0,02:32,Tuesday,SHEPPARD AND MORNINGSI,Road Blocked - NON-TTC Collision,11,41,W,0
2020-09-01,32.0,04:16,Tuesday,EGLINTON STATION,Operations - Operator,30,30,,0
2020-09-01,95.0,04:30,Tuesday,MEADOWVALE LOOP,Mechanical,30,60,W,3477
2020-09-01,85.0,04:32,Tuesday,MEADOWVALE LOOP,Operations - Operator,29,45,W,0
2020-09-01,133.0,05:04,Tuesday,MORNINGSIDE AND FINCH,Operations - Operator,20,31,S,0
2020-09-01,102.0,05:22,Tuesday,WARDEN STATION,Mechanical,23,46,,8958
2020-09-01,35.0,05:30,Tuesday,JANE STATION,Operations - Operator,28,28,N,3598
2020-09-01,85.0,05:56,Tuesday,MALVERN DIVISION,Operations - Operator,15,30,,9004
2020-09-01,40.0,06:50,Tuesday,DUNDAS WEST STATION,Mechanical,11,22,,7921
2020-09-01,32.0,07:33,Tuesday,EGLINTON AND BICKNELL,Collision - TTC,11,22,E,1603
2020-09-01,110.0,08:00,Tuesday,ISLINGTON STATION,Cleaning,24,48,N,8450
2020-09-01,,08:08,Tuesday,DAVISVILLE GATEHOUSE,General Delay,0,0,,0
2020-09-01,17.0,08:20,Tuesday,BIRCHMOUNT AND MCNICOL,Emergency Services,10,20,N,3115
2020-09-01,108.0,08:35,Tuesday,STONG AND DRIFTWOOD,Operations - Operator,20,20,N,3363
2020-09-01,102.0,08:57,Tuesday,KINGSTON AND BELLAMY,Security,0,0,,9223
2020-09-01,97.0,08:59,Tuesday,YONGE AND GLENFOREST,Security,30,60,N,8111
2020-09-01,89.0,09:12,Tuesday,WESTON AND OAK,Security,11,22,S,9142
2020-09-01,163.0,10:02,Tuesday,OSSINGTON STATION,Emergency Services,12,24,,8354
2020-09-01,999.0,10:27,Tuesday,MORNINGSIDE AND FINCH,Mechanical,0,0,W,1200
2020-09-01,506.0,11:47,Tuesday,BROADVIEW AND GERRARD,Collision - TTC,5,10,W,8466
2020-09-01,24.0,12:27,Tuesday,VICTORIA PARK AND LAWR,Security,10,20,S,8479
2020-09-01,24.0,12:28,Tuesday,VICTORIA PARK AND LAWR,Collision - TTC,10,20,S,8528
2020-09-01,34.0,12:35,Tuesday,EGLINTON AND KENNEDY,Security,0,0,E,8664
2020-09-01,7.0,12:58,Tuesday,BATHURST AND INVERMAY,Collision - TTC,8,16,S,8333
2020-09-01,87.0,13:08,Tuesday,WESTLAKE AND WALLINGTO,Mechanical,11,22,N,8559
2020-09-01,100.0,13:27,Tuesday,OVERLEA AND THORNCLIFF,Investigation,9,18,W,8916
2020-09-01,927.0,14:01,Tuesday,MARTIN GROVE AND ALBIO,Emergency Services,7,14,N,3335
2020-09-01,133.0,14:08,Tuesday,SCARBOROUGH CENTRE STA,Cleaning,11,22,S,3484
2020-09-01,94.0,14:32,Tuesday,OSSINGTON STATION,Operations - Operator,15,30,W,3732
2020-09-01,102.0,14:42,Tuesday,MARKHAM AND FINCH,Mechanical,20,40,N,8544
2020-09-01,91.0,14:45,Tuesday,WOODBINE STATION,Operations - Operator,25,50,N,8922
2020-09-01,120.0,14:45,Tuesday,HEATHROW AND DATCHET,Collision - TTC,30,60,E,3589
2020-09-01,17.0,14:50,Tuesday,WARDEN STATION,Mechanical,10,20,,0
2020-09-01,17.0,14:51,Tuesday,WARDEN STATION,Mechanical,10,20,,3158
2020-09-01,37.0,15:06,Tuesday,ISLINGTON STATION,Operations - Operator,20,40,N,8604
2020-09-01,84.0,15:13,Tuesday,BRADSTOCK AND WESTON,Mechanical,15,25,E,3213
2020-09-01,39.0,15:20,Tuesday,FINCH STATION,Mechanical,14,28,W,1392
2020-09-01,95.0,15:31,Tuesday,YORK MILLS AND SCARSDA,Mechanical,10,20,E,1209
2020-09-01,23.0,15:35,Tuesday,ST CLAIR AND VICTORIA,Security,10,20,E,3107
2020-09-01,92.0,15:39,Tuesday,WOODBINE BEACH LOOP,Mechanical,9,18,N,9231
2020-09-01,927.0,15:53,Tuesday,STEELES AND MARTIN GRO,Security,58,73,B,0
2020-09-01,46.0,15:53,Tuesday,STEELES AND MARTIN GRO,Security,58,73,S,3302
