Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2020-02-01,01:26,Saturday,WILSON STATION,TUO,5,10,S,YU,5491
2020-02-01,02:50,Saturday,UNION STATION,MUIS,0,0,,YU,0
2020-02-01,06:00,Saturday,YONGE UNIVERSITY LINE,MUO,0,0,,YU,0
2020-02-01,06:40,Saturday,ST CLAIR STATION,MUO,4,9,N,YU,5976
2020-02-01,08:10,Saturday,QUEEN STATION,SUUT,30,35,S,YU,5731
2020-02-01,09:14,Saturday,ST ANDREW STATION,PUSTS,0,0,S,YU,6041
2020-02-01,09:20,Saturday,ST ANDREW STATION,PUSTS,0,0,S,YU,5561
2020-02-01,09:48,Saturday,OSGOODE STATION,TUO,4,9,S,YU,5876
2020-02-01,12:32,Saturday,COXWELL STATION,SUDP,4,9,E,BD,5352
2020-02-01,13:06,Saturday,BLOOR STATION,PUSSW,31,36,N,YU,5696
2020-02-01,13:12,Saturday,QUEEN STATION,SUUT,10,15,S,YU,5886
2020-02-01,13:35,Saturday,DUFFERIN STATION,MUPAA,0,0,E,BD,5256
2020-02-01,14:03,Saturday,ST CLAIR STATION,MUIS,0,0,,YU,0
2020-02-01,14:55,Saturday,EGLINTON WEST STATION,MUPAA,0,0,N,YU,6086
2020-02-01,15:12,Saturday,HIGH PARK STATION,MUPAA,0,0,E,BD,5199
2020-02-01,16:43,Saturday,DUFFERIN STATION,MUD,5,9,W,BD,5331
2020-02-01,17:07,Saturday,SHEPPARD WEST STATION,SUDP,0,0,,YU,0
2020-02-01,17:09,Saturday,DUFFERIN STATION,SUDP,0,0,W,BD,5354
2020-02-01,18:11,Saturday,DUNDAS STATION,SUUT,28,33,N,YU,5976
2020-02-01,18:22,Saturday,LANSDOWNE STATION,MUIS,0,0,,BD,0
2020-02-01,18:41,Saturday,ST CLAIR STATION,MUTO,10,15,N,YU,6071
2020-02-01,18:51,Saturday,BAYVIEW STATION,EUDO,0,0,E,SHP,6146
2020-02-01,18:55,Saturday,BESSARION STATION,EUCD,3,8,E,SHP,6146
2020-02-01,19:21,Saturday,QUEEN'S PARK STATION,MUIS,0,0,N,YU,0
2020-02-01,19:32,Saturday,KENNEDY SRT STATION,MRUI,0,0,N,SRT,3001
2020-02-01,20:47,Saturday,ST CLAIR WEST STATION,MUIR,11,16,S,YU,5876
2020-02-01,21:07,Saturday,COXWELL STATION,MUIS,0,0,,BD,0
2020-02-01,21:23,Saturday,EGLINTON WEST STATION,PUMEL,0,0,,YU,0
2020-02-01,22:00,Saturday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2020-02-01,22:25,Saturday,ROYAL YORK STATION,MUI,10,16,W,BD,5249
2020-02-01,22:38,Saturday,LANSDOWNE STATION,MUI,5,11,E,BD,5162
2020-02-01,23:47,Saturday,COXWELL STATION,SUDP,4,10,E,BD,5221
