Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2017-11-01,00:28,Wednesday,QUEEN'S PARK STATION,TUSC,0,0,S,YU,5756
2017-11-01,00:43,Wednesday,WARDEN STATION,MUSC,0,0,E,BD,5194
2017-11-01,00:52,Wednesday,VICTORIA PARK STATION,MUSC,0,0,W,B/D,5240
2017-11-01,00:58,Wednesday,MAIN STREET STATION,MUSC,0,0,W,BD,5312
2017-11-01,01:26,Wednesday,SHEPPARD STATION,EUSC,5,9,S,YU,5421
2017-11-01,06:15,Wednesday,KENNEDY BD STATION,MUSC,0,0,W,BD,5371
2017-11-01,06:23,Wednesday,DONLANDS STATION,PUSSW,0,0,W,B/D,5254
2017-11-01,06:27,Wednesday,DONLANDS STATION,PUSSW,0,0,W,BD,5249
2017-11-01,06:53,Wednesday,ST CLAIR STATION,EUSC,0,0,S,YU,5421
2017-11-01,06:57,Wednesday,FINCH STATION,MUSC,0,0,S,YU,5721
2017-11-01,07:25,Wednesday,PAPE STATION,MUSC,0,0,W,B/D,5190
2017-11-01,07:35,Wednesday,GREENWOOD STATION,TUSC,0,0,E,BD,5146
2017-11-01,07:46,Wednesday,ST CLAIR WEST STATION,MUATC,0,0,S,YU,5996
2017-11-01,07:46,Wednesday,ST GEORGE YUS STATION,SUDP,5,7,S,YU,6006
2017-11-01,08:01,Wednesday,ST CLAIR WEST STATION,MUATC,0,0,N,YU,5406
2017-11-01,08:06,Wednesday,YORKDALE STATION,MUATC,10,12,S,YU,5436
2017-11-01,08:26,Wednesday,YORKDALE STATION,MUATC,4,8,N,YU,5841
2017-11-01,08:28,Wednesday,WELLESLEY STATION,MUPAA,0,0,S,YU,5831
2017-11-01,08:29,Wednesday,ST CLAIR WEST STATION,MUATC,0,0,N,YU,5531
2017-11-01,08:32,Wednesday,BROADVIEW STATION,SUAE,0,0,,B/D,0
2017-11-01,08:32,Wednesday,SHERBOURNE STATION,EUO,0,0,E,BD,5357
2017-11-01,08:36,Wednesday,DUPONT STATION,MUATC,0,0,N,YU,5131
2017-11-01,08:37,Wednesday,LAWRENCE STATION,MUPAA,0,0,S,YU,5801
2017-11-01,08:42,Wednesday,ST CLAIR WEST STATION,MUIR,3,5,S,YU,5746
2017-11-01,08:43,Wednesday,ST GEORGE YUS STATION,MUSC,0,0,S,YU,5776
2017-11-01,08:50,Wednesday,EGLINTON WEST STATION,SUDP,5,7,S,YU,5646
2017-11-01,08:57,Wednesday,EGLINTON WEST STATION,MUATC,0,0,S,YU,5846
2017-11-01,09:01,Wednesday,QUEEN'S PARK STATION,MUPAA,0,0,S,YU,5746
2017-11-01,09:02,Wednesday,ROSEDALE STATION,MUI,5,7,S,YU,6001
2017-11-01,09:06,Wednesday,DUPONT STATION,MUATC,0,0,S,YU,5636
2017-11-01,09:16,Wednesday,WELLESLEY STATION,MUIR,5,7,S,YU,5626
2017-11-01,09:18,Wednesday,YONGE BD STATION,MUD,5,8,W,BD,5045
2017-11-01,09:26,Wednesday,SCARB CTR STATION,SRDP,0,0,,SRT,0
2017-11-01,09:40,Wednesday,YONGE BD STATION,MUTO,0,0,E,B/D,5043
2017-11-01,09:55,Wednesday,ST CLAIR WEST STATION,MUATC,0,0,S,YU,5756
2017-11-01,10:01,Wednesday,ST CLAIR WEST STATION,MUATC,0,0,N,YU,6096
2017-11-01,10:14,Wednesday,FINCH STATION,MUTD,0,0,N,YU,6136
