Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014-03-01,501,00:10:00,Saturday,queensway/roncesvales,Investigation,15.0,27.0,W/B,4245.0
2014-03-01,506,05:52:00,Saturday,gerrard and woodbine,General Delay,10.0,21.0,W/B,4115.0
2014-03-01,511,13:02:00,Saturday,fleet and strachan,Emergency Services,10.0,14.0,E/B,4182.0
2014-03-01,511,13:03:00,Saturday,fleet and strachan,Emergency Services,9.0,13.0,E/B,4182.0
2014-03-01,511,15:44:00,Saturday,carr/bathurst,Held By,8.0,13.0,E/B,4085.0
2014-03-01,506,16:33:00,Saturday,carlton/church,Investigation,6.0,12.0,E/B,4127.0
2014-03-01,501,17:52:00,Saturday,queen/bathurst,Held By,28.0,33.0,E/B,4130.0
2014-03-01,505,18:33:00,Saturday,dundas/lisgar,Held By,6.0,12.0,E/B,4086.0
2014-03-01,510,19:58:00,Saturday,spadina / nassau,Investigation,27.0,3.0,E/B,4140.0
2014-03-01,506,21:00:00,Saturday,route,General Delay,15.0,12.0,E/B,
2014-03-01,512,21:49:00,Saturday,st clair /  earslcourt,Emergency Services,15.0,20.0,W/B,4148.0
2014-03-01,501,22:57:00,Saturday,route,General Delay,25.0,12.0,W/B,
2014-03-02,301,03:29:00,Sunday,queen / dovercourt,Emergency Services,21.0,51.0,E/B,4220.0
2014-03-02,301,04:08:00,Sunday,queen / broadview,Investigation,15.0,45.0,W/B,4243.0
2014-03-02,501,08:10:00,Sunday,queen / broadview,General Delay,14.0,24.0,W/B,4202.0
2014-03-02,503,08:49:00,Sunday,queen / connaught,General Delay,7.0,14.0,E/B,4117.0
2014-03-02,506,09:25:00,Sunday,mccaul /order,Held By,10.0,20.0,E/B,4028.0
2014-03-02,504,11:00:00,Sunday,king / bathurst,Emergency Services,12.0,18.0,W/B,4100.0
2014-03-02,505,12:45:00,Sunday,dundas / parliament,Emergency Services,12.0,16.0,W/B,4113.0
2014-03-02,504,12:45:00,Sunday,dundas / parliament,General Delay,12.0,17.0,W/B,4171.0
2014-03-02,504,13:46:00,Sunday,queen / parliament,Investigation,6.0,12.0,E/B,4100.0
2014-03-02,506,14:13:00,Sunday,gerrard / beachview,Investigation,28.0,36.0,E/B,4098.0
2014-03-02,501,22:07:00,Sunday,queen / pape,Investigation,38.0,49.0,E/B,4218.0
2014-03-03,506,02:16:00,Monday,Rocny carhouse,Late Leaving Garage,5.0,10.0,E/B,411.0
2014-03-03,301,03:30:00,Monday,queen / victoria,Investigation,26.0,56.0,W/B,4195.0
2014-03-03,511,05:34:00,Monday,bathurst / king,Late Leaving Garage,6.0,12.0,W/B,4066.0
2014-03-03,506,05:35:00,Monday,Gerrard and carlaw,Mechanical,8.0,15.0,E/B,4172.0
2014-03-03,501,06:00:00,Monday,route,General Delay,60.0,15.0,E/B,
2014-03-03,512,06:21:00,Monday,bathurst / st clair,Late Leaving Garage,4.0,6.0,E/B,4195.0
2014-03-03,501,07:20:00,Monday,roncy / queen,Late Leaving Garage,6.0,12.0,W/B,
