Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014-04-01,501,00:22:00,Tuesday,Queen and Connaught,Mechanical,9.0,18.0,W/B,4248.0
2014-04-01,505,05:36:00,Tuesday,Broadview Stn,Mechanical,4.0,8.0,E/B,4062.0
2014-04-01,506,06:51:00,Tuesday,Cxwell and Gerrard,Mechanical,5.0,10.0,E/B,4121.0
2014-04-01,501,07:00:00,Tuesday,Longbranch Loop,Mechanical,6.0,13.0,E/B,501.0
2014-04-01,504,07:14:00,Tuesday,Broadview and Gerrard,Late Leaving Garage,4.0,8.0,E/B,4095.0
2014-04-01,512,08:00:00,Tuesday,Bathurst to Gunn's,General Delay,5.0,10.0,E/B,
2014-04-01,501,08:52:00,Tuesday,Queen at Shaw,Mechanical,10.0,15.0,E/B,4241.0
2014-04-01,502,12:42:00,Tuesday,Queen and Greenwood,Investigation,16.0,32.0,E/B,4046.0
2014-04-01,501,12:54:00,Tuesday,Humber to Neville Loops,General Delay,7.0,13.0,E/B,4209.0
2014-04-01,501,13:36:00,Tuesday,Humber to Neville Loops,General Delay,8.0,14.0,E/B,4224.0
2014-04-01,501,13:36:00,Tuesday,Humber to Neville Loops,General Delay,9.0,15.0,E/B,4232.0
2014-04-01,501,14:12:00,Tuesday,Humber to Neville Loops,General Delay,9.0,15.0,E/B,4245.0
2014-04-01,501,14:18:00,Tuesday,Humber to Neville Loops,General Delay,8.0,14.0,E/B,4208.0
2014-04-01,501,14:51:00,Tuesday,Queen and Parliament,Investigation,8.0,13.0,W/B,4201.0
2014-04-01,501,15:12:00,Tuesday,Long Branch to Humber Loop,Mechanical,6.0,13.0,W/B,7972.0
2014-04-01,501,15:15:00,Tuesday,Humber to Neville Loops,General Delay,3.0,9.0,E/B,4229.0
2014-04-01,505,16:13:00,Tuesday,Yonge nd Dundas,Investigation,24.0,29.0,W/B,505.0
2014-04-01,510,16:44:00,Tuesday,Spadina and King,Mechanical,3.0,6.0,S/B,4111.0
2014-04-01,501,16:56:00,Tuesday,Humber to Neville Loops,General Delay,7.0,13.0,E/B,4221.0
2014-04-01,505,17:00:00,Tuesday,From broadview stn. To Dundas west stn and back,General Delay,13.0,20.0,B/W,
2014-04-01,509,17:06:00,Tuesday,CNE loop.,Utilized Off Route,4.0,8.0,E/B,7564.0
2014-04-01,506,17:08:00,Tuesday,College and Queens Park,Mechanical,5.0,10.0,W/B,4149.0
2014-04-01,509,17:13:00,Tuesday,CNE loop,Utilized Off Route,4.0,8.0,E/B,7683.0
2014-04-01,510,17:15:00,Tuesday,Spadina Station,Held By,11.0,13.0,N/B,4114.0
2014-04-01,503,17:45:00,Tuesday,Qeeen and Connaught,Mechanical,12.0,24.0,E/B,4128.0
2014-04-01,506,18:12:00,Tuesday,College and Dundas,Mechanical,5.0,10.0,W/B,4074.0
2014-04-01,501,21:30:00,Tuesday,Queen and Kingston,Mechanical,5.0,10.0,W/B,4248.0
2014-04-01,511,22:20:00,Tuesday,Bathurst and King,Investigation,20.0,25.0,S/B,4151.0
2014-04-01,509,22:27:00,Tuesday,CNE loop,Utilized Off Route,4.0,8.0,E/B,1780.0
2014-04-01,509,22:29:00,Tuesday,CNE loop,Utilized Off Route,4.0,8.0,E/B,9408.0
2014-04-01,505,23:43:00,Tuesday,Broadview station,Mechanical,9.0,21.0,W/B,4032.0
2014-04-02,501,00:15:00,Wednesday,Long Branch Loop,Mechanical,10.0,20.0,E/B,8084.0
2014-04-02,501,05:34:00,Wednesday,Queen and Roncesvalles,Late Leaving Garage,5.0,10.0,W/B,4226.0
2014-04-02,501,06:11:00,Wednesday,Queensway Garage,Mechanical,7.0,13.0,W/B,7325.0
2014-04-02,501,06:40:00,Wednesday,Humber loop,Mechanical,5.0,10.0,E/B,4243.0
2014-04-02,506,07:16:00,Wednesday,Coxwell and Gerrard,Mechanical,4.0,8.0,W/B,4051.0
2014-04-02,501,07:53:00,Wednesday,Lakeshore at 37TH,Mechanical,6.0,13.0,E/B,7342.0
2014-04-02,504,07:57:00,Wednesday,Parliament and Queen,Investigation,2.0,4.0,E/B,4246.0
2014-04-02,503,08:40:00,Wednesday,Church and Wellington,Investigation,32.0,44.0,W/B,4136.0
2014-04-02,505,08:45:00,Wednesday,Erindale Ave and Broadview Ave,Held By,13.0,18.0,W/B,4000.0
2014-04-02,504,08:45:00,Wednesday,Erindale Ave and Broadview Ave,Utilized Off Route,13.0,15.0,W/B,4113.0
2014-04-02,805,08:45:00,Wednesday,Erindale Ave and Broadview Ave,Mechanical,0.0,0.0,W/B,4172.0
2014-04-02,501,11:06:00,Wednesday,Humber to Neville Loops,General Delay,8.0,14.0,E/B,4242.0
