Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2016-07-01,301,03:50:00,Friday,King St. West and Spadina Ave.,Held By,27.0,57.0,E/B,4064.0
2016-07-01,304,03:51:00,Friday,King/Spadina,General Delay,26.0,52.0,E/B,4119.0
2016-07-01,501,05:08:00,Friday,Lakeshore and Windermere,Mechanical,26.0,36.0,W/B,4147.0
2016-07-01,504,07:17:00,Friday,Brdv/Queen,Held By,9.0,18.0,E/B,4060.0
2016-07-01,505,07:21:00,Friday,Broadview and Gerrard,Held By,10.0,20.0,E/B,4129.0
2016-07-01,504,08:49:00,Friday,Roncy/Queen,Mechanical,9.0,18.0,W/B,4058.0
2016-07-01,501,09:43:00,Friday,Lakeshore and Royal York,Mechanical,10.0,20.0,E/B,4037.0
2016-07-01,50,09:59:00,Friday,Union Stn,Mechanical,5.0,11.0,W/B,4166.0
2016-07-01,50,10:38:00,Friday,King at Sackville,Mechanical,14.0,28.0,W/B,4041.0
2016-07-01,501,11:33:00,Friday,Queen and Spadina,Investigation,11.0,19.0,W/B,4232.0
2016-07-01,504,12:06:00,Friday,John-University,Held By,12.0,21.0,B/W,4153.0
2016-07-01,514,12:06:00,Friday,Queen at University,Held By,10.0,24.0,B/W,4026.0
2016-07-01,505,12:25:00,Friday,Dundas from University to Spadina,Held By,30.0,35.0,B/W,4043.0
2016-07-01,514,12:55:00,Friday,King at Sumach,Mechanical,15.0,30.0,E/B,4141.0
2016-07-01,504,14:19:00,Friday,King and Church,Mechanical,8.0,16.0,E/B,4004.0
2016-07-01,501,18:18:00,Friday,Yonge and Queen,Investigation,26.0,31.0,E/B,4223.0
2016-07-01,501,19:02:00,Friday,Queen and Leslie,Mechanical,21.0,26.0,E/B,4212.0
2016-07-01,501,20:30:00,Friday,Lakeshore and 22nd,Mechanical,11.0,19.0,W/B,4017.0
2016-07-01,501,21:18:00,Friday,Queen and Connaught,Mechanical,8.0,16.0,W/B,4214.0
2016-07-01,504,22:13:00,Friday,Dufferin to Broadview Station,General Delay,11.0,21.0,E/B,4049.0
2016-07-01,510,22:35:00,Friday,collage/spadina,Mechanical,10.0,16.0,S/B,4405.0
2016-07-01,505,22:36:00,Friday,dundas west station,Investigation,10.0,20.0,W/B,4092.0
2016-07-02,510,00:49:00,Saturday,Spadina at Sullivan,Mechanical,0.0,0.0,N/B,4415.0
2016-07-02,501,01:13:00,Saturday,Neville park Loop,General Delay,8.0,13.0,W/B,4235.0
2016-07-02,504,01:24:00,Saturday,Portland and King,Mechanical,10.0,20.0,W/B,4090.0
2016-07-02,1,02:03:00,Saturday,Yard,Mechanical,1.0,1.0,N/B,4400.0
2016-07-02,501,04:45:00,Saturday,Connaught/Queen,Mechanical,16.0,0.0,E/B,4243.0
2016-07-02,509,05:52:00,Saturday,Bathurst/Fleet,Mechanical,10.0,0.0,W/B,4178.0
2016-07-02,501,06:32:00,Saturday,Connaught/Queen,Mechanical,5.0,10.0,E/B,4238.0
2016-07-02,501,08:31:00,Saturday,Roncesvalles/Queen,Mechanical,7.0,14.0,W/B,4083.0
2016-07-02,509,09:04:00,Saturday,Fleet Loop,Investigation,6.0,12.0,E/B,4067.0
2016-07-02,501,09:04:00,Saturday,Bathurst/King,Held By,16.0,22.0,W/B,4214.0
2016-07-02,501,09:30:00,Saturday,Dufferin/Queen,Emergency Services,18.0,23.0,B/W,4237.0
2016-07-02,504,12:58:00,Saturday,Brdv/Queen,Late Leaving Garage,5.0,10.0,E/B,4054.0
