Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-08-01,501,05:37:00,Wednesday,Russell Yard,Mechanical,4.0,8.0,W/B,4030.0
2018-08-01,501,05:43:00,Wednesday,Queen and Connaught,Mechanical,5.0,10.0,W/B,4030.0
2018-08-01,502,06:15:00,Wednesday,Queen and Connaught,Mechanical,8.0,17.0,E/B,4125.0
2018-08-01,512,06:18:00,Wednesday,Bathurst and St. Clair,Mechanical,4.0,8.0,E/B,4185.0
2018-08-01,502,06:31:00,Wednesday,Queen at Connaught,Mechanical,9.0,18.0,W/B,
2018-08-01,501,06:32:00,Wednesday,Queen at Bay,Emergency Services,13.0,17.0,W/B,4133.0
2018-08-01,501,06:52:00,Wednesday,Queen at Yonge,Mechanical,4.0,8.0,E/B,4184.0
2018-08-01,506,07:21:00,Wednesday,Parkside and Bloor,Mechanical,3.0,6.0,W/B,1409.0
2018-08-01,505,07:30:00,Wednesday,dundas/yonge,Mechanical,4.0,8.0,E/B,9221.0
2018-08-01,505,08:10:00,Wednesday,dundas west station,Mechanical,4.0,8.0,E/B,1414.0
2018-08-01,512,09:18:00,Wednesday,St Clair and Winona,Mechanical,1.0,1.0,E/B,4403.0
2018-08-01,506,09:24:00,Wednesday,Sherebourne and carlton st.,Investigation,3.0,6.0,W/B,7745.0
2018-08-01,505,11:00:00,Wednesday,dundas west station,Mechanical,4.0,8.0,E/B,7800.0
2018-08-01,805,11:18:00,Wednesday,Queen at Carroll,Mechanical,12.0,16.0,W/B,4035.0
2018-08-01,501,11:18:00,Wednesday,Queen at Carroll,Held By,,,W/B,4140.0
2018-08-01,504,11:19:00,Wednesday,Queen and Carroll,Mechanical,11.0,21.0,W/B,4156.0
2018-08-01,501,11:54:00,Wednesday,Humber Loop,Investigation,4.0,9.0,E/B,4034.0
2018-08-01,506,13:02:00,Wednesday,Dufferin and college,Mechanical,3.0,6.0,W/B,1104.0
2018-08-01,504,13:51:00,Wednesday,Roncy& Fermanagh,Mechanical,0.0,0.0,W/B,4487.0
2018-08-01,504,14:09:00,Wednesday,Queen & Connaught,Mechanical,10.0,20.0,E/B,4021.0
2018-08-01,504,15:40:00,Wednesday,Distrillery Loop,Mechanical,14.0,19.0,W/B,4473.0
2018-08-01,505,15:46:00,Wednesday,Jarvis and Dundas,Mechanical,4.0,8.0,W/B,9229.0
2018-08-01,505,15:46:00,Wednesday,Jarvis and Dundas,Mechanical,4.0,8.0,W/B,9229.0
2018-08-01,506,15:57:00,Wednesday,Roncesvalles and Howard Parki,Investigation,4.0,9.0,E/B,1387.0
2018-08-01,512,16:06:00,Wednesday,SCW,Mechanical,4.0,7.0,E/B,4402.0
2018-08-01,501,17:20:00,Wednesday,Queen and Broadview,Mechanical,5.0,10.0,E/B,4049.0
2018-08-01,501,17:25:00,Wednesday,Queen and Coxwell,Mechanical,5.0,10.0,W/B,4182.0
2018-08-01,505,17:33:00,Wednesday,Broadview Station,Mechanical,4.0,8.0,E/B,9215.0
2018-08-01,501,17:36:00,Wednesday,Humber Loop,Mechanical,5.0,10.0,E/B,4065.0
2018-08-01,504,17:43:00,Wednesday,King & Duoro,Investigation,6.0,11.0,E/B,4433.0
2018-08-01,509,18:23:00,Wednesday,,General Delay,20.0,25.0,E/B,
2018-08-01,504,18:56:00,Wednesday,Dufferin & King,Emergency Services,5.0,12.0,E/B,4135.0
2018-08-01,505,19:12:00,Wednesday,Sherbourne and Dundas,Investigation,4.0,8.0,E/B,7811.0
2018-08-01,505,19:44:00,Wednesday,Bay and Dundas,Investigation,4.0,8.0,W/B,7811.0
2018-08-01,506,20:44:00,Wednesday,High Park Station,Utilized Off Route,8.0,16.0,E/B,8124.0
2018-08-01,505,20:57:00,Wednesday,Chestnut and Dundas,Mechanical,5.0,10.0,W/B,8316.0
2018-08-01,501,20:58:00,Wednesday,Bay and Queen,Mechanical,4.0,8.0,W/B,4195.0
