Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-02-01,504,00:14:00,Friday,King and jarvis,Diversion,34.0,33.0,W/B,4405.0
2019-02-01,504,05:17:00,Friday,Broadview/Millbrook,Held By,10.0,29.0,W/B,4447.0
2019-02-01,506,06:11:00,Friday,Leslie and Gerrard,Held By,12.0,18.0,E/B,4068.0
2019-02-01,509,06:42:00,Friday,Exibition Loop,Mechanical,6.0,12.0,B/W,
2019-02-01,506,07:06:00,Friday,Dundas and Howard Park,Mechanical,6.0,12.0,W/B,4073.0
2019-02-01,509,07:07:00,Friday,CNE Loop to Union,Late Leaving Garage,6.0,12.0,E/B,
2019-02-01,504,07:07:00,Friday,Dufferin / Temple,Emergency Services,9.0,15.0,N/B,4438.0
2019-02-01,509,07:11:00,Friday,Bathurst and Fleet,Late Leaving Garage,5.0,9.0,W/B,4405.0
2019-02-01,509,07:36:00,Friday,Bathurst And Fleet,Late Leaving Garage,4.0,8.0,W/B,4511.0
2019-02-01,511,07:41:00,Friday,King and Bathurst,Mechanical,6.0,9.0,N/B,1021.0
2019-02-01,504,07:50:00,Friday,Distillery loop,Mechanical,6.0,13.0,W/B,4501.0
2019-02-01,506,08:01:00,Friday,Coxwell and Gerrard,Mechanical,6.0,12.0,E/B,4105.0
2019-02-01,501,08:08:00,Friday,Humber Loop,Mechanical,11.0,22.0,E/B,4084.0
2019-02-01,506,08:20:00,Friday,Coxwell and Gerrard,Mechanical,6.0,12.0,W/B,4149.0
2019-02-01,506,08:44:00,Friday,Ossington and College,Held By,9.0,15.0,W/B,4104.0
2019-02-01,705,09:14:00,Friday,Lakeshore and Parklawn.,Investigation,6.0,12.0,E/B,9210.0
2019-02-01,504,09:21:00,Friday,Dundas W stn,Mechanical,0.0,0.0,W/B,4448.0
2019-02-01,504,09:22:00,Friday,Dufferin Loop,Mechanical,6.0,12.0,E/B,4405.0
2019-02-01,512,10:00:00,Friday,St. Clair and Vaughan,General Delay,11.0,15.0,W/B,4489.0
2019-02-01,506,10:00:00,Friday,Alton and Gerrard,Investigation,18.0,24.0,W/B,4001.0
2019-02-01,504,10:25:00,Friday,Broadview / Riverdale,Held By,51.0,56.0,S/B,4438.0
2019-02-01,504,10:25:00,Friday,Dundas W Stn to Broadview Stn,General Delay,8.0,15.0,B/W,
2019-02-01,511,11:03:00,Friday,King and Bathurst,General Delay,6.0,9.0,S/B,1124.0
2019-02-01,505,11:21:00,Friday,Dundas Street West Bathurst,Investigation,4.0,8.0,W/B,9332.0
2019-02-01,506,11:32:00,Friday,Clinton and College,Held By,8.0,14.0,W/B,4104.0
2019-02-01,805,11:58:00,Friday,Bathurst Station,Investigation,4.0,8.0,S/B,4101.0
2019-02-01,504,12:09:00,Friday,King / George,Mechanical,7.0,14.0,W/B,4504.0
2019-02-01,506,12:39:00,Friday,High Park Loop,Mechanical,6.0,12.0,E/B,4176.0
2019-02-01,501,12:50:00,Friday,Queen and Greenwood,Mechanical,5.0,10.0,E/B,4039.0
2019-02-01,506,13:10:00,Friday,Gerrard and Acrlaw,Held By,34.0,40.0,E/B,4144.0
2019-02-01,506,13:13:00,Friday,Roncy Howard Park,Held By,6.0,12.0,E/B,4125.0
2019-02-01,511,13:18:00,Friday,Bathurst and Queen,Investigation,6.0,12.0,N/B,1056.0
2019-02-01,506,13:32:00,Friday,Church and College,Held By,10.0,16.0,W/B,4111.0
2019-02-01,501,13:41:00,Friday,Queen and Jarvis,Investigation,33.0,38.0,W/B,4190.0
2019-02-01,505,13:47:00,Friday,Dundas West Station,Mechanical,4.0,8.0,W/B,8104.0
2019-02-01,501,13:57:00,Friday,Queen and Scarborough,Held By,19.0,24.0,E/B,4039.0
2019-02-01,505,14:08:00,Friday,Wolseley and Bathurst,Mechanical,4.0,8.0,S/B,1282.0
2019-02-01,506,14:11:00,Friday,Logan and Gerrard,Held By,17.0,23.0,E/B,4170.0
2019-02-01,506,14:25:00,Friday,Coxwell and Gerrard,Mechanical,6.0,12.0,E/B,4032.0
2019-02-01,506,14:26:00,Friday,Roncy and Howard Park,Held By,12.0,18.0,E/B,4111.0
2019-02-01,511,14:42:00,Friday,CNE Loop,Investigation,7.0,14.0,N/B,1268.0
2019-02-01,506,15:24:00,Friday,Rushholme and College,Held By,14.0,20.0,E/B,4182.0
2019-02-01,510,15:46:00,Friday,Richmond and Spadina,Emergency Services,89.0,93.0,N/B,4494.0
2019-02-01,501,15:53:00,Friday,Queen and Kingston,Diversion,88.0,93.0,E/B,4103.0
2019-02-01,506,16:30:00,Friday,Main Station,Held By,31.0,37.0,W/B,4182.0
2019-02-01,512,16:35:00,Friday,St Clair W station,Investigation,4.0,10.0,W/B,4445.0
2019-02-01,510,16:43:00,Friday,Spadina Station --Union Station,General Delay,4.0,8.0,N/B,4495.0
2019-02-01,504,17:22:00,Friday,Broadview / Riverdale,Held By,75.0,82.0,W/B,4426.0
2019-02-01,505,17:27:00,Friday,Withrow and Broadview,Held By,17.0,21.0,S/B,9232.0
2019-02-01,502,17:46:00,Friday,Queen and Sackville,Mechanical,12.0,24.0,E/B,8559.0
2019-02-01,510,18:10:00,Friday,Dundas and Spadina,Mechanical,4.0,8.0,S/B,4505.0
2019-02-01,506,18:14:00,Friday,Gerrard and Broadview,Held By,40.0,45.0,E/B,4081.0
2019-02-01,501,18:39:00,Friday,Queen and Glendale,Held By,40.0,45.0,W/B,4091.0
2019-02-01,510,18:40:00,Friday,SPSP,Diversion,98.0,102.0,N/B,4414.0
2019-02-01,512,18:49:00,Friday,St Clair W and Yonge,Held By,8.0,15.0,W/B,4463.0
2019-02-01,501,18:49:00,Friday,Queen and Connaught,Mechanical,5.0,10.0,W/B,4086.0
2019-02-01,501,18:52:00,Friday,Queen and Church,Investigation,36.0,41.0,W/B,4067.0
2019-02-01,506,19:05:00,Friday,Jones and Gerrard,Investigation,6.0,12.0,E/B,4171.0
2019-02-01,506,19:25:00,Friday,Ashdale and Gerrard,Held By,12.0,18.0,W/B,4104.0
2019-02-01,506,19:47:00,Friday,Coxwell and Gerrard,Held By,14.0,0.0,S/B,4171.0
2019-02-01,504,20:59:00,Friday,Distillery loop,Emergency Services,8.0,16.0,N/B,4484.0
2019-02-01,501,21:07:00,Friday,MacDonell and Queen,Held By,44.0,49.0,W/B,4034.0
2019-02-01,504,21:15:00,Friday,King/Sackville,Investigation,29.0,37.0,W/B,4435.0
2019-02-01,501,21:42:00,Friday,Waverley and Queen,Mechanical,5.0,10.0,E/B,4119.0
2019-02-01,501,21:53:00,Friday,Humber Loop,Mechanical,5.0,10.0,W/B,4444.0
2019-02-01,501,22:49:00,Friday,McCaul and Queen,Emergency Services,5.0,10.0,W/B,4186.0
2019-02-01,504,23:03:00,Friday,King/Parliament,Held By,7.0,15.0,W/B,4504.0
2019-02-02,511,00:08:00,Saturday,Bathurst station,Investigation,5.0,10.0,N/B,1058.0
2019-02-02,511,00:21:00,Saturday,Bathurst station,Mechanical,5.0,10.0,N/B,1124.0
2019-02-02,306,01:36:00,Saturday,Highfield and Gerrard,Investigation,8.0,16.0,W/B,4192.0
2019-02-02,304,01:57:00,Saturday,Broadview/Queen,Held By,17.0,25.0,S/B,4513.0
2019-02-02,504,04:12:00,Saturday,Leslie Barns Yard,Late Leaving Garage,6.0,,W/B,4417.0
2019-02-02,501,04:28:00,Saturday,Russell Yard,General Delay,9.0,8.0,W/B,4094.0
2019-02-02,501,04:38:00,Saturday,Russell Yard,Mechanical,7.0,12.0,E/B,4169.0
2019-02-02,504,04:44:00,Saturday,leslie barns yard,Late Leaving Garage,2.0,,W/B,4507.0
2019-02-02,501,04:57:00,Saturday,Queen Street West McCaul,General Delay,10.0,20.0,W/B,4186.0
2019-02-02,501,05:01:00,Saturday,Russell Yard,Held By,7.0,21.0,W/B,4034.0
2019-02-02,501,05:10:00,Saturday,Russell Yard,Mechanical,5.0,11.0,W/B,4176.0
2019-02-02,504,05:12:00,Saturday,Leslie Barns yard,Late Leaving Garage,6.0,,W/B,4441.0
2019-02-02,504,05:21:00,Saturday,Leslie Barns Yard,Late Leaving Garage,5.0,,W/B,4523.0
2019-02-02,509,05:21:00,Saturday,Leslie Barns yard,Late Leaving Garage,3.0,,W/B,4433.0
2019-02-02,501,05:25:00,Saturday,Russell Yard,Mechanical,5.0,17.0,W/B,4191.0
2019-02-02,504,05:26:00,Saturday,Leslie Barns Yard,Late Leaving Garage,1.0,,W/B,4496.0
2019-02-02,504,05:37:00,Saturday,Leslie Barns Yard,Late Leaving Garage,2.0,,W/B,4440.0
2019-02-02,511,05:42:00,Saturday,Mount Dennis,Mechanical,6.0,12.0,S/B,1070.0
2019-02-02,501,05:45:00,Saturday,Russell Yard,Mechanical,7.0,19.0,W/B,4143.0
