Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-05-01,301,00:59:00,Wednesday,Barthurst and Queen,Investigation,20.0,29.0,E/B,4519.0
2019-05-01,304,03:00:00,Wednesday,Bathurst and King,Emergency Services,40.0,70.0,E/B,4486.0
2019-05-01,512,05:01:00,Wednesday,Bathurst and St Clair,Overhead - Pantograph,0.0,0.0,E/B,4462.0
2019-05-01,306,05:05:00,Wednesday,College and Dundas,Investigation,29.0,44.0,E/B,4164.0
2019-05-01,512,05:08:00,Wednesday,Bathurst and St Clair,Held By,0.0,0.0,E/B,4518.0
2019-05-01,506,05:25:00,Wednesday,College and Dundas,Investigation,9.0,12.0,E/B,4103.0
2019-05-01,505,05:26:00,Wednesday,DWS,Mechanical,7.0,14.0,E/B,8129.0
2019-05-01,501,06:00:00,Wednesday,Humber Loop,Emergency Services,6.0,12.0,W/B,4030.0
2019-05-01,510,06:13:00,Wednesday,King Street,Mechanical,8.0,16.0,N/B,4417.0
2019-05-01,504,07:13:00,Wednesday,Distillry Loop,Investigation,23.0,28.0,N/B,4423.0
2019-05-01,510,07:40:00,Wednesday,King Street,Mechanical,4.0,8.0,S/B,4457.0
2019-05-01,504,08:03:00,Wednesday,Charolette loop,Mechanical,5.0,10.0,E/B,4423.0
2019-05-01,512,08:21:00,Wednesday,SC/Vaughan rd,Held By,20.0,26.0,E/B,4483.0
2019-05-01,506,09:01:00,Wednesday,Howard Park and indian Rd.,Held By,8.0,12.0,E/B,4053.0
2019-05-01,506,09:06:00,Wednesday,College Street,General Delay,5.0,10.0,B/W,4103.0
2019-05-01,512,09:55:00,Wednesday,SC/Russel Hill,Mechanical,72.0,82.0,E/B,4483.0
2019-05-01,511,10:26:00,Wednesday,Bathurst street,General Delay,4.0,8.0,B/W,1120.0
2019-05-01,501,11:04:00,Wednesday,McCaul,Investigation,7.0,14.0,W/B,4125.0
2019-05-01,504,11:30:00,Wednesday,Charolette Loop,Mechanical,7.0,14.0,W/B,4416.0
2019-05-01,501,13:21:00,Wednesday,Queen and Caroline,Mechanical,5.0,9.0,E/B,4111.0
2019-05-01,511,13:44:00,Wednesday,Bathurst Stn,Mechanical,6.0,12.0,S/B,1096.0
2019-05-01,502,13:47:00,Wednesday,Bingham Loop,Mechanical,12.0,24.0,,9231.0
2019-05-01,501,14:00:00,Wednesday,Queen and Triller,Mechanical,18.0,22.0,W/B,4420.0
2019-05-01,505,14:15:00,Wednesday,dundas/spadina,Mechanical,5.0,10.0,E/B,1285.0
2019-05-01,505,14:15:00,Wednesday,dundas west station,Mechanical,4.0,8.0,E/B,8145.0
2019-05-01,510,15:30:00,Wednesday,spadina station,Mechanical,4.0,8.0,S/B,4402.0
2019-05-01,501,15:30:00,Wednesday,Queen route from Humber to Neville,General Delay,10.0,8.0,,
2019-05-01,505,15:45:00,Wednesday,dundas/victoria,Investigation,4.0,8.0,W/B,9204.0
2019-05-01,503,15:57:00,Wednesday,Birchmount Garage,Mechanical,9.0,18.0,W/B,9207.0
2019-05-01,501,17:24:00,Wednesday,Long Branch Loop,Mechanical,10.0,20.0,,4079.0
2019-05-01,505,17:25:00,Wednesday,dundas/bay,Investigation,4.0,8.0,W/B,7948.0
2019-05-01,512,17:47:00,Wednesday,St. Clair and Silverthorn,Overhead - Pantograph,50.0,53.0,W/B,4528.0
2019-05-01,504,17:51:00,Wednesday,King and Spadina,General Delay,7.0,8.0,B/W,4449.0
2019-05-01,505,18:00:00,Wednesday,bay to sherborne,Held By,18.0,23.0,E/B,8949.0
2019-05-01,504,18:02:00,Wednesday,King / Dufferin,Held By,5.0,10.0,W/B,4535.0
2019-05-01,502,18:14:00,Wednesday,Queen and Bay,Investigation,12.0,24.0,W/B,8499.0
2019-05-01,505,18:25:00,Wednesday,dundas/sterlling,Mechanical,4.0,8.0,E/B,8357.0
2019-05-01,506,18:50:00,Wednesday,College and Bay,Investigation,6.0,12.0,E/B,4048.0
2019-05-01,504,19:23:00,Wednesday,Dufferin and King,Investigation,7.0,14.0,E/B,4430.0
2019-05-01,505,19:30:00,Wednesday,broadview station,Mechanical,5.0,10.0,E/B,8160.0
2019-05-01,505,20:10:00,Wednesday,broadview station,Utilized Off Route,6.0,12.0,W/B,8324.0
2019-05-01,505,23:18:00,Wednesday,Dundas and Parliament,Mechanical,8.0,16.0,E/B,8315.0
2019-05-01,506,23:30:00,Wednesday,Gerrard and Greenwood,Investigation,17.0,28.0,E/B,4132.0
2019-05-02,504,01:06:00,Thursday,King and Church,Investigation,18.0,28.0,W/B,4430.0
2019-05-02,504,01:36:00,Thursday,SPADINA AND KING,Held By,4.0,14.0,SB,4461.0
2019-05-02,304,02:28:00,Thursday,Dundas west station,Mechanical,15.0,30.0,N/B,4486.0
2019-05-02,501,02:57:00,Thursday,Neville Loop,Emergency Services,9.0,18.0,W/B,4524.0
2019-05-02,304,04:21:00,Thursday,King/Yonge,Investigation,12.0,27.0,W/B,4414.0
2019-05-02,506,06:32:00,Thursday,Broadview and Gerrard,Mechanical,5.0,10.0,W/B,4085.0
2019-05-02,506,08:32:00,Thursday,College St,General Delay,5.0,10.0,B/W,506.0
2019-05-02,511,10:59:00,Thursday,Bathurst and Adelaide,General Delay,4.0,10.0,B/W,1059.0
2019-05-02,505,11:29:00,Thursday,Broadview Station,Mechanical,4.0,8.0,E/B,8104.0
2019-05-02,504,11:53:00,Thursday,King and Bathurst,Mechanical,7.0,14.0,E/B,4419.0
2019-05-02,504,12:02:00,Thursday,Dufferin Loop,Emergency Services,29.0,38.0,W/B,4433.0
2019-05-02,506,12:43:00,Thursday,College & University,Held By,11.0,16.0,W/B,4042.0
2019-05-02,501,13:45:00,Thursday,Queen and Carlaw,Mechanical,5.0,9.0,E/B,4141.0
2019-05-02,503,16:32:00,Thursday,Birchmount Garage,Mechanical,9.0,18.0,E/B,8538.0
2019-05-02,501,16:38:00,Thursday,Queen route - Humber to Neville,General Delay,10.0,8.0,,
2019-05-02,502,16:48:00,Thursday,Queen and Broadview,Investigation,12.0,24.0,E/B,8516.0
2019-05-02,504,17:50:00,Thursday,King and Spadina,General Delay,9.0,8.0,B/W,4466.0
2019-05-02,512,18:14:00,Thursday,St Clair/Vaughan,Investigation,5.0,9.0,E/B,4474.0
2019-05-02,504,18:35:00,Thursday,King and Broadview,Mechanical,7.0,14.0,E/B,4508.0
2019-05-02,501,22:41:00,Thursday,Neville Loop,Emergency Services,23.0,31.0,W/B,4077.0
2019-05-03,504,00:11:00,Friday,Disterilly loop,Mechanical,9.0,18.0,N/B,4467.0
2019-05-03,304,02:19:00,Friday,broadview station,Investigation,20.0,50.0,N/B,4489.0
2019-05-03,501,04:53:00,Friday,Queen St. E at Greenwood Ave.,Mechanical,0.0,0.0,W/B,4178.0
2019-05-03,501,05:25:00,Friday,Queen St. E at Connaught Ave. Westbound,Mechanical,0.0,0.0,W/B,4187.0
2019-05-03,501,05:47:00,Friday,Windemere / Queensway,Investigation,22.0,31.0,E/B,4449.0
2019-05-03,501,05:55:00,Friday,Queen St. E at Woodfield Ave,Mechanical,0.0,0.0,E/B,4131.0
2019-05-03,506,05:56:00,Friday,Coxwell Ave and Lower Gerrard,Held By,0.0,0.0,W/B,4081.0
2019-05-03,506,07:08:00,Friday,Main Station,Mechanical,5.0,10.0,E/B,4145.0
2019-05-03,504,07:29:00,Friday,Gerrard And Broadview,Mechanical,4.0,8.0,W/B,4503.0
2019-05-03,501,12:38:00,Friday,Lakeshore and Shore Breeze,Held By,24.0,34.0,E/B,4187.0
2019-05-03,502,12:38:00,Friday,Queen and University,Investigation,12.0,24.0,W/B,9217.0
2019-05-03,505,12:45:00,Friday,Dundas and Beverley,General Delay,12.0,16.0,E/B,7953.0
2019-05-03,506,13:55:00,Friday,College & University,Held By,5.0,10.0,B/W,4081.0
2019-05-03,504,14:17:00,Friday,King and Spadina,General Delay,9.0,8.0,B/W,4418.0
2019-05-03,501,14:23:00,Friday,Queen and University,Held By,11.0,15.0,W/B,4417.0
2019-05-03,504,15:53:00,Friday,King and Dufferin,Investigation,6.0,12.0,W/B,4435.0
2019-05-03,505,15:56:00,Friday,Ontario and Dundas,Mechanical,4.0,8.0,E/B,7956.0
2019-05-03,506,15:57:00,Friday,Gerrard & Coxwell,Mechanical,5.0,10.0,E/B,4103.0
2019-05-03,501,15:59:00,Friday,Queen and Lansdowne,General Delay,10.0,8.0,W/B,4178.0
2019-05-03,512,16:30:00,Friday,Gunns Loop,Investigation,20.0,25.0,E/B,4462.0
