Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-09-01,506,00:03:00,Sunday,Jarvis and Carlton,Held By,25,34.0,E/B,4186.0
2019-09-01,501,05:33:00,Sunday,Queen St. and River St.,Mechanical,10,20.0,E/B,8361.0
2019-09-01,512,05:44:00,Sunday,Bathurst and St. Clair,Held By,0,0.0,W/B,4576.0
2019-09-01,504,05:49:00,Sunday,Queen St E at Broadview,Held By,6,16.0,E/B,4516.0
2019-09-01,506,06:18:00,Sunday,Gerrard and Woodbine,Investigation,100,110.0,B/W,4189.0
2019-09-01,501,06:31:00,Sunday,Queen and Coxwell Av.,Utilized Off Route,10,20.0,E/B,1221.0
2019-09-01,505,06:42:00,Sunday,Broadview Station,Utilized Off Route,10,19.0,E/B,1057.0
2019-09-01,506,07:06:00,Sunday,Gerrard and Broadview,Mechanical,10,20.0,W/B,4145.0
2019-09-01,511,07:42:00,Sunday,Bathurst and King,Held By,2,9.0,N/B,4519.0
2019-09-01,504,07:43:00,Sunday,Queen St. E and Broadview,Held By,5,15.0,W/B,4445.0
2019-09-01,511,07:50:00,Sunday,King and Bathurst,Held By,9,0.0,N/B,4523.0
2019-09-01,511,07:51:00,Sunday,King and Bathurst,Held By,9,0.0,S/B,4545.0
2019-09-01,501,10:39:00,Sunday,Wineva and Queen St.,Investigation,5,10.0,W/B,8495.0
2019-09-01,501,11:49:00,Sunday,Sherboune St. and Queen St. E,Investigation,10,16.0,W/B,4564.0
2019-09-01,506,11:57:00,Sunday,College and Havelock,Emergency Services,8,16.0,W/B,4186.0
2019-09-01,512,12:18:00,Sunday,St. Clair and Bathurst,Held By,6,12.0,E/B,4518.0
2019-09-01,501,12:49:00,Sunday,Queen and Cannaught,Investigation,5,5.0,E/B,4489.0
2019-09-01,512,13:01:00,Sunday,St. Clair West Station,Investigation,7,14.0,W/B,4538.0
2019-09-01,501,13:32:00,Sunday,Lakeshore and Burlington,Held By,43,53.0,W/B,4427.0
2019-09-01,505,13:38:00,Sunday,Dundas west station,Utilized Off Route,6,12.0,E/B,1058.0
2019-09-01,504,13:41:00,Sunday,King and Jameson,General Delay,15,12.0,W/B,
2019-09-01,501,13:48:00,Sunday,queen and Jameson,General Delay,13,20.0,E/B,4536.0
2019-09-01,505,13:51:00,Sunday,Dundas west station,Utilized Off Route,6,12.0,E/B,1057.0
2019-09-01,501,14:09:00,Sunday,Queen and Kingston,Investigation,8,16.0,E/B,1351.0
2019-09-01,506,16:15:00,Sunday,Main station,Mechanical,8,16.0,W/B,4042.0
2019-09-01,506,16:32:00,Sunday,Main Station,Mechanical,8,16.0,W/B,4169.0
2019-09-01,505,17:28:00,Sunday,Dundas and Parliament,Investigation,6,12.0,W/B,8402.0
2019-09-02,501,05:44:00,Monday,Lelsie Barns,Held By,10,20.0,W/B,4533.0
2019-09-02,501,07:25:00,Monday,Broadview / Gerrard,Mechanical,6,12.0,S/B,4566.0
2019-09-02,504,07:26:00,Monday,Broadview and Gerrard,Mechanical,10,18.0,S/B,4469.0
2019-09-02,506,07:32:00,Monday,gerrard/broadview,Investigation,10,20.0,W/B,4089.0
2019-09-02,501,08:02:00,Monday,Queen - Roncvalles  to Church,General Delay,120,127.0,B/W,4423.0
2019-09-02,504,08:53:00,Monday,King and Queen,Emergency Services,12,20.0,W/B,4521.0
2019-09-02,510,09:00:00,Monday,Spadina and Harbord,Investigation,50,55.0,N/B,4467.0
2019-09-02,504,09:51:00,Monday,King and Spadina,Diversion,1,1.0,B/W,4431.0
2019-09-02,501,10:06:00,Monday,Shaw/ Queen,Held By,6,12.0,W/B,4439.0
2019-09-02,506,10:30:00,Monday,gerrard/river,Held By,8,18.0,W/B,4103.0
2019-09-02,505,10:41:00,Monday,Dundas and Bathurst,Utilized Off Route,6,12.0,E/B,1358.0
2019-09-02,504,12:30:00,Monday,King/Bathurst,Investigation,8,16.0,wb,4559.0
2019-09-02,501,13:38:00,Monday,Quen and Triller,Held By,34,34.0,W/B,4418.0
2019-09-02,505,13:53:00,Monday,Bathurst and Dundas,Utilized Off Route,5,10.0,E/B,1016.0
2019-09-02,501,14:02:00,Monday,King and River,Investigation,8,16.0,W/B,8205.0
2019-09-02,504,15:15:00,Monday,Roncy/Queen to Shaw street.,General Delay,13,21.0,E/B,4441.0
2019-09-02,501,15:34:00,Monday,Lake Shore and Legion,Investigation,10,20.0,E/B,4484.0
2019-09-02,506,16:13:00,Monday,Gerrard and Coxwell,Mechanical,8,8.0,W/B,4042.0
2019-09-02,501,17:02:00,Monday,Lake Shore and Legion,Held By,25,35.0,W/B,4484.0
2019-09-02,504,17:12:00,Monday,King/Dufferin,Investigation,8,16.0,W/B,4409.0
2019-09-02,510,17:12:00,Monday,Spadina and College,Mechanical,4,8.0,S/B,4434.0
2019-09-02,501,18:11:00,Monday,Russell Yard,Held By,9,16.0,W/B,4456.0
2019-09-02,512,20:30:00,Monday,St. Clair Station,Mechanical,58,64.0,W/B,4543.0
2019-09-02,506,20:40:00,Monday,Carlaw and Gerrard,Mechanical,9,19.0,W/B,4160.0
2019-09-02,506,21:22:00,Monday,Parkside and Howard Park,Investigation,20,30.0,W/B,4081.0
2019-09-03,301,01:11:00,Tuesday,Queen and John,Mechanical,1,1.0,W/B,4417.0
2019-09-03,506,02:42:00,Tuesday,Main and Danforth,Investigation,13,21.0,N/B,4184.0
2019-09-03,510,02:59:00,Tuesday,King and Jarvis,Investigation,42,1.0,N/B,4575.0
2019-09-03,304,03:00:00,Tuesday,King and Jarvis,Held By,42,57.0,N/B,4431.0
2019-09-03,501,10:41:00,Tuesday,Lansdowne / Queen,Investigation,12,18.0,W/B,4434.0
2019-09-03,501,13:46:00,Tuesday,Queen/Niagara,Held By,39,46.0,B/W,4506.0
2019-09-03,504,13:54:00,Tuesday,Roncesvalles/Garden av.,Investigation,8,16.0,sb,4574.0
2019-09-03,512,14:36:00,Tuesday,Bathurst and St. Clair,General Delay,5,9.0,N/B,4549.0
2019-09-03,501,14:43:00,Tuesday,Queen/Niagara,Held By,47,54.0,E/B,4513.0
2019-09-03,512,14:56:00,Tuesday,Bathurst and St. Clair,General Delay,5,9.0,N/B,4523.0
2019-09-03,512,15:03:00,Tuesday,Bathurst and St.Clair,General Delay,5,9.0,N/B,479.0
2019-09-03,501,16:53:00,Tuesday,AT 2155/Lakeshore,Held By,90,100.0,B/W,4535.0
2019-09-03,501,16:59:00,Tuesday,Queen and bathurst,Utilized Off Route,5,10.0,E/B,7928.0
2019-09-03,505,17:04:00,Tuesday,Dundas west station,Utilized Off Route,5,10.0,eb,1041.0
2019-09-03,508,17:12:00,Tuesday,Lakeshore/Park lawn,General Delay,60,60.0,W/B,4484.0
2019-09-03,501,17:33:00,Tuesday,Queen  and bay,Mechanical,6,12.0,W/B,8786.0
2019-09-03,506,18:00:00,Tuesday,College and lansdowne,Mechanical,6,12.0,W/B,4021.0
2019-09-03,512,18:25:00,Tuesday,St. Clair West Station,Investigation,5,9.0,W/B,4529.0
2019-09-03,505,19:05:00,Tuesday,Dundas west Station,Mechanical,4,8.0,S/B,1145.0
2019-09-03,512,19:25:00,Tuesday,Gunns Loop,Mechanical,5,9.0,E/B,4454.0
2019-09-03,504,22:09:00,Tuesday,Dufferin and King,Investigation,1,1.0,N/B,4413.0
2019-09-04,501,00:40:00,Wednesday,Lakeshore and Kipling,Mechanical,10,20.0,W/B,4431.0
2019-09-04,301,02:34:00,Wednesday,Russell Yard,Mechanical,8,16.0,W/B,4490.0
2019-09-04,512,04:46:00,Wednesday,St.Clair and Vaughan RD,Held By,10,,W/B,4562.0
2019-09-04,501,05:33:00,Wednesday,Connaught / queen,Mechanical,7,14.0,W/B,8134.0
2019-09-04,510,07:52:00,Wednesday,Spadina & College,Mechanical,13,17.0,N/B,4501.0
2019-09-04,501,08:39:00,Wednesday,Humber Loop,Mechanical,6,12.0,E/B,4532.0
2019-09-04,506,10:23:00,Wednesday,howard park/roncessvalles,Held By,10,16.0,B/W,4050.0
2019-09-04,505,10:39:00,Wednesday,Broadview Station,Investigation,1,1.0,E/B,1044.0
2019-09-04,510,10:47:00,Wednesday,Queens Quay & Rees,Mechanical,8,16.0,E/B,4415.0
2019-09-04,504,11:59:00,Wednesday,Roncesvalles and Marion,Investigation,13,20.0,W/B,4496.0
2019-09-04,511,12:40:00,Wednesday,CNE Loop,Mechanical,6,12.0,E/B,4195.0
2019-09-04,501,13:37:00,Wednesday,Queen/Connaught,Investigation,7,15.0,W/B,4458.0
2019-09-04,506,14:04:00,Wednesday,Gerrard and Church,Mechanical,6,12.0,W/B,4021.0
2019-09-04,506,14:20:00,Wednesday,Yonge and College,Held By,60,66.0,W/B,4021.0
2019-09-04,505,14:44:00,Wednesday,Dundas West,Utilized Off Route,6,12.0,E/B,1066.0
2019-09-04,501,15:41:00,Wednesday,Queen/Connaught,Late Leaving Garage,6,13.0,W/B,4565.0
2019-09-04,501,16:48:00,Wednesday,Queen/Bay,Investigation,7,14.0,E/B,4512.0
2019-09-04,505,16:58:00,Wednesday,Dundas and Spadina,Investigation,4,8.0,E/B,3124.0
2019-09-04,505,17:50:00,Wednesday,Dundas and Bay,Emergency Services,13,17.0,B/W,8585.0
2019-09-04,506,19:15:00,Wednesday,College and Dufferin,Mechanical,6,12.0,W/B,4042.0
2019-09-04,505,19:28:00,Wednesday,Dufferin and Dundas,Investigation,4,8.0,W/B,1043.0
2019-09-04,505,21:52:00,Wednesday,Brodview Station,Mechanical,7,14.0,E/B,1066.0
2019-09-04,510,21:58:00,Wednesday,Lower Simcoe and Queen's Quay,Emergency Services,1,1.0,W/B,4532.0
2019-09-04,504,23:15:00,Wednesday,King and Jefferson,Investigation,1,1.0,W/B,4545.0
2019-09-05,509,00:18:00,Thursday,Spadina and Queen's Quay,Mechanical,8,16.0,W/B,4430.0
2019-09-05,509,00:18:00,Thursday,Exhibition Loop,Mechanical,8,16.0,E/B,4430.0
2019-09-05,301,02:50:00,Thursday,Longbranch Loop,Emergency Services,10,20.0,E/B,4516.0
2019-09-05,512,07:19:00,Thursday,Bathurst and St clair,Held By,9,13.0,W/B,4511.0
2019-09-05,511,07:25:00,Thursday,King and Bathurst,General Delay,6,11.0,S/B,4145.0
2019-09-05,512,07:36:00,Thursday,Bathurst and St Clair,Held By,4,8.0,E/B,4432.0
2019-09-05,501,07:49:00,Thursday,Spadina - York,General Delay,15,21.0,B/W,4529.0
2019-09-05,504,08:00:00,Thursday,Broadview Station to Dundas West Station,General Delay,25,32.0,B/W,4525.0
2019-09-05,506,09:04:00,Thursday,college/university,Investigation,53,58.0,E/B,4413.0
2019-09-05,505,09:06:00,Thursday,Dundas and College,Utilized Off Route,5,10.0,E/B,1203.0
2019-09-05,503,09:07:00,Thursday,Queen and Carlaw,Investigation,6,13.0,E/B,8962.0
2019-09-05,505,10:04:00,Thursday,Broadview Station,Investigation,5,10.0,W/B,1141.0
2019-09-05,511,12:52:00,Thursday,CNE Loop,Emergency Services,6,12.0,E/B,4184.0
2019-09-05,505,15:43:00,Thursday,Dundas and Huron,Investigation,4,8.0,W/B,8522.0
2019-09-05,504,17:00:00,Thursday,Dundas west stn,Investigation,8,16.0,sb,4426.0
2019-09-05,501,17:03:00,Thursday,Queen and Carlaw,Emergency Services,37,45.0,E/B,4533.0
2019-09-05,503,17:16:00,Thursday,QUEEN AND BROADVIEW,Diversion,26,34.0,B/W,8491.0
2019-09-05,501,17:17:00,Thursday,Neville Loop,Mechanical,8,16.0,E/B,1367.0
2019-09-05,506,17:50:00,Thursday,Gerrard nad Parliament,Emergency Services,6,12.0,W/B,4155.0
2019-09-05,510,19:26:00,Thursday,Spadina and Willcocks,Investigation,8,12.0,N/B,4487.0
2019-09-05,501,19:41:00,Thursday,Queen and Roncesvalles,Investigation,18,24.0,W/B,4450.0
2019-09-05,510,20:12:00,Thursday,Spadina and Queen,Mechanical,14,18.0,S/B,4416.0
2019-09-05,504,21:30:00,Thursday,Bloor and Dundas W,Emergency Services,6,12.0,W/B,4550.0
2019-09-05,506,22:32:00,Thursday,High Park Loop,Mechanical,10,20.0,E/B,4165.0
2019-09-05,501,22:39:00,Thursday,Russell Yard,Mechanical,10,20.0,E/B,8110.0
2019-09-05,501,22:51:00,Thursday,Russell Yard,Mechanical,10,20.0,W/B,1351.0
2019-09-05,504,23:47:00,Thursday,King and Church,Mechanical,8,16.0,W/B,4510.0
2019-09-06,510,02:30:00,Friday,Bay and Queenquay,Mechanical,15,30.0,E/B,4453.0
2019-09-06,301,03:46:00,Friday,Russell Yard,Emergency Services,11,26.0,E/B,4425.0
2019-09-06,505,08:05:00,Friday,Dundas and Roncesvalles,Mechanical,4,9.0,E/B,1130.0
2019-09-06,501,08:57:00,Friday,Spdina - Church,General Delay,10,17.0,B/W,4473.0
2019-09-06,511,09:36:00,Friday,CNE loop,Mechanical,7,14.0,E/B,4133.0
2019-09-06,504,10:19:00,Friday,Roncesvalles and Queen,Mechanical,150,157.0,E/B,4450.0
2019-09-06,501,10:20:00,Friday,Lansdowne / Queen,General Delay,175,182.0,B/W,4537.0
2019-09-06,505,10:57:00,Friday,Dundas West Station,Utilized Off Route,4,9.0,E/B,1603.0
2019-09-06,501,11:26:00,Friday,Queen and St Patrick,Held By,46,53.0,B/W,4500.0
2019-09-06,504,11:27:00,Friday,Queen and Unversity,Emergency Services,45,52.0,B/W,4491.0
2019-09-06,504,13:45:00,Friday,Spadina/Charllotte,Investigation,8,16.0,sb,4474.0
2019-09-06,501,13:50:00,Friday,Quee and Connnaugh to Humber Loop,General Delay,15,20.0,B/W,4561.0
