Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2019-10-01,506,05:09:00,Tuesday,Cozwell & Gerrard,Mechanical,4.0,1.0,W/B,4155.0
2019-10-01,501,06:17:00,Tuesday,Dufferin / Queen,Mechanical,14.0,21.0,W/B,4423.0
2019-10-01,505,08:58:00,Tuesday,Dufferin,Mechanical,4.0,8.0,E/B,8942.0
2019-10-01,504,09:03:00,Tuesday,King and Spadina,Investigation,20.0,27.0,W/B,4565.0
2019-10-01,506,10:19:00,Tuesday,Gerrard St East and Parliament,Investigation,5.0,10.0,W/B,4053.0
2019-10-01,504,10:55:00,Tuesday,Dundas West Station,Investigation,25.0,32.0,E/B,4470.0
2019-10-01,505,11:30:00,Tuesday,Broadview Station,Mechanical,4.0,8.0,W/B,8550.0
2019-10-01,506,11:53:00,Tuesday,howard park/ park side,Held By,71.0,76.0,B/W,4170.0
2019-10-01,505,13:35:00,Tuesday,Broadview Station,Mechanical,5.0,10.0,E/B,8574.0
2019-10-01,505,13:57:00,Tuesday,Broadview Station,Mechanical,5.0,10.0,W/B,8580.0
2019-10-01,504,15:09:00,Tuesday,Queen/Broadview,General Delay,6.0,12.0,W/B,4572.0
2019-10-01,506,15:15:00,Tuesday,Gerrard and Blackbourne,Held By,18.0,24.0,E/B,4124.0
2019-10-01,506,15:20:00,Tuesday,Main STN,Mechanical,6.0,12.0,W/B,4071.0
2019-10-01,504,15:20:00,Tuesday,Queen/Broadview,General Delay,6.0,12.0,W/B,4559.0
2019-10-01,504,15:31:00,Tuesday,Queen/Broadview,General Delay,6.0,12.0,W/B,4570.0
2019-10-01,505,15:40:00,Tuesday,Dundas and Bay,Diversion,5.0,10.0,W/B,8473.0
2019-10-01,506,16:00:00,Tuesday,Coxwell/Gerrard to Main STN,General Delay,20.0,28.0,B/W,
2019-10-01,501,16:04:00,Tuesday,Queen/River,Mechanical,6.0,12.0,E/B,1395.0
2019-10-01,509,16:10:00,Tuesday,Queens Quay and Dan Lackie,Mechanical,15.0,21.0,E/B,4571.0
2019-10-01,508,17:08:00,Tuesday,Humber loop,General Delay,159.0,179.0,B/W,4419.0
2019-10-01,501,17:10:00,Tuesday,Queen/River,Mechanical,6.0,12.0,E/B,8120.0
2019-10-01,501,17:14:00,Tuesday,Lakeshore/Kipling,Mechanical,10.0,20.0,E/B,4492.0
