Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2019-12-01,506,00:52:00,Sunday,Carlton / Sherbourne,Mechanical,10.0,20.0,E/B,4074.0
2019-12-01,511,00:57:00,Sunday,Exhibition Loop,Mechanical,8.0,16.0,N/B,4176.0
2019-12-01,504,01:01:00,Sunday,King and Yonge,Emergency Services,14.0,24.0,E/B,4556.0
2019-12-01,506,01:22:00,Sunday,Coxwell/Gerrard,Utilized Off Route,10.0,20.0,E/B,4164.0
2019-12-01,504,01:30:00,Sunday,Spadina Ave and King St,Investigation,28.0,38.0,S/B,4489.0
2019-12-01,304,02:51:00,Sunday,Dundas W Station,Emergency Services,15.0,26.0,S/B,4553.0
2019-12-01,501,03:51:00,Sunday,Leslie Barns,Late Leaving Garage,30.0,30.0,E/B,4520.0
2019-12-01,512,03:56:00,Sunday,Leslie Barns,Late Leaving Garage,25.0,25.0,W/B,4560.0
2019-12-01,501,04:10:00,Sunday,Leslie Barns,Held By,12.0,12.0,W/B,4510.0
2019-12-01,501,04:16:00,Sunday,Leslie Barns,Held By,25.0,31.0,E/B,4468.0
2019-12-01,510,04:18:00,Sunday,Leslie Barns,Held By,8.0,16.0,W/B,4480.0
2019-12-01,512,04:19:00,Sunday,Leslie Barns,Held By,11.0,12.0,W/B,4432.0
2019-12-01,310,04:21:00,Sunday,Queens Quay and Spadina,Mechanical,15.0,30.0,S/B,4462.0
2019-12-01,510,07:05:00,Sunday,Spadina and King,Mechanical,15.0,30.0,N/B,4454.0
2019-12-01,504,07:15:00,Sunday,Kinng and Young,Investigation,300.0,308.0,B/W,4589.0
2019-12-01,506,07:29:00,Sunday,Coxwell and Gerrard,Late Leaving Garage,5.0,10.0,E/B,4549.0
2019-12-01,504,07:30:00,Sunday,Broadview Station to Dundas West Station,General Delay,15.0,23.0,B/W,4400.0
2019-12-01,511,07:50:00,Sunday,Bathurst And King,Mechanical,5.0,8.0,N/B,4024.0
2019-12-01,506,08:00:00,Sunday,Gerrard and Coxwell,Mechanical,8.0,16.0,E/B,
2019-12-01,504,08:22:00,Sunday,King and Church,Mechanical,10.0,20.0,W/B,4475.0
2019-12-01,510,09:27:00,Sunday,Spadina and College,Emergency Services,24.0,30.0,N/B,4477.0
2019-12-01,510,09:48:00,Sunday,Spadina and Willcocks,Mechanical,24.0,30.0,N/B,4477.0
2019-12-01,506,09:49:00,Sunday,Gerrard and Coxwell,Mechanical,7.0,14.0,E/B,
2019-12-01,510,09:54:00,Sunday,510 Route,General Delay,10.0,8.0,B/W,
2019-12-01,510,09:57:00,Sunday,Lelsie Barns,Overhead - Pantograph,8.0,16.0,W/B,4522.0
2019-12-01,506,10:19:00,Sunday,Coxwell And Gerrard,Late Leaving Garage,4.0,8.0,E/B,4563.0
2019-12-01,501,10:38:00,Sunday,Queen E / King E,Mechanical,15.0,22.0,W/B,4568.0
