Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-04-01,505,00:29:00,Wednesday,dundas west station,Mechanical,8,16,E/B,8594.0
2020-04-01,510,02:59:00,Wednesday,Queen's Quay and Spadina,Held By,15,30,E/B,4506.0
2020-04-01,501,06:43:00,Wednesday,Longbranch Loop,Mechanical,10,20,E/B,4446.0
2020-04-01,506,07:53:00,Wednesday,Main Station,Mechanical,4,8,W/B,4428.0
2020-04-01,511,08:31:00,Wednesday,Bathurst Station,Emergency Services,10,20,S/B,4569.0
2020-04-01,501,10:52:00,Wednesday,Neville Loop,Investigation,7,15,W/B,4582.0
2020-04-01,512,13:53:00,Wednesday,St. Clair West Station,Investigation,23,28,W/B,4523.0
2020-04-01,504,14:19:00,Wednesday,Dufferin & Liberty,Investigation,7,88,S/B,4521.0
2020-04-01,512,14:39:00,Wednesday,St. Clair and Oakwood,Mechanical,5,9,W/B,4450.0
2020-04-01,505,15:07:00,Wednesday,Dundas West Station,Investigation,1,1,W/B,8851.0
2020-04-01,501,16:34:00,Wednesday,Queen and Beaconsfield,Mechanical,12,19,W/B,4488.0
2020-04-01,505,18:02:00,Wednesday,Broadview Station,Investigation,1,1,E/B,3308.0
2020-04-01,510,19:26:00,Wednesday,Spadina & Queen,Investigation,7,59,N/B,4540.0
2020-04-01,506,21:32:00,Wednesday,COXWELL AND GERRARD,Emergency Services,1,1,N/B,4419.0
2020-04-01,505,21:49:00,Wednesday,Dundas & Manning Ave,Emergency Services,12,24,E/B,8952.0
2020-04-01,501,23:19:00,Wednesday,GREENWOOD AND QUEEN,Emergency Services,1,1,E/B,4491.0
2020-04-01,501,23:48:00,Wednesday,HUMBER LOOP,Investigation,10,20,E/B,4437.0
2020-04-02,501,07:28:00,Thursday,Queen /Sorauren,Mechanical,4,9,W/B,4543.0
2020-04-02,506,07:44:00,Thursday,Main Station,Mechanical,8,16,W/B,4410.0
2020-04-02,501,10:20:00,Thursday,Queen/Brock,Investigation,0,0,W/B,4543.0
2020-04-02,501,13:01:00,Thursday,Queen & York,Held By,9,16,E/B,4441.0
2020-04-02,504,15:10:00,Thursday,King & Peter,Held By,10,6,E/B,4508.0
2020-04-02,501,16:01:00,Thursday,Humber Loop,Mechanical,6,13,E/B,4582.0
2020-04-02,501,21:56:00,Thursday,QUEEN AND YONGE,Mechanical,5,10,E/B,4581.0
2020-04-03,504,01:03:00,Friday,KING AND DUNN,Emergency Services,33,43,E/B,4470.0
2020-04-03,301,02:34:00,Friday,RONCY YARD NORTH GATE,Emergency Services,1,1,E/B,4549.0
2020-04-03,301,03:58:00,Friday,greenwood and queen,Emergency Services,1,1,E/B,4458.0
2020-04-03,506,04:59:00,Friday,Coxwell and Gerrard,Mechanical,8,15,E/B,4516.0
2020-04-03,506,05:01:00,Friday,Coxwell and Gerrard,Mechanical,8,16,W/B,4426.0
2020-04-03,504,07:00:00,Friday,King/Spadina,Investigation,8,16,W/B,4451.0
2020-04-03,501,08:39:00,Friday,Queen and roncy,Emergency Services,8,16,E/B,4579.0
2020-04-03,505,08:45:00,Friday,Dundas West Station,Mechanical,10,20,E/B,8448.0
2020-04-03,512,09:04:00,Friday,St Clair at Oakwood,Mechanical,5,9,W/B,4531.0
2020-04-03,505,09:25:00,Friday,Kessington Dundas St West,Mechanical,1,1,E/B,9231.0
2020-04-03,501,11:01:00,Friday,Queen and bathurst,Investigation,8,16,E/B,4518.0
2020-04-03,504,11:05:00,Friday,King/Ashby place,Investigation,8,76,W/B,4502.0
2020-04-03,505,13:10:00,Friday,Dundasst West Manning Ave,Investigation,10,20,E/B,8045.0
2020-04-03,501,14:04:00,Friday,Queen & Leslie,Held By,12,19,E/B,4458.0
2020-04-03,505,15:00:00,Friday,Brodview STN,Emergency Services,8,16,W/B,3355.0
2020-04-03,512,16:36:00,Friday,St Clair Station,Mechanical,5,9,W/B,4437.0
2020-04-03,512,18:21:00,Friday,St Clair and Vaughan,Mechanical,5,9,W/B,4437.0
2020-04-03,512,18:30:00,Friday,St Clair and Keele,Held By,40,45,E/B,4594.0
2020-04-03,510,18:59:00,Friday,Spadina Station,Mechanical,5,10,S/B,4536.0
2020-04-03,512,20:23:00,Friday,Bathurst and Wells,Investigation,0,0,S/B,4594.0
2020-04-03,504,20:30:00,Friday,RONCESSVALLES AND DUNDAS,Mechanical,8,16,N/B,4473.0
2020-04-03,506,21:48:00,Friday,HIGH PARK LOOP,Mechanical,9,17,E/B,4469.0
2020-04-03,501,21:55:00,Friday,Queen/Lansdowne,Mechanical,8,16,W/B,4458.0
2020-04-03,705,23:02:00,Friday,Bathurt and College,Investigation,10,20,S/B,4541.0
2020-04-03,504,23:40:00,Friday,KING AND NIAGARA,Mechanical,10,20,E/B,4477.0
2020-04-04,504,02:49:00,Saturday,LESLIE AND COMMISSIONERS,Investigation,1,1,S/B,4556.0
2020-04-04,304,04:46:00,Saturday,Dundas West Station,Mechanical,5,10,E/B,4542.0
2020-04-04,506,10:15:00,Saturday,Gerrard and Jones,Mechanical,6,12,W/B,4419.0
2020-04-04,501,10:27:00,Saturday,Roncesvalles Ave and Queen,Investigation,8,16,W/B,4539.0
2020-04-04,501,12:58:00,Saturday,Queen & Roncesvalles,Investigation,5,10,N/B,4476.0
2020-04-04,501,13:00:00,Saturday,Roncesvalles and Queen,Investigation,7,14,W/B,4476.0
2020-04-04,506,15:16:00,Saturday,Broadview Station,Utilized Off Route,8,16,W/B,4430.0
2020-04-04,506,15:41:00,Saturday,Parliament and Gerrard,Utilized Off Route,8,16,E/B,4419.0
