Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2021-12-01,501,04:16,Wednesday,QUEEN AND NEVIL PARK,Security,0,0,E,8766
2021-12-01,510,04:19,Wednesday,SPADINA AND BREMNER,Operations,5,13,S,4552
2021-12-01,505,04:24,Wednesday,DUNDAS AND BEVERLEY,Security,5,0,W,4519
2021-12-01,512,06:38,Wednesday,ST CLAIR AND BATHURST,Held By,49,55,,0
2021-12-01,501,10:20,Wednesday,QUEEN AND GREENWOOD,Operations,8,16,E,4458
2021-12-01,503,11:21,Wednesday,RUSSELL TRAILER TRACK,Emergency Services,8,16,W,4508
2021-12-01,501,12:12,Wednesday,GERRARD AND MUNROE,Operations,9,18,E,8677
2021-12-01,504,12:25,Wednesday,BROADVIEW STATION,Operations,5,10,S,8394
2021-12-01,501,12:28,Wednesday,LAKESHORE AND TWENTY S,Collision - TTC Involved,8,16,W,8517
2021-12-01,506,12:32,Wednesday,COLLEGE AND MCCAUL,Security,8,16,E,4404
2021-12-01,503,12:40,Wednesday,QUEEN AND LESLIE,Operations,8,16,E,4509
2021-12-01,512,12:53,Wednesday,ST CLAIR AND VAUGHAN,Operations,6,13,W,4527
2021-12-01,504,13:00,Wednesday,DUNDAS WEST STATION,Operations,5,10,N,8353
2021-12-01,501,13:01,Wednesday,QUEEN AND DUFFERIN,Operations,10,20,E,8080
2021-12-01,501,13:41,Wednesday,QUEEN AND BATHURST,Mechanical,10,20,W,8494
2021-12-01,505,13:43,Wednesday,QUEEN AND LESLIE,Operations,8,16,W,4472
2021-12-01,506,14:01,Wednesday,COLLEGE AND DUNDAS,Mechanical,35,44,W,4581
2021-12-01,505,14:04,Wednesday,DUNDAS AND COLLEGE,Held By,30,38,,4575
2021-12-01,501,14:09,Wednesday,QUEEN AND BROADVIEW,Operations,10,20,W,0
2021-12-01,504,14:10,Wednesday,DUNDAS WEST STATION,Operations,5,10,W,8128
2021-12-01,501,14:21,Wednesday,GERRARD AND BROADVIEW,Operations,9,18,W,0
2021-12-01,505,14:24,Wednesday,QUEEN AND KINGSTON ROA,Operations,8,16,E,4506
2021-12-01,504,14:24,Wednesday,KING AND SUMACH,Operations,5,10,E,4584
2021-12-01,501,14:26,Wednesday,QUEEN AND COXWELL,Operations,8,16,E,0
2021-12-01,501,14:28,Wednesday,QUEEN AND COXWELL,Operations,8,16,E,0
2021-12-01,501,14:54,Wednesday,QUEEN AND SHERBOURNE,Security,16,24,E,8469
2021-12-01,505,14:55,Wednesday,DUNDA WEST STATION,General Delay,36,42,,4504
2021-12-01,506,16:14,Wednesday,COLLEGE AND BAY,Emergency Services,8,16,W,4420
2021-12-01,501,16:14,Wednesday,LONG BRANCH LOOP,Operations,10,20,E,8517
