Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,SUB RMENU CODE,CODE DESCRIPTION,,,SRT RMENU CODE,CODE DESCRIPTION
,1.0,EUAC,Air Conditioning,,1.0,ERAC,Air Conditioning
,2.0,EUAL,Alternating Current,,2.0,ERBO,Body
,3.0,EUATC,ATC RC&S Equipment,,3.0,ERCD,Consequential Delay (2nd Delay Same Fault)
,4.0,EUBK,Brakes,,4.0,ERCO,Couplers
,5.0,EUBO,Body,,5.0,ERDB,Disc Brakes
,6.0,EUCA,Compressed Air,,6.0,ERDO,Door Problems - Faulty Equipment
,7.0,EUCD,Consequential Delay (2nd Delay Same Fault),,7.0,ERHV,High Voltage
,8.0,EUCH,Chopper Control,,8.0,ERLT,Lighting System
,9.0,EUCO,Couplers,,9.0,ERLV,Low Voltage
,10.0,EUDO,Door Problems - Faulty Equipment,,10.0,ERME,RC&S Maintenance Error - (Human)
,11.0,EUECD,ECD / Line Mechanic Related Prob.,,11.0,ERNEA,No Equipment Available
,12.0,EUHV,High Voltage,,12.0,ERNT,Equipment - No Trouble Found
,13.0,EULT,Lighting System,,13.0,ERO,RC&S Other
,14.0,EULV,Low Voltage,,14.0,ERPR,Propulsion System
,15.0,EUME,RC&S Maintenance Error - (Human),,15.0,ERRA,Radio
,16.0,EUNEA,No Equipment Available,,16.0,ERTB,Track Brakes
,17.0,EUNT,Equipment - No Trouble Found,,17.0,ERTC,Train Control - VOBC
,18.0,EUO,RC&S Other,,18.0,ERTL,Trainline System
,19.0,EUOE,Rail Cars & Shops Opr. Error,,19.0,ERTR,Trucks
,20.0,EUOPO,OPTO RC&S Non-Train Door Monitoring,,20.0,ERVE,Vehicle
,21.0,EUPI,Propulsion System,,21.0,ERWA,Warning Alarm Systems
,22.0,EUSC,Speed Control Equipment  ,,22.0,ERWS,Wind Shield
,23.0,EUTL,Trainline System,,23.0,MRCL,Divisional Clerk Related
,24.0,EUTM,Traction Motors,,24.0,MRD,Door Problems - Passenger Related
,25.0,EUTR,Trucks,,25.0,MRDD,Door Problems - Debris Related
,26.0,EUTRD,TR Cab Doors,,26.0,MREC,Misc. Engineering & Construction Related Problems
,27.0,EUVA,Warning Alarm Systems,,27.0,MRESA,No Operator Immediately Available
,28.0,EUVE,Work Vehicle,,28.0,MRFS,Fire/Smoke Plan B - Source External to TTC
,29.0,EUYRD,Yard/Carhouse Related Problems,,29.0,MRIE,Injured Employee
,30.0,MUATC,ATC Project,,30.0,MRLD,Labour Dispute - Subway
,31.0,MUCL,Divisional Clerk Related,,31.0,MRNOA,No Operator Immediately Available - Not E.S.A. Related 
,32.0,MUD,Door Problems - Passenger Related,,32.0,MRO,Miscellaneous Other
