Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2018-06-01,00:17,Friday,SHEPPARD WEST STATION,SUO,3,5,N,YU,5561
2018-06-01,01:29,Friday,DUFFERIN STATION,SUO,4,8,E,BD,5033
2018-06-01,05:09,Friday,YONGE UNIVERSITY LINE,PUSO,0,0,,YU,0
2018-06-01,05:59,Friday,KIPLING STATION,MUPAA,0,0,E,BD,5029
2018-06-01,06:21,Friday,KENNEDY BD STATION,TUMVS,4,8,W,BD,5024
2018-06-01,06:22,Friday,KIPLING STATION,MUSC,0,0,E,BD,5363
2018-06-01,06:34,Friday,MUSEUM STATION,MUSC,0,0,S,BD,5042
2018-06-01,06:36,Friday,BLOOR DANFORTH SUBWAY,MUO,4,8,,BD,0
2018-06-01,06:42,Friday,MUSEUM STATION,MUSC,0,0,S,YU,5271
2018-06-01,06:45,Friday,GREENWOOD STATION,MUSC,0,0,E,BD,5048
2018-06-01,07:05,Friday,MUSEUM STATION,MUSC,0,0,S,YU,5083
2018-06-01,07:08,Friday,KEELE STATION,MUTO,4,6,W,BD,5052
2018-06-01,07:16,Friday,DONLANDS STATION,MUO,3,5,W,BD,5045
2018-06-01,07:41,Friday,ST GEORGE YUS STATION,MUSC,0,0,S,YU,5911
2018-06-01,07:43,Friday,NORTH YORK CTR STATION,MUIR,0,0,N,,5083
2018-06-01,07:45,Friday,MUSEUM STATION,EUSC,0,0,S,YU,5366
2018-06-01,07:51,Friday,MCCOWAN STATION,ERO,8,13,S,SRT,3002
2018-06-01,07:58,Friday,KIPLING STATION,MUSC,0,0,E,BD,5048
2018-06-01,08:00,Friday,BATHURST STATION,EUNT,4,6,W,BD,5368
2018-06-01,08:02,Friday,ISLINGTON STATION,MUSC,0,0,E,BD,5048
2018-06-01,08:25,Friday,YORKDALE STATION,TUSC,0,0,S,YU,6071
2018-06-01,08:39,Friday,BLOOR STATION,PUSTC,5,7,S,YU,5551
2018-06-01,09:00,Friday,COLLEGE STATION,MUIS,0,0,,YU,0
2018-06-01,09:01,Friday,BLOOR STATION,PUMEL,0,0,,YU,0
2018-06-01,09:24,Friday,BLOOR STATION,MUPAA,0,0,S,YU,5916
