Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2018-07-01,00:58,Sunday,ST GEORGE BD STATION,MUIS,0,0,,BD,0
2018-07-01,02:15,Sunday,ISLINGTON STATION,MUIS,0,0,W,BD,0
2018-07-01,06:20,Sunday,LANSDOWNE STATION,TUSC,0,0,W,BD,5254
2018-07-01,06:53,Sunday,CHRISTIE STATION,MUSC,0,0,E,BD,5172
2018-07-01,08:00,Sunday,SCARBOROUGH RAPID TRAN,MRO,0,0,,SRT,0
2018-07-01,08:10,Sunday,MCCOWAN STATION,TRNOA,7,14,S,SRT,0
2018-07-01,08:13,Sunday,GREENWOOD STATION,TUO,5,10,E,BD,5254
2018-07-01,08:16,Sunday,ISLINGTON STATION,PUSI,5,10,E,BD,5188
2018-07-01,08:17,Sunday,SHEPPARD WEST STATION,TUATC,5,10,N,YU,5381
2018-07-01,09:31,Sunday,BLOOR STATION,EUBO,0,0,S,YU,5541
2018-07-01,11:11,Sunday,BATHURST STATION,MUNCA,0,0,,BD,0
2018-07-01,11:14,Sunday,MAIN STREET STATION,SUDP,0,0,,BD,0
2018-07-01,11:20,Sunday,DUNDAS STATION,MUPAA,0,0,S,YU,5906
2018-07-01,11:26,Sunday,HIGH PARK STATION,PUSTS,4,8,E,BD,5172
2018-07-01,12:12,Sunday,KENNEDY BD STATION,MUNOA,4,8,W,BD,5042
2018-07-01,12:28,Sunday,FINCH STATION,MUSC,0,0,S,YU,5381
2018-07-01,12:34,Sunday,WILSON STATION,EUSC,0,0,S,YU,6131
2018-07-01,13:41,Sunday,QUEEN'S PARK STATION,EUBK,0,0,S,YU,5571
2018-07-01,13:50,Sunday,KEELE STATION,MUSC,0,0,W,BD,5301
2018-07-01,13:56,Sunday,KENNEDY BD STATION,SUCOL,0,0,W,BD,5156
2018-07-01,14:02,Sunday,YORK MILLS STATION,MUIS,0,0,,YU,0
2018-07-01,14:04,Sunday,EGLINTON STATION,EUBK,0,0,N,YU,5571
2018-07-01,14:58,Sunday,WARDEN STATION,PUSI,0,0,W,BD,0
2018-07-01,15:02,Sunday,DUPONT STATION,EUBK,0,0,N,YU,5576
2018-07-01,15:03,Sunday,WILSON STATION,EUSC,0,0,S,YU,6131
2018-07-01,15:15,Sunday,FINCH STATION,SUAP,0,0,S,YU,5941
2018-07-01,15:31,Sunday,DAVISVILLE STATION,PUSNT,7,11,N,YU,6126
2018-07-01,15:49,Sunday,CASTLE FRANK STATION,SUAP,8,12,E,BD,5152
2018-07-01,16:04,Sunday,HIGHWAY 407 STATION,MUATC,0,0,S,YU,5591
2018-07-01,16:08,Sunday,KENNEDY BD STATION,MUDD,3,7,W,BD,5052
2018-07-01,16:24,Sunday,WILSON STATION,MUIE,4,8,S,YU,5591
2018-07-01,16:44,Sunday,QUEEN STATION,MUIS,0,0,,YU,0
2018-07-01,16:45,Sunday,VAUGHAN MC STATION,MUI,4,8,S,YU,6071
2018-07-01,17:04,Sunday,SHEPPARD WEST STATION,MUSAN,4,8,S,YU,6071
2018-07-01,17:11,Sunday,QUEEN STATION,MUNCA,0,0,,YU,0
2018-07-01,17:50,Sunday,MIDLAND STATION,SRDP,0,0,S,SRT,3004
2018-07-01,17:53,Sunday,VICTORIA PARK STATION,MUI,13,17,W,BD,5010
2018-07-01,18:16,Sunday,EGLINTON WEST STATION,TUSC,0,0,S,YU,5516
2018-07-01,18:26,Sunday,KENNEDY BD STATION,MUPAA,0,0,W,BD,5276
2018-07-01,19:22,Sunday,WARDEN STATION,SUDP,3,7,E,BD,5330
2018-07-01,19:27,Sunday,GREENWOOD STATION,PUMEL,0,0,,BD,0
2018-07-01,20:17,Sunday,SHEPPARD WEST STATION,EUSC,0,0,S,YU,6131
2018-07-01,20:18,Sunday,DUNDAS WEST STATION,MUPAA,4,8,W,BD,5312
2018-07-01,22:00,Sunday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2018-07-01,22:30,Sunday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2018-07-01,23:24,Sunday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2018-07-01,23:35,Sunday,BAY STATION,MUD,0,0,W,BD,5121
2018-07-01,23:41,Sunday,EGLINTON WEST STATION,MUPAA,0,0,N,YU,6081
2018-07-02,01:18,Monday,ST CLAIR WEST STATION,MUIR,4,9,S,YU,6031
2018-07-02,01:38,Monday,WILSON STATION,TUMVS,0,0,N,YU,5961
2018-07-02,04:03,Monday,UNION STATION,MUNCA,0,0,,YU,0
2018-07-02,05:13,Monday,WELLESLEY STATION,MUNCA,0,0,,YU,0
2018-07-02,06:10,Monday,VAUGHAN MC STATION,TUNIP,3,13,S,YU,5811
2018-07-02,07:10,Monday,ST CLAIR WEST STATION,MUSC,0,0,S,YU,5681
2018-07-02,09:25,Monday,SPADINA BD STATION,SUO,0,0,E,BD,0
2018-07-02,09:53,Monday,CHESTER STATION,MUIS,0,0,,BD,0
2018-07-02,10:20,Monday,BAY STATION,PUSO,0,0,E,BD,5165
2018-07-02,10:44,Monday,YONGE BD STATION,MUIRS,0,0,,BD,0
2018-07-02,11:11,Monday,RUNNYMEDE STATION,MUIRS,0,0,W,BD,0
2018-07-02,11:41,Monday,YORK UNIVERSITY STATIO,MUATC,0,0,N,YU,5686
2018-07-02,11:45,Monday,SHEPPARD STATION,SUAP,3,7,N,YU,5756
2018-07-02,11:52,Monday,FINCH STATION,MUWR,6,10,N,YU,5436
2018-07-02,11:54,Monday,COLLEGE STATION,SUDP,0,0,S,YU,6081
2018-07-02,12:13,Monday,MUSEUM STATION,SUDP,3,7,N,YU,5961
2018-07-02,12:58,Monday,WILSON STATION,EUSC,11,15,S,YU,5541
2018-07-02,14:08,Monday,ST GEORGE YUS STATION,MUPAA,0,0,S,YU,5996
2018-07-02,15:26,Monday,OSSINGTON STATION,MUPAA,0,0,E,BD,5354
2018-07-02,15:41,Monday,BLOOR STATION,MUPAA,4,8,N,YU,5946
2018-07-02,16:10,Monday,SHEPPARD WEST STATION,PUSTS,0,0,S,YU,5631
2018-07-02,16:20,Monday,EGLINTON WEST STATION,TUSC,0,0,N,YU,5761
2018-07-02,17:38,Monday,ST GEORGE YUS STATION,MUPAA,0,0,S,YU,5796
2018-07-02,18:04,Monday,ST CLAIR STATION,MUIS,0,0,,YU,0
2018-07-02,18:18,Monday,UNION STATION,MUPAA,0,0,N,YU,5816
2018-07-02,18:49,Monday,SUMMERHILL STATION,MUIS,5,9,N,YU,5691
2018-07-02,19:01,Monday,OSSINGTON STATION,MUIE,5,9,E,BD,5324
2018-07-02,19:29,Monday,ISLINGTON STATION,MUIR,6,10,W,BD,5013
2018-07-02,20:02,Monday,ST CLAIR WEST STATION,TUSC,0,0,S,YU,5796
2018-07-02,20:10,Monday,SHEPPARD STATION,MUIRS,0,0,S,YU,0
2018-07-02,20:13,Monday,YUS/BD/SHEPPARD SUBWAY,MUGD,0,0,,YU,0
2018-07-02,20:17,Monday,KENNEDY BD STATION,MUI,5,9,W,BD,5310
2018-07-02,20:36,Monday,KING STATION,MUIS,0,0,N,YU,0
2018-07-02,20:43,Monday,RUNNYMEDE STATION,TUOS,14,19,W,BD,5015
2018-07-02,20:51,Monday,SPADINA BD STATION,SUO,0,0,E,BD,5068
2018-07-02,20:51,Monday,SPADINA YUS STATION,SUO,0,0,N,YU,5676
2018-07-02,20:57,Monday,FINCH STATION,TUSC,0,0,N,YU,6031
2018-07-02,22:00,Monday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2018-07-02,22:30,Monday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2018-07-03,00:04,Tuesday,KENNEDY BD STATION,MUIS,0,0,E,BD,5029
2018-07-03,01:07,Tuesday,ST ANDREW STATION,MUI,7,12,N,YU,5676
2018-07-03,01:32,Tuesday,ROSEDALE STATION,MUPLA,41,46,N,YU,6101
2018-07-03,05:47,Tuesday,GREENWOOD STATION,MUNOA,5,10,E,BD,0
2018-07-03,05:51,Tuesday,ST GEORGE BD STATION,TUSC,0,0,W,BD,5297
2018-07-03,06:00,Tuesday,SCARBOROUGH RAPID TRAN,MRO,0,0,,SRT,0
2018-07-03,06:29,Tuesday,KIPLING STATION,EUSC,0,0,E,BD,5061
2018-07-03,06:32,Tuesday,KIPLING STATION,MUSC,0,0,E,BD,5165
2018-07-03,07:11,Tuesday,COXWELL STATION,MUSC,0,0,E,BD,5221
2018-07-03,07:14,Tuesday,GREENWOOD STATION,MUNOA,3,5,E,BD,0
2018-07-03,07:29,Tuesday,BLOOR STATION,SUDP,4,6,N,YU,5401
2018-07-03,07:31,Tuesday,KIPLING STATION,MUIS,0,0,,BD,0
2018-07-03,07:34,Tuesday,TRANSIT CONTROL CENTRE,PUSRA,0,0,,YU,0
2018-07-03,07:53,Tuesday,EGLINTON STATION,MUNCA,0,0,,YU,0
2018-07-03,08:12,Tuesday,SHEPPARD WEST STATION,MUATC,6,8,N,YU,5666
2018-07-03,08:15,Tuesday,KIPLING STATION,EUSC,0,0,E,BD,5061
2018-07-03,08:30,Tuesday,DUPONT STATION,MUWR,4,8,S,YU,5481
2018-07-03,08:32,Tuesday,LAWRENCE WEST STATION,MUPAA,0,0,S,YU,5746
2018-07-03,08:33,Tuesday,MUSEUM STATION,MUPAA,3,5,S,YU,6076
2018-07-03,08:33,Tuesday,OLD MILL STATION,TUMVS,0,0,E,BD,5097
2018-07-03,08:44,Tuesday,EGLINTON STATION,MUIR,0,0,S,YU,5106
2018-07-03,08:56,Tuesday,UNION STATION,MUIR,4,6,N,YU,5702
2018-07-03,08:59,Tuesday,WARDEN STATION,TUSC,0,0,W,BD,5297
2018-07-03,09:11,Tuesday,DAVISVILLE STATION,MUIR,3,5,S,YU,5806
2018-07-03,09:15,Tuesday,SUMMERHILL STATION,EUTRD,3,5,N,YU,5786
2018-07-03,09:16,Tuesday,ROYAL YORK STATION,MUSC,0,0,W,BD,5307
2018-07-03,09:44,Tuesday,WILSON HOSTLER,PUTO,0,0,S,YU,5951
2018-07-03,09:53,Tuesday,ST CLAIR WEST STATION,MUSC,0,0,N,YU,5961
2018-07-03,09:58,Tuesday,EGLINTON STATION,SUDP,0,0,S,YU,6051
2018-07-03,10:37,Tuesday,SUMMERHILL STATION,MUI,20,23,S,YU,6081
2018-07-03,11:29,Tuesday,WILSON STATION,MUSC,0,0,N,YU,5436
2018-07-03,11:45,Tuesday,BAY STATION,SUDP,8,11,E,BD,5008
2018-07-03,12:19,Tuesday,YONGE BD STATION,MUIS,0,0,,BD,0
