Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2019-02-01,00:17,Friday,DUNDAS STATION,SUDP,6,11,S,YU,5686
2019-02-01,00:35,Friday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2019-02-01,00:48,Friday,ST ANDREW STATION,SUDP,5,10,S,YU,5431
2019-02-01,00:52,Friday,SHEPPARD WEST STATION,SUDP,0,0,S,YU,5741
2019-02-01,01:26,Friday,SHEPPARD WEST STATION,PUSSW,0,0,S,YU,0
2019-02-01,02:00,Friday,YONGE UNIVERSITY LINE,TUML,0,0,,YU,0
2019-02-01,02:42,Friday,NORTH YORK CTR STATION,TUSC,0,0,S,YU,5581
2019-02-01,04:54,Friday,SPADINA YUS STATION,EUBK,0,0,N,YU,5511
2019-02-01,05:43,Friday,KIPLING STATION,EUDO,0,0,E,BD,5049
2019-02-01,05:51,Friday,SCARB CTR STATION,MRTO,10,15,S,SRT,3018
2019-02-01,05:51,Friday,SCARB CTR STATION,MRTO,10,15,S,SRT,3018
2019-02-01,05:55,Friday,KIPLING STATION,EUDO,0,0,E,BD,5234
2019-02-01,06:00,Friday,KIPLING STATION,TUSC,4,8,E,BD,5186
2019-02-01,06:30,Friday,MCCOWAN STATION,MRO,0,0,,SRT,0
2019-02-01,06:30,Friday,MCCOWAN STATION TO KEN,MRO,0,0,,SRT,0
2019-02-01,06:40,Friday,VICTORIA PARK STATION,MUSC,0,0,E,BD,5097
2019-02-01,06:45,Friday,MIDLAND STATION,MRWEA,3,8,S,SRT,3004
2019-02-01,06:45,Friday,MIDLAND STATION,MRWEA,3,8,S,SRT,3004
2019-02-01,06:55,Friday,LAWRENCE EAST STATION,ERDO,0,0,S,SRT,3018
2019-02-01,06:55,Friday,LAWRENCE EAST STATION,ERDO,0,0,S,SRT,3018
2019-02-01,06:56,Friday,WARDEN STATION,EUSC,0,0,W,BD,5111
2019-02-01,07:16,Friday,MCCOWAN STATION,MRWEA,5,10,N,SRT,3025
2019-02-01,07:16,Friday,MCCOWAN STATION,MRWEA,5,10,N,SRT,3025
2019-02-01,07:46,Friday,CHESTER STATION,SUDP,0,0,W,BD,0
2019-02-01,07:49,Friday,SCARB CTR STATION,ERDO,8,13,,SRT,3018
2019-02-01,07:49,Friday,SCARB CTR STATION,ERDO,8,13,,SRT,3018
2019-02-01,08:12,Friday,FINCH STATION,PUSTC,0,0,N,YU,5946
2019-02-01,08:26,Friday,ST GEORGE YUS STATION,EUDO,3,5,S,YU,5611
2019-02-01,09:10,Friday,GUNN BUILDING,PUSRA,0,0,,YU,0
2019-02-01,09:19,Friday,EGLINTON STATION,PUSIS,3,5,N,YU,5951
2019-02-01,09:27,Friday,QUEEN STATION,EUNT,4,6,S,YU,5401
2019-02-01,10:05,Friday,BROADVIEW STATION,SUDP,7,10,E,BD,5060
2019-02-01,10:43,Friday,RUNNYMEDE STATION,PUSIS,0,0,E,BD,5312
2019-02-01,11:17,Friday,LAWRENCE WEST STATION,MUATC,7,10,S,YU,5611
2019-02-01,11:20,Friday,SPADINA YUS STATION,MUIS,0,0,N,YU,0
2019-02-01,11:25,Friday,KENNEDY BD STATION,MUIS,0,0,,BD,0
2019-02-01,11:51,Friday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2019-02-01,12:43,Friday,DAVISVILLE STATION,PUSIS,63,66,S,YU,5616
2019-02-01,12:45,Friday,YONGE BD STATION,MUO,0,0,E,BD,5071
2019-02-01,12:54,Friday,LAWRENCE EAST STATION,MRTO,0,0,N,SRT,3007
2019-02-01,12:54,Friday,LAWRENCE EAST STATION,MRTO,0,0,N,SRT,3007
2019-02-01,13:21,Friday,YONGE BD STATION,MUDD,0,0,W,BD,5264
2019-02-01,13:25,Friday,BAY STATION,MUDD,0,0,W,BD,5264
2019-02-01,13:53,Friday,EGLINTON WEST STATION,SUDP,0,0,N,YU,5711
2019-02-01,13:53,Friday,KING STATION,MUNCA,0,0,,YU,0
2019-02-01,13:57,Friday,MUSEUM STATION,EUBK,3,6,S,YU,6076
2019-02-01,14:09,Friday,DON MILLS STATION,MUSC,4,9,W,SHP,6191
2019-02-01,14:38,Friday,MCCOWAN STATION,MRTO,0,0,N,SRT,3007
2019-02-01,14:38,Friday,MCCOWAN STATION,MRTO,0,0,N,SRT,3007
2019-02-01,14:39,Friday,VICTORIA PARK STATION,PUMEL,0,0,,BD,0
2019-02-01,15:01,Friday,YONGE BD STATION,MUIS,0,0,,BD,0
2019-02-01,15:53,Friday,SHEPPARD WEST STATION,TUNIP,5,8,S,YU,5706
2019-02-01,15:58,Friday,HIGH PARK STATION,EUCD,3,5,E,BD,5049
2019-02-01,16:06,Friday,DUFFERIN STATION,EUCD,3,5,E,BD,5049
2019-02-01,16:25,Friday,NORTHBOUND TO LAWRENCE,MRWEA,0,0,N,SRT,3021
2019-02-01,16:25,Friday,NORTHBOUND TO LAWRENCE,MRWEA,0,0,N,SRT,3021
2019-02-01,16:34,Friday,SHEPPARD WEST STATION,TUNIP,3,6,S,YU,5661
2019-02-01,16:35,Friday,FINCH STATION,MUSC,0,0,S,YU,6041
2019-02-01,17:19,Friday,WARDEN STATION,PUMEL,0,0,,BD,0
2019-02-01,18:11,Friday,ST CLAIR STATION,MUI,4,6,N,YU,5776
2019-02-01,18:14,Friday,KENNEDY BD STATION,TUSC,0,0,E,BD,5011
2019-02-01,18:16,Friday,OSGOODE STATION,MUIS,0,0,,YU,0
2019-02-01,18:23,Friday,FINCH STATION,MUIS,0,0,,YU,0
2019-02-01,18:36,Friday,SPADINA BD STATION,PUMO,0,0,W,BD,5026
2019-02-01,18:42,Friday,SPADINA YUS STATION,MUO,0,0,S,YU,5606
2019-02-01,18:48,Friday,DOWNSVIEW PARK STATION,EUDO,5,8,S,YU,5891
2019-02-01,19:23,Friday,EGLINTON STATION,PUMEL,0,0,,YU,0
2019-02-01,19:37,Friday,MUSEUM STATION,MUO,0,0,N,YU,5511
2019-02-01,19:41,Friday,DUPONT STATION,MUIS,0,0,,YU,0
2019-02-01,22:00,Friday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2019-02-01,22:11,Friday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2019-02-01,22:25,Friday,WARDEN STATION,PUSIS,0,0,E,BD,5082
2019-02-01,22:49,Friday,QUEEN STATION,SUDP,0,0,,YU,0
2019-02-01,23:11,Friday,FINCH STATION,MUNOA,5,10,N,YU,5421
2019-02-01,23:46,Friday,BLOOR STATION,MUPLB,14,19,N,YU,6026
2019-02-01,23:47,Friday,GLENCAIRN STATION,SUDP,0,0,N,YU,5981
2019-02-02,00:26,Saturday,UNION STATION,SUSP,5,10,S,YU,5541
2019-02-02,00:56,Saturday,ROYAL YORK STATION,MUSC,0,0,E,BD,5258
2019-02-02,05:10,Saturday,MCCOWAN STATION,TRST,0,0,,SRT,0
2019-02-02,05:10,Saturday,MCCOWAN STATION,TRST,0,0,,SRT,0
2019-02-02,05:47,Saturday,EGLINTON STATION,TUNOA,5,10,N,YU,0
2019-02-02,05:53,Saturday,DAVISVILLE BUILD UP,PUTIS,5,10,N,YU,5431
2019-02-02,06:00,Saturday,SPADINA TO UNION STATI,MUO,0,0,,YU,0
2019-02-02,06:02,Saturday,EGLINTON STATION,TUNOA,5,10,N,YU,5806
2019-02-02,06:09,Saturday,MCCOWAN STATION,TRNOA,6,12,S,SRT,0
2019-02-02,06:09,Saturday,MCCOWAN STATION,TRNOA,6,12,S,SRT,0
2019-02-02,06:28,Saturday,KENNEDY BD STATION,EUSC,0,0,W,BD,5026
2019-02-02,08:39,Saturday,CHESTER STATION,MUIS,0,0,,BD,0
2019-02-02,10:23,Saturday,OLD MILL STATION,EUSC,0,0,E,BD,5253
2019-02-02,10:45,Saturday,DONLANDS STATION,TUSC,0,0,E,BD,5183
2019-02-02,11:00,Saturday,KENNEDY BD STATION,MUSC,0,0,W,BD,5164
2019-02-02,11:05,Saturday,BROADVIEW STATION,PUMEL,0,0,,BD,0
2019-02-02,11:06,Saturday,SPADINA YUS STATION,TUMVS,4,9,S,YU,5686
2019-02-02,11:12,Saturday,DUPONT STATION,MUO,4,9,N,YU,5686
2019-02-02,11:47,Saturday,SPADINA YUS STATION,TUMVS,0,0,S,YU,6031
2019-02-02,13:22,Saturday,CHESTER STATION,MUPAA,0,0,W,BD,5053
2019-02-02,13:24,Saturday,JANE STATION,TUSC,0,0,W,BD,5347
2019-02-02,14:31,Saturday,COXWELL STATION,TUOS,0,0,W,BD,5144
2019-02-02,14:37,Saturday,DONLANDS STATION,MUO,4,8,W,BD,5144
2019-02-02,14:41,Saturday,EGLINTON STATION,MUIRS,0,0,,YU,0
2019-02-02,15:06,Saturday,ISLINGTON STATION,MUSC,0,0,E,BD,5170
2019-02-02,15:09,Saturday,ISLINGTON STATION,TUSC,0,0,E,BD,5170
2019-02-02,15:30,Saturday,SHERBOURNE STATION,MUIR,4,8,W,BD,5349
2019-02-02,15:42,Saturday,NORTH YORK CTR STATION,SUUT,28,33,S,YU,5431
2019-02-02,15:44,Saturday,VICTORIA PARK STATION,SUROB,0,0,,BD,0
2019-02-02,16:10,Saturday,OSSINGTON STATION,SUUT,13,17,W,BD,5263
2019-02-02,16:45,Saturday,UNION STATION,SUDP,6,11,S,YU,5436
2019-02-02,17:36,Saturday,YORK UNIVERSITY STATIO,MUPAA,0,0,S,YU,5416
2019-02-02,18:57,Saturday,OSSINGTON STATION,SUDP,0,0,,BD,0
2019-02-02,19:02,Saturday,YORKDALE STATION,MUATC,4,9,S,YU,5416
2019-02-02,19:24,Saturday,BLOOR STATION,MUIRS,0,0,N,YU,0
2019-02-02,19:43,Saturday,YORKDALE STATION,MUATC,0,0,S,YU,5406
2019-02-02,19:48,Saturday,ST CLAIR STATION,MUO,5,10,S,YU,5956
2019-02-02,19:50,Saturday,YORKDALE STATION,MUWEA,0,0,S,YU,5866
2019-02-02,20:05,Saturday,KING STATION,TUMVS,0,0,S,YU,5961
2019-02-02,20:05,Saturday,WARDEN STATION,EUNT,4,8,W,BD,5244
2019-02-02,20:15,Saturday,DUNDAS WEST STATION,SUDP,3,7,W,BD,5053
2019-02-02,20:23,Saturday,ISLINGTON STATION,MUO,0,0,E,BD,5314
2019-02-02,20:48,Saturday,WOODBINE STATION,MUSC,0,0,E,BD,5355
2019-02-02,21:14,Saturday,DUNDAS WEST STATION,PUMEL,0,0,,BD,0
2019-02-02,21:41,Saturday,ISLINGTON STATION,MUSC,0,0,E,BD,5019
2019-02-02,21:58,Saturday,VICTORIA PARK STATION,MUSC,0,0,E,BD,5258
2019-02-02,22:00,Saturday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2019-02-02,22:33,Saturday,EGLINTON STATION,MUPAA,0,0,N,YU,5951
2019-02-02,22:42,Saturday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2019-02-02,22:57,Saturday,HIGH PARK STATION,TUSC,0,0,W,BD,5194
2019-02-02,23:36,Saturday,CHESTER STATION,TUSC,0,0,E,BD,5258
2019-02-03,01:55,Sunday,FINCH STATION,MUIS,0,0,,YU,0
2019-02-03,04:53,Sunday,WELLESLEY STATION,SUCOL,0,0,,YU,0
2019-02-03,07:42,Sunday,SHEPPARD WEST STATION,MUIS,0,0,,YU,0
2019-02-03,07:43,Sunday,SHEPPARD WEST STATION,TUNOA,5,0,N,YU,5756
2019-02-03,07:59,Sunday,WILSON STATION,EUYRD,5,10,S,YU,5466
2019-02-03,08:00,Sunday,ST CLAIR WEST TO UNION,MUO,0,0,,YU,0
2019-02-03,08:03,Sunday,ISLINGTON STATION,TUOS,0,0,E,BD,5183
2019-02-03,08:18,Sunday,KEELE STATION,MUCL,5,10,W,BD,5347
2019-02-03,08:41,Sunday,ISLINGTON STATION,MUSC,0,0,E,BD,5030
2019-02-03,08:41,Sunday,KIPLING STATION,MUIS,0,0,,BD,8020
2019-02-03,08:44,Sunday,PAPE STATION,MUIS,0,0,,BD,0
2019-02-03,09:10,Sunday,OLD MILL STATION,EUSC,0,0,W,BD,5251
2019-02-03,09:16,Sunday,ISLINGTON STATION,EUSC,0,0,E,BD,5251
2019-02-03,10:02,Sunday,DUNDAS STATION,SUDP,0,0,N,YU,5771
2019-02-03,10:22,Sunday,KIPLING STATION,MUSC,0,0,E,BD,5030
2019-02-03,10:45,Sunday,WILSON STATION,PUMEL,0,0,,YU,0
2019-02-03,12:50,Sunday,KIPLING STATION,MUTO,5,10,E,BD,5296
