Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2019-04-01,00:02,Monday,SHERBOURNE STATION,SUDP,4,8,E,BD,5245
2019-04-01,01:11,Monday,WILSON STATION,MUPAA,0,0,N,YU,5541
2019-04-01,01:48,Monday,KIPLING STATION,MUIS,0,0,W,BD,0
2019-04-01,02:18,Monday,DAVISVILLE YARD,PUTOE,0,0,,YU,0
2019-04-01,05:26,Monday,ST ANDREW STATION,MUNCA,0,0,,YU,0
2019-04-01,05:36,Monday,FINCH STATION,TUSC,0,0,,YU,5511
2019-04-01,05:46,Monday,DAVISVILLE STATION,EUYRD,4,8,N,YU,5746
2019-04-01,05:54,Monday,GREENWOOD STATION,EUSC,0,0,E,BD,5121
2019-04-01,06:08,Monday,COXWELL STATION,MUSC,0,0,E,BD,5296
2019-04-01,06:44,Monday,DUPONT STATION,MUATC,9,12,N,YU,5456
2019-04-01,06:53,Monday,DUPONT STATION,MUATC,3,6,N,YU,5676
2019-04-01,06:55,Monday,ST CLAIR WEST STATION,EUATC,4,8,N,YU,5456
2019-04-01,07:40,Monday,WILSON STATION,EUYRD,3,5,S,YU,5496
2019-04-01,08:15,Monday,ST GEORGE BD STATION,MUDD,4,6,E,BD,5073
2019-04-01,08:53,Monday,EGLINTON STATION,PUMST,0,0,,YU,0
2019-04-01,08:55,Monday,DUPONT STATION,MUATC,3,5,N,YU,5581
2019-04-01,09:20,Monday,KIPLING STATION,MUTD,0,0,E,BD,5176
2019-04-01,09:22,Monday,LESLIE STATION,PUMEL,0,0,,SHP,0
2019-04-01,09:28,Monday,DUPONT STATION,MUATC,3,5,N,YU,5616
2019-04-01,09:51,Monday,OSGOODE STATION,TUSC,0,0,N,YU,5536
2019-04-01,09:52,Monday,ST CLAIR WEST STATION,TUATC,3,5,S,YU,5576
2019-04-01,10:04,Monday,MAIN STREET STATION,MUD,4,7,W,BD,5181
2019-04-01,10:10,Monday,EGLINTON STATION,MUSC,0,0,N,YU,5751
2019-04-01,10:36,Monday,VAUGHAN MC STATION,MUATC,3,6,S,YU,5781
2019-04-01,11:48,Monday,SHEPPARD WEST STATION,MUIS,0,0,,YU,0
2019-04-01,12:00,Monday,SHEPPARD STATION,MUSC,3,6,S,YU,5456
2019-04-01,12:13,Monday,BLOOR STATION,SUPOL,0,0,S,YU,5676
2019-04-01,12:24,Monday,EGLINTON WEST STATION,MUIS,0,0,S,YU,0
2019-04-01,13:36,Monday,DUNDAS STATION,MUPAA,3,5,N,YU,5501
2019-04-01,14:35,Monday,COXWELL STATION,SUO,6,9,W,BD,5150
2019-04-01,14:36,Monday,KIPLING STATION,MUSC,0,0,W,BD,5207
2019-04-01,15:14,Monday,ISLINGTON STATION,MUIS,0,0,,BD,0
2019-04-01,15:34,Monday,ST GEORGE BD STATION,EUSC,0,0,W,BD,5223
2019-04-01,15:35,Monday,FINCH STATION,TUMVS,0,0,N,YU,5516
2019-04-01,16:02,Monday,PAPE STATION,SUDP,3,5,W,BD,5220
2019-04-01,16:07,Monday,WILSON STATION,MUATC,7,10,S,YU,5641
2019-04-01,16:10,Monday,WOODBINE STATION,PUMST,0,0,W,BD,5072
2019-04-01,16:13,Monday,QUEEN STATION,SUDP,4,6,N,YU,5436
2019-04-01,16:26,Monday,JANE STATION,TUSC,0,0,W,BD,5189
2019-04-01,16:51,Monday,YONGE BD STATION,SUUT,3,5,W,BD,5025
2019-04-01,16:54,Monday,DUPONT STATION,MUATC,8,11,N,YU,5521
2019-04-01,17:01,Monday,ST GEORGE YUS STATION,SUSP,3,5,S,YU,6091
2019-04-01,17:09,Monday,FINCH STATION,EUATC,3,6,S,YU,5636
2019-04-01,17:09,Monday,OSGOODE STATION,TUSC,0,0,N,YU,5491
2019-04-01,17:12,Monday,OSGOODE STATION,TUSC,0,0,S,YU,6091
2019-04-01,17:32,Monday,KIPLING STATION,MUSC,0,0,E,BD,5153
2019-04-01,17:40,Monday,FINCH STATION,MUSC,0,0,S,YU,5541
2019-04-01,17:40,Monday,KENNEDY BD STATION,MUNCA,0,0,,BD,0
2019-04-01,17:45,Monday,DUNDAS STATION,MUNCA,0,0,,YU,0
2019-04-01,19:11,Monday,FINCH STATION,MUIS,0,0,N,YU,0
2019-04-01,19:40,Monday,SHEPPARD STATION,MUIR,0,0,N,YU,5611
2019-04-01,20:34,Monday,COLLEGE STATION,MUDD,6,10,N,YU,5461
2019-04-01,20:35,Monday,LAWRENCE STATION,SUDP,0,0,,YU,0
2019-04-01,21:15,Monday,FINCH STATION,MUI,3,6,S,YU,5571
2019-04-01,22:00,Monday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2019-04-01,22:02,Monday,HIGHWAY 407 STATION,MUI,16,20,N,YU,6001
2019-04-01,22:56,Monday,BLOOR STATION,MUO,0,0,N,YU,5531
2019-04-01,23:00,Monday,ST CLAIR WEST TO UNION,MUGD,0,0,,YU,0
2019-04-01,23:07,Monday,COLLEGE STATION,MUIR,4,9,N,YU,5906
2019-04-01,23:22,Monday,RUNNYMEDE STATION,MUIS,0,0,,BD,0
2019-04-02,00:15,Tuesday,WARDEN STATION,EUDO,4,8,W,BD,5035
2019-04-02,00:45,Tuesday,ST GEORGE BD STATION,SUUT,22,26,E,BD,5241
2019-04-02,01:33,Tuesday,GREENWOOD STATION,TUSC,0,0,W,BD,5082
2019-04-02,05:40,Tuesday,FINCH STATION,TUSC,0,0,S,YU,5971
2019-04-02,06:06,Tuesday,SHEPPARD STATION,PUSTC,9,13,S,YU,5931
2019-04-02,06:33,Tuesday,COXWELL STATION,MUSC,0,0,E,BD,5139
2019-04-02,06:34,Tuesday,FINCH STATION,MUSC,0,0,S,YU,5956
2019-04-02,06:40,Tuesday,YORK MILLS STATION,TUMVS,9,13,N,YU,5911
