Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2019-05-01,01:25,Wednesday,YONGE BD STATION,SUDP,11,15,W,BD,5042
2019-05-01,01:58,Wednesday,CHESTER STATION,EUBK,0,0,W,BD,5205
2019-05-01,02:51,Wednesday,WILSON STATION,PUMO,0,0,,YU,0
2019-05-01,05:50,Wednesday,FINCH STATION,EUTL,4,8,S,YU,5771
2019-05-01,06:07,Wednesday,WILSON STATION,EUBO,3,5,S,YU,5821
2019-05-01,06:09,Wednesday,LAWRENCE WEST STATION,EUBO,3,5,S,YU,5591
2019-05-01,06:09,Wednesday,WILSON STATION,TUO,3,5,S,YU,5386
2019-05-01,06:10,Wednesday,VICTORIA PARK STATION,MUSC,0,0,E,BD,5052
2019-05-01,06:15,Wednesday,ROYAL YORK STATION,MUSC,0,0,E,BD,5318
2019-05-01,06:16,Wednesday,SHEPPARD WEST STATION,MUATC,6,10,N,YU,6046
2019-05-01,06:21,Wednesday,ROYAL YORK STATION,TUSC,0,0,E,BD,5318
2019-05-01,06:21,Wednesday,SPADINA YUS STATION,MUIS,0,0,N,YU,0
2019-05-01,06:39,Wednesday,GREENWOOD STATION,MUSC,0,0,E,BD,5018
2019-05-01,06:57,Wednesday,HIGH PARK STATION,MUSC,0,0,W,BD,5090
2019-05-01,07:10,Wednesday,KIPLING STATION,MUSC,0,0,W,BD,5252
2019-05-01,07:26,Wednesday,BLOOR DANFORTH SUBWAY,MUGD,0,0,,BD,0
2019-05-01,07:28,Wednesday,MAIN STREET STATION,SUAP,0,0,,BD,5170
2019-05-01,08:00,Wednesday,YORK MILLS STATION,MUSC,0,0,S,YU,5971
2019-05-01,08:57,Wednesday,WARDEN STATION,MUSC,0,0,W,BD,5283
2019-05-01,09:17,Wednesday,GREENWOOD STATION,MUIRS,0,0,,BD,0
2019-05-01,11:37,Wednesday,VICTORIA PARK STATION,MUIS,0,0,E,BD,0
2019-05-01,12:56,Wednesday,VAUGHAN MC STATION,TUNOA,4,7,S,YU,5546
2019-05-01,12:58,Wednesday,BLOOR STATION,MUIS,0,0,,YU,0
2019-05-01,13:37,Wednesday,QUEEN'S PARK STATION,PUMST,0,0,,YU,0
2019-05-01,15:12,Wednesday,OSGOODE STATION,MUNCA,0,0,,YU,0
2019-05-01,15:16,Wednesday,KIPLING STATION,EUSC,0,0,W,BD,5042
2019-05-01,15:24,Wednesday,DUNDAS WEST STATION,TUMVS,0,0,W,BD,5064
2019-05-01,15:42,Wednesday,OSSINGTON STATION,MUI,16,18,W,BD,5219
2019-05-01,15:58,Wednesday,PAPE STATION,MUTO,0,0,E,BD,5316
2019-05-01,16:04,Wednesday,SHEPPARD STATION,MUIS,0,0,S,YU,0
2019-05-01,16:14,Wednesday,VAUGHAN MC STATION,SUDP,0,0,,YU,0
2019-05-01,16:19,Wednesday,GREENWOOD YARD,MUIE,0,0,,BD,0
2019-05-01,16:19,Wednesday,KIPLING STATION,MUIS,0,0,,BD,0
2019-05-01,17:03,Wednesday,QUEEN'S PARK STATION,MUPAA,0,0,N,YU,5521
2019-05-01,17:13,Wednesday,BLOOR STATION,SUDP,0,0,N,YU,5766
2019-05-01,17:14,Wednesday,ISLINGTON STATION,MUSC,0,0,E,BD,5243
2019-05-01,17:22,Wednesday,OSSINGTON STATION,SUSA,0,0,,BD,0
2019-05-01,17:33,Wednesday,KIPLING STATION,MUSC,0,0,W,BD,5028
2019-05-01,17:45,Wednesday,BLOOR STATION,MUIS,0,0,N,YU,0
2019-05-01,18:09,Wednesday,ST CLAIR STATION,MUIRS,0,0,,YU,0
2019-05-01,18:09,Wednesday,WOODBINE STATION,SUDP,5,7,E,BD,5321
2019-05-01,18:10,Wednesday,VICTORIA PARK STATION,MUSC,0,0,W,BD,5188
2019-05-01,18:22,Wednesday,YORK MILLS STATION,TUSC,0,0,N,YU,6126
2019-05-01,18:29,Wednesday,GREENWOOD WYE,MUSC,0,0,E,BD,5244
2019-05-01,18:32,Wednesday,DUNDAS WEST STATION,SUDP,0,0,W,BD,0
2019-05-01,18:40,Wednesday,SUMMERHILL STATION,PUEO,98,100,N,YU,5421
2019-05-01,18:56,Wednesday,LAWRENCE STATION,MUTO,7,9,S,YU,5971
2019-05-01,19:43,Wednesday,LAWRENCE STATION,TUSC,0,0,S,YU,5561
2019-05-01,20:07,Wednesday,QUEEN STATION,MUI,5,7,S,YU,5471
2019-05-01,20:30,Wednesday,WILSON STATION,MUATC,0,0,N,YU,5706
2019-05-01,22:00,Wednesday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2019-05-01,22:32,Wednesday,ISLINGTON STATION,EUSC,0,0,W,BD,5042
2019-05-01,22:49,Wednesday,BLOOR STATION,SUDP,3,8,N,YU,5421
2019-05-01,23:44,Wednesday,FINCH STATION,MUTO,10,15,S,YU,5626
2019-05-02,00:05,Thursday,CHRISTIE STATION,SUDP,0,0,E,BD,5265
2019-05-02,00:23,Thursday,KIPLING STATION,MUSC,0,0,W,BD,5353
2019-05-02,01:08,Thursday,SHEPPARD WEST STATION,MUIS,0,0,,YU,0
2019-05-02,01:25,Thursday,COXWELL STATION,MUIS,0,0,E,BD,5367
2019-05-02,01:27,Thursday,YORK MILLS STATION,TUMVS,0,0,S,YU,5991
2019-05-02,01:54,Thursday,GREENWOOD STATION,TUSC,0,0,W,BD,5018
2019-05-02,01:58,Thursday,KIPLING STATION,MUIRS,0,0,,BD,0
2019-05-02,02:25,Thursday,KENNEDY BD STATION,MUI,0,0,E,BD,5283
2019-05-02,06:01,Thursday,WILSON STATION,MUATC,3,5,S,YU,5451
