Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2020-03-01,00:12,Sunday,DAVISVILLE STATION,MUSC,0,0,S,YU,5441
2020-03-01,00:22,Sunday,SCARBOROUGH CTR STATIO,SRAP,0,0,,SRT,0
2020-03-01,01:33,Sunday,PIONEER VILLAGE STATIO,SUDP,0,0,,YU,0
2020-03-01,02:13,Sunday,KIPLING STATION,MUIS,0,0,,BD,0
2020-03-01,03:38,Sunday,KEELE STATION,SUDP,0,0,,BD,0
2020-03-01,08:00,Sunday,YONGE UNIVERSITY LINE,MUO,0,0,,YU,0
2020-03-01,08:07,Sunday,SHEPPARD WEST STATION,TUO,4,9,N,YU,5526
2020-03-01,08:14,Sunday,KIPLING STATION,SUG,4,8,E,BD,5001
2020-03-01,08:54,Sunday,SHEPPARD STATION,MUSC,0,0,S,YU,5916
2020-03-01,08:58,Sunday,WOODBINE STATION,MUIS,0,0,,BD,0
2020-03-01,10:22,Sunday,VAUGHAN MC STATION,TUNIP,7,12,S,YU,5446
2020-03-01,11:31,Sunday,KENNEDY SRT STATION,MRTO,5,10,S,SRT,3008
2020-03-01,11:49,Sunday,QUEEN STATION,MUPAA,0,0,S,YU,6136
2020-03-01,13:33,Sunday,DAVISVILLE STATION,MUPLB,9,14,S,YU,5531
2020-03-01,14:33,Sunday,PAPE STATION,SUAP,0,0,,,8944
2020-03-01,14:45,Sunday,YONGE BD STATION,MUPAA,0,0,E,BD,5147
2020-03-01,14:47,Sunday,RUNNYMEDE STATION,PUMST,0,0,,BD,0
2020-03-01,14:59,Sunday,LESLIE STATION,MUSC,0,0,E,SHP,6166
2020-03-01,17:02,Sunday,COXWELL STATION,SUDP,14,18,W,BD,5268
2020-03-01,17:31,Sunday,SPADINA BD STATION,MUPAA,0,0,W,BD,5268
2020-03-01,17:41,Sunday,ROYAL YORK STATION,MUIR,5,9,E,BD,5210
2020-03-01,18:02,Sunday,SHEPPARD STATION,TUSC,0,0,S,YU,5881
2020-03-01,19:02,Sunday,CHESTER STATION,MUPAA,0,0,W,BD,5268
2020-03-01,21:38,Sunday,SHERBOURNE STATION,SUDP,3,7,E,BD,5263
2020-03-01,22:00,Sunday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2020-03-01,22:37,Sunday,LANSDOWNE STATION,SUUT,0,0,E,BD,5074
2020-03-01,23:58,Sunday,GREENWOOD YARD,SUG,0,0,,,0
2020-03-02,00:51,Monday,CASTLE FRANK STATION,MUIS,0,0,,BD,0
2020-03-02,01:11,Monday,OLD MILL STATION,SUUT,4,8,W,BD,5278
2020-03-02,01:44,Monday,DAVISVILLE BUILDUP,TUMVS,0,0,N,,3435
2020-03-02,01:54,Monday,YONGE BD STATION,MUIS,0,0,,BD,0
2020-03-02,01:55,Monday,BLOOR STATION,PUSSW,0,0,,YU,0
2020-03-02,01:57,Monday,DAVISVILLE STATION,MUIS,0,0,,YU,0
2020-03-02,06:25,Monday,SHEPPARD-YONGE STATION,SUEAS,5,10,E,SHP,6166
2020-03-02,06:58,Monday,KIPLING STATION,TUSC,3,5,W,BD,5270
2020-03-02,07:16,Monday,KEELE STATION,MUSC,0,0,W,BD,5223
2020-03-02,07:18,Monday,WILSON STATION,TUNOA,3,5,S,YU,5756
2020-03-02,08:03,Monday,SHEPPARD WEST STATION,MUPAA,7,11,N,YU,6006
2020-03-02,08:15,Monday,MUSEUM STATION,MUIR,6,8,S,YU,5581
2020-03-02,08:30,Monday,COXWELL STATION,PUMEL,0,0,,BD,0
2020-03-02,08:31,Monday,FINCH STATION,PUMEL,0,0,,YU,0
2020-03-02,08:36,Monday,EGLINTON STATION,MUI,3,5,S,YU,5531
2020-03-02,08:39,Monday,BLOOR STATION,MUI,0,0,S,YU,5971
2020-03-02,08:57,Monday,GLENCAIRN STATION,MUIR,7,9,S,YU,5636
2020-03-02,09:05,Monday,EGLINTON STATION,MUIS,0,0,,YU,0
2020-03-02,09:12,Monday,YORK MILLS STATION,MUIR,5,7,S,YU,6111
2020-03-02,09:36,Monday,CASTLE FRANK STATION,SUSA,0,0,,BD,0
2020-03-02,09:37,Monday,MUSEUM STATION,SUDP,0,0,S,YU,5426
2020-03-02,10:35,Monday,RUNNYMEDE STATION,MUSC,0,0,W,BD,5074
2020-03-02,11:36,Monday,KENNEDY BD STATION,EUTR,3,6,W,BD,5288
2020-03-02,11:57,Monday,FINCH STATION,MUTO,3,6,S,YU,5591
2020-03-02,12:48,Monday,RUNNYMEDE STATION,SUPOL,0,0,W,BD,5278
2020-03-02,12:57,Monday,YORKDALE STATION,SUAE,0,0,S,YU,0
2020-03-02,13:31,Monday,ISLINGTON STATION,SUO,0,0,,BD,0
2020-03-02,14:07,Monday,EGLINTON STATION,SUUT,22,25,N,YU,5821
2020-03-02,14:37,Monday,MAIN STREET STATION,TUSC,0,0,W,BD,5052
2020-03-02,14:39,Monday,FINCH STATION,TUNIP,3,6,W,YU,5386
2020-03-02,15:33,Monday,EGLINTON STATION,MUIR,3,6,N,YU,5426
2020-03-02,15:34,Monday,OSSINGTON STATION,MUD,3,5,W,BD,5341
2020-03-02,16:14,Monday,ST GEORGE YUS STATION,MUATC,0,0,N,YU,5616
2020-03-02,16:21,Monday,FINCH STATION,MUIRS,0,0,,YU,0
2020-03-02,16:23,Monday,ST GEORGE YUS STATION,MUATC,0,0,N,YU,5891
2020-03-02,16:43,Monday,DAVISVILLE STATION,SUDP,5,7,S,YU,5416
2020-03-02,16:56,Monday,BLOOR STATION,MUIS,0,0,N,YU,0
2020-03-02,17:01,Monday,DAVISVILLE STATION,SUDP,7,9,S,YU,5416
