Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2020-06-01,05:33,Monday,GREENWOOD STATION,MUSC,0,0,E,BD,5294
2020-06-01,06:00,Monday,EGLINTON STATION,MUO,3,8,N,YU,5731
2020-06-01,07:12,Monday,LESLIE STATION,TUSC,0,0,W,SHP,6161
2020-06-01,09:25,Monday,DUNDAS STATION,TUMVS,0,0,S,YU,5736
2020-06-01,09:53,Monday,VAUGHAN MC STATION,TUNIP,3,6,S,YU,5411
2020-06-01,09:59,Monday,BATHURST STATION,MUIS,0,0,E,BD,0
2020-06-01,10:35,Monday,EGLINTON STATION,SUDP,0,0,,YU,0
2020-06-01,11:04,Monday,FINCH STATION,MUSAN,3,6,S,YU,5606
2020-06-01,11:43,Monday,KENNEDY BD STATION,TUO,4,8,W,BD,5118
2020-06-01,12:25,Monday,BLOOR STATION,MUPAA,3,6,S,YU,5811
2020-06-01,12:50,Monday,QUEEN STATION,SUUT,3,6,N,YU,5646
2020-06-01,13:33,Monday,GLENCAIRN STATION,MUNCA,0,0,,YU,0
2020-06-01,14:16,Monday,VAUGHAN MC STATION,MUATC,4,7,N,YU,6016
2020-06-01,14:40,Monday,VAUGHAN MC STATION,MUATC,3,5,S,YU,6111
2020-06-01,16:33,Monday,KENNEDY BD STATION,MUIRS,0,0,,BD,0
2020-06-01,17:07,Monday,MCCOWAN STATION,MRIE,0,0,W,SRT,0
2020-06-01,17:46,Monday,EGLINTON STATION,EUOE,0,0,N,YU,6156
2020-06-01,17:47,Monday,DAVISVILLE STATION,MUO,3,6,N,YU,5501
2020-06-01,17:47,Monday,DUNDAS STATION,MUPAA,0,0,N,YU,5841
2020-06-01,18:56,Monday,SPADINA BD STATION,MUNCA,0,0,,BD,0
2020-06-01,20:14,Monday,SHEPPARD WEST STATION,MUTO,3,6,S,YU,6111
2020-06-01,20:15,Monday,QUEEN STATION,MUNCA,0,0,,YU,0
2020-06-01,22:00,Monday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2020-06-01,22:57,Monday,COXWELL STATION,MUSAN,6,12,W,BD,5320
2020-06-01,23:00,Monday,EGLINTON TO BLOOR STAT,MUO,0,0,,YU,0
2020-06-01,23:12,Monday,DUNDAS WEST STATION,MUIS,0,0,E,BD,0
