Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2020-08-01,00:21,Saturday,SHEPPARD-YONGE STATION,TUSC,0,0,W,SHP,6151
2020-08-01,00:57,Saturday,ST PATRICK STATION,SUDP,7,12,S,YU,5901
2020-08-01,01:17,Saturday,YORK MILLS STATION (LE,TUSC,0,0,S,YU,5666
2020-08-01,01:40,Saturday,ST GEORGE BD STATION,MUPAA,0,0,W,BD,5082
2020-08-01,01:41,Saturday,FINCH STATION,MUIR,0,0,S,YU,5903
2020-08-01,05:41,Saturday,EGLINTON STATION,MUNOA,5,10,N,YU,0
2020-08-01,05:46,Saturday,WILSON STATION,MUNOA,5,10,S,YU,0
2020-08-01,05:49,Saturday,KEELE STATION,MUO,5,0,W,BD,5241
2020-08-01,05:50,Saturday,WOODBINE STATION,MUO,4,0,E,BD,5097
2020-08-01,06:00,Saturday,BLOOR-DANFORTH LINE,MUO,0,0,,BD,0
2020-08-01,06:01,Saturday,VAUGHAN MC STATION,MUNOA,5,10,,YU,0
2020-08-01,06:20,Saturday,NORTH YORK CTR STATION,MUSC,0,0,S,YU,5731
2020-08-01,06:43,Saturday,WARDEN STATION,MUI,27,33,W,BD,5244
2020-08-01,07:09,Saturday,ST GEORGE YUS STATION,EUDO,10,15,S,YU,5556
2020-08-01,08:11,Saturday,WOODBINE STATION,TUKEY,7,13,E,BD,5286
2020-08-01,08:30,Saturday,YORK MILLS STATION,TUSC,0,0,N,YU,5876
2020-08-01,10:30,Saturday,SCARBOROUGH RAPID TRAN,MRWEA,0,0,B,SRT,0
2020-08-01,10:37,Saturday,KIPLING STATION,MUNOA,6,12,E,BD,5067
2020-08-01,10:57,Saturday,WOODBINE STATION,PUSSW,0,0,W,BD,5140
2020-08-01,11:25,Saturday,DUNDAS WEST STATION,MUIS,0,0,,BD,0
2020-08-01,11:25,Saturday,EGLINTON STATION,MUNOA,4,8,N,YU,0
2020-08-01,12:09,Saturday,DAVISVILLE STATION,PUSTS,0,0,N,YU,5716
2020-08-01,13:09,Saturday,OLD MILL STATION,TUOS,0,0,E,BD,5122
2020-08-01,13:30,Saturday,DAVISVILLE STATION,MUNOA,0,0,,YU,0
2020-08-01,14:06,Saturday,ST GEORGE BD STATION,MUIR,0,0,W,BD,5051
2020-08-01,15:03,Saturday,KIPLING STATION,EUOE,0,0,W,BD,5269
2020-08-01,17:25,Saturday,KING STATION,MUNCA,0,0,,YU,0
2020-08-01,17:26,Saturday,VAUGHAN MC STATION,MUNOA,4,8,S,YU,0
2020-08-01,17:48,Saturday,ST GEORGE BD STATION,MUPAA,3,6,W,BD,5266
2020-08-01,17:58,Saturday,YONGE BD STATION,SUDP,0,0,E,BD,0
2020-08-01,18:09,Saturday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0
2020-08-01,18:36,Saturday,YORKDALE STATION,EUBO,5,10,S,YU,5851
2020-08-01,19:40,Saturday,KEELE STATION,MUIS,0,0,E,BD,0
2020-08-01,19:43,Saturday,SPADINA YUS STATION,SUUT,16,21,S,YU,5531
2020-08-01,19:51,Saturday,ST CLAIR STATION,EUDO,4,9,S,YU,5656
2020-08-01,20:02,Saturday,MUSEUM STATION,SUDP,0,0,S,YU,5406
2020-08-01,20:30,Saturday,SPADINA YUS STATION,MUPAA,0,0,N,YU,5581
2020-08-01,20:31,Saturday,KEELE STATION,SUAP,0,0,,BD,0
2020-08-01,21:42,Saturday,KIPLING STATION,MUNOA,6,12,E,BD,5267
2020-08-01,22:00,Saturday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2020-08-01,22:03,Saturday,KIPLING STATION,MUIS,0,0,,BD,0
2020-08-01,22:05,Saturday,FINCH STATION,MUIS,5,10,S,YU,5656
2020-08-01,22:54,Saturday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0
2020-08-01,22:56,Saturday,DAVISVILLE STATION,EUSC,0,0,S,YU,6011
2020-08-01,23:00,Saturday,BROADVIEW STATION,SUDP,0,0,,BD,0
2020-08-01,23:17,Saturday,SPADINA BD STATION,MUIRS,0,0,E,BD,0
2020-08-01,23:18,Saturday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0
2020-08-01,23:29,Saturday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0
2020-08-01,23:50,Saturday,FINCH WEST STATION,PUSSW,57,62,N,YU,5716
2020-08-02,00:04,Sunday,DAVISVILLE YARD,SUAE,0,0,,BD,0
2020-08-02,00:27,Sunday,KENNEDY BD STATION,MUIRS,0,0,,BD,0
2020-08-02,00:28,Sunday,DUNDAS STATION,SUDP,0,0,,YU,0
2020-08-02,01:47,Sunday,KIPLING STATION,SUDP,0,0,W,BD,5050
2020-08-02,02:18,Sunday,VAUGHAN MC STATION,SUDP,0,0,,YU,0
2020-08-02,07:49,Sunday,WILSON STATION,MUNOA,5,10,S,YU,0
2020-08-02,07:55,Sunday,VAUGHAN MC STATION,MUNOA,5,10,S,YU,0
