Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2020-12-01,00:27,Tuesday,ISLINGTON STATION,MUIRS,0,0,,BD,0
2020-12-01,01:43,Tuesday,SHEPPARD-YONGE STATION,TUSC,0,0,W,SHP,6156
2020-12-01,01:49,Tuesday,WARDEN STATION,MUIS,0,0,,BD,0
2020-12-01,02:12,Tuesday,FINCH STATION,PUSI,0,0,N,YU,5671
2020-12-01,02:15,Tuesday,SHEPPARD-YONGE STATION,TUMVS,0,0,W,SHP,6161
2020-12-01,05:18,Tuesday,FINCH STATION,MUSC,0,0,N,YU,5726
2020-12-01,05:51,Tuesday,YONGE BD STATION,PUSO,0,0,W,BD,5149
2020-12-01,05:55,Tuesday,CHRISTIE STATION,PUSO,5,0,W,BD,5149
2020-12-01,06:07,Tuesday,EGLINTON STATION,PUSIS,3,6,N,YU,5881
2020-12-01,06:26,Tuesday,SHEPPARD WEST STATION,MUCL,4,9,N,YU,5411
2020-12-01,06:45,Tuesday,DUNDAS WEST STATION,MUIS,0,0,,BD,0
2020-12-01,06:51,Tuesday,ST GEORGE AND BROADVIE,PUSO,27,30,W,BD,5121
2020-12-01,07:24,Tuesday,ROSEDALE STATION,MUATC,5,8,S,YU,5666
2020-12-01,08:05,Tuesday,MUSEUM STATION,SUDP,3,6,S,YU,5646
2020-12-01,08:16,Tuesday,SCARBOROUGH CTR STATIO,ERDO,6,11,N,SRT,3024
2020-12-01,08:32,Tuesday,EGLINTON STATION,MUSC,4,7,N,YU,5646
2020-12-01,09:38,Tuesday,OSGOODE STATION,SUO,0,0,N,YU,5886
2020-12-01,09:46,Tuesday,WELLESLEY STATION,TUO,3,6,S,YU,5876
2020-12-01,09:56,Tuesday,FINCH STATION,MUTO,5,8,S,YU,5636
2020-12-01,11:16,Tuesday,WOODBINE STATION,TUMVS,12,15,E,BD,5340
2020-12-01,12:16,Tuesday,DUNDAS STATION,SUDP,7,10,N,YU,5681
2020-12-01,13:05,Tuesday,BLOOR STATION,SUDP,4,7,S,YU,5896
2020-12-01,13:06,Tuesday,VAUGHAN MC STATION,MUCL,3,6,S,YU,5906
2020-12-01,13:10,Tuesday,KENNEDY SRT STATION,MRPAA,0,0,S,SRT,3026
2020-12-01,15:52,Tuesday,ST CLAIR STATION,MUPAA,3,6,S,YU,6036
2020-12-01,15:59,Tuesday,LANSDOWNE STATION,SUDP,7,10,E,BD,5118
2020-12-01,16:04,Tuesday,LANSDOWNE STATION,SUDP,0,0,W,BD,5030
2020-12-01,16:13,Tuesday,QUEENS PARK STATION,SUAP,25,28,N,YU,6036
2020-12-01,16:27,Tuesday,GREENWOOD STATION,MUPAA,3,6,E,BD,5118
2020-12-01,16:47,Tuesday,DONLANDS STATION,TUOS,3,6,E,BD,5223
2020-12-01,17:24,Tuesday,LAWRENCE WEST STATION,MUIE,0,0,,YU,0
2020-12-01,19:17,Tuesday,KENNEDY SRT STATION,ERDO,6,11,N,SRT,3007
2020-12-01,20:03,Tuesday,VICTORIA PARK STATION,MUIS,0,0,,BD,0
2020-12-01,20:15,Tuesday,ISLINGTON STATION,TUSC,0,0,W,BD,5137
2020-12-01,20:50,Tuesday,FINCH STATION,MUTO,4,7,S,YU,5896
2020-12-01,22:00,Tuesday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2020-12-01,22:01,Tuesday,PAPE STATION,MUIRS,0,0,,BD,0
2020-12-01,22:36,Tuesday,ISLINGTON STATION,MUIR,0,0,E,BD,5289
