Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2020-11-01,00:45,Sunday,WARDEN STATION,SUO,14,19,E,BD,5286
2020-11-01,01:24,Sunday,KENNEDY BD STATION,SUDP,0,0,,BD,0
2020-11-01,01:44,Sunday,BLOOR STATION,MUPAA,10,15,N,YU,5626
2020-11-01,01:55,Sunday,BLOOR STATION,TUO,17,22,S,YU,5621
2020-11-01,07:29,Sunday,DUNDAS WEST STATION,MUNCA,0,0,,BD,0
2020-11-01,08:00,Sunday,TORONTO TRANSIT COMMIS,MUO,0,0,,SHP,0
2020-11-01,08:00,Sunday,TORONTO TRANSIT COMMIS,MRO,0,0,,SRT,0
2020-11-01,08:00,Sunday,TORONTO TRANSIT CONTRO,MUO,0,0,,YU,0
2020-11-01,08:00,Sunday,YONGE-UNIVERSITY SUBWA,MUO,0,0,,YU,0
2020-11-01,08:19,Sunday,SHEPPARD WEST STATION,MUATC,9,14,N,YU,5456
2020-11-01,08:21,Sunday,GREENWOOD STATION,TUSC,0,0,E,BD,5346
2020-11-01,08:40,Sunday,YONGE BD STATION,MUIS,0,0,,BD,0
2020-11-01,09:06,Sunday,DUNDAS WEST STATION,MUSC,0,0,E,BD,5050
2020-11-01,09:07,Sunday,SHEPPARD-YONGE STATION,MUTO,4,9,E,SHP,6186
2020-11-01,09:21,Sunday,SHEPPARD-YONGE STATION,PUEO,3,8,E,SHP,6186
2020-11-01,10:17,Sunday,EGLINTON STATION,EUSC,0,0,N,YU,6001
2020-11-01,10:23,Sunday,ST GEORGE BD STATION,PUSNT,4,8,E,BD,5073
2020-11-01,10:26,Sunday,ST ANDREW STATION,SUAE,0,0,S,YU,5701
2020-11-01,10:33,Sunday,SHEPPARD WEST STATION,MUATC,5,10,S,YU,5451
2020-11-01,10:47,Sunday,ST PATRICK STATION,SUO,6,11,N,YU,5761
2020-11-01,10:56,Sunday,EGLINTON STATION,EUSC,0,0,N,YU,6001
2020-11-01,10:59,Sunday,BLOOR STATION,MUIS,0,0,S,YU,0
2020-11-01,11:05,Sunday,YONGE BD STATION,MUSC,0,0,E,BD,5050
2020-11-01,12:23,Sunday,MCCOWAN STATION,ERPR,6,12,S,SRT,3000
2020-11-01,12:48,Sunday,ST CLAIR WEST STATION,PUMO,0,0,,YU,0
2020-11-01,14:27,Sunday,PIONEER VILLAGE STATIO,MUIRS,0,0,,YU,0
2020-11-01,14:53,Sunday,DUNDAS STATION,MUIRS,0,0,,YU,0
2020-11-01,15:10,Sunday,EGLINTON STATION,MUSC,0,0,S,YU,6081
2020-11-01,15:21,Sunday,KENNEDY BD STATION,MUIS,0,0,,BD,0
2020-11-01,15:32,Sunday,ST GEORGE BD STATION,TUMVS,7,11,W,BD,5054
2020-11-01,15:45,Sunday,BATHURST STATION,MUSC,0,0,W,BD,5111
2020-11-01,16:19,Sunday,BLOOR STATION,SUDP,0,0,,YU,0
2020-11-01,16:26,Sunday,WOODBINE STATION,MUIRS,0,0,E,BD,0
2020-11-01,16:59,Sunday,MAIN STREET STATION,MUIRS,0,0,W,BD,5069
2020-11-01,17:22,Sunday,FINCH STATION,TUSC,0,0,S,YU,6081
2020-11-01,17:30,Sunday,KEELE STATION,TUMVS,0,0,E,BD,5320
2020-11-01,17:36,Sunday,VAUGHAN MC STATION,TUNOA,5,10,S,YU,0
2020-11-01,18:16,Sunday,FINCH STATION,TUNOA,6,12,S,YU,0
2020-11-01,18:24,Sunday,DUFFERIN STATION,MUIRS,0,0,E,BD,0
2020-11-01,18:30,Sunday,BLOOR STATION,MUIS,0,0,S,YU,0
2020-11-01,19:17,Sunday,KIPLING STATION,SUDP,4,8,E,BD,5208
2020-11-01,19:30,Sunday,VAUGHAN MC STATION,TUNOA,5,10,,YU,0
2020-11-01,19:30,Sunday,VAUGHAN MC STATION,TUNOA,5,10,,YU,0
2020-11-01,19:30,Sunday,VAUGHAN MC STATION,TUNOA,5,10,,YU,0
2020-11-01,19:30,Sunday,VAUGHAN MC STATION,TUNOA,5,10,,YU,0
2020-11-01,19:30,Sunday,VAUGHAN MC STATION,TUNOA,5,10,,YU,0
2020-11-01,19:30,Sunday,VAUGHAN MC STATION,TUNOA,5,10,,YU,0
2020-11-01,19:30,Sunday,VAUGHAN MC STATION,TUNOA,5,10,0,YU,0
2020-11-01,19:30,Sunday,VAUGHAN MC STATION,TUNOA,5,10,,YU,0
2020-11-01,20:03,Sunday,ROSEDALE STATION,TUOS,5,10,N,YU,5511
2020-11-01,20:11,Sunday,HIGH PARK STATION,SUAP,0,0,W,BD,5161
2020-11-01,20:20,Sunday,EGLINTON STATION,EUTR,6,12,N,YU,5511
2020-11-01,20:38,Sunday,EGLINTON STATION,MUIS,0,0,S,YU,0
2020-11-01,20:38,Sunday,OSSINGTON STATION,MUNCA,0,0,,BD,0
2020-11-01,22:00,Sunday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0
2020-11-01,22:05,Sunday,GREENWOOD STATION,TUOS,0,0,W,BD,5069
