Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2017-10-01,00:08,Sunday,EGLINTON STATION,MUDD,9,13,N,YU,5961
2017-10-01,00:35,Sunday,EGLINTON WEST TO ST CL,TUSC,0,0,S,YU,5411
2017-10-01,01:44,Sunday,DON MILLS STATION,SUAP,5,10,E,SHP,6161
2017-10-01,02:09,Sunday,DUNDAS STATION,MUPAA,0,0,N,YU,5671
2017-10-01,02:18,Sunday,MCCOWAN YARD,MRIE,0,0,,SRT,0
2017-10-01,02:20,Sunday,SPADINA YUS STATION,MUPAA,0,0,N,YU,5536
2017-10-01,04:50,Sunday,COXWELL STATION,SUDP,0,0,E,BD,5215
2017-10-01,04:58,Sunday,DUFFERIN STATION,MUIS,0,0,,BD,0
2017-10-01,05:01,Sunday,ISLINGTON STATION,MUNCA,0,0,,BD,0
2017-10-01,08:05,Sunday,VICTORIA PARK STATION,EUDO,6,17,E,BD,5131
2017-10-01,08:23,Sunday,MCCOWAN STATION,MRTO,6,11,S,SRT,3018
2017-10-01,08:26,Sunday,SHEPPARD WEST STATION,MUSC,0,0,S,YU,5911
2017-10-01,09:17,Sunday,BLOOR STATION,MUPAA,0,0,S,YU,5731
2017-10-01,10:40,Sunday,DUNDAS WEST STATION,TUSC,0,0,W,BD,5120
2017-10-01,10:41,Sunday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2017-10-01,11:27,Sunday,KENNEDY BD STATION,MUSC,0,0,E,BD,5195
2017-10-01,12:18,Sunday,WARDEN STATION,MUPLB,6,10,E,BD,5239
2017-10-01,12:25,Sunday,WILSON STATION,MUSC,0,0,S,YU,5941
2017-10-01,12:44,Sunday,ST GEORGE YUS STATION,TUMVS,3,7,S,YU,5941
2017-10-01,12:52,Sunday,WARDEN STATION,TUO,5,10,W,BD,5244
2017-10-01,12:54,Sunday,WARDEN STATION,MUIE,0,0,,BD,0
2017-10-01,13:46,Sunday,ROYAL YORK STATION,MUSC,0,0,E,BD,5325
2017-10-01,14:53,Sunday,OSGOODE STATION,TUOS,0,0,N,YU,5966
2017-10-01,15:10,Sunday,ST GEORGE YUS STATION,EUO,4,8,N,YU,5831
2017-10-01,15:14,Sunday,SHEPPARD STATION,MUPAA,0,0,N,YU,5601
2017-10-01,17:05,Sunday,KIPLING STATION,MUIE,0,0,E,BD,5365
2017-10-01,19:02,Sunday,OSSINGTON STATION,TUSC,0,0,W,BD,5297
2017-10-01,19:56,Sunday,EGLINTON STATION,MUPAA,0,0,N,YU,6041
2017-10-01,20:00,Sunday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2017-10-01,20:21,Sunday,YONGE SHP STATION,PUMEL,0,0,,SHP,0
2017-10-01,20:59,Sunday,UNION TO KING STATION,MUTO,0,0,S,YU,5601
2017-10-01,22:00,Sunday,YUS/BD/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2017-10-01,22:16,Sunday,FINCH STATION,TUNOA,4,8,S,YU,5536
2017-10-01,23:07,Sunday,DUNDAS STATION,MUO,0,0,S,YU,5396
2017-10-01,23:35,Sunday,ISLINGTON STATION,TUSC,0,0,W,BD,5225
2017-10-02,00:15,Monday,BATHURST STATION,MUSC,0,0,E,BD,5330
2017-10-02,00:37,Monday,WOODBINE STATION,MUSC,0,0,W,BD,5241
2017-10-02,05:56,Monday,KENNEDY BD STATION,MUSC,0,0,W,BD,5186
2017-10-02,06:06,Monday,JANE STATION,MUPAA,3,9,E,BD,5166
2017-10-02,06:23,Monday,YORKDALE STATION,MUSC,0,0,S,YU,5711
2017-10-02,06:37,Monday,KENNEDY BD STATION,MUSC,0,0,W,BD,5045
2017-10-02,06:41,Monday,KENNEDY BD STATION,MUSC,0,0,W,BD,5297
2017-10-02,06:59,Monday,KIPLING STATION,TUSC,3,7,E,BD,5110
2017-10-02,07:14,Monday,KENNEDY BD STATION,TUSC,0,0,E,BD,5215
2017-10-02,07:21,Monday,UNION STATION,SUAP,0,0,,YU,0
2017-10-02,07:49,Monday,CASTLE FRANK STATION,EUBK,0,0,E,BD,5352
2017-10-02,08:13,Monday,YONGE BD STATION,MUI,6,8,W,BD,5128
2017-10-02,08:15,Monday,QUEEN'S PARK STATION,MUIR,5,7,S,YU,5381
2017-10-02,08:28,Monday,UNION STATION,SUAP,0,0,,YU,0
