Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014-01-01,95,00:23:00,Wednesday,York Mills station,Mechanical,10.0,20.0,E,1734.0
2014-01-01,102,00:55:00,Wednesday,Entire run for route,General Delay,33.0,66.0,b/w,8110.0
2014-01-01,54,01:28:00,Wednesday,lawrence and Warden,Mechanical,10.0,20.0,WB,7478.0
2014-01-01,112,01:30:00,Wednesday,Kipling Station,Emergency Services,18.0,36.0,N,8084.0
2014-01-01,24,01:37:00,Wednesday,VP and Ellesmere,Investigation,10.0,20.0,n,7843.0
2014-01-01,129,01:50:00,Wednesday,Scarborough Town,Mechanical,10.0,20.0,N,1755.0
2014-01-01,36,02:28:00,Wednesday,humberline at woodlot,Mechanical,16.0,32.0,w,1322.0
2014-01-01,53,02:30:00,Wednesday,Passmore and Markham,Mechanical,18.0,36.0,W,7043.0
2014-01-01,36,02:33:00,Wednesday,finch stn,Mechanical,16.0,30.0,w,7933.0
2014-01-01,320,02:44:00,Wednesday,steele at yonge,Mechanical,7.0,14.0,s,8187.0
2014-01-01,91,03:25:00,Wednesday,Woodbine stn,Mechanical,40.0,60.0,b/w,8147.0
2014-01-01,129,03:26:00,Wednesday,Mc Cowan at Bridley,Diversion,74.0,0.0,BW,1741.0
2014-01-01,96,03:36:00,Wednesday,wilson at keele,Mechanical,20.0,40.0,w,7949.0
2014-01-01,54,03:39:00,Wednesday,Lawrence and Scarborough Golf Club Rd,Emergency Services,30.0,60.0,WB,7662.0
2014-01-01,12,03:42:00,Wednesday,VP and Danforth ave,Investigation,25.0,50.0,n,7886.0
2014-01-01,12,03:42:00,Wednesday,Victoria / Park  / Danforth Ave.,Investigation,25.0,50.0,SB,7886.0
2014-01-01,54,03:50:00,Wednesday,Lawrence & Charlottetown,Emergency Services,30.0,60.0,WB,7624.0
2014-01-01,302,04:07:00,Wednesday,Mc Cowan and bridley,Diversion,0.0,0.0,BW,
2014-01-01,320,04:30:00,Wednesday,yonge at queen,Investigation,15.0,30.0,n,7824.0
2014-01-01,35,04:55:00,Wednesday,Jane and Hullmar,Mechanical,30.0,63.0,N,1362.0
2014-01-01,54,05:15:00,Wednesday,Lawrence & Brimley,Utilized Off Route,0.0,0.0,W,7634.0
2014-01-01,32,05:20:00,Wednesday,Renforth loop,Mechanical,30.0,1.0,E,1667.0
2014-01-01,29,05:35:00,Wednesday,Wilson Stn,Late Leaving Garage,10.0,20.0,SB,9429.0
2014-01-01,300,05:35:00,Wednesday,Bloor and Lansdowne,Mechanical,6.0,12.0,EB,8137.0
2014-01-01,302,05:40:00,Wednesday,Steeles and Mccowan,Late Leaving Garage,30.0,60.0,SB,7788.0
2014-01-01,809,05:40:00,Wednesday,60 Clearview hights at Trethewey,Utilized Off Route,1.0,1.0,BW,1593.0
2014-01-01,809,05:40:00,Wednesday,60 Clearview hights at Trethewey,Utilized Off Route,1.0,1.0,BW,1591.0
2014-01-01,161,05:50:00,Wednesday,Ossington Station,Late Leaving Garage,13.0,1.0,n,1638.0
2014-01-01,300,05:58:00,Wednesday,Bloor and Old Mill,Mechanical,6.0,12.0,EB,8122.0
2014-01-01,96,06:05:00,Wednesday,Arrow Garage,Mechanical,1.0,1.0,W,1257.0
2014-01-01,29,06:15:00,Wednesday,Wilson Stn,Mechanical,10.0,20.0,SB,9444.0
2014-01-01,54,06:35:00,Wednesday,Lawrence & Brimley,Diversion,368.0,423.0,W,7688.0
2014-01-01,300,06:37:00,Wednesday,Danforth and Danforth,Late Leaving Garage,6.0,12.0,EB,7592.0
2014-01-01,58,06:54:00,Wednesday,T1 - Airport,Late Leaving Garage,20.0,42.0,E,1568.0
2014-01-01,41,07:00:00,Wednesday,Founders and Steeles,Late Leaving Garage,10.0,30.0,S,1578.0
2014-01-01,37,07:30:00,Wednesday,Rexdale and Islington,Mechanical,9.0,18.0,S,7960.0
2014-01-01,54,07:45:00,Wednesday,Eglinton Stn,Mechanical,30.0,41.0,E,6809.0
2014-01-01,96,07:45:00,Wednesday,Carrier Loop,Mechanical,18.0,36.0,E,1200.0
2014-01-01,89,07:50:00,Wednesday,Keele and St. Clair,Diversion,90.0,105.0,N,1620.0
2014-01-01,41,07:50:00,Wednesday,Keele and St. Clair,Diversion,90.0,100.0,n,1578.0
2014-01-01,34,07:54:00,Wednesday,Eglinton STn,Utilized Off Route,9.0,19.0,E,7691.0
2014-01-01,43,08:00:00,Wednesday,Kennedy Stn,Mechanical,9.0,0.0,N,7535.0
2014-01-01,21,08:00:00,Wednesday,Brimley  /  Lawrence,Diversion,16.0,32.0,bw,7740.0
2014-01-01,58,08:00:00,Wednesday,Lawrence West Station,Late Leaving Garage,20.0,40.0,W,1634.0
2014-01-01,86,08:04:00,Wednesday,Kennedy Stn,Mechanical,12.0,25.0,E,7588.0
2014-01-01,7,08:06:00,Wednesday,Bathurst and Steeles.,Utilized Off Route,9.0,18.0,S,8194.0
2014-01-01,42,08:15:00,Wednesday,Kennedy Loop,Late Leaving Garage,15.0,30.0,WB,1391.0
2014-01-01,310,08:20:00,Wednesday,Bathurst and Wilson,Mechanical,12.0,24.0,NB,8387.0
2014-01-01,38,08:24:00,Wednesday,Rouge Hill Go Station,Late Leaving Garage,24.0,0.0,WB,1107.0
2014-01-01,30,08:30:00,Wednesday,High Park Station,Mechanical,30.0,0.0,W,7302.0
2014-01-01,60,08:30:00,Wednesday,steeles at martingrove lp,Mechanical,20.0,40.0,e,7907.0
2014-01-01,199,08:35:00,Wednesday,Scarborough Town Centre,Late Leaving Garage,10.0,20.0,WB,1104.0
2014-01-01,54,08:44:00,Wednesday,Eglinton Stn,Mechanical,29.0,45.0,E,7415.0
2014-01-01,5,08:45:00,Wednesday,Eglinton Stn,Late Leaving Garage,15.0,30.0,SB,8337.0
2014-01-01,165,08:50:00,Wednesday,York Mills Stn,Mechanical,10.0,20.0,W,7954.0
2014-01-01,97,09:00:00,Wednesday,Davisville Stn,Late Leaving Garage,15.0,30.0,NB,1381.0
2014-01-01,36,09:04:00,Wednesday,finch stn,Mechanical,7.0,14.0,w,1265.0
2014-01-01,29,09:05:00,Wednesday,Springhurst Loop,Late Leaving Garage,5.0,10.0,NB,9443.0
2014-01-01,91,09:20:00,Wednesday,Bermondsay  /  Eglinton,Mechanical,20.0,40.0,Nnb,7861.0
2014-01-01,116,09:22:00,Wednesday,Morningside & Nightstar,Mechanical,11.0,15.0,S,7460.0
2014-01-01,37,09:23:00,Wednesday,Humberwood Loop,Mechanical,20.0,40.0,S,1299.0
2014-01-01,86,09:24:00,Wednesday,Kennedy Stn,Mechanical,7.0,14.0,E,7522.0
2014-01-01,102,09:36:00,Wednesday,McNicoll / Dynamic,Late Leaving Garage,12.0,24.0,SB,8114.0
2014-01-01,39,09:37:00,Wednesday,Finch and McCowan,Mechanical,10.0,20.0,EB,1709.0
2014-01-01,199,09:45:00,Wednesday,Scarborough Town Centre,Mechanical,10.0,20.0,WB,1761.0
2014-01-01,43,09:52:00,Wednesday,Kennedy and Sheppard,Mechanical,6.0,12.0,NB,7409.0
2014-01-01,29,10:00:00,Wednesday,Wilson Stn,Utilized Off Route,5.0,10.0,SB,1794.0
2014-01-01,192,10:01:00,Wednesday,Kipling Station,Mechanical,14.0,27.0,n,8007.0
2014-01-01,29,10:13:00,Wednesday,wilson stn,Mechanical,10.0,20.0,S,9402.0
2014-01-01,59,10:30:00,Wednesday,Lawrence West Stn,Mechanical,30.0,60.0,W,7911.0
2014-01-01,125,10:30:00,Wednesday,Finch stn,Mechanical,15.0,30.0,E,8210.0
2014-01-01,37,10:40:00,Wednesday,islington at dixon,Mechanical,20.0,42.0,s,7957.0
2014-01-01,103,10:40:00,Wednesday,Eglinton stn,Mechanical,15.0,30.0,N,1796.0
2014-01-01,32,10:57:00,Wednesday,Eglinton west station,Mechanical,15.0,30.0,W,1682.0
2014-01-01,36,10:59:00,Wednesday,Finch Station,Mechanical,10.0,20.0,w,1223.0
2014-01-01,102,11:08:00,Wednesday,Warden Station,Mechanical,12.0,24.0,B/W,7881.0
2014-01-01,106,11:10:00,Wednesday,wilson div.,Late Leaving Garage,15.0,30.0,N,1813.0
2014-01-01,25,11:12:00,Wednesday,Freshmeadow & Don Mills,Mechanical,6.0,12.0,S,7612.0
2014-01-01,68,11:30:00,Wednesday,Warden Stn,Mechanical,24.0,31.0,N,7466.0
2014-01-01,60,11:46:00,Wednesday,martingrove at steeles lp,Mechanical,16.0,32.0,e,1364.0
2014-01-01,36,11:47:00,Wednesday,finch at bathurst,Mechanical,6.0,11.0,e,1239.0
2014-01-01,191,11:50:00,Wednesday,humbercollege blvd,Mechanical,15.0,30.0,s,7900.0
2014-01-01,809,12:12:00,Wednesday,Mt. Dennis Division,Utilized Off Route,1.0,1.0,BW,1050.0
2014-01-01,6,12:12:00,Wednesday,Bedford and Dupont,Utilized Off Route,12.0,24.0,S,1534.0
2014-01-01,190,12:17:00,Wednesday,Scarborough town centre,Late Leaving Garage,10.0,20.0,wb,1758.0
2014-01-01,9,12:21:00,Wednesday,Warden Station,Late Leaving Garage,20.0,40.0,B/W,7882.0
2014-01-01,85,12:28:00,Wednesday,Metro Zoo,Late Leaving Garage,5.0,10.0,WB,1717.0
2014-01-01,89,12:31:00,Wednesday,Albion and Weston Rd,Late Leaving Garage,9.0,18.0,s/b,1048.0
2014-01-01,106,13:45:00,Wednesday,Downsview stn,Mechanical,15.0,30.0,N,8358.0
2014-01-01,26,13:47:00,Wednesday,Annette and High Park Ave.,Investigation,30.0,60.0,E,8057.0
2014-01-01,90,13:50:00,Wednesday,St.Clair west stn,Mechanical,15.0,30.0,N,1780.0
2014-01-01,46,14:05:00,Wednesday,Kipling Station,Mechanical,15.0,30.0,N,7925.0
2014-01-01,7,14:19:00,Wednesday,Bathurst and Wilson,Mechanical,9.0,18.0,N,
2014-01-01,85,14:30:00,Wednesday,Malvern Gate,Mechanical,5.0,10.0,WB,1076.0
2014-01-01,52,14:57:00,Wednesday,Lawrence Ave West Station,Mechanical,9.0,18.0,e/b,1500.0
2014-01-01,90,15:00:00,Wednesday,St.Clair west stn,Mechanical,15.0,30.0,N,1811.0
2014-01-01,37,15:30:00,Wednesday,Humberwood loop,Mechanical,15.0,30.0,S,1240.0
2014-01-01,68,15:53:00,Wednesday,Warden Station,Mechanical,12.0,24.0,NB,7557.0
2014-01-01,34,15:54:00,Wednesday,Kennedy Station,Mechanical,9.0,18.0,NB,7510.0
2014-01-01,104,16:00:00,Wednesday,Wilson stn,Mechanical,15.0,30.0,N,1803.0
2014-01-01,10,16:08:00,Wednesday,Donmills stn,Mechanical,1.0,1.0,E,8331.0
2014-01-01,53,16:16:00,Wednesday,Passmore & Markham,Mechanical,13.0,20.0,WB,1103.0
2014-01-01,6,16:24:00,Wednesday,Dockside and Queens Quay,Mechanical,14.0,28.0,n/b,1534.0
2014-01-01,104,16:25:00,Wednesday,Downsview stn,Mechanical,15.0,30.0,N,8357.0
2014-01-01,129,16:36:00,Wednesday,STC,Mechanical,8.0,16.0,N/B,1147.0
2014-01-01,102,16:48:00,Wednesday,Warden Station,Mechanical,10.0,20.0,S/B,7811.0
2014-01-01,104,16:56:00,Wednesday,Allen Rd. & Transit Rd.,Mechanical,15.0,30.0,N,8343.0
2014-01-01,113,17:04:00,Wednesday,Kennedy Station,Mechanical,20.0,40.0,S/B,8126.0
2014-01-01,190,17:10:00,Wednesday,Trinton & Borough Dr,Mechanical,10.0,20.0,W,1090.0
2014-01-01,133,17:20:00,Wednesday,STC,Mechanical,10.0,20.0,E,1084.0
2014-01-01,45,18:26:00,Wednesday,KIPLING AND BEACONHILL,Mechanical,10.0,20.0,S,8032.0
2014-01-01,41,18:27:00,Wednesday,Keele and Finch,Diversion,35.0,44.0,s/b,1551.0
2014-01-01,43,19:05:00,Wednesday,Kennedy Station,Mechanical,15.0,30.0,NB,7565.0
2014-01-01,60,19:10:00,Wednesday,Islington,Mechanical,11.0,22.0,W,1236.0
2014-01-01,102,19:16:00,Wednesday,Dynamic,Mechanical,10.0,20.0,s,8144.0
2014-01-01,192,19:45:00,Wednesday,Kipling Station,Mechanical,10.0,20.0,S,8009.0
2014-01-01,70,20:10:00,Wednesday,Coxwell & Danforth,Mechanical,9.0,0.0,N,7444.0
2014-01-01,104,20:14:00,Wednesday,Searle at Wilmington,Investigation,20.0,40.0,N,8318.0
2014-01-01,161,20:16:00,Wednesday,Rogers/Boon,Investigation,20.0,40.0,W,1613.0
2014-01-01,7,20:18:00,Wednesday,Bathurst and Woburn,Investigation,9.0,18.0,S,8169.0
2014-01-01,85,20:43:00,Wednesday,Sheppard & Victoria Park,Investigation,30.0,60.0,W,1088.0
2014-01-01,43,20:58:00,Wednesday,Kennedy and Lawrence,Investigation,15.0,30.0,NB,7610.0
2014-01-01,131,22:43:00,Wednesday,Nugget and Markham,Mechanical,22.0,44.0,W,1129.0
2014-01-01,165,23:00:00,Wednesday,Yonge/Wilson,Mechanical,9.0,18.0,w,1220.0
2014-01-01,37,23:45:00,Wednesday,Islington loop,Mechanical,30.0,60.0,s,1359.0
2014-01-02,85,00:23:00,Thursday,Meadowvale Loop,Utilized Off Route,10.0,20.0,W,1069.0
2014-01-02,25,00:34:00,Thursday,Pape Station,Utilized Off Route,12.0,24.0,NB,7561.0
2014-01-02,53,00:35:00,Thursday,Finch station,Utilized Off Route,20.0,40.0,E,1742.0
2014-01-02,43,00:35:00,Thursday,Kennedy Station,Utilized Off Route,15.0,30.0,NB,7497.0
2014-01-02,116,00:36:00,Thursday,Kennedy Station,Utilized Off Route,17.0,34.0,EB,7589.0
2014-01-02,91,00:38:00,Thursday,Woodbine stn,Utilized Off Route,20.0,25.0,n,7796.0
2014-01-02,113,00:38:00,Thursday,Kennedy stn,Utilized Off Route,30.0,60.0,w,7712.0
2014-01-02,100,00:40:00,Thursday,Broadview Station,Utilized Off Route,15.0,30.0,NB,7533.0
2014-01-02,24,00:44:00,Thursday,VP stn,Utilized Off Route,15.0,30.0,n,8135.0
