Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-06-01,62,00:00:00,Monday,Mortimer & Donlands,Mechanical,10.0,20.0,W/B,8555.0
2020-06-01,86,00:01:00,Monday,Kingston and Beechgrove,Emergency Services,10.0,20.0,W/B,8710.0
2020-06-01,29,00:14:00,Monday,Dufferin and Bloor,Diversion,70.0,85.0,B/W,9022.0
2020-06-01,87,00:20:00,Monday,Main Station,Utilized Off Route,10.0,20.0,W/B,8494.0
2020-06-01,53,01:02:00,Monday,Finch Station,Investigation,20.0,40.0,E/B,1402.0
2020-06-01,116,01:03:00,Monday,Eglinton and Danforth,Diversion,154.0,205.0,E/B,8693.0
2020-06-01,86,01:03:00,Monday,Eglinton and Danforth,Diversion,92.0,107.0,E/B,8754.0
2020-06-01,102,01:12:00,Monday,Markham and Ellesmere,Emergency Services,10.0,20.0,N/B,3127.0
2020-06-01,320,01:45:00,Monday,0533 Yonge & Queens Quay,Utilized Off Route,10.0,17.0,N/B,8134.0
2020-06-01,307,02:47:00,Monday,Greenwin & Bathurst,Vision,30.0,60.0,W/B,8345.0
2020-06-01,353,04:39:00,Monday,Newgale Gate and Tapscott,Mechanical,30.0,30.0,W/B,9069.0
2020-06-01,134,05:06:00,Monday,Tapscott at crowntrail,Investigation,18.0,36.0,N/B,1334.0
2020-06-01,134,05:15:00,Monday,Tapscott and Crow Trail,Late Leaving Garage - Operator,20.0,38.0,W/B,1663.0
2020-06-01,21,05:31:00,Monday,Brimley and Steeles,Late Leaving Garage - Operator,20.0,20.0,S/B,3562.0
2020-06-01,54,05:40:00,Monday,Lawrence and Scarborough Golf Club,Late Leaving Garage - Operator,30.0,42.0,E/B,8660.0
2020-06-01,34,06:06:00,Monday,Kennedy station,Investigation,8.0,16.0,W/B,8934.0
2020-06-01,53,06:09:00,Monday,FINCH STATION,Mechanical,9.0,18.0,E/B,3538.0
2020-06-01,113,06:11:00,Monday,Kenndy stn,Investigation,12.0,24.0,S/B,8530.0
2020-06-01,32,06:15:00,Monday,Eglinton Station,Investigation,7.0,14.0,W/B,1127.0
2020-06-01,105,06:31:00,Monday,Sheppard West Station,Mechanical,11.0,22.0,W/B,8131.0
2020-06-01,56,06:45:00,Monday,Eglinton station,Mechanical,10.0,20.0,S/B,1252.0
2020-06-01,54,06:54:00,Monday,Kennedy Stn.,Mechanical,13.0,26.0,E/B,8657.0
2020-06-01,52,07:13:00,Monday,Lawrence West Station,Mechanical,18.0,36.0,E/B,8205.0
2020-06-01,109,07:36:00,Monday,Neptune and Baycrest,Investigation,15.0,30.0,W/B,1257.0
2020-06-01,52,07:38:00,Monday,Lawrence Station,Utilized Off Route,18.0,36.0,W/B,8181.0
2020-06-01,63,07:40:00,Monday,Oakwood loop,Mechanical,4.0,7.0,S/B,1249.0
