Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014-01-02,505,06:31:00,Thursday,Dundas and Roncesvalles,Late Leaving Garage,4,8.0,E/B,4018.0
2014-01-02,504,12:43:00,Thursday,King and Shaw,Utilized Off Route,20,22.0,E/B,4128.0
2014-01-02,501,14:01:00,Thursday,Kingston road and Bingham,Held By,13,19.0,W/B,4016.0
2014-01-02,504,14:22:00,Thursday,King St. and Roncesvalles Ave.,Investigation,7,11.0,W/B,4175.0
2014-01-02,504,16:42:00,Thursday,King and Bathurst,Utilized Off Route,3,6.0,E/B,4080.0
2014-01-02,501,17:39:00,Thursday,Queen and Beaconsfeild,Held By,7,13.0,W/B,4202.0
2014-01-02,504,18:38:00,Thursday,Roncesvalles and King Street West,Utilized Off Route,4,7.0,E/B,4100.0
2014-01-02,510,19:27:00,Thursday,Spadina and St. Andrews,Investigation,20,22.0,S/B,4123.0
2014-01-03,504,01:00:00,Friday,Broadview and Queen,Utilized Off Route,7,14.0,W/B,4079.0
2014-01-03,512,05:09:00,Friday,Bathurst and St. Clair,Mechanical,3,6.0,E/B,4160.0
2014-01-03,501,05:19:00,Friday,Queen and Roncesvalles,Mechanical,5,11.0,W/B,4037.0
2014-01-03,511,05:22:00,Friday,King at Bathurst,Mechanical,5,11.0,S/B,4168.0
2014-01-03,501,05:25:00,Friday,Queen and Roncesvalles,Mechanical,5,11.0,W/B,4036.0
2014-01-03,501,05:29:00,Friday,Roncesvalles and Queen,Mechanical,4,11.0,W/B,
2014-01-03,512,05:33:00,Friday,Bathurst at St. Clair,Mechanical,3,6.0,E/B,4082.0
2014-01-03,512,05:39:00,Friday,Bathurst at St Clair,Mechanical,3,6.0,E/B,4127.0
2014-01-03,501,05:40:00,Friday,Roncesvalles and Queen,Mechanical,1,7.0,W/B,
2014-01-03,506,05:47:00,Friday,Roncevalles and Howard Park,Mechanical,5,11.0,E/B,
2014-01-03,512,05:47:00,Friday,Bathurst and St Clair,Mechanical,3,6.0,E/B,4166.0
2014-01-03,506,05:48:00,Friday,Roncesvalles and Howard Park,Mechanical,5,11.0,E/B,
2014-01-03,511,05:54:00,Friday,King and Bathurst,Mechanical,6,11.0,N/B,
2014-01-03,511,05:59:00,Friday,King at Bathurst,Mechanical,5,11.0,N/B,
2014-01-03,512,06:03:00,Friday,Bathurst and St. Clair,Mechanical,3,5.0,E/B,
2014-01-03,511,06:06:00,Friday,King at Bathurst,Mechanical,5,11.0,N/B,4152.0
2014-01-03,511,06:13:00,Friday,King at Bathurst,Mechanical,5,11.0,N/B,4000.0
2014-01-03,511,06:15:00,Friday,King at Bathurst,Mechanical,5,11.0,N/B,4040.0
2014-01-03,506,06:20:00,Friday,Roncesvalles and Howard Park,Mechanical,5,11.0,E/B,4147.0
2014-01-03,501,06:22:00,Friday,Queen and Roncesvalles,Mechanical,5,11.0,W/B,
2014-01-03,505,06:23:00,Friday,Dundas West Station,Mechanical,6,12.0,E/B,
2014-01-03,506,06:25:00,Friday,Roncesvalles and Howard Park,Mechanical,5,11.0,E/B,4178.0
2014-01-03,511,06:25:00,Friday,King at Bathurst,Mechanical,5,11.0,N/B,4073.0
2014-01-03,501,06:27:00,Friday,Queen and Roncesvalles,Mechanical,5,11.0,W/B,
2014-01-03,504,06:30:00,Friday,Roncesvalles and Queen,Mechanical,4,8.0,W/B,
2014-01-03,501,06:32:00,Friday,Queen St. E. and Rainsford,Mechanical,6,12.0,W/B,4251.0
2014-01-03,506,06:33:00,Friday,Roncesvalles and Howard Park,Mechanical,6,11.0,E/B,4164.0
2014-01-03,504,06:33:00,Friday,Roncesvalles and Queen,Mechanical,4,12.0,W/B,
2014-01-03,506,06:49:00,Friday,Roncesvalles and Howard Park,Mechanical,6,11.0,E/B,
2014-01-03,501,06:49:00,Friday,Queen and Roncesvalles,Mechanical,5,11.0,W/B,
2014-01-03,508,06:51:00,Friday,Roncesvalles and Queen,Mechanical,13,0.0,W/B,
2014-01-03,503,06:52:00,Friday,Kingston Road and Beech,Mechanical,20,32.0,W/B,4137.0
2014-01-03,502,06:52:00,Friday,Kingston Road and Beech,Mechanical,20,32.0,W/B,4004.0
2014-01-03,506,06:57:00,Friday,Roncesvalles and Howard Park,Mechanical,4,8.0,E/B,
2014-01-03,508,07:04:00,Friday,Queen and Roncesvalles,Mechanical,12,36.0,W/B,
2014-01-03,504,07:07:00,Friday,Queen and roncesvalles,Mechanical,2,4.0,W/B,
2014-01-03,504,07:09:00,Friday,Roncesvalles and Howard Park,Mechanical,5,11.0,E/B,
2014-01-03,504,07:11:00,Friday,Queen and Roncesvalles,Mechanical,2,4.0,W/B,
2014-01-03,504,07:15:00,Friday,Queen and Roncesvalles,Mechanical,2,4.0,W/B,
2014-01-03,508,07:16:00,Friday,Queen and Roncesvalles,Mechanical,12,36.0,W/B,
