Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2014-02-01,504,11:45:00,Saturday,,General Delay,0,0,E/B,
2014-02-01,501,17:43:00,Saturday,Broadview and queen,Mechanical,9,15,E/B,4208.0
2014-02-03,511,05:51:00,Monday,queen and Roncesvales,Late Leaving Garage,5,10,E/B,4095.0
2014-02-03,401,06:01:00,Monday,queen and roncesvalles,Late Leaving Garage,10,20,W/B,4241.0
2014-02-03,512,06:08:00,Monday,queen and Roincesvalles,Late Leaving Garage,4,8,E/B,4100.0
2014-02-03,512,06:12:00,Monday,queen and roncesvalles,Late Leaving Garage,4,8,E/B,4188.0
2014-02-03,511,06:15:00,Monday,Queen and Roncesvalles,Late Leaving Garage,5,10,E/B,4141.0
2014-02-03,506,07:06:00,Monday,queen and roncesvalles,Late Leaving Garage,7,14,E/B,4167.0
2014-02-03,506,09:35:00,Monday,College and Bathurst,Investigation,17,23,W/B,4015.0
2014-02-03,505,10:11:00,Monday,McCaul at Dundas,Held By,6,12,W/B,4051.0
2014-02-03,506,11:44:00,Monday,College at Havelock,Investigation,0,0,W/B,4180.0
2014-02-03,501,12:16:00,Monday,Humber Loop to Neville,General Delay,10,16,E/B,4223.0
2014-02-03,511,15:27:00,Monday,Bathurst and ulster,Utilized Off Route,14,18,N/B,4029.0
2014-02-03,504,20:35:00,Monday,king and Feramanagh,General Delay,38,42,S/B,4044.0
2014-02-03,501,20:43:00,Monday,Queen and Shaw,General Delay,6,11,W/B,4209.0
2014-02-03,509,20:45:00,Monday,Exhibition loop,General Delay,4,8,E/B,9449.0
2014-02-03,509,20:45:00,Monday,Exhibition Loop,General Delay,4,8,E/B,7509.0
2014-02-03,501,21:19:00,Monday,Queen and Broadview,General Delay,5,11,E/B,4228.0
2014-02-04,501,06:56:00,Tuesday,queensway and Roncesvalles,General Delay,10,16,E/B,4225.0
2014-02-04,503,07:15:00,Tuesday,Bingham Loop,General Delay,30,42,S/B,4066.0
2014-02-04,502,07:18:00,Tuesday,Bingham Loop,General Delay,26,38,W/B,4014.0
2014-02-04,509,08:19:00,Tuesday,CNE Loop,Investigation,5,10,E/B,7517.0
2014-02-04,504,09:43:00,Tuesday,Dundas West Stn,General Delay,7,9,N/B,4176.0
2014-02-04,506,12:38:00,Tuesday,Howard Park and Parkside,General Delay,47,52,W/B,4022.0
2014-02-04,502,12:45:00,Tuesday,Queen and Connaught,Late Leaving Garage,32,48,E/B,4137.0
2014-02-04,504,13:13:00,Tuesday,Broadview @ Dundas,Late Leaving Garage,3,6,W/B,4091.0
2014-02-04,905,13:26:00,Tuesday,Lakeshore and 23rd Street,Investigation,0,0,W/B,4244.0
2014-02-04,504,13:56:00,Tuesday,Broadview @ Dundas,Late Leaving Garage,3,6,W/B,4066.0
2014-02-04,506,15:35:00,Tuesday,Carlton and Sherborne,Emergency Services,19,24,E/B,4000.0
2014-02-04,512,18:40:00,Tuesday,St.Clair Stn,Emergency Services,22,25,W/B,4161.0
2014-02-04,504,20:06:00,Tuesday,Roncesnalles and Howard Pk,Utilized Off Route,21,25,W/B,4172.0
2014-02-04,511,20:58:00,Tuesday,King and Bathurst,Utilized Off Route,5,10,N/B,4017.0
2014-02-07,506,06:52:00,Friday,Russell Yard,Late Leaving Garage,4,7,E/B,4073.0
2014-02-07,504,07:51:00,Friday,Queen and Roncesvalles,Late Leaving Garage,2,4,E/B,
2014-02-07,510,07:53:00,Friday,Spadina Station,Late Leaving Garage,6,8,N/B,4098.0
2014-02-07,501,10:15:00,Friday,Queen and Victoria,Investigation,4,9,W/B,4209.0
2014-02-07,504,13:00:00,Friday,Broadview Stn to Dundas W Stn,General Delay,20,8,B/W,
2014-02-07,504,13:48:00,Friday,Roncesvalles and Garden,Held By,12,16,W/B,4127.0
2014-02-07,501,14:03:00,Friday,Queen and River,Investigation,43,48,B/W,4219.0
