Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-04-01,504,00:55:00,Sunday,Broadview Station,Mechanical,10,20.0,E/B,4180.0
2018-04-01,504,06:44:00,Sunday,Parliament,General Delay,8,16.0,E/B,4454.0
2018-04-01,501,06:48:00,Sunday,Neville Loop,Mechanical,8,16.0,W/B,4232.0
2018-04-01,504,07:08:00,Sunday,King and Duffering,General Delay,8,16.0,W/B,4402.0
2018-04-01,501,08:03:00,Sunday,Shaw,Mechanical,8,22.0,W/B,4153.0
2018-04-01,511,08:17:00,Sunday,Bathurst and King,Mechanical,6,12.0,S/B,4199.0
2018-04-01,514,08:55:00,Sunday,Dufferin and King,General Delay,15,30.0,W/B,4435.0
2018-04-01,504,09:23:00,Sunday,Roncesvalles and Queen,General Delay,8,16.0,W/B,4430.0
2018-04-01,510,09:46:00,Sunday,Spadina Stn,Mechanical,4,8.0,N/B,4464.0
2018-04-01,504,10:30:00,Sunday,Roncy and Queen,Utilized Off Route,6,12.0,W/B,4410.0
2018-04-01,514,11:15:00,Sunday,Parliament and King,Utilized Off Route,11,22.0,E/B,4448.0
2018-04-01,504,11:20:00,Sunday,Roncy and Queen,General Delay,8,16.0,W/B,4456.0
2018-04-01,501,11:29:00,Sunday,Beverly,Investigation,14,22.0,W/B,4141.0
2018-04-01,504,11:57:00,Sunday,Parliament and King,General Delay,7,14.0,E/B,4429.0
2018-04-01,511,12:22:00,Sunday,King,Investigation,27,32.0,S/B,4120.0
2018-04-01,510,12:35:00,Sunday,College,Mechanical,38,42.0,S/B,4467.0
2018-04-01,501,12:51:00,Sunday,Roncesvalles and Queen,Mechanical,7,14.0,W/B,4200.0
2018-04-01,504,13:09:00,Sunday,King and Portland,General Delay,18,26.0,W/B,4402.0
2018-04-01,504,13:09:00,Sunday,King and Portland,Investigation,18,26.0,W/B,4402.0
2018-04-01,514,13:09:00,Sunday,King and Portland,Held By,11,22.0,W/B,4448.0
2018-04-01,501,16:16:00,Sunday,Neville park to Kingston road,General Delay,5,10.0,B/W,4193.0
2018-04-01,501,18:01:00,Sunday,Longbranch and lakeshore,Mechanical,7,14.0,W/B,8015.0
2018-04-01,501,18:10:00,Sunday,Queensway and Glendale,Mechanical,5,10.0,W/B,4032.0
2018-04-01,506,23:24:00,Sunday,Main Stn,Mechanical,10,20.0,W/B,8118.0
2018-04-02,501,00:26:00,Monday,lakeshore and mimico,Mechanical,10,20.0,W/B,8062.0
2018-04-02,301,02:45:00,Monday,,Utilized Off Route,10,20.0,W/B,7945.0
2018-04-02,501,04:44:00,Monday,Queen and Connaught,Mechanical,12,24.0,W/B,4247.0
2018-04-02,501,06:23:00,Monday,Queensways and South Kingsway,Mechanical,6,12.0,E/B,4204.0
2018-04-02,514,06:47:00,Monday,Leslie Barns,Late Leaving Garage,8,16.0,W/B,4449.0
2018-04-02,506,06:48:00,Monday,College and Spadina,Mechanical,5,10.0,WB,7860.0
2018-04-02,510,07:00:00,Monday,Leslie Barns,Late Leaving Garage,5,10.0,W/B,4465.0
2018-04-02,510,07:08:00,Monday,Leslie Barns,Late Leaving Garage,5,10.0,W/B,4451.0
2018-04-02,510,07:23:00,Monday,Leslie Barns,Late Leaving Garage,5,10.0,W/B,4458.0
2018-04-02,506,09:06:00,Monday,Main Station,Mechanical,4,8.0,WB,1395.0
2018-04-02,506,09:24:00,Monday,Main Station,Mechanical,4,8.0,WB,7842.0
2018-04-02,505,10:54:00,Monday,Dundas & University,Investigation,4,8.0,E/B,8170.0
