Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-07-01,301,00:06:00,Sunday,Neville park,Held By,244.0,253.0,B/W,4030.0
2018-07-01,505,00:24:00,Sunday,University and Dundas,Mechanical,9.0,18.0,E/B,8951.0
2018-07-01,301,01:49:00,Sunday,South Queensway and Queensway,Mechanical,9.0,18.0,E/B,4187.0
2018-07-01,504,03:35:00,Sunday,Queen and Connaught,Investigation,0.0,0.0,E/B,4039.0
2018-07-01,501,04:02:00,Sunday,Queen and peter,Held By,320.0,330.0,B/W,4049.0
2018-07-01,301,04:05:00,Sunday,Long branch loop,Mechanical,30.0,60.0,E/B,4165.0
2018-07-01,501,06:03:00,Sunday,Russell Yard,Late Leaving Garage,9.0,18.0,E/B,4067.0
2018-07-01,505,06:10:00,Sunday,Broadview and Dundas,Held By,10.0,20.0,S/B,7808.0
2018-07-01,501,06:24:00,Sunday,Queen at Church,Mechanical,9.0,51.0,W/B,4098.0
2018-07-01,504,07:01:00,Sunday,Broadview Stn,Investigation,0.0,0.0,E/B,8726.0
2018-07-01,501,07:52:00,Sunday,King at Church,Investigation,8.0,16.0,E/B,4080.0
2018-07-01,501,08:09:00,Sunday,King at Spadina,Investigation,6.0,14.0,W/B,4027.0
2018-07-01,505,08:18:00,Sunday,DWS,Mechanical,18.0,24.0,E/B,8944.0
2018-07-01,505,08:28:00,Sunday,Dufferin,Mechanical,6.0,12.0,W/B,1270.0
2018-07-01,501,08:48:00,Sunday,Queen and Roncesvalles,Mechanical,6.0,12.0,E/B,4067.0
2018-07-01,504,08:48:00,Sunday,King and Spadina,Diversion,9.0,18.0,W/B,4067.0
2018-07-01,501,09:32:00,Sunday,Queen at Connaught,Mechanical,8.0,16.0,E/B,4027.0
2018-07-01,506,11:24:00,Sunday,parliament / gerrard,Mechanical,6.0,12.0,B/W,1079.0
2018-07-01,504,11:41:00,Sunday,King st simcoe to Unniversity,Held By,19.0,25.0,B/W,4414.0
2018-07-01,509,11:44:00,Sunday,CNE Loop,Mechanical,6.0,12.0,E/B,4439.0
2018-07-01,501,12:27:00,Sunday,Queen/Spadina/Blue Jay way,General Delay,5.0,10.0,,
2018-07-01,501,12:29:00,Sunday,Queen Route,General Delay,5.0,10.0,W/B,
2018-07-01,501,13:04:00,Sunday,Queen and Spadina,Mechanical,4.0,8.0,W/B,4123.0
2018-07-01,512,13:10:00,Sunday,King & Peter.,Held By,5.0,10.0,W/B,4466.0
2018-07-01,501,13:25:00,Sunday,Russell Yard,Mechanical,4.0,8.0,E/B,4012.0
2018-07-01,501,13:29:00,Sunday,Queen and Bathurst,Mechanical,4.0,8.0,W/B,4087.0
2018-07-01,504,14:05:00,Sunday,Broadview Stn,Investigation,5.0,10.0,E/B,8871.0
2018-07-01,501,14:05:00,Sunday,Queen and Broadview,Mechanical,4.0,8.0,E/B,4180.0
2018-07-01,501,14:25:00,Sunday,Queen and Glen Manor,Mechanical,4.0,8.0,W/B,4133.0
2018-07-01,501,14:27:00,Sunday,Queen and Kingston road,Mechanical,4.0,8.0,W/B,4189.0
2018-07-01,512,14:30:00,Sunday,St Clair @ Winona,Investigation,6.0,12.0,E/B,4480.0
2018-07-01,510,14:51:00,Sunday,King treet,Mechanical,4.0,8.0,N/B,4452.0
2018-07-01,510,15:04:00,Sunday,Adelaide,Mechanical,4.0,8.0,S/B,4449.0
2018-07-01,505,15:13:00,Sunday,University Ave,Investigation,6.0,12.0,E/B,8100.0
2018-07-01,510,16:01:00,Sunday,Spadina Station,Mechanical,4.0,8.0,S/B,4471.0
2018-07-01,504,18:05:00,Sunday,King & Spadina,Mechanical,10.0,20.0,W/B,4143.0
2018-07-01,505,18:58:00,Sunday,Chestnut and Dundas,Held By,4.0,9.0,E/B,8214.0
2018-07-01,505,19:01:00,Sunday,Jarvis and Dundas,General Delay,6.0,12.0,E/B,7786.0
2018-07-01,506,19:06:00,Sunday,College and Bathurst,Utilized Off Route,7.0,17.0,E/B,1134.0
2018-07-01,506,19:21:00,Sunday,High Park Station,Mechanical,5.0,10.0,E/B,1068.0
2018-07-01,511,19:30:00,Sunday,CNE Loop,General Delay,10.0,18.0,N/B,4404.0
2018-07-01,509,19:30:00,Sunday,CNE Loop,General Delay,10.0,15.0,E/B,4405.0
2018-07-01,506,19:34:00,Sunday,Victoria Park Station,Utilized Off Route,7.0,14.0,W/B,1066.0
2018-07-01,501,21:37:00,Sunday,kingston road loop,Utilized Off Route,8.0,16.0,E/B,4114.0
2018-07-01,510,21:40:00,Sunday,King and Spadina,General Delay,12.0,18.0,N/B,4461.0
2018-07-01,501,21:48:00,Sunday,Connaught and eastern,Held By,52.0,60.0,S/B,4147.0
2018-07-01,501,21:51:00,Sunday,Kingston road,Utilized Off Route,8.0,16.0,E/B,4079.0
2018-07-01,501,22:37:00,Sunday,Kingston road and Queen,General Delay,15.0,23.0,B/W,4050.0
2018-07-01,512,23:04:00,Sunday,St Clair West station,Mechanical,10.0,20.0,W/B,4412.0
2018-07-01,505,23:05:00,Sunday,Brock and Dundas,Mechanical,9.0,18.0,W/B,7786.0
2018-07-01,501,23:51:00,Sunday,Queen and Sherbourne,Investigation,8.0,16.0,W/B,4079.0
2018-07-02,301,00:58:00,Monday,Humberloop,Mechanical,7.0,14.0,W/B,4190.0
2018-07-02,301,02:22:00,Monday,lakeshore and symons,Held By,27.0,36.0,W/B,4003.0
2018-07-02,301,02:29:00,Monday,Colbourne lodge and Queesnway,Mechanical,54.0,63.0,W/B,4042.0
2018-07-02,306,02:39:00,Monday,College and ossington,Utilized Off Route,30.0,60.0,E/B,7848.0
2018-07-02,4,03:09:00,Monday,lakeshore and leslie,Held By,1.0,1.0,S/B,4478.0
2018-07-02,301,03:19:00,Monday,Colbourne lodge and Queensway,Utilized Off Route,5.0,14.0,W/B,4135.0
2018-07-02,504,04:52:00,Monday,Queen and Broadview,Late Leaving Garage,9.0,21.0,E/B,4430.0
2018-07-02,510,09:00:00,Monday,King Street,Mechanical,5.0,10.0,B/W,4414.0
2018-07-02,501,09:45:00,Monday,Queensway at Windermere,Mechanical,8.0,16.0,W/B,4010.0
2018-07-02,506,09:55:00,Monday,highpark sttaion,Mechanical,6.0,12.0,E/B,1120.0
2018-07-02,501,10:10:00,Monday,Queen Route,General Delay,8.0,16.0,E/B,
2018-07-02,506,10:15:00,Monday,college/ossington,Mechanical,6.0,12.0,E/B,7833.0
2018-07-02,506,10:30:00,Monday,college /lansdowne,Mechanical,6.0,12.0,E/B,1074.0
2018-07-02,501,11:30:00,Monday,Humber Loop,Mechanical,10.0,20.0,E/B,4160.0
2018-07-02,506,12:15:00,Monday,victoria park station,Mechanical,6.0,12.0,W/B,8929.0
2018-07-02,505,12:45:00,Monday,Sumach Street,Mechanical,5.0,10.0,W/B,1315.0
2018-07-02,501,12:55:00,Monday,Queen and Jameson,Mechanical,5.0,10.0,E/B,4030.0
2018-07-02,509,13:04:00,Monday,CNE Loop,Mechanical,6.0,12.0,B/W,4447.0
2018-07-02,511,13:10:00,Monday,cne loop,Held By,45.0,50.0,N/B,4165.0
2018-07-02,505,14:20:00,Monday,Broadview Stn,General Delay,10.0,15.0,W/B,8396.0
2018-07-02,504,15:21:00,Monday,Jarvis and King,Held By,15.0,21.0,E/B,4436.0
2018-07-02,501,15:33:00,Monday,Queen and Broadview,Mechanical,,,,4164.0
2018-07-02,505,15:45:00,Monday,Dandas and Dufferin,Mechanical,5.0,10.0,E/B,8377.0
2018-07-02,505,16:23:00,Monday,Dundas And Victoria Street,Held By,5.0,10.0,E/B,1362.0
2018-07-02,505,16:30:00,Monday,Rusholme and Dundas,Emergency Services,70.0,75.0,B/W,1283.0
2018-07-02,501,16:40:00,Monday,Queen and Peter,Investigation,5.0,10.0,E/B,4144.0
2018-07-02,511,18:00:00,Monday,Bathurst Stn,Utilized Off Route,7.0,14.0,N/B,4475.0
