Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-10-01,505,00:26:00,Monday,Roncesvalles,Mechanical,7.0,16.0,E/B,9206.0
2018-10-01,501,04:24:00,Monday,Russell Yard,Late Leaving Garage,17.0,34.0,E/B,4048.0
2018-10-01,501,04:32:00,Monday,Russell yard,Late Leaving Garage,7.0,14.0,W/B,4042.0
2018-10-01,501,05:50:00,Monday,QUEEN/CANNAUGHT,Mechanical,4.0,8.0,W/B,4221.0
2018-10-01,506,06:18:00,Monday,,Late Leaving Garage,7.0,14.0,E/B,4119.0
2018-10-01,501,06:19:00,Monday,QUEENSWAY/COEHILL DR.,Investigation,174.0,178.0,E/B,4215.0
2018-10-01,501,06:32:00,Monday,Russell  Yard,Late Leaving Garage,5.0,10.0,E/B,4133.0
2018-10-01,501,06:34:00,Monday,QUEEN/CHURCH,Mechanical,4.0,8.0,E/B,4230.0
2018-10-01,501,06:38:00,Monday,Russell Yard,Late Leaving Garage,5.0,10.0,E/B,4120.0
2018-10-01,501,06:38:00,Monday,QUEEN/CARROLL,Mechanical,4.0,8.0,W/B,4042.0
2018-10-01,511,06:43:00,Monday,Bathurst STN,Investigation,4.0,8.0,S/B,1092.0
2018-10-01,514,07:00:00,Monday,Distillery Loop,Late Leaving Garage,7.0,14.0,W/B,4431.0
2018-10-01,503,07:28:00,Monday,Russell Yard,Late Leaving Garage,9.0,18.0,E/B,4103.0
2018-10-01,512,08:04:00,Monday,Gunns loop,Mechanical,4.0,8.0,E/B,4481.0
2018-10-01,503,08:10:00,Monday,Kingston road and Woodbine,Held By,45.0,57.0,W/B,4127.0
2018-10-01,504,09:50:00,Monday,Broadview and Queen,Mechanical,2.0,4.0,W/B,4001.0
2018-10-01,502,10:30:00,Monday,BIRGHAM LOOP,Mechanical,10.0,20.0,W/B,9200.0
2018-10-01,504,10:50:00,Monday,King and University,Held By,5.0,9.0,B/W,4150.0
2018-10-01,512,11:14:00,Monday,St Clair Stn,Mechanical,4.0,9.0,W/B,4414.0
2018-10-01,501,11:56:00,Monday,QUEEN/SUMACH,Mechanical,4.0,8.0,E/B,4230.0
2018-10-01,510,12:39:00,Monday,Queen and Spadina,Mechanical,8.0,16.0,S/B,4429.0
2018-10-01,505,13:33:00,Monday,Dundas West Station,Investigation,4.0,8.0,W/B,8154.0
2018-10-01,512,15:27:00,Monday,St Clair West Station,Utilized Off Route,141.0,146.0,E/B,4441.0
2018-10-01,512,15:27:00,Monday,St Clair West Stn,Mechanical,141.0,146.0,E/B,4475.0
2018-10-01,505,15:37:00,Monday,Bathurst Street,Utilized Off Route,4.0,8.0,E/B,8189.0
2018-10-01,505,15:37:00,Monday,Bathurst,Utilized Off Route,4.0,8.0,E/B,8312.0
2018-10-01,505,15:37:00,Monday,Bathurst,Utilized Off Route,4.0,8.0,E/B,7727.0
2018-10-01,511,15:38:00,Monday,Bathurst Station,Utilized Off Route,3.0,6.0,S/B,8342.0
2018-10-01,511,15:38:00,Monday,Bathrst Station,Utilized Off Route,3.0,6.0,S/B,8119.0
2018-10-01,504,16:23:00,Monday,King & Jarvis,Investigation,8.0,12.0,W/B,4435.0
2018-10-01,506,16:50:00,Monday,Gerrard and Coxwell,Mechanical,5.0,10.0,E/B,4115.0
2018-10-01,501,16:58:00,Monday,Queen & Spadina,Mechanical,9.0,14.0,W/B,4023.0
2018-10-01,501,17:42:00,Monday,Lakeshore & Legion,Mechanical,64.0,73.0,E/B,4014.0
