Report Date,Route,Time,Day,Location,Incident,Min Delay,Min Gap,Direction,Vehicle
2018-11-01,301,02:09:00,Thursday,Queen and broadview,Diversion,11.0,18.0,W/B,4068.0
2018-11-01,304,02:09:00,Thursday,Queen/Sumach,Investigation,20.0,40.0,W/B,4413.0
2018-11-01,512,02:34:00,Thursday,St.clair and earlscourt,Emergency Services,1.0,1.0,E/B,4491.0
2018-11-01,301,04:03:00,Thursday,neville park loop,Emergency Services,1.0,1.0,W/B,4085.0
2018-11-01,501,05:04:00,Thursday,Russell Yard,Late Leaving Garage,19.0,29.0,E/B,4003.0
2018-11-01,510,05:26:00,Thursday,Leslie Barns,Late Leaving Garage,8.0,16.0,W/B,4485.0
2018-11-01,504,05:26:00,Thursday,Leslie Barns,Late Leaving Garage,4.0,8.0,W/B,4503.0
2018-11-01,510,05:26:00,Thursday,Leslie Barns,Late Leaving Garage,8.0,16.0,W/B,4477.0
2018-11-01,512,05:27:00,Thursday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4439.0
2018-11-01,504,05:27:00,Thursday,Leslie Barns,Late Leaving Garage,4.0,8.0,W/B,4416.0
2018-11-01,505,05:55:00,Thursday,dundas/church,Investigation,7.0,14.0,W/B,8203.0
2018-11-01,509,05:56:00,Thursday,Fleet Loop,Mechanical,6.0,12.0,E/B,4453.0
2018-11-01,510,06:33:00,Thursday,Leslie Barns,Late Leaving Garage,8.0,16.0,W/B,4448.0
2018-11-01,503,09:11:00,Thursday,Queen & King,Mechanical,0.0,0.0,W/B,4105.0
2018-11-01,506,10:36:00,Thursday,Coxwell and Gerrard,Held By,5.0,14.0,N/B,4014.0
2018-11-01,512,11:48:00,Thursday,St. Clair and Laughton,Mechanical,5.0,10.0,E/B,4423.0
2018-11-01,506,12:12:00,Thursday,Gerrard and Pape,Investigation,12.0,17.0,E/B,4071.0
2018-11-01,509,12:20:00,Thursday,CNE Loop,Mechanical,7.0,14.0,E/B,4469.0
2018-11-01,505,13:30:00,Thursday,dundas/bay,Mechanical,4.0,8.0,W/B,7756.0
2018-11-01,511,15:00:00,Thursday,Queen,General Delay,5.0,10.0,E/B,1259.0
2018-11-01,501,15:59:00,Thursday,QUEEN /CHURCH,Investigation,31.0,35.0,E/B,4029.0
2018-11-01,506,16:03:00,Thursday,Coxwell,General Delay,5.0,10.0,E/B,4124.0
2018-11-01,501,16:18:00,Thursday,QUEEN/DUFFERIN,Mechanical,4.0,8.0,W/B,4150.0
2018-11-01,504,16:45:00,Thursday,King Street West Roncesvalles,Mechanical,6.0,12.0,W/B,4443.0
2018-11-01,511,17:08:00,Thursday,Bathurst,Mechanical,5.0,10.0,N/B,1260.0
2018-11-01,501,17:44:00,Thursday,QUEEN/YORK,Mechanical,4.0,8.0,E/B,4081.0
2018-11-01,501,17:54:00,Thursday,QUEEN/GREENWOOD,Mechanical,4.0,8.0,E/B,4103.0
2018-11-01,501,17:57:00,Thursday,QUEEN/KINGSTON ROAD,Investigation,24.0,28.0,E/B,4111.0
2018-11-01,506,17:59:00,Thursday,High park,Mechanical,5.0,10.0,W/B,4199.0
2018-11-01,501,18:11:00,Thursday,QUEEN/BAY,Mechanical,4.0,8.0,E/B,4052.0
