Report Date,Route,Time,Day,Location,Incident ID,Incident,Delay,Gap,Direction,Vehicle
2019-04-01,512,04:26:00,Monday,Roncesvalles Yard.,1,Mechanical,10,20.0,E/B,4460.0
2019-04-01,501,04:27:00,Monday,Queen St. E and Woodfield Ave.,1,Mechanical,17,17.0,E/B,4189.0
2019-04-01,501,04:37:00,Monday,Queen St. E at Greenwood Ave.,1,Mechanical,5,10.0,W/B,4012.0
2019-04-01,501,04:46:00,Monday,Queen St E at Woodfield Ave,1,Mechanical,6,4.0,E/B,4039.0
2019-04-01,510,05:00:00,Monday,King and Spadina,1,Mechanical,11,,N/B,4465.0
2019-04-01,501,05:25:00,Monday,Queen St. E at Greenwood Ave.,7,Held By,1,2.0,W/B,4121.0
2019-04-01,501,05:31:00,Monday,Queen St. E at Greenwood Ave.,1,Mechanical,4,9.0,W/B,4117.0
2019-04-01,506,05:41:00,Monday,Coxwell Ave. and Lower Gerrard St.,1,Mechanical,6,16.0,E/B,4141.0
2019-04-01,501,05:41:00,Monday,Queen St. E at Greenwood Ave.,1,Mechanical,5,10.0,W/B,4114.0
2019-04-01,504,05:44:00,Monday,Leslie Barns,9,Late Leaving Garage,2,6.0,W/B,4459.0
2019-04-01,501,05:47:00,Monday,Leslie Barns,9,Late Leaving Garage,2,6.0,E/B,4529.0
2019-04-01,504,05:47:00,Monday,Leslie Barns,9,Late Leaving Garage,3,6.0,W/B,4429.0
2019-04-01,504,05:47:00,Monday,Leslie Barns,9,Late Leaving Garage,3,6.0,W/B,4467.0
2019-04-01,504,05:51:00,Monday,Dundas wStn,1,Mechanical,0,0.0,W/B,4416.0
2019-04-01,505,06:58:00,Monday,Dundas and Lansdowne,1,Mechanical,4,8.0,W/B,3105.0
2019-04-01,501,07:05:00,Monday,Long Branch Loop,1,Mechanical,10,20.0,E/B,4145.0
2019-04-01,510,07:12:00,Monday,King and Spadina,1,Mechanical,4,8.0,W/B,4494.0
2019-04-01,512,07:25:00,Monday,St Clair and Avenue.,1,Mechanical,5,11.0,E/B,4472.0
2019-04-01,504,07:30:00,Monday,King and Spadina,1,Mechanical,6,12.0,E/B,4489.0
2019-04-01,512,07:39:00,Monday,St Clai W Station,3,Diversion,25,30.0,E/B,4439.0
2019-04-01,501,07:41:00,Monday,Long Branch loop,4,Utilized Off Route,3,8.0,E/B,4050.0
2019-04-01,512,07:58:00,Monday,Oakwood,5,Investigation,5,10.0,W/B,4435.0
2019-04-01,504,08:49:00,Monday,Queen / Carrol,5,Investigation,121,127.0,E/B,4520.0
2019-04-01,501,08:52:00,Monday,Queen/Carroll,8,General Delay,117,122.0,B/W,4516.0
2019-04-01,505,08:59:00,Monday,Dundas West Station to Broadview Station,8,General Delay,20,24.0,B/W,1376.0
2019-04-01,511,10:35:00,Monday,bathurst/ dundas,5,Investigation,4,8.0,N/B,1089.0
2019-04-01,504,10:45:00,Monday,Roncesvalles and Howard Park,1,Mechanical,0,0.0,W/B,4505.0
2019-04-01,506,12:45:00,Monday,High Park Loop,1,Mechanical,5,10.0,,4048.0
2019-04-01,504,13:54:00,Monday,King and University,1,Mechanical,7,14.0,W/B,4505.0
2019-04-01,501,15:46:00,Monday,Queen Street Esat Broadview,5,Investigation,5,10.0,W/B,4119.0
2019-04-01,506,16:03:00,Monday,Gerrard and Broadview,5,Investigation,1,1.0,E/B,4052.0
2019-04-01,506,16:54:00,Monday,High Park Loop,1,Mechanical,4,10.0,,4155.0
2019-04-01,501,17:05:00,Monday,Queen Street West  Beaty,5,Investigation,5,10.0,E/B,4020.0
2019-04-01,501,18:23:00,Monday,Queen Street East   Kingston Rd.,6,Emergency Services,5,19.0,E/B,4049.0
2019-04-01,504,18:26:00,Monday,Cherry St. and Front St.,6,Emergency Services,26,33.0,S/B,4459.0
2019-04-01,504,18:47:00,Monday,Roncesvalles and Queen,3,Diversion,5,12.0,N/B,4417.0
2019-04-01,506,19:36:00,Monday,College and Lansdowne,1,Mechanical,7,10.0,E/B,4155.0
2019-04-01,506,19:52:00,Monday,College and Euclid,1,Mechanical,3,9.0,E/B,4155.0
2019-04-01,506,21:53:00,Monday,College & Lansdowne,1,Mechanical,8,16.0,W/B,4144.0
2019-04-01,505,23:02:00,Monday,Broadview Station,1,Mechanical,7,14.0,W/B,3105.0
2019-04-02,501,05:03:00,Tuesday,Kingston Rd Loop,1,Mechanical,5,15.0,W/B,4023.0
2019-04-02,509,06:04:00,Tuesday,CNE Loop,1,Mechanical,8,16.0,E/B,4479.0
2019-04-02,504,06:06:00,Tuesday,King / Bathurst,1,Mechanical,6,13.0,W/B,4481.0
2019-04-02,506,07:15:00,Tuesday,Coxwell and Lower Gerrard,1,Mechanical,0,0.0,E/B,4179.0
2019-04-02,506,07:55:00,Tuesday,gerrard/greenwood,5,Investigation,4,8.0,W/B,8894.0
2019-04-02,501,08:00:00,Tuesday,Sunnyside Loop,5,Investigation,5,15.0,W/B,4475.0
2019-04-02,505,08:14:00,Tuesday,Dundas and Sherbourne,1,Mechanical,4,8.0,W/B,8936.0
2019-04-02,505,08:20:00,Tuesday,Dundas and Parliament,1,Mechanical,4,8.0,E/B,8322.0
2019-04-02,505,08:38:00,Tuesday,Dundas and University,5,Investigation,4,8.0,E/B,8199.0
2019-04-02,505,08:46:00,Tuesday,Broadview Station to Dundas West Station,8,General Delay,15,19.0,B/W,8939.0
2019-04-02,506,10:55:00,Tuesday,coxwell / gerrard,1,Mechanical,5,10.0,W/B,4089.0
2019-04-02,505,11:22:00,Tuesday,Dundas and Ossingston,5,Investigation,5,10.0,W/B,1229.0
2019-04-02,505,13:23:00,Tuesday,Broadview Station,6,Emergency Services,4,8.0,W/B,8109.0
2019-04-02,501,14:13:00,Tuesday,Queen Street West Brock,5,Investigation,5,20.0,E/B,4053.0
2019-04-02,505,14:50:00,Tuesday,Sterling and Dundas,5,Investigation,4,8.0,W/B,1347.0
2019-04-02,505,15:20:00,Tuesday,Ossington and College,5,Investigation,4,8.0,N/B,8212.0
2019-04-02,506,15:21:00,Tuesday,College and Ossington,3,Diversion,25,30.0,E/B,4110.0
2019-04-02,505,15:29:00,Tuesday,Dundas and Dufferin,4,Utilized Off Route,4,8.0,E/B,8583.0
2019-04-02,501,18:04:00,Tuesday,Queen Street West Lansdowne,8,General Delay,5,19.0,E/B,4103.0
2019-04-02,504,18:10:00,Tuesday,King and University,8,General Delay,9,8.0,B/W,4509.0
2019-04-02,505,18:59:00,Tuesday,Broadview station to Dundas West Station,8,General Delay,1,1.0,B/W,
2019-04-02,504,19:53:00,Tuesday,King and Sumach,5,Investigation,16,22.0,E/B,4442.0
2019-04-02,504,20:54:00,Tuesday,Dundas and Church,5,Investigation,8,16.0,W/B,4442.0
2019-04-02,505,21:55:00,Tuesday,Beverly and Dundas,7,Held By,33,39.0,E/B,8591.0
2019-04-03,301,00:25:00,Wednesday,Neville park Loop.,1,Mechanical,9,18.0,W/B,4195.0
2019-04-03,301,00:47:00,Wednesday,McCaul and Queen,7,Held By,9,18.0,W/B,4494.0
2019-04-03,306,01:30:00,Wednesday,Bay st,1,Mechanical,8,16.0,W/B,4050.0
2019-04-03,512,04:57:00,Wednesday,Bathurst and St Clair,1,Mechanical,0,0.0,W/B,4504.0
2019-04-03,512,05:01:00,Wednesday,Bathurst and St Clair,7,Held By,0,0.0,E/B,4441.0
2019-04-03,501,05:11:00,Wednesday,Queen St E. at Greenwood Ave.,7,Held By,2,2.0,W/B,4155.0
2019-04-03,506,05:12:00,Wednesday,Coxwell Ave. at Lower Gerrard,7,Held By,1,16.0,E/B,4127.0
2019-04-03,509,05:53:00,Wednesday,CNE Loop,1,Mechanical,8,16.0,E/B,4465.0
2019-04-03,501,06:02:00,Wednesday,Queen Church,1,Mechanical,5,10.0,W/B,4023.0
2019-04-03,501,06:16:00,Wednesday,Kingston Rd Loop,1,Mechanical,5,15.0,E/B,4108.0
2019-04-03,504,06:30:00,Wednesday,EB king at Bathurst,1,Mechanical,6,13.0,E/B,4415.0
2019-04-03,501,07:02:00,Wednesday,Queen Augusta,5,Investigation,5,10.0,E/B,7915.0
2019-04-03,506,07:14:00,Wednesday,Howard park/Roncesvalles,1,Mechanical,10,20.0,E/B,7917.0
2019-04-03,512,08:02:00,Wednesday,st.clair/bathurst,1,Mechanical,6,10.0,W/B,4524.0
2019-04-03,501,08:23:00,Wednesday,Queen St East Church,1,Mechanical,5,15.0,W/B,4171.0
2019-04-03,505,08:33:00,Wednesday,Dundas and Bathurst to Dundas and University,8,General Delay,15,19.0,B/W,8944.0
2019-04-03,502,11:29:00,Wednesday,Bingham loop,1,Mechanical,10,20.0,W/B,9236.0
2019-04-03,505,12:30:00,Wednesday,Dundas and Spadina,8,General Delay,15,10.0,,
2019-04-03,511,13:04:00,Wednesday,Bathurst Station,1,Mechanical,4,8.0,S/B,1325.0
2019-04-03,512,13:52:00,Wednesday,st.clair station,5,Investigation,8,13.0,W/B,4455.0
2019-04-03,511,14:34:00,Wednesday,Bathurst and Dundas,1,Mechanical,4,8.0,S/B,1605.0
2019-04-03,504,15:17:00,Wednesday,King and Atlantic,8,General Delay,10,9.0,W/B,4484.0
2019-04-03,501,15:27:00,Wednesday,Queen Street East  Jarvis,6,Emergency Services,5,15.0,E/B,4049.0
2019-04-03,505,16:20:00,Wednesday,Dundas and Bathurst,1,Mechanical,4,8.0,W/B,8177.0
2019-04-03,505,16:53:00,Wednesday,Dundas and Howard Park,1,Mechanical,4,8.0,E/B,8962.0
