Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2019-06-01,501,00:27:00,Saturday,Queen and Bay,Held By,16.0,21.0,W/B,4474.0
2019-06-01,510,01:26:00,Saturday,Spadina station,Emergency Services,11.0,18.0,N/B,4431.0
2019-06-01,504,08:33:00,Saturday,Roncesvalles and Queen,Mechanical,5.0,10.0,N/B,4480.0
2019-06-01,504,09:24:00,Saturday,Bloor and Dundas,Held By,4.0,8.0,E/B,4426.0
2019-06-01,504,09:36:00,Saturday,King and Sudbury,Held By,8.0,12.0,B/W,4501.0
2019-06-01,511,10:07:00,Saturday,Bathurst and King,Diversion,15.0,20.0,B/W,1370.0
2019-06-01,511,11:11:00,Saturday,Bathurst Station,Mechanical,6.0,12.0,N/B,1283.0
2019-06-01,506,12:16:00,Saturday,MAIN STATION,Mechanical,6.0,12.0,W/B,4133.0
2019-06-01,504,13:25:00,Saturday,Dundas West STN,Held By,6.0,12.0,S/B,4504.0
2019-06-01,512,15:14:00,Saturday,St Clair W and Dufferin,Investigation,27.0,32.0,W/B,4544.0
2019-06-01,512,16:05:00,Saturday,St Vlair and Winona,Mechanical,7.0,12.0,W/B,4407.0
2019-06-01,501,16:47:00,Saturday,Lakshore Bld West   28 th,Investigation,69.0,79.0,E/B,4020.0
2019-06-01,505,17:23:00,Saturday,DWS,General Delay,16.0,12.0,E/B,1102.0
2019-06-01,506,17:32:00,Saturday,College and Dufferin,Mechanical,8.0,16.0,E/B,4165.0
2019-06-01,506,19:44:00,Saturday,Gerrard and Coxwell,Mechanical,1.0,2.0,E/B,4114.0
2019-06-01,505,20:24:00,Saturday,Broadview Station,Investigation,5.0,10.0,W/B,7951.0
2019-06-01,501,20:44:00,Saturday,Sunnyside loop,Mechanical,7.0,14.0,W/B,4155.0
2019-06-01,505,22:07:00,Saturday,Dundas West Stn,Mechanical,9.0,18.0,E/B,7946.0
2019-06-01,509,22:20:00,Saturday,Fleet loop,Emergency Services,9.0,18.0,E/B,4460.0
2019-06-01,504,23:08:00,Saturday,Disterilly Loop,Mechanical,8.0,16.0,W/B,4449.0
2019-06-02,505,01:08:00,Sunday,Dundas & Bathurst,Investigation,8.0,16.0,W/B,7940.0
2019-06-02,301,04:24:00,Sunday,Lakeshore/Legion,General Delay,64.0,84.0,E/B,4145.0
2019-06-02,501,04:28:00,Sunday,Russel Yard,Mechanical,4.0,6.0,E/B,4131.0
2019-06-02,510,04:53:00,Sunday,Leslie Barns,Late Leaving Garage,1.0,1.0,W/B,4529.0
2019-06-02,505,05:41:00,Sunday,SPADINA TO BATHURST`,Held By,26.0,38.0,B/W,7942.0
2019-06-02,506,05:41:00,Sunday,Main & Danforth,Mechanical,12.0,19.0,W/B,4186.0
2019-06-02,501,09:24:00,Sunday,Queen/Lansdowne to Roncesvalles,General Delay,10.0,16.0,B/W,4507.0
2019-06-02,504,09:59:00,Sunday,Queen and Brodview,Held By,4.0,10.0,W/B,4518.0
2019-06-02,509,10:23:00,Sunday,Bathurst and Fleet,Mechanical,7.0,14.0,W/B,4510.0
2019-06-02,511,10:49:00,Sunday,Bathurst Stn to CNE Loop,General Delay,10.0,15.0,B/W,1242.0
2019-06-02,512,10:53:00,Sunday,King and Spadina,Mechanical,8.0,16.0,N/B,4528.0
2019-06-02,505,11:00:00,Sunday,Broadview Stn to Dundas W. Stn,General Delay,10.0,15.0,B/W,1417.0
2019-06-02,501,11:53:00,Sunday,QUEEN/LESLIE,General Delay,6.0,30.0,W/B,4457.0
2019-06-02,510,11:59:00,Sunday,Bathurst and Fleet,Mechanical,7.0,14.0,W/B,4431.0
2019-06-02,504,12:45:00,Sunday,Dufferin to Dundas West,General Delay,30.0,15.0,B/W,
2019-06-02,506,12:50:00,Sunday,Roncesvalles to Bathurst,General Delay,9.0,17.0,B/W,4117.0
2019-06-02,506,13:11:00,Sunday,Gerrard and Coxwel,Mechanical,8.0,16.0,W/B,4068.0
2019-06-02,506,17:40:00,Sunday,High Park loop,Mechanical,8.0,16.0,E/B,4117.0
2019-06-02,504,19:08:00,Sunday,king and Niagara,Held By,5.0,9.0,E/B,4490.0
2019-06-02,505,20:32:00,Sunday,Dundas St,General Delay,4.0,12.0,B/W,7945.0
2019-06-02,511,20:32:00,Sunday,Bathurst st,General Delay,7.0,14.0,B/W,1275.0
2019-06-02,505,22:29:00,Sunday,Bay and Dundas,Diversion,61.0,68.0,B/W,1082.0
2019-06-03,502,05:32:00,Monday,Bingham Loop,Mechanical,12.0,24.0,W/B,8934.0
2019-06-03,512,05:35:00,Monday,Roncesvalles Yard,Held By,3.0,4.0,E/B,4408.0
2019-06-03,504,06:09:00,Monday,Roncesvalles Yard,Held By,5.0,13.0,N/B,4479.0
2019-06-03,506,08:54:00,Monday,Gerrard & River.,Investigation,16.0,22.0,W/B,4164.0
2019-06-03,505,09:12:00,Monday,Dundas and Lansdowne,Mechanical,4.0,8.0,W/B,7938.0
2019-06-03,505,09:20:00,Monday,Broadview Station to Dundas W. Stn,General Delay,,,B/W,7938.0
2019-06-03,510,09:35:00,Monday,Spadina Station,Mechanical,8.0,16.0,S/B,4452.0
2019-06-03,501,09:55:00,Monday,Connaught,Mechanical,6.0,12.0,E/B,4333.0
