Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2019-11-01,511,00:17:00,Friday,Bathurst Station,Mechanical,8.0,16.0,S/B,4021.0
2019-11-01,511,01:36:00,Friday,Bathurst and Dundas,Mechanical,8.0,16.0,N/B,4110.0
2019-11-01,310,04:53:00,Friday,Spadina Station,Investigation,10.0,20.0,S/B,4519.0
2019-11-01,506,05:41:00,Friday,church/carlton,Overhead - Pantograph,9.0,17.0,W/B,4547.0
2019-11-01,504,06:08:00,Friday,Distilery Loop,Held By,6.0,14.0,W/B,4511.0
2019-11-01,501,06:09:00,Friday,Leslie and Queen,Held By,7.0,15.0,E/B,4466.0
2019-11-01,512,06:09:00,Friday,Bathurst and St Clair,Held By,6.0,9.0,E/B,4577.0
2019-11-01,512,06:15:00,Friday,Bathurst and St Clair,Held By,2.0,6.0,E/B,4584.0
2019-11-01,504,06:27:00,Friday,Broadview and Queen,Held By,6.0,12.0,W/B,4466.0
2019-11-01,509,06:41:00,Friday,Cne Loop,Mechanical,5.0,10.0,E/B,4432.0
2019-11-01,506,07:38:00,Friday,college/clinton,Investigation,5.0,10.0,E/B,7924.0
2019-11-01,505,08:01:00,Friday,Spadina/Dundas,Mechanical,4.0,8.0,E/B,1028.0
2019-11-01,505,08:04:00,Friday,Dundas west station,Emergency Services,4.0,8.0,E/B,3151.0
2019-11-01,510,11:40:00,Friday,Queens Quay Loop,Emergency Services,9.0,19.0,S/B,4524.0
2019-11-01,504,12:26:00,Friday,King and Spadina Avenue,Mechanical,13.0,17.0,W/B,4422.0
2019-11-01,504,12:56:00,Friday,King and Dufferin Street,Mechanical,4.0,8.0,W/B,4445.0
2019-11-01,504,14:12:00,Friday,Queen and Broadview Av.,Mechanical,4.0,8.0,E/B,4546.0
2019-11-01,511,14:26:00,Friday,Exhibition Loop,Mechanical,6.0,12.0,N/B,4024.0
2019-11-01,505,14:30:00,Friday,Broadview and Dundas,General Delay,16.0,20.0,E/B,3108.0
2019-11-01,504,14:39:00,Friday,King and York St.,Emergency Services,4.0,8.0,E/B,4566.0
2019-11-01,511,16:16:00,Friday,Bathurst/College,General Delay,10.0,16.0,S/B,4110.0
2019-11-01,508,18:14:00,Friday,Queensway and Colborne Lodge,Mechanical,1.0,2.0,W/B,4561.0
2019-11-01,501,18:34:00,Friday,Queen and Connought,Mechanical,6.0,12.0,W/B,8370.0
2019-11-01,501,19:43:00,Friday,Queen and Crawford,Investigation,149.0,157.0,B/W,4434.0
2019-11-01,506,19:52:00,Friday,High Park Loop,Mechanical,6.0,12.0,E/B,4184.0
2019-11-01,504,19:59:00,Friday,King and Bay Street,Emergency Services,13.0,18.0,W/B,4498.0
2019-11-01,501,21:24:00,Friday,w/b Trailer track Russell Yard,Investigation,8.0,16.0,E/B,4536.0
2019-11-01,506,23:58:00,Friday,College and Church,Held By,16.0,22.0,E/B,4521.0
2019-11-02,301,01:41:00,Saturday,Russell Yard W/B trailer track,Investigation,10.0,20.0,W/B,4496.0
2019-11-02,301,03:54:00,Saturday,Longbranch Loop,Mechanical,15.0,30.0,E/B,4536.0
2019-11-02,501,05:26:00,Saturday,Queen/Yonge,Mechanical,15.0,30.0,W/B,1639.0
2019-11-02,501,06:41:00,Saturday,Queen/Victoria,Held By,39.0,48.0,E/B,4454.0
2019-11-02,501,07:23:00,Saturday,Queen/Church,Investigation,9.0,18.0,E/B,4422.0
2019-11-02,504,07:52:00,Saturday,King/Shaw,Utilized Off Route,10.0,20.0,W/B,4481.0
2019-11-02,506,08:33:00,Saturday,coxwell/queen,Investigation,7.0,14.0,E/B,4178.0
2019-11-02,504,09:21:00,Saturday,King/Dufferin,Mechanical,10.0,20.0,W/B,4571.0
