Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-03-01,512,02:15:00,Sunday,St.Clair Station,Mechanical,7,14.0,W/B,4510.0
2020-03-01,306,02:46:00,Sunday,Dundas West and Roncesvalles,Investigation,39,54.0,S/B,4419.0
2020-03-01,304,04:04:00,Sunday,King and Shaw,Investigation,1,1.0,W/B,4498.0
2020-03-01,509,05:48:00,Sunday,Bathurst and King,Mechanical,10,0.0,S/B,4479.0
2020-03-01,504,10:07:00,Sunday,Distillery loop,Emergency Services,12,20.0,N/B,4429.0
2020-03-01,512,10:47:00,Sunday,St. Clair and Christie,Mechanical,8,15.0,E/B,4527.0
2020-03-01,510,12:47:00,Sunday,Spadina and Lakeshore,Mechanical,65,69.0,bw,4453.0
2020-03-01,509,12:55:00,Sunday,Queens Quay and Spadina,Held By,52,59.0,E/B,4495.0
2020-03-01,501,13:05:00,Sunday,Queen/Connaught,Mechanical,7,14.0,E/B,4446.0
2020-03-01,505,14:25:00,Sunday,Dundas and McCaul,Investigation,1,1.0,W/B,9228.0
2020-03-01,505,14:27:00,Sunday,Dundas west station,Mechanical,5,10.0,W/B,1109.0
2020-03-01,506,16:18:00,Sunday,Main Station,Mechanical,1,2.0,E/B,4430.0
2020-03-01,501,16:53:00,Sunday,Queen / Leslie,Investigation,7,21.0,W/B,4446.0
2020-03-01,501,17:01:00,Sunday,Queen / Lockwood,Mechanical,7,14.0,W/B,4424.0
2020-03-01,505,17:51:00,Sunday,Broadview and danforth,Investigation,5,10.0,E/B,1092.0
2020-03-01,506,18:48:00,Sunday,Main Station,Mechanical,1,2.0,W/B,4445.0
2020-03-01,504,19:28:00,Sunday,Roncesvalles and Westminister,Held By,8,18.0,E/B,4490.0
2020-03-01,511,19:48:00,Sunday,CNE LOOP,Emergency Services,9,18.0,N/B,4500.0
2020-03-01,501,20:17:00,Sunday,QUEEN AND CHURCH,Investigation,15,25.0,W/B,4424.0
2020-03-01,505,20:44:00,Sunday,DUNDAS WEST STN,Investigation,8,16.0,S/B,1103.0
2020-03-01,506,21:01:00,Sunday,College and Major,Mechanical,1,2.0,W/B,4576.0
2020-03-01,505,21:24:00,Sunday,DUNDAS AND SHERBOURNE,Investigation,8,16.0,W/B,1049.0
2020-03-01,501,21:56:00,Sunday,queen and dovercourt,Emergency Services,14,24.0,W/B,4476.0
2020-03-02,54,00:33:00,Monday,NEVILLE LOOP,Mechanical,10,20.0,W/B,4528.0
2020-03-02,501,04:35:00,Monday,Queen & connaught,Mechanical,12,26.0,W/B,4598.0
2020-03-02,512,05:00:00,Monday,Bathurst at St Claire,Late Leaving Garage,6,12.0,W/B,4506.0
2020-03-02,504,07:39:00,Monday,Jarvis and King,Investigation,31,12.0,E/B,4514.0
2020-03-02,504,09:13:00,Monday,Spadina and King,Mechanical,5,10.0,W/B,4560.0
2020-03-02,501,09:20:00,Monday,Queen & Gladstone,Emergency Services,11,17.0,W/B,4441.0
2020-03-02,512,09:55:00,Monday,St Clair/Earlscourt,Investigation,4,9.0,W/B,4545.0
2020-03-02,506,10:10:00,Monday,College and Dovercourt,Mechanical,8,16.0,W/B,4436.0
2020-03-02,504,14:08:00,Monday,Broadview / Langley,Investigation,7,72.0,N/B,4579.0
2020-03-02,505,14:10:00,Monday,Broadview and Langley,Investigation,4,8.0,S/B,1074.0
2020-03-02,501,14:24:00,Monday,Glendale / Queensway,Emergency Services,11,18.0,W/B,4461.0
2020-03-02,504,15:56:00,Monday,King / Charlotte,Mechanical,0,0.0,E/B,4560.0
2020-03-02,512,16:29:00,Monday,Oakwood and St.Clair,Investigation,3,8.0,W/B,4583.0
2020-03-02,504,20:59:00,Monday,King and Bathurst,Mechanical,8,16.0,E/B,4594.0
2020-03-03,501,05:07:00,Tuesday,Roncesvalles and The Queensway,Mechanical,14,23.0,W/B,4450.0
2020-03-03,505,05:49:00,Tuesday,Spadina,Emergency Services,73,77.0,E/B,1411.0
2020-03-03,506,06:21:00,Tuesday,Coxwell and Gerrard,Late Leaving Garage,10,0.0,E/B,4461.0
2020-03-03,505,06:59:00,Tuesday,DWS,Mechanical,4,8.0,E/B,8589.0
2020-03-03,506,08:51:00,Tuesday,Gerrard and Bowmore,Mechanical,1,2.0,W/B,4595.0
2020-03-03,505,08:59:00,Tuesday,University Ave,General Delay,14,18.0,E/B,1269.0
