Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-05-01,301,02:43:00,Friday,QUEEN AND COXWELL,Held By,13.0,24.0,W/B,4587.0
2020-05-01,511,07:02:00,Friday,Bathurst Street and Robinson St.,Investigation,4.0,8.0,N/B,1115.0
2020-05-01,511,07:10:00,Friday,Fleet Street and Fort York Street,Mechanical,4.0,8.0,N/B,1410.0
2020-05-01,510,07:41:00,Friday,Spadina and Dundas Street,Mechanical,4.0,8.0,S/B,4455.0
2020-05-01,504,09:31:00,Friday,King/Peter,General Delay,9.0,17.0,W/B,4438.0
2020-05-01,501,10:44:00,Friday,Queen/Parliament,Mechanical,16.0,23.0,E/B,4461.0
2020-05-01,505,11:06:00,Friday,Braodview Station,Mechanical,1.0,1.0,E/B,4477.0
2020-05-01,506,11:56:00,Friday,Coxwell Gerrard,Investigation,8.0,16.0,E/B,4491.0
2020-05-01,506,12:07:00,Friday,Parliament Gerrard,Mechanical,8.0,16.0,E/B,4419.0
2020-05-01,506,14:18:00,Friday,Main Station,Mechanical,8.0,16.0,W/B,4425.0
2020-05-01,510,14:37:00,Friday,Spadina and Queensquay,Investigation,5.0,10.0,N/B,4428.0
2020-05-01,505,15:16:00,Friday,Dundas and Sherborne,Held By,224.0,233.0,B/W,4561.0
2020-05-01,501,15:26:00,Friday,Neville Loop,Emergency Services,7.0,14.0,W/B,4577.0
2020-05-01,512,15:29:00,Friday,St Clair Stn,Emergency Services,4.0,9.0,W/B,4480.0
2020-05-01,506,15:40:00,Friday,College and Lansdown,Mechanical,9.0,18.0,W/B,4402.0
2020-05-01,501,16:10:00,Friday,Queen & Wineva,Mechanical,7.0,14.0,W/B,4558.0
2020-05-01,705,16:55:00,Friday,Charolette Loop,Emergency Services,1.0,1.0,N/B,4476.0
2020-05-01,504,17:53:00,Friday,Dufferin and King,Held By,10.0,18.0,E/B,4537.0
2020-05-01,510,18:33:00,Friday,Spadina and Harbord,Mechanical,5.0,10.0,N/B,4428.0
2020-05-01,504,21:54:00,Friday,Roncy & Queen,Mechanical,6.0,16.0,E/B,4467.0
2020-05-01,512,22:03:00,Friday,Oakwood Loop,Mechanical,8.0,16.0,W/B,4559.0
2020-05-01,511,23:39:00,Friday,Bathurst and Harbord,Investigation,10.0,20.0,S/B,1094.0
2020-05-02,301,02:46:00,Saturday,Longbranch Loop,Investigation,10.0,20.0,E/B,4542.0
2020-05-02,304,03:07:00,Saturday,DUNDAS WEST STATION,Investigation,5.0,20.0,E/B,4569.0
2020-05-02,505,12:00:00,Saturday,Dundas Street West Beverley,Mechanical,38.0,46.0,W/B,4505.0
2020-05-02,505,16:13:00,Saturday,Dundas and Yonge,Mechanical,9.0,18.0,W/B,4505.0
2020-05-02,501,16:14:00,Saturday,Humber Loop,Mechanical,10.0,20.0,W/B,4552.0
2020-05-02,505,16:37:00,Saturday,Bloor and Roncesvalles,Held By,174.0,183.0,B/W,4523.0
2020-05-02,504,16:40:00,Saturday,Bloor and Dundas,Held By,6.0,12.0,N/B,4585.0
2020-05-02,511,16:56:00,Saturday,Bathurst Station,Utilized Off Route,4.0,8.0,S/B,1418.0
2020-05-02,511,17:17:00,Saturday,Bathurst Station,Utilized Off Route,4.0,8.0,S/B,1043.0
2020-05-02,511,17:40:00,Saturday,Bathurst Station,Utilized Off Route,4.0,8.0,S/B,1208.0
2020-05-02,506,18:00:00,Saturday,College and Yonge,Held By,15.0,24.0,W/B,4424.0
2020-05-02,501,18:50:00,Saturday,Ellis Avenue and Queensway,Mechanical,7.0,15.0,E/B,4571.0
2020-05-02,512,19:11:00,Saturday,Russel Hill and St. Clair,Mechanical,4.0,9.0,W/B,4441.0
2020-05-02,510,19:55:00,Saturday,Spadina and Dan Lackie Way,Investigation,5.0,10.0,W/B,4458.0
2020-05-02,501,23:20:00,Saturday,Sunnyside Loop,Investigation,10.0,20.0,W/B,4433.0
2020-05-03,306,02:55:00,Sunday,Dundas West Station,Investigation,10.0,20.0,W/B,4426.0
2020-05-03,304,03:57:00,Sunday,DUNDAS WEST STATION,Mechanical,15.0,30.0,E/B,4511.0
2020-05-03,509,06:30:00,Sunday,Queensquay W and Spadina Rd,Investigation,15.0,30.0,W/B,4591.0
2020-05-03,509,09:56:00,Sunday,Bathurst and Fleet,Mechanical,9.0,18.0,W/B,4534.0
2020-05-03,505,12:40:00,Sunday,Dundas Church,Overhead - Pantograph,38.0,46.0,W/B,4574.0
2020-05-03,505,12:45:00,Sunday,Dundas College,Mechanical,1.0,1.0,W/B,4439.0
2020-05-03,501,14:10:00,Sunday,Carlaw and Queen,Investigation,7.0,15.0,E/B,4550.0
2020-05-03,506,15:35:00,Sunday,High park Loop,Mechanical,9.0,18.0,E/B,4427.0
