Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2020-12-01,512,06:00,Tuesday,ST CLAIR AND WALMER,Operations,289,295,E,4590
2020-12-01,512,06:10,Tuesday,ST CLAIR WEST STATION,Operations,289,295,E,4483
2020-12-01,512,06:36,Tuesday,ST CLAIR AND BATHURST,Operations,289,295,W,4485
2020-12-01,511,07:03,Tuesday,TODD BAYLIS AND BLACK,Held By,5,10,S,1418
2020-12-01,501,08:00,Tuesday,NEVILLE LOOP,Cleaning,10,20,W,4445
2020-12-01,600,08:29,Tuesday,SHUTHERLAND AND MCREA,Collision - TTC Involved,0,0,W,8791
2020-12-01,501,08:56,Tuesday,NEVILLE LOOP,Cleaning,10,20,W,4541
2020-12-01,,09:44,Tuesday,LESLIE BARNS,General Delay,0,0,,4602
2020-12-01,511,10:04,Tuesday,EXHIBITION LOOP,Mechanical,5,10,N,1038
2020-12-01,505,10:59,Tuesday,BROADVIEW STATION,Security,4,8,,4403
2020-12-01,505,11:41,Tuesday,DUNDAS AND PARLIAMENT,Operations,8,14,S,4403
2020-12-01,501,11:53,Tuesday,LAKESHORE AND MIMICO,Cleaning,10,20,N,4536
2020-12-01,511,12:16,Tuesday,BATHURST STATION,Mechanical,5,10,S,1092
2020-12-01,510,12:50,Tuesday,SPADINA AND FRONT,Cleaning,4,8,N,4480
2020-12-01,504,12:55,Tuesday,RONCESVALLES AND QUEEN,Operations,8,16,E,4409
2020-12-01,504,14:12,Tuesday,QUEEN AND BROADVIEW,Operations,7,14,E,4463
2020-12-01,512,15:26,Tuesday,ST CLAIR WEST STATION,Operations,5,10,W,4495
2020-12-01,501,16:03,Tuesday,QUEEN AND SPADINA,Security,41,51,W,4428
2020-12-01,501,17:20,Tuesday,QUEEN AND STRACHAN,Emergency Services,0,0,E,4526
2020-12-01,506,17:23,Tuesday,MAIN STREET STATION,Operations,6,12,W,3482
2020-12-01,505,17:30,Tuesday,COLLEGE AND LANSDOWNE,Mechanical,64,0,W,8093
2020-12-01,510,19:21,Tuesday,SPADINA BD STATION,Security,10,20,,4501
2020-12-01,504,20:37,Tuesday,LESLIE AND LAKESHORE,Security,0,0,S,4537
2020-12-01,501,21:32,Tuesday,QUEEN AND UNIVERSITY,Security,16,26,W,4502
2020-12-01,501,21:48,Tuesday,QUEEN AND UNIVERSITY,Security,10,20,W,4484
2020-12-01,511,22:13,Tuesday,BATHURST AND FORT YORK,Held By,31,38,N,1137
2020-12-01,505,22:39,Tuesday,LESLIE AND COMMISSIONE,Emergency Services,0,0,S,4504
2020-12-01,511,22:57,Tuesday,BATHURST AND FORT YORK,Held By,73,80,E,1418
2020-12-01,506,00:15,Tuesday,MAIN STREET STATION,Mechanical,10,20,W,3119
2020-12-01,501,00:49,Tuesday,NEVILLE LOOP,Security,0,0,,4431
2020-12-01,501,01:29,Tuesday,NEVILLE LOOP,Emergency Services,17,22,,4554
2020-12-02,510,02:27,Wednesday,SPADINA STATION,Security,15,30,,4587
2020-12-02,301,03:39,Wednesday,KIPLING LOOP,General Delay,11,30,W,4464
2020-12-02,301,04:28,Wednesday,LAKE SHORE AND KIPLING,General Delay,14,19,W,4559
2020-12-02,301,04:38,Wednesday,LAKE SHORE AND KIPLING,General Delay,5,20,W,4527
2020-12-02,301,04:53,Wednesday,LAKE SHORE AND KIPLING,General Delay,15,20,W,4512
2020-12-02,510,04:54,Wednesday,SPADINA AND QUEENS QUA,Security,15,30,,4587
2020-12-02,501,05:14,Wednesday,QUEEN AND CANAUGHT,Security,11,25,E,4502
2020-12-02,504,05:48,Wednesday,LESLIE AND COMMISSIONE,Emergency Services,0,0,S,4513
2020-12-02,506,06:03,Wednesday,MOUNT DENNIS GARAGE,Operations,8,16,N,1118
2020-12-02,504,06:07,Wednesday,KING AND WILSON PARK,Operations,8,16,E,4520
2020-12-02,511,07:12,Wednesday,BATHURST STATION,Mechanical,4,8,S,1417
2020-12-02,511,07:35,Wednesday,EXHIBITION LOOP,Mechanical,4,8,N,1260
2020-12-02,511,08:04,Wednesday,BATHURST STATION,Mechanical,4,8,S,1260
2020-12-02,506,09:19,Wednesday,GERRARD AND BROADVIEW,Mechanical,6,12,E,3166
2020-12-02,506,09:58,Wednesday,LANSDOWNE STATION,Operations,6,22,W,1011
2020-12-02,501,13:24,Wednesday,1496 QUEEN ST W,Held By,11,21,E,4442
2020-12-02,506,13:32,Wednesday,BLOOR AND LANSDOWNE,Mechanical,6,12,E,3742
2020-12-02,510,14:04,Wednesday,UNION STATION,Security,10,15,,4517
2020-12-02,509,14:05,Wednesday,UNION STATION,Security,6,14,W,4422
2020-12-02,512,14:18,Wednesday,ST CLAIR AND WINONA,General Delay,11,16,W,4495
2020-12-02,506,14:41,Wednesday,MAIN STREET STATION,Operations,6,12,W,3742
2020-12-02,509,15:20,Wednesday,FLEET AND BASTION,Mechanical,8,16,W,4521
2020-12-02,510,16:14,Wednesday,SPADINA AND QUEEN,Mechanical,11,16,N,4575
2020-12-02,501,16:34,Wednesday,QUEEN AND TECUMSETH,Security,8,18,E,4484
2020-12-02,501,17:08,Wednesday,QUEEN AND BROADVIEW,Cleaning,10,20,W,4574
2020-12-02,509,18:14,Wednesday,EXHIBITION LOOP,Late,11,19,E,4595
2020-12-02,506,19:45,Wednesday,MAIN STREET STATION,Cleaning,6,12,W,3105
2020-12-02,511,20:06,Wednesday,BATHURST STATION,Emergency Services,5,10,S,1012
2020-12-02,505,20:43,Wednesday,DUNDAS AND SHERBOURNE,Security,9,17,E,4516
2020-12-02,501,00:31,Wednesday,ROYAL YORK AND LAKE SH,Security,14,24,W,4525
2020-12-02,505,01:23,Wednesday,DUNDAS WEST STATION,Emergency Services,3,6,,9202
2020-12-03,509,02:07,Thursday,LESLIE AND LAKESHORE,Emergency Services,0,0,S,4578
2020-12-03,501,03:02,Thursday,QUEEN AND GREENWOOD,Emergency Services,11,26,E,4408
2020-12-03,501,04:23,Thursday,LONG BRANCH LOOP,General Delay,14,19,E,4408
2020-12-03,501,04:38,Thursday,LONG BRANCH LOOP,General Delay,5,20,,4448
2020-12-03,510,04:43,Thursday,QUEEN'S QUAY STATION,Collision - TTC Involved,0,0,E,4509
2020-12-03,501,04:53,Thursday,LONG BRANCH LOOP,General Delay,15,20,,4573
2020-12-03,310,06:06,Thursday,LESLIE AND COMMISSIONE,Emergency Services,0,0,S,4548
2020-12-03,506,06:07,Thursday,DUNDAS WEST STATION,Mechanical,9,17,,3739
2020-12-03,506,06:20,Thursday,DUNDAS WEST STATION,Late,8,16,,1075
2020-12-03,506,08:26,Thursday,MAIN STREET STATION,Operations,5,9,,1113
2020-12-03,505,09:35,Thursday,DUNDAS AND BROADVIEW,Held By,13,16,W,4411
2020-12-03,504,09:46,Thursday,QUEEN AND BROADVIEW,Held By,5,10,W,4491
2020-12-03,510,09:55,Thursday,SPADINA AND KING,Held By,7,14,N,4558
2020-12-03,503,10:00,Thursday,QUEEN AND KINGSTON RD,Held By,9,18,E,4555
2020-12-03,512,10:44,Thursday,ST CLAIR AND OAKWOOD,Mechanical,12,17,W,4432
2020-12-03,510,11:43,Thursday,SPADINA STATION,Emergency Services,0,0,,4404
2020-12-03,501,12:10,Thursday,QUEEN AND LOGAN,Emergency Services,10,20,W,4527
2020-12-03,505,14:22,Thursday,DUNDAS AND BATHURST,Cleaning,8,16,W,4481
2020-12-03,509,14:56,Thursday,CNE LOOP,Cleaning,8,16,,4534
2020-12-03,511,16:09,Thursday,EXHIBITION LOOP,Mechanical,4,8,N,1124
2020-12-03,501,16:14,Thursday,LAKESHORE AND TWENTY N,Collision - TTC Involved,440,450,W,4429
2020-12-03,504,16:48,Thursday,KING AND BATHURST,Cleaning,6,12,W,4454
2020-12-03,503,16:57,Thursday,CHARLOTTE AND KING,Operations,18,28,S,4555
2020-12-03,506,17:53,Thursday,GERRARD AND COXWELL,Held By,17,23,E,0
2020-12-03,505,18:08,Thursday,DUNDAS AND YONGE,Emergency Services,17,25,W,4603
2020-12-03,511,20:47,Thursday,EXHIBITION LOOP,Mechanical,5,10,N,1019
2020-12-03,510,21:52,Thursday,SPADINA STATION,Operations,5,10,S,4550
2020-12-03,501,23:05,Thursday,QUEEN AND BROADVIEW,Emergency Services,9,19,E,4552
2020-12-03,,01:10,Thursday,QUEEN AND BATHURST,Security,13,23,W,4425
2020-12-04,511,03:25,Friday,QUEEN AND WOODFIELD,Operations,11,26,W,4442
2020-12-04,501,04:04,Friday,QUEEN AND GREENWOOD,Emergency Services,0,0,E,4554
2020-12-04,501,04:05,Friday,QUEEN AND GREENWOOD,Operations,15,41,E,4554
2020-12-04,301,04:06,Friday,QUEEN AND CONNAUGHT,Emergency Services,0,0,W,4532
2020-12-04,501,04:38,Friday,LONG BRANCH LOOP,Operations,5,20,,4425
2020-12-04,310,05:45,Friday,QUEEN AND BROADVIEW,General Delay,16,1,E,4546
2020-12-04,501,05:49,Friday,QUEEN AND BROADVIEW,Held By,16,0,E,0
2020-12-04,504,05:50,Friday,QUEEN AND BROADVIEW,Held By,12,20,E,4474
2020-12-04,501,07:08,Friday,SHAW AND QUEEN,Security,5,10,S,4445
2020-12-04,510,07:11,Friday,SPADINA AND COLLEGE,Emergency Services,89,91,N,4521
2020-12-04,506,07:26,Friday,COLLEGE AND SPADINA,Emergency Services,0,0,E,0
2020-12-04,511,07:30,Friday,BATHURST AND ULSTER,Diversion,79,84,S,1357
2020-12-04,510,07:51,Friday,CHURCH AND KING,Operations,5,10,N,4473
2020-12-04,505,09:20,Friday,QUEEN AND BRODVIEW,Operations,10,20,W,4459
2020-12-04,503,09:27,Friday,QUEEN AND BROADVIEW,Held By,0,0,W,0
2020-12-04,501,11:25,Friday,HUMBER LOOP,Security,10,20,,4536
2020-12-04,501,12:12,Friday,QUEEN AND WOODBINE (EA,Security,10,20,W,4405
2020-12-04,501,12:45,Friday,SHAW AND QUEEN,Emergency Services,10,20,S,4475
2020-12-04,504,13:23,Friday,KING AND BATHURST,Security,0,0,W,4507
2020-12-04,512,13:36,Friday,ST CLAIR AND CHRISTIE,Mechanical,89,94,W,4450
2020-12-04,501,14:47,Friday,QUEEN AND KING,Security,0,0,E,4468
2020-12-04,501,14:57,Friday,QUEEN AND CARROLL,Security,0,0,E,4468
2020-12-04,503,15:21,Friday,CHARLOTTE LOOP,Cleaning,10,20,S,4404
2020-12-04,510,15:28,Friday,SPADINA AND KING,Operations,20,25,N,4558
2020-12-04,501,15:50,Friday,QUEEN AND WOODFIELD,Operations,10,20,E,4530
2020-12-04,501,16:06,Friday,QUEEN AND WOODFIELD,Operations,10,20,E,4408
2020-12-04,505,16:26,Friday,BROADVIEW AND WOLFREY,Investigation,8,16,N,4463
2020-12-04,504,17:31,Friday,KING AND RONCESVALLES,Operations,6,12,W,0
2020-12-04,503,19:02,Friday,KINGSTON AND DUNDAS,Security,10,20,W,4555
2020-12-04,504,21:36,Friday,KING AND SPADINA (WEST,Emergency Services,12,41,W,4569
2020-12-04,510,22:26,Friday,SPADINA STATION,Emergency Services,8,17,W,4601
2020-12-04,506,22:26,Friday,DUNDAS AND BLOOR,Investigation,6,12,W,1053
2020-12-04,512,22:56,Friday,ST CLAIR WEST STATION,Rail/Switches,10,20,E,4411
2020-12-04,505,23:32,Friday,DUNDAS AND PARLIAMENT,Cleaning,7,14,S,4598
2020-12-04,504,00:45,Friday,BROADVIEW STATION,Security,10,19,W,4430
2020-12-05,301,04:00,Saturday,HUMBER LOOP,Operations,11,26,W,4574
2020-12-05,304,04:20,Saturday,SHAW AND QUEEN (SOUTH,Emergency Services,0,0,S,4438
2020-12-05,504,07:23,Saturday,BROADVIEW STN TO DUNDA,Diversion,13,20,E,4566
2020-12-05,501,08:40,Saturday,QUEEN AND WOODFIELD,Security,10,20,W,4500
2020-12-05,510,11:48,Saturday,SPADINA AND QUEENS QUA,Cleaning,7,14,S,4583
2020-12-05,510,11:55,Saturday,SPADINA AND QUEENS QUA,Cleaning,7,14,S,4425
2020-12-05,510,12:07,Saturday,SPADINA AND QUEENS QUA,Cleaning,7,14,S,4557
2020-12-05,510,12:22,Saturday,QUEENS QUAY AND SPADIN,Cleaning,7,14,W,4523
2020-12-05,510,13:14,Saturday,UNION STATION,Cleaning,7,14,W,4454
2020-12-05,510,13:37,Saturday,UNION STATION,Cleaning,7,14,W,4422
2020-12-05,510,14:07,Saturday,UNION STATION,Cleaning,7,14,W,4513
2020-12-05,510,14:11,Saturday,UNION STATION,Cleaning,7,14,W,4486
2020-12-05,501,14:19,Saturday,QUEEN AND CHURCH,Held By,25,35,B,4434
2020-12-05,510,14:38,Saturday,UNION STATION,Cleaning,7,14,W,4515
2020-12-05,510,14:59,Saturday,UNION STATION,Cleaning,7,14,W,4479
2020-12-05,510,15:21,Saturday,UNION STATION,Cleaning,7,14,W,4517
2020-12-05,512,15:26,Saturday,ST CLAIR WEST STATION,Rail/Switches,22,27,W,4565
2020-12-05,506,15:34,Saturday,COLLEGE AND SPADINA,Held By,17,24,E,1084
2020-12-05,501,15:36,Saturday,QUEEN BETWEEN CRAWFORD,Emergency Services,12,22,E,4573
2020-12-05,501,16:09,Saturday,HUMBER LOOP,Security,6,12,E,4466
2020-12-05,510,16:19,Saturday,UNION STATION,Cleaning,7,14,,4517
2020-12-05,505,16:43,Saturday,DUNDAS AND UNIVERSITY,Security,20,26,E,4587
2020-12-05,501,17:29,Saturday,QUEEN AND SHAW,Emergency Services,12,22,,4573
2020-12-05,505,17:55,Saturday,DUNDAS AND CHURCH,Emergency Services,6,12,W,4498
2020-12-05,501,18:24,Saturday,NEVILLE PARK LOOP,Cleaning,10,20,,4470
2020-12-05,510,18:52,Saturday,QUEENS QUAY AND SPADIN,Cleaning,7,14,,4592
2020-12-05,506,19:13,Saturday,MAIN AND DANFORTH,Mechanical,7,14,W,3159
2020-12-05,505,19:14,Saturday,DUNDAS AND LANSDOWNE,Held By,7,14,E,4600
2020-12-05,510,19:21,Saturday,UNION STATION,Cleaning,7,14,W,4469
2020-12-05,504,19:59,Saturday,QUEENSWAY AND RONCESVA,Operations,8,25,W,4409
2020-12-05,510,20:02,Saturday,UNION STATION,Cleaning,7,14,W,4510
2020-12-05,504,20:03,Saturday,SUNNYSIDE LOOP,Operations,17,25,W,4569
2020-12-05,510,20:06,Saturday,SPADINA STATION,Security,5,10,S,4523
2020-12-05,506,22:07,Saturday,MAIN STREET STATIN,Mechanical,7,14,W,1652
2020-12-05,501,23:05,Saturday,QUEEN AND CHURCH,Mechanical,143,153,E,4445
2020-12-05,505,23:12,Saturday,LESLIE AND LAKESHORE,Security,0,0,S,4601
2020-12-05,504,01:14,Saturday,KING AND DUFFERIN,Held By,116,129,E,4451
2020-12-05,504,01:42,Saturday,KING AND DUFFERIN,Held By,143,152,E,4443
2020-12-06,505,06:43,Sunday,DUNDAS AND LANSDOWNE,Emergency Services,0,0,W,4510
2020-12-06,505,08:58,Sunday,DUNDAS WEST STATION,Operations,10,20,W,8051
2020-12-06,501,11:21,Sunday,RUSSELL YARD,Security,10,20,W,4526
2020-12-06,504,12:11,Sunday,KING AND BROADVIEW,Mechanical,8,16,W,4499
2020-12-06,505,12:34,Sunday,DUNDAS AND RIVER (EAST,Emergency Services,6,12,E,4473
2020-12-06,510,13:44,Sunday,EXHIBITION LOOP,Cleaning,7,14,W,4583
2020-12-06,510,13:45,Sunday,SPADINA AND QUEEN'S QU,Cleaning,7,14,S,4493
2020-12-06,510,13:48,Sunday,EXHIBITION LOOP,Cleaning,7,14,W,4586
2020-12-06,510,14:05,Sunday,EXHIBITION LOOP,Cleaning,7,14,W,4401
2020-12-06,510,14:06,Sunday,EXHIBITION LOOP,Cleaning,7,14,W,4538
2020-12-06,510,14:15,Sunday,SPADINA AND QUEEN'S QU,Cleaning,7,14,S,4563
2020-12-06,510,14:20,Sunday,EXHIBITION LOOP,Cleaning,7,14,W,4515
