Report Date,Route,Time,Day,Location,Incident,Delay,Gap,Direction,Vehicle
2020-02-01,504,00:59:00,Saturday,King and Jameson,Held By,26,34.0,E/B,4537.0
2020-02-01,301,01:22:00,Saturday,LAKESHORE AND BROOKERS LN,Investigation,121,131.0,E/B,4447.0
2020-02-01,504,02:28:00,Saturday,Dundas West and Bloor,Emergency Services,1,2.0,N/B,4453.0
2020-02-01,504,02:39:00,Saturday,King and Yonge,Held By,20,35.0,W/B,4580.0
2020-02-01,310,03:36:00,Saturday,Spadina and College,Emergency Services,17,32.0,S/B,4596.0
2020-02-01,504,06:28:00,Saturday,King and Strachan,Held By,10,20.0,W/B,4599.0
2020-02-01,511,07:27:00,Saturday,Bloor and Bathurst,Mechanical,0,0.0,N/B,4527.0
2020-02-01,510,08:54:00,Saturday,King and Yonge,Diversion,999,999.0,W/B,4454.0
2020-02-01,24,09:13:00,Saturday,Birchmount Garage,Mechanical,5,10.0,W/B,8531.0
2020-02-01,506,09:21:00,Saturday,Gerrard Ashdale,Investigation,47,55.0,E/B,4452.0
2020-02-01,506,09:34:00,Saturday,Broadview Queen St East,Overhead - Pantograph,1,1.0,S/B,4540.0
2020-02-01,506,09:56:00,Saturday,Broadview Queen Street East,Overhead - Pantograph,1,1.0,S/B,4514.0
2020-02-01,505,10:03:00,Saturday,MT Dennis Garage,Mechanical,5,10.0,W/B,
2020-02-01,505,10:10:00,Saturday,Dundas West Station,Mechanical,5,10.0,E/B,1095.0
2020-02-01,504,10:41:00,Saturday,King and Yonge,General Delay,20,30.0,B/W,
2020-02-01,501,11:40:00,Saturday,Queen/Roncesvalles,Mechanical,7,15.0,W/B,4582.0
2020-02-01,506,12:45:00,Saturday,Gerrard St Mathews,Mechanical,1,1.0,W/B,4446.0
2020-02-01,501,14:50:00,Saturday,Queen and Greenwood,Mechanical,12,22.0,W/B,4520.0
2020-02-01,505,15:10:00,Saturday,Broadview Station,Mechanical,4,8.0,W/B,3731.0
2020-02-01,505,18:40:00,Saturday,Sherbourne,Investigation,4,8.0,E/B,1041.0
2020-02-01,504,21:19:00,Saturday,Dundas West Station,Emergency Services,8,16.0,S/B,4580.0
2020-02-02,511,00:11:00,Sunday,Bathurst STN,Mechanical,9,18.0,S/B,4537.0
2020-02-02,301,01:28:00,Sunday,HUMBER LOOP,Mechanical,10,20.0,W/B,4426.0
2020-02-02,301,04:53:00,Sunday,Queen St East Connnaught,Investigation,1,1.0,E/B,4582.0
2020-02-02,504,05:12:00,Sunday,CHURCH AND KING,Diversion,1128,1138.0,W/B,
2020-02-02,504,07:17:00,Sunday,Richmond and Victoria,Investigation,10,20.0,W/B,4586.0
2020-02-02,506,11:46:00,Sunday,College Street West  Brock,Emergency Services,26,36.0,E/B,4437.0
2020-02-02,501,16:05:00,Sunday,Humber Loop,General Delay,10,20.0,E/B,4559.0
2020-02-02,504,17:38:00,Sunday,King & Bathurst,Diversion,18,10.0,W/B,4428.0
2020-02-02,504,19:17:00,Sunday,Roncy and Queen,General Delay,7,17.0,W/B,4599.0
2020-02-02,501,21:19:00,Sunday,RUSSELL YARD,Held By,16,24.0,E/B,4587.0
2020-02-02,501,21:23:00,Sunday,QUEEN AND CRWAFORD,Emergency Services,13,23.0,W/B,4415.0
2020-02-02,504,23:25:00,Sunday,KING AND SUMACH,Mechanical,10,20.0,W/B,4581.0
2020-02-02,509,23:41:00,Sunday,CNE Loop,Mechanical,10,20.0,E/B,4552.0
2020-02-03,511,00:40:00,Monday,Bathurst and Harbord,Mechanical,9,18.0,N/B,4472.0
2020-02-03,504,01:34:00,Monday,DUNDAS WEST STATION,Mechanical,7,15.0,S/B,4519.0
2020-02-03,512,07:07:00,Monday,St Clair & Caledonia,Mechanical,69,74.0,E/B,4484.0
2020-02-03,501,07:09:00,Monday,King and River,Investigation,7,13.0,W/B,4535.0
2020-02-03,503,07:31:00,Monday,Mt Dennis Garage,Mechanical,9,19.0,W/B,1040.0
