Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2020-08-01,,02:24,Saturday,RUSSELL YARD,Emergency Services,0,0,,4483
2020-08-01,301.0,03:10,Saturday,QUEEN AND SPADINA,Security,10,20,E,4522
2020-08-01,511.0,06:50,Saturday,BATHURST AND NIAGARA,Emergency Services,0,0,,0
2020-08-01,505.0,12:09,Saturday,DUNDAS AND BAY,Held By,68,75,E,4491
2020-08-01,511.0,13:13,Saturday,BATHURST AND HARBORD,Security,0,0,N,1033
2020-08-01,501.0,13:16,Saturday,QUEEN AND YORK,Held By,8,18,W,4530
2020-08-01,505.0,13:29,Saturday,QUEEN AND VICTORIA,Operations,13,23,E,4416
2020-08-01,510.0,14:10,Saturday,SPADINA STATION,Operations,4,8,S,4465
2020-08-01,511.0,14:25,Saturday,SPADINA AND FORT YORK,Collision - TTC Involved,4,9,S,1266
2020-08-01,505.0,14:45,Saturday,DUNDAS WEST STATION,Emergency Services,0,0,,0
2020-08-01,511.0,15:48,Saturday,BATHUST AND NASSAU,Mechanical,5,9,S,1095
2020-08-01,506.0,16:22,Saturday,GERRARD AND BROADVIEW,Collision - TTC Involved,7,14,W,8074
2020-08-01,504.0,18:09,Saturday,KING AND JARVIS,Collision - TTC Involved,26,34,W,4540
2020-08-01,510.0,18:14,Saturday,SPADINA STATION,Operations,3,7,S,4561
2020-08-01,505.0,20:43,Saturday,DUNDAS AND AUGUSTA,Held By,18,23,E,4570
2020-08-01,509.0,20:44,Saturday,QUEEN'S QUAY AND SPADI,Emergency Services,10,20,W,4553
2020-08-01,510.0,21:12,Saturday,SPADINA AND COLLEGE,Security,13,18,N,4564
2020-08-01,506.0,23:24,Saturday,DUNDAS WEST STATION,Emergency Services,0,0,E,8678
2020-08-01,509.0,01:32,Saturday,FRONT AND SPADINA,Held By,100,110,E,4600
2020-08-02,501.0,02:00,Sunday,QUEEN AND CONNAUGHT,Cleaning,10,20,W,4552
2020-08-02,301.0,02:11,Sunday,SUNNYSIDE LOOP,Emergency Services,10,20,W,4558
2020-08-02,306.0,03:32,Sunday,CARLTON AND SHERBOURNE,Held By,15,30,W,7926
2020-08-02,510.0,04:30,Sunday,SPADINA AND KING,Operations,15,30,S,4543
2020-08-02,,04:51,Sunday,LESLIE BARNS,Mechanical,0,0,,4459
2020-08-02,506.0,06:53,Sunday,MAIN STREET STATION,Operations,7,14,E,0
2020-08-02,504.0,07:20,Sunday,KING AND DUNN,Held By,11,21,E,4420
2020-08-02,505.0,07:27,Sunday,BROADVIEW STATION,Cleaning,10,20,W,4578
2020-08-02,512.0,07:56,Sunday,ST CLAIR WEST STATION,Operations,6,12,E,4538
2020-08-02,511.0,08:08,Sunday,BATHURST STATION,Operations,7,414,S,0
2020-08-02,510.0,08:49,Sunday,QUEENS QUAY AND SPADIN,Overhead,14,28,W,4544
2020-08-02,509.0,08:59,Sunday,QUEEN'S QUAY AND SPADI,Operations,4,14,W,4494
2020-08-02,504.0,09:50,Sunday,BROADVIEW AND QUEEN,Operations,10,20,E,4502
2020-08-02,510.0,11:02,Sunday,LESLIE BARNS,Operations,7,14,N,4559
2020-08-02,501.0,12:07,Sunday,LAKESHORE AND FIFTH,Emergency Services,26,36,W,4551
2020-08-02,511.0,13:07,Sunday,SPADINA STATION,Operations,5,10,S,0
2020-08-02,504.0,13:17,Sunday,KING AND DOWLING,Emergency Services,37,45,W,4487
2020-08-02,501.0,14:53,Sunday,LAKESHORE AND PARKLAWN,Held By,55,65,W,4401
2020-08-02,511.0,15:21,Sunday,BATHURST STATION,Operations,5,10,S,0
2020-08-02,511.0,19:07,Sunday,BATHURST STATION,Operations,8,16,N,0
2020-08-02,505.0,21:28,Sunday,DUNDAS AND JARVIS,Operations,10,22,E,4557
2020-08-02,501.0,23:41,Sunday,QUEEN AND GREENWOOD,Security,10,20,W,4466
2020-08-02,504.0,00:56,Sunday,DUFFERIN LOOP,Cleaning,10,20,E,4464
2020-08-02,555.0,01:30,Sunday,LESLIE BARNS,General Delay,0,0,,0
2020-08-03,504.0,05:05,Monday,QUEEN AND RONCESVALLES,Mechanical,19,25,E,4495
2020-08-03,506.0,09:56,Monday,MAIN STREET STATION,Mechanical,8,16,W,8560
2020-08-03,506.0,10:50,Monday,DUNDAS WEST STATION,Mechanical,8,16,W,8737
2020-08-03,510.0,14:51,Monday,SPADINA AND KING,Operations,3,7,S,4601
2020-08-03,501.0,15:28,Monday,QUEEN AND WOODFIELD,Operations,13,23,W,4571
2020-08-03,506.0,16:04,Monday,COXWELL AND UPPER GERR,Emergency Services,0,0,S,8449
2020-08-03,501.0,17:57,Monday,LAKESHORE AND SUPERIOR,Held By,49,59,E,4421
2020-08-03,512.0,21:13,Monday,OAKWOOD LOOP,Emergency Services,8,16,E,4408
2020-08-03,512.0,21:39,Monday,ST CLAIR AND BATHURST,Emergency Services,8,16,E,4422
2020-08-03,506.0,21:56,Monday,MAIN STREET STATION,Mechanical,8,16,W,8560
2020-08-03,505.0,00:06,Monday,BROADVIEW STATION,Emergency Services,9,18,,4550
2020-08-04,501.0,03:16,Tuesday,RUSSELL CARHOUSE,Collision - TTC Involved,0,0,,4465
2020-08-04,512.0,05:21,Tuesday,DUNDAS AND CHURCH,Operations,5,10,W,4526
2020-08-04,505.0,05:23,Tuesday,DUNDAS AND CHURCH,Operations,8,16,W,4549
2020-08-04,500.0,06:00,Tuesday,TORONTO TRANSIT COMMIS,General Delay,0,0,,0
2020-08-04,506.0,06:03,Tuesday,DUNDAS WEST STATION,Operations,8,16,E,0
2020-08-04,505.0,06:10,Tuesday,DUNDAS AND MCCAUL,Operations,8,16,W,4578
2020-08-04,511.0,06:16,Tuesday,BATHURST STATION,Utilized Off Route,5,10,S,1123
2020-08-04,506.0,06:18,Tuesday,DUNDAS WEST STATION,Operations,8,15,E,0
2020-08-04,512.0,06:19,Tuesday,ST. CLAIR AND BATHURST,Held By,5,10,W,4501
2020-08-04,506.0,06:58,Tuesday,DUNDAS WEST STATION,Operations,5,10,E,0
2020-08-04,504.0,07:16,Tuesday,DISTILLERY LOOP,Mechanical,8,16,W,4416
2020-08-04,505.0,08:03,Tuesday,DUNDAS AND JARVIS,Emergency Services,6,14,W,4476
2020-08-04,512.0,08:16,Tuesday,CHURCH AND DUNDAS,Operations,5,10,W,4570
2020-08-04,506.0,08:43,Tuesday,PARLIAMENT AND GERRARD,Cleaning,5,10,E,8588
2020-08-04,511.0,09:26,Tuesday,BATHURST STATION,Mechanical,4,8,S,1123
2020-08-04,511.0,09:28,Tuesday,BATHURST STATION,Mechanical,4,8,S,1123
2020-08-04,506.0,09:45,Tuesday,DUNDAS WEST STATION,Operations,6,12,E,7938
2020-08-04,511.0,10:44,Tuesday,BATHURST STATION,Operations,4,8,S,1203
2020-08-04,501.0,12:35,Tuesday,THE QUEENSWAY AND WIND,Security,12,22,E,4537
2020-08-04,511.0,12:40,Tuesday,BATHURST AND LONDON,Mechanical,4,8,N,1421
2020-08-04,506.0,12:44,Tuesday,GERRARD AND BROADVIEW,Mechanical,6,12,E,8613
2020-08-04,504.0,18:05,Tuesday,BROADVIEW AND DUNDAS,Mechanical,8,16,N,4441
2020-08-04,511.0,18:28,Tuesday,EXHIBITION LOOP,Mechanical,4,7,N,1042
2020-08-04,511.0,19:31,Tuesday,EXHIBITION LOOP,Emergency Services,5,10,N,1625
2020-08-04,510.0,21:13,Tuesday,QUEENS QUAY AND REES,Security,18,23,E,4573
2020-08-04,509.0,21:14,Tuesday,QUEENS QUAY AND REES,Held By,17,27,E,4588
2020-08-04,506.0,21:36,Tuesday,DUNDAS WEST STATION,Operations,7,14,E,7953
2020-08-04,501.0,01:26,Tuesday,QUEEN AND NEVILLE PARK,Cleaning,10,20,W,4571
2020-08-05,512.0,02:51,Wednesday,BATHURST AND QUEEN,Operations,0,0,S,4469
2020-08-05,501.0,06:49,Wednesday,QUEEN AND WOODFIELD,Mechanical,10,20,E,4586
2020-08-05,511.0,06:57,Wednesday,BATHURST AND FORT YORK,Mechanical,5,10,N,1258
2020-08-05,506.0,07:37,Wednesday,COXWELL AND LOWER GERR,Cleaning,6,12,W,8550
2020-08-05,506.0,08:51,Wednesday,MAIN STREET STATION,Operations,6,12,W,8805
2020-08-05,511.0,08:58,Wednesday,SPADINA STATION,Mechanical,5,10,S,1063
2020-08-05,511.0,09:08,Wednesday,BATHURST STATION,Operations,4,8,S,1268
2020-08-05,501.0,11:06,Wednesday,QUEEN AND JOHN,Held By,180,190,B,0
2020-08-05,506.0,11:11,Wednesday,COLLEGE AND LANSDOWNE,Operations,6,12,E,8928
2020-08-05,506.0,12:15,Wednesday,CARLTON AND SHERBOURNE,General Delay,10,16,E,8494
2020-08-05,506.0,12:26,Wednesday,COLLEGE AND LANSDOWNE,Mechanical,6,12,E,8513
2020-08-05,506.0,13:44,Wednesday,MAIN STREET STATION,Operations,6,12,W,8627
2020-08-05,505.0,16:28,Wednesday,DUNDAS AND DUFFERIN,Held By,40,49,E,4589
2020-08-05,512.0,17:12,Wednesday,GUNNS LOOP,General Delay,8,13,E,4518
2020-08-05,511.0,17:33,Wednesday,FORT YORK AND BATHURST,Collision - TTC Involved,3,7,N,1109
2020-08-05,504.0,17:39,Wednesday,KING AND JAMESON,Held By,60,66,E,4487
2020-08-05,510.0,19:07,Wednesday,SPADINA AND QUEENS QUA,Emergency Services,13,18,,4550
2020-08-05,510.0,20:12,Wednesday,SPADINA AND QUEEN'S QU,Mechanical,7,17,S,4474
2020-08-05,501.0,20:21,Wednesday,QUEEN AND COXWELL,Security,10,20,W,4600
2020-08-05,505.0,21:22,Wednesday,BROADVIEW STATION,Security,13,26,W,4543
2020-08-05,505.0,22:46,Wednesday,DUNDAS AND BATHURST,Cleaning,13,26,W,4544
2020-08-06,501.0,02:30,Thursday,QUEEN AND GREENWOOD,Operations,7,12,E,4421
2020-08-06,504.0,07:49,Thursday,DUFFERIN AND KING,Held By,11,19,E,4506
2020-08-06,506.0,08:34,Thursday,DUNDAS WEST STATION,Utilized Off Route,5,10,W,8865
2020-08-06,510.0,08:37,Thursday,SPADINA STATION,General Delay,44,48,E,0
2020-08-06,506.0,09:31,Thursday,DUNDAS WEST STATION,Collision - TTC Involved,6,12,E,9208
2020-08-06,506.0,10:01,Thursday,MAIN STREET STATION,Operations,6,12,W,8749
2020-08-06,505.0,10:36,Thursday,DUNDAS AND RIVER,Held By,886,895,,4474
2020-08-06,506.0,11:21,Thursday,MAIN STREET STATION,Mechanical,6,12,W,9228
2020-08-06,555.0,12:37,Thursday,RONCESVALLES CARHOUSE,General Delay,0,0,,4515
2020-08-06,506.0,12:43,Thursday,DUNDAS WEST STATION,Operations,6,12,E,7919
2020-08-06,511.0,12:50,Thursday,BATHURST STATION,Operations,4,8,S,1075
2020-08-06,511.0,13:08,Thursday,EXHIBITION LOOP,Security,4,8,,1412
2020-08-06,501.0,15:02,Thursday,QUEEN AND RONCESVALLES,General Delay,20,10,W,4564
2020-08-06,504.0,15:06,Thursday,QUEEN AND RONCESVALLES,Operations,5,10,W,4404
2020-08-06,511.0,16:04,Thursday,BATHURST AND COLLEGE,Operations,6,12,N,1005
2020-08-06,506.0,16:43,Thursday,COLLEGE AND RUSHOLME,Collision - TTC Involved,0,0,W,8904
2020-08-06,705.0,17:59,Thursday,DUNDAS WEST STATION,General Delay,0,0,E,4528
