Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2021-02-01,304.0,02:36,Monday,KING AND SHAW,Emergency Services,7,14,E,1273
2021-02-01,510.0,03:41,Monday,QUEENS QUAY STATION,Security,24,39,N,4561
2021-02-01,506.0,06:02,Monday,GERRARD AND PARLIAMENT,Security,8,16,W,8874
2021-02-01,504.0,06:59,Monday,RONCESVALLES AND MARIO,Mechanical,3,6,N,1067
2021-02-01,504.0,07:56,Monday,RONCESVALLES AND BOUST,Cleaning,3,6,E,1058
2021-02-01,504.0,08:12,Monday,INDUSTRY AND RAY,Mechanical,3,6,W,1618
2021-02-01,506.0,08:54,Monday,MAIN STREET STATION,Mechanical,4,8,E,8780
2021-02-01,512.0,10:20,Monday,ST CLAIR AND BATHURST,Operations,5,10,E,4408
2021-02-01,511.0,10:58,Monday,FLEET AND BASTIAN,Operations,7,14,S,4514
2021-02-01,510.0,11:14,Monday,SPADINA STATION,Emergency Services,11,16,S,4524
2021-02-01,501.0,11:19,Monday,QUEEN AND CONNAUGHT,Operations,7,14,E,4447
2021-02-01,505.0,11:24,Monday,DUNDAS AND EDNA,Held By,0,0,E,4595
2021-02-01,504.0,12:32,Monday,BROADVIEW AND QUEEN,Operations,7,15,E,4563
2021-02-01,512.0,13:00,Monday,ST CLAIR AND OAKWOOD,Operations,14,19,E,4400
2021-02-01,506.0,13:11,Monday,COLLEGE AND LANSDOWNE,Operations,7,14,E,4490
2021-02-01,501.0,13:24,Monday,PARKLAWN LOOP,Mechanical,7,14,E,1111
2021-02-01,504.0,13:38,Monday,QUEEN AND BROADVIEW,Operations,6,12,E,4555
2021-02-01,506.0,13:54,Monday,GERRARD AND CARLAW,Security,7,14,E,1393
2021-02-01,501.0,14:01,Monday,PARKLAWN LOOP,Operations,7,14,E,8556
2021-02-01,504.0,14:30,Monday,KING AND DUFFERIN,Mechanical,5,10,E,1109
2021-02-01,505.0,15:42,Monday,OSSINGTON AND DUNDAS,Emergency Services,8,16,N,4407
2021-02-01,506.0,15:58,Monday,CHURCH AND CARLTON,Collision - TTC Involved,6,12,N,8806
2021-02-01,501.0,17:11,Monday,QUEEN AND GREENWOOD,Held By,16,26,W,4458
2021-02-01,509.0,17:18,Monday,EXHIBITION LOOP,Late,8,16,W,4537
2021-02-01,512.0,20:22,Monday,ST CLAIR AND YONGE,Mechanical,7,14,W,4462
2021-02-01,512.0,21:10,Monday,ST CLAIR AND OAKWOOD,Utilized Off Route,8,15,,4483
2021-02-01,504.0,00:17,Monday,KING AND JARVIS,Operations,10,20,W,4544
2021-02-01,501.0,00:25,Monday,QUEEN AND JARVIS,Mechanical,6,12,W,1079
