Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2021-05-01,504,04:43,Saturday,BROADVIEW AND QUEEN,Operations,10,20,E,0
2021-05-01,501,05:57,Saturday,THE QUEENSWAY AND RONC,Operations,7,14,E,1125
2021-05-01,511,07:09,Saturday,EXHIBITION LOOP,Emergency Services,9,18,,4537
2021-05-01,505,07:10,Saturday,PARLIMENT AND DUNDAS,Security,10,20,S,4486
2021-05-01,501,09:21,Saturday,QUEEN AND EMPIRE,Operations,8,16,W,4549
2021-05-01,510,09:54,Saturday,JARVIS AND RICHMOND,Operations,8,16,E,8879
2021-05-01,504,10:12,Saturday,PRINCESS GATE LOOP,Security,8,16,,8046
2021-05-01,511,10:23,Saturday,BATHURST STATION,General Delay,9,17,,4482
2021-05-01,501,11:22,Saturday,THE QUEENSWAY AND WIND,Operations,8,16,W,8588
2021-05-01,506,11:32,Saturday,COLLEGE AND LANSDOWNE,Operations,7,14,W,4487
2021-05-01,509,11:48,Saturday,KING AND SPADINA,Operations,7,14,W,4530
2021-05-01,504,11:49,Saturday,KING AND PETER,Held By,20,28,W,4459
2021-05-01,506,15:36,Saturday,COLLEGE AND BATHURST,Collision - TTC Involved,47,55,W,4498
2021-05-01,501,16:01,Saturday,QUEEN AND RONCESVALLES,Operations,5,10,W,8929
2021-05-01,501,16:57,Saturday,KING AND JAMIESON,General Delay,0,0,,0
2021-05-01,504,18:06,Saturday,KING AND SHERBOURNE,Security,46,54,E,4475
2021-05-01,504,18:23,Saturday,KING AND YONGW,Cleaning,7,14,W,4559
2021-05-01,505,18:41,Saturday,DUNDAS AND VICTORIA,Held By,8,32,W,4443
2021-05-01,506,18:41,Saturday,DUNDAS AND VICTORIA,Held By,21,29,W,4557
2021-05-01,511,20:12,Saturday,BATHURST AND KING,Held By,6,12,,4464
2021-05-01,505,20:18,Saturday,BROADVIEW STATION,Mechanical,16,32,,4414
2021-05-01,506,20:47,Saturday,GERRARD AND PARLIAMENT,Emergency Services,6,12,W,3106
2021-05-01,511,21:33,Saturday,CNE LOOP,Emergency Services,6,12,E,4541
2021-05-01,510,22:08,Saturday,CHURCH AND ADELAIDE,Emergency Services,0,0,N,4525
2021-05-02,510,03:03,Sunday,SPADINA AND HARBORD,Security,30,60,S,4539
2021-05-02,501,05:25,Sunday,LONG BRANCH LOOP,Emergency Services,0,0,E,1025
2021-05-02,501,05:45,Sunday,LONG BRANCH LOOP,Mechanical,8,16,W,1079
2021-05-02,301,05:50,Sunday,QUEEN AND EASTERN,Emergency Services,18,25,E,4474
2021-05-02,501,06:11,Sunday,LONG BRANCH LOOP,Mechanical,12,20,W,8876
2021-05-02,512,06:31,Sunday,BATHURST AND NASSAU,Security,12,23,N,4598
2021-05-02,505,07:12,Sunday,BROADVIEW STATION,Cleaning,10,20,W,4515
2021-05-02,501,07:24,Sunday,QUEEN AND RIVER,Operations,7,14,,0
2021-05-02,506,07:28,Sunday,HIGH PARK LOOP,General Delay,17,12,W,4442
2021-05-02,501,08:29,Sunday,LONG BRANCH LOOP,Mechanical,7,14,S,1107
2021-05-02,505,08:51,Sunday,BROADVIEW AND QUEEN,Operations,10,20,W,4405
2021-05-02,510,08:56,Sunday,724 QUEEN ST EAST,Held By,4,9,W,4585
2021-05-02,501,10:51,Sunday,QUEEN AND RONCESVALLES,Operations,7,14,E,1018
2021-05-02,501,10:57,Sunday,LONG BRANCH LOOP,Operations,7,14,W,8876
2021-05-02,506,11:22,Sunday,COLLEGE AND GLADSTONE,Overhead,14,21,E,4409
2021-05-02,510,12:19,Sunday,SPADINA AND DUNDAS,Cleaning,7,14,N,4485
2021-05-02,501,13:21,Sunday,QUEEN AND RONCESVALLES,Operations,5,10,W,8929
2021-05-02,501,13:39,Sunday,QUEEN AND RONCESVALLES,Operations,5,10,W,1103
2021-05-02,501,13:45,Sunday,MCCAUL AND QUEEN,Collision - TTC Involved,29,39,S,4417
2021-05-02,501,13:54,Sunday,QUEEN AND RONCESVALLES,Operations,5,10,E,1136
2021-05-02,501,14:09,Sunday,KING AND RONCESVALLES,Operations,5,10,W,8416
2021-05-02,506,14:58,Sunday,COLLEGE AND SPADINA,Cleaning,7,14,E,4526
2021-05-02,501,15:43,Sunday,QUEEN AND JARVIS,Utilized Off Route,5,10,W,8564
2021-05-02,501,15:45,Sunday,LAKE SHORE AND PARKLAW,Utilized Off Route,10,20,E,1034
2021-05-02,501,15:54,Sunday,KING AND RONCESVALLES,Operations,5,10,W,1022
2021-05-02,,16:27,Sunday,RUSSELL DIVISION,Held By,0,0,,0
2021-05-02,506,17:06,Sunday,DUNDAS AND BEVERLEY,Cleaning,8,16,W,4505
2021-05-02,501,17:15,Sunday,QUEEN AND JARVIS,Mechanical,5,10,W,1073
2021-05-02,501,17:15,Sunday,QUEEN AND JARVIS,Mechanical,5,10,W,1066
2021-05-02,501,19:26,Sunday,KING AND RONCESVALLES,Operations,5,10,W,8916
2021-05-02,501,20:26,Sunday,KING AND RONCESVALLES,Operations,5,10,E,1121
2021-05-02,506,21:23,Sunday,DUNDAS AND BAY,Operations,15,23,W,4601
2021-05-02,501,21:36,Sunday,LAKE SHORE AND PARKSID,Cleaning,9,18,E,9201
2021-05-02,505,21:49,Sunday,DUNDAS AND SUMACH,Security,34,44,W,4512
2021-05-02,506,22:05,Sunday,GERRARD AND BROADVIEW,Held By,18,26,E,4404
2021-05-02,504,23:30,Sunday,SHAW AND KING,Emergency Services,5,10,N,4488
2021-05-02,999,00:29,Sunday,DUNDAS AND COLLEGE,General Delay,0,0,E,4568
2021-05-02,505,00:29,Sunday,DUNDAS AND COLLEGE,Held By,24,34,E,4411
2021-05-02,510,01:23,Sunday,SPADINA AND DUNDAS,Overhead,23,33,S,4476
2021-05-02,506,01:30,Sunday,SPADINA AND DUNDAS,Overhead,120,130,S,4526
2021-05-03,506,02:58,Monday,DUNDAS WEST STATION,Security,8,16,,4526
