Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2021-10-01,501,06:05,Friday,RUSSELL YARD,Operations,8,16,,0
2021-10-01,503,06:34,Friday,KINGSTON RD ROUTE,Operations,8,16,,4439
2021-10-01,503,07:19,Friday,KINGSTON AND MAIN,Collision - TTC Involved,8,16,W,4533
2021-10-01,506,08:43,Friday,702 GERRARD ST E,Mechanical,8,16,,0
2021-10-01,501,09:09,Friday,BROADVIEW AND GERRARD,Operations,9,10,,8780
2021-10-01,501,09:50,Friday,QUEEN AND BEACH,Held By,13,21,,4462
2021-10-01,503,09:54,Friday,KINGSTON ROUTE,Operations,8,16,,4549
2021-10-01,510,10:03,Friday,SPADINA STATION,Operations,9,18,,4504
2021-10-01,503,10:11,Friday,RUSSELL YARD,Operations,8,16,,4402
2021-10-01,501,10:20,Friday,GERRARD AND BROADVIEW,Utilized Off Route,6,13,W,8525
2021-10-01,501,10:39,Friday,QUEEN AND ONTARIO,Emergency Services,7,14,W,8530
2021-10-01,503,11:44,Friday,CHARLOTTE LOOP,Operations,8,16,,4563
2021-10-01,503,11:54,Friday,KINGSTON ROUTE,Operations,8,16,,4460
2021-10-01,501,12:53,Friday,QUEEN AND SPADINA,Mechanical,6,12,E,8846
2021-10-01,512,13:18,Friday,ST CLAIR AND VAUGHN,Operations,5,10,,4418
2021-10-01,512,13:37,Friday,ST CLAIR WEST STATION,Operations,5,10,E,4527
2021-10-01,501,13:56,Friday,LONG BRANCH LOOP,General Delay,65,31,E,8038
2021-10-01,510,14:15,Friday,SPADINA STATION,Operations,5,10,S,4447
2021-10-01,501,14:56,Friday,BROADVIEW AND GERRARD,Operations,9,19,,8821
2021-10-01,512,15:10,Friday,ST CLAIR STATION,Emergency Services,0,0,,4569
2021-10-01,501,15:24,Friday,BROADVIEW AND GERARRD,Operations,9,17,,9207
2021-10-01,501,15:38,Friday,BROADVIEW AND GERRARD,Operations,8,17,,8860
2021-10-01,504,16:23,Friday,DUNDAS WEST STATION,Operations,5,10,,8370
2021-10-01,504,16:25,Friday,KING AND SUMACH,Operations,5,110,,4538
2021-10-01,506,16:29,Friday,COLLEGE AND LANSDOWNE,Operations,8,9,W,4597
2021-10-01,510,17:31,Friday,SPADINA AND KING,Operations,5,10,S,4535
2021-10-01,504,17:42,Friday,RONCESVALLES AND QUEEN,Operations,6,12,W,1390
2021-10-01,504,17:43,Friday,DUNDAS WEST STATION,Operations,5,10,,8371
2021-10-01,505,17:48,Friday,DUNDAS AND YONGE,Held By,18,26,,0
2021-10-01,511,17:57,Friday,BATHURST STATION,Operations,8,9,N,4505
2021-10-01,504,18:41,Friday,WOLSLEY LOOP,Emergency Services,5,10,E,4459
2021-10-01,511,18:51,Friday,BATHURST STATION,Operations,8,9,N,4575
2021-10-01,504,18:55,Friday,KING AND SUMACH,Operations,5,10,N,4406
