Date,Line,Time,Day,Location,Incident,Min Delay,Min Gap,Bound,Vehicle
2021-11-01,707.0,02:15,Monday,RUSSELL YARD,Security,0,0,E,4426
2021-11-01,501.0,05:30,Monday,QUEEN AND YONGE,Security,0,0,W,8594
2021-11-01,510.0,06:09,Monday,LESLIE AND LAKSHORE BL,Emergency Services,0,0,S,4425
2021-11-01,501.0,06:23,Monday,GERRARD AND MONROE,Emergency Services,0,0,E,7947
2021-11-01,501.0,08:55,Monday,QUEEN AND CONNAUGHT,Security,0,0,N,8689
2021-11-01,501.0,13:38,Monday,KING AND TRILLER,Mechanical,0,0,E,8449
2021-11-01,506.0,16:52,Monday,GERRARD AND WOODBINE,Emergency Services,0,0,E,4580
2021-11-01,501.0,17:10,Monday,ADELAIDE AND UNIVERSIT,Security,0,0,,8648
2021-11-01,501.0,22:20,Monday,LAKESHORE AND BROWNS L,Mechanical,0,0,W,8491
2021-11-01,505.0,22:32,Monday,LANSDOWNE LOOP,Security,0,0,,4597
2021-11-01,510.0,23:35,Monday,SPADINA AND RICHMOND,Held By,0,0,S,4447
2021-11-01,505.0,23:54,Monday,PARLIAMENT AND GERRARD,Security,0,0,N,4569
2021-11-02,306.0,02:50,Tuesday,RONCESVALLES YARD,Security,0,0,S,4477
2021-11-02,504.0,04:08,Tuesday,RONCY NORTH GATE,Security,0,0,,8336
2021-11-02,501.0,08:43,Tuesday,BATHURST AND QUEEN,Operations,0,0,S,8402
2021-11-02,501.0,10:25,Tuesday,QUEEN AND CHURCH,Held By,0,0,W,8090
2021-11-02,501.0,15:47,Tuesday,GERRARD AND BROADVIEW,Security,0,0,W,8923
2021-11-02,501.0,18:06,Tuesday,QUEENSWAY AND E OF ELL,Security,0,0,E,8462
2021-11-02,505.0,19:14,Tuesday,DUNDAS AND PARLIAMENT,Security,0,0,E,4551
2021-11-02,501.0,19:17,Tuesday,GERRARD AND BROADVIEW,Operations,0,0,W,9216
2021-11-02,512.0,19:23,Tuesday,ST CLAIR AND LANSDOWNE,Security,0,0,W,4603
2021-11-02,504.0,20:05,Tuesday,DISTILLERY LOOP,Security,0,0,N,4439
2021-11-02,505.0,20:11,Tuesday,DUNDAS WEST STATION,Emergency Services,0,0,E,4403
2021-11-02,509.0,21:33,Tuesday,QUEENSQUAY LOOP,Security,0,0,,4572
2021-11-02,512.0,22:35,Tuesday,ST CLAIR WEST STATION,Diversion,0,0,,0
2021-11-02,506.0,22:55,Tuesday,BAY AND DUNDAS,Security,0,0,N,4556
2021-11-02,501.0,22:57,Tuesday,GERRARD AND BROADVIEW,Collision - TTC Involved,0,0,W,7965
2021-11-02,501.0,23:10,Tuesday,QUEEN AND YONGE (EAST,Security,0,0,E,8519
2021-11-02,504.0,01:05,Tuesday,KING AND RIVER,Emergency Services,0,0,E,4439
2021-11-03,501.0,03:38,Wednesday,QUEEN AND JONES,Emergency Services,0,0,W,8669
