Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2018-03-01,00:05,Thursday,BAYVIEW STATION,PUSO,0,0,E,SHP,6176
2018-03-01,00:11,Thursday,YONGE SHP STATION,EUVE,6,11,W,SHP,0
2018-03-01,00:15,Thursday,VAUGHAN MC STATION,MUATC,4,9,S,YU,5406
2018-03-01,00:18,Thursday,VICTORIA PARK STATION,EUSC,5,9,W,BD,5342
2018-03-01,00:32,Thursday,ST CLAIR STATION,MUIR,4,9,N,YU,5941
2018-03-01,01:12,Thursday,GREENWOOD CARHOUSE,MUIE,0,0,,BD,0
2018-03-01,05:58,Thursday,KENNEDY BD STATION,MUSC,0,0,W,BD,5048
2018-03-01,06:09,Thursday,KIPLING STATION,MUSC,0,0,E,BD,5083
2018-03-01,06:22,Thursday,KIPLING STATION,MUSC,0,0,E,BD,5031
2018-03-01,06:50,Thursday,COXWELL STATION,MUSC,0,0,E,BD,5294
2018-03-01,07:20,Thursday,KIPLING STATION,TUSC,0,0,E,BD,5363
2018-03-01,07:40,Thursday,CHESTER STATION,MUD,3,5,W,BD,5019
2018-03-01,07:59,Thursday,DUNCAN SHOPS,MUIE,0,0,,,0
2018-03-01,09:11,Thursday,KENNEDY BD STATION,MUPAA,0,0,W,BD,5019
2018-03-01,09:37,Thursday,BLOOR STATION,MUIRS,0,0,S,YU,0
2018-03-01,09:39,Thursday,BAY STATION,MUIRS,0,0,,BD,0
2018-03-01,10:22,Thursday,SUMMERHILL STATION,SUDP,12,15,N,YU,5756
2018-03-01,10:30,Thursday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2018-03-01,10:33,Thursday,KIPLING STATION,EUBO,3,6,E,BD,5334
2018-03-01,11:00,Thursday,DUPONT STATION,TUSC,0,0,S,YU,5996
2018-03-01,11:01,Thursday,UNION STATION,MUIS,0,0,,YU,0
2018-03-01,12:03,Thursday,SHEPPARD WEST STATION,MUATC,5,8,N,YU,5661
2018-03-01,13:06,Thursday,BATHURST STATION,TUSC,0,0,W,BD,5266
2018-03-01,13:29,Thursday,ISLINGTON STATION,TUSC,0,0,W,BD,5019
2018-03-01,13:36,Thursday,KIPLING STATION,MUSC,0,0,W,BD,5019
2018-03-01,13:36,Thursday,YORK MILLS STATION,SUAP,0,0,,YU,0
2018-03-01,13:39,Thursday,VICTORIA PARK STATION,TUSC,0,0,W,BD,5089
2018-03-01,13:46,Thursday,WILSON STATION,MUO,3,6,S,YU,5626
2018-03-01,14:03,Thursday,ST CLAIR STATION,SUAP,0,0,N,YU,5996
2018-03-01,14:08,Thursday,SUMMERHILL STATION,TUO,0,0,N,YU,5586
2018-03-01,14:37,Thursday,KENNEDY BD STATION,TUSC,0,0,W,BD,5019
2018-03-01,14:58,Thursday,WILSON STATION,TUNIP,5,8,N,YU,6121
2018-03-01,16:15,Thursday,BLOOR DANFORTH SUBWAY,TUST,0,0,,BD,5077
2018-03-01,16:15,Thursday,YONGE UNIVERSITY LINE,TUST,0,0,,YU,6036
2018-03-01,16:56,Thursday,DUFFERIN STATION,MUIS,0,0,E,BD,5197
2018-03-01,16:57,Thursday,JANE STATION,MUSC,0,0,W,BD,5130
2018-03-01,17:52,Thursday,SPADINA BD STATION,MUDD,7,9,E,BD,5169
2018-03-01,17:53,Thursday,BATHURST STATION,MUIS,0,0,E,BD,0
2018-03-01,18:55,Thursday,FINCH STATION,MUSC,0,0,S,YU,5436
2018-03-01,19:07,Thursday,DAVISVILLE STATION,SUDP,3,6,S,YU,5436
2018-03-01,19:10,Thursday,BLOOR STATION,MUIS,0,0,N,YU,5631
2018-03-01,19:19,Thursday,FINCH STATION,MUSAN,3,6,S,YU,5481
2018-03-01,19:29,Thursday,BATHURST STATION,MUIR,4,7,W,BD,5146
2018-03-01,19:33,Thursday,KENNEDY BD STATION,SUO,0,0,,BD,0
2018-03-01,19:54,Thursday,EGLINTON WEST STATION,TUSC,0,0,N,YU,5786
2018-03-01,20:23,Thursday,DUNDAS STATION,MUIS,0,0,,YU,0
2018-03-01,20:28,Thursday,KENNEDY SRT STATION,ERDB,10,15,N,SRT,3017
2018-03-01,20:34,Thursday,COXWELL STATION,SUO,11,14,E,BD,5363
2018-03-01,21:09,Thursday,SHEPPARD WEST STATION,SUDP,0,0,S,YU,5406
2018-03-01,21:31,Thursday,COXWELL STATION,MUIS,0,0,E,BD,0
2018-03-01,22:00,Thursday,YU/DB/SHEPPARD SUBWAY,MUO,0,0,,YU/BD,0
2018-03-01,22:32,Thursday,VICTORIA PARK STATION,EUSC,0,0,W,BD,5342
2018-03-01,22:45,Thursday,VICTORIA PARK STATION,MUSC,0,0,E,BD,5292
2018-03-01,22:55,Thursday,WILSON STATION,MUIR,0,0,N,YU,5631
2018-03-01,23:29,Thursday,VAUGHAN MC STATION,MUIR,5,10,S,YU,5941
2018-03-01,23:30,Thursday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2018-03-01,23:37,Thursday,YORK MILLS STATION,TUOS,3,8,S,YU,6106
2018-03-01,23:51,Thursday,VAUGHAN MC STATION,MUIR,5,10,S,YU,5406
2018-03-02,00:07,Friday,DUPONT STATION,TUOS,4,9,S,YU,5741
2018-03-02,00:15,Friday,ST GEORGE YUS STATION,TUO,6,11,S,YU,5741
2018-03-02,01:03,Friday,BLOOR STATION,MUIR,4,9,N,YU,6091
2018-03-02,02:07,Friday,ST CLAIR WEST STATION,TUMVS,5,0,E,YU,5246
2018-03-02,02:30,Friday,SCARBOROUGH RAPID TRAN,TRST,0,0,,SRT,3012
2018-03-02,03:00,Friday,BLOOR DANFORTH SUBWAY,TUST,0,0,W,BD,5213
2018-03-02,03:00,Friday,YONGE UNIVERSITY LINE,TUST,0,0,N,YU,5901
2018-03-02,03:50,Friday,ISLINGTON STATION,MUSC,0,0,E,BD,5126
2018-03-02,06:01,Friday,COXWELL STATION,MUSC,3,7,E,BD,5097
2018-03-02,06:08,Friday,COXWELL STATION,MUSC,0,0,E,BD,5149
2018-03-02,06:20,Friday,KEELE STATION,MUPAA,3,7,E,BD,5294
2018-03-02,06:21,Friday,ROYAL YORK STATION,TUSC,0,0,E,BD,5083
