Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2018-05-01,00:18,Tuesday,OLD MILL STATION,MUI,9,13,W,BD,5077
2018-05-01,00:29,Tuesday,YUS/BD/SHEPPARD SUBWAY,TUO,0,0,W,BD,5234
2018-05-01,02:01,Tuesday,MCCOWAN YARD,PRSP,0,0,N,SRT,3015
2018-05-01,02:41,Tuesday,VAUGHAN MC STATION,SUO,0,0,,YU,0
2018-05-01,05:47,Tuesday,KIPLING STATION,MUSC,0,0,E,BD,5120
2018-05-01,05:54,Tuesday,COXWELL STATION,MUSC,0,0,E,BD,5222
2018-05-01,06:01,Tuesday,MCCOWAN STATION,ERTC,5,10,S,SRT,3000
2018-05-01,06:04,Tuesday,COXWELL STATION,MUSC,0,0,E,BD,5119
2018-05-01,06:07,Tuesday,MCCOWAN STATION,MRO,5,10,S,SRT,3020
2018-05-01,06:18,Tuesday,KIPLING STATION,MUSC,0,0,E,BD,5061
2018-05-01,06:38,Tuesday,GREENWOOD YARD,PUTO,0,0,,BD,0
2018-05-01,06:41,Tuesday,KENNEDY BD STATION,MUSAN,5,7,W,BD,5032
2018-05-01,07:02,Tuesday,UNION STATION,MUIRS,0,0,,YU,0
2018-05-01,07:08,Tuesday,SUMMERHILL STATION,MUTO,3,5,N,YU,5921
2018-05-01,07:48,Tuesday,KIPLING STATION,MUSC,0,0,E,BD,5260
2018-05-01,08:16,Tuesday,DAVISVILLE STATION,MUPAA,0,0,S,YU,5706
2018-05-01,08:59,Tuesday,DUNDAS STATION,MUIS,0,0,S,YU,0
2018-05-01,09:09,Tuesday,DUPONT STATION,MUIRS,0,0,S,YU,0
2018-05-01,09:23,Tuesday,KIPLING STATION,MUSC,0,0,E,BD,5120
2018-05-01,09:51,Tuesday,PAPE STATION,PUMEL,0,0,,BD,0
2018-05-01,10:42,Tuesday,WELLESLEY STATION,SUDP,5,8,S,YU,5761
2018-05-01,10:47,Tuesday,WELLESLEY STATION,SUDP,0,0,,YU,0
2018-05-01,10:59,Tuesday,QUEEN'S PARK STATION,PUMEL,0,0,,YU,0
2018-05-01,11:15,Tuesday,WILSON STATION,MUSC,0,0,S,YU,5556
2018-05-01,13:01,Tuesday,ST CLAIR WEST STATION,EUBK,0,0,S,YU,5571
2018-05-01,13:02,Tuesday,NORTH YORK CTR STATION,SUDP,19,22,S,YU,6091
2018-05-01,13:26,Tuesday,FINCH WEST STATION,SUCOL,0,0,N,YU,5516
2018-05-01,13:49,Tuesday,VICTORIA PARK STATION,PUSO,0,0,W,BD,5093
2018-05-01,13:53,Tuesday,KENNEDY BD STATION,SUAP,0,0,,BD,0
2018-05-01,13:56,Tuesday,UNION STATION,MUPAA,3,6,N,YU,6091
2018-05-01,14:52,Tuesday,DUNDAS STATION,MUPAA,4,7,N,YU,6031
2018-05-01,16:29,Tuesday,KENNEDY BD STATION,MUPAA,0,0,W,BD,5224
2018-05-01,16:32,Tuesday,ST GEORGE BD STATION,MUIRS,0,0,E,BD,0
2018-05-01,17:03,Tuesday,DUNDAS WEST STATION,MUIS,0,0,,BD,0
2018-05-01,17:24,Tuesday,WARDEN STATION,SUDP,0,0,,BD,0
2018-05-01,17:28,Tuesday,ST GEORGE YUS STATION,MUNCA,0,0,,YU,0
