Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2018-08-01,00:39,Wednesday,SHEPPARD WEST STATION,MUIS,0,0,,YU,0
2018-08-01,01:30,Wednesday,MUSEUM STATION,TUOS,3,7,N,YU,5591
2018-08-01,02:16,Wednesday,GREENWOOD WYE,MUSC,0,0,E,BD,5186
2018-08-01,04:00,Wednesday,BLOOR DANFORTH SUBWAY,MUO,0,0,,BD,0
2018-08-01,04:00,Wednesday,YONGE UNIVERSITY LINE,MUO,0,0,,YU,0
2018-08-01,05:30,Wednesday,GREENWOOD YARD,PUSNT,0,0,E,BD,0
2018-08-01,06:15,Wednesday,KENNEDY BD STATION,MUSC,0,0,W,BD,5204
2018-08-01,06:38,Wednesday,KIPLING STATION,MUSC,0,0,E,BD,5012
2018-08-01,07:08,Wednesday,SPADINA YUS STATION,MUD,5,7,S,YU,5911
2018-08-01,07:24,Wednesday,UNION STATION,TUO,3,5,N,YU,5911
2018-08-01,07:28,Wednesday,WILSON STATION,MUATC,3,5,S,YU,5861
2018-08-01,07:56,Wednesday,ISLINGTON STATION,TUSC,0,0,E,BD,5153
2018-08-01,07:56,Wednesday,VICTORIA PARK STATION,TUSC,0,0,W,BD,5258
2018-08-01,07:58,Wednesday,WOODBINE STATION,PUMEL,0,0,,BD,0
2018-08-01,08:02,Wednesday,WOODBINE STATION,MUSC,0,0,W,BD,5258
2018-08-01,08:13,Wednesday,WILSON STATION,MUTD,3,5,S,YU,5801
2018-08-01,08:52,Wednesday,ST GEORGE BD STATION,MUIS,0,0,,BD,0
2018-08-01,08:55,Wednesday,BLOOR STATION,MUIS,0,0,S,YU,0
2018-08-01,08:56,Wednesday,SPADINA YUS STATION,TUMVS,0,0,S,YU,5931
2018-08-01,09:47,Wednesday,BATHURST STATION,PUTDN,0,0,E,BD,5234
2018-08-01,09:59,Wednesday,EGLINTON STATION,PUSO,3,5,N,YU,5736
2018-08-01,10:32,Wednesday,BAY STATION,MUNCA,0,0,,BD,0
2018-08-01,10:57,Wednesday,LAWRENCE EAST STATION,PRST,0,0,,SRT,0
2018-08-01,11:06,Wednesday,HIGH PARK STATION,MUPAA,0,0,W,BD,5159
2018-08-01,11:15,Wednesday,YONGE UNIVERSITY LINE,MUGD,0,0,,YU,0
2018-08-01,11:16,Wednesday,YORK MILLS STATION,PUSO,3,6,S,YU,6061
2018-08-01,11:38,Wednesday,KIPLING STATION,TUSC,0,0,W,BD,5168
2018-08-01,11:43,Wednesday,PAPE STATION,MUIS,7,10,E,BD,5234
2018-08-01,12:33,Wednesday,MCCOWAN STATION,ERAC,5,10,S,SRT,3017
2018-08-01,12:38,Wednesday,EGLINTON STATION,MUTO,3,6,N,YU,5541
2018-08-01,12:44,Wednesday,UNION STATION,MUPAA,0,0,S,YU,5656
2018-08-01,13:10,Wednesday,CHRISTIE STATION,TUSC,0,0,W,BD,5168
2018-08-01,13:42,Wednesday,YORKDALE STATION,MUIS,0,0,,YU,0
2018-08-01,14:20,Wednesday,SHEPPARD WEST STATION,MUTO,5,8,N,YU,5761
2018-08-01,14:22,Wednesday,DUNDAS STATION,MUPAA,3,6,S,YU,6061
2018-08-01,14:30,Wednesday,KIPLING STATION,MUSC,0,0,W,BD,5200
2018-08-01,14:59,Wednesday,YORK MILLS STATION,MUPAA,0,0,N,YU,5801
2018-08-01,15:16,Wednesday,MCCOWAN STATION,ERNEA,5,10,S,SRT,3009
2018-08-01,15:19,Wednesday,ROSEDALE STATION,MUPAA,0,0,S,YU,5721
2018-08-01,15:32,Wednesday,WELLESLEY STATION,MUNCA,0,0,,YU,0
2018-08-01,15:53,Wednesday,YONGE BD STATION,MUDD,5,7,E,BD,5314
2018-08-01,16:11,Wednesday,UNION STATION,MUIRS,0,0,,YU,0
2018-08-01,16:36,Wednesday,EGLINTON STATION,MUIS,0,0,,YU,0
2018-08-01,16:53,Wednesday,QUEEN'S PARK STATION,EUBK,0,0,S,YU,6116
2018-08-01,17:30,Wednesday,ST CLAIR WEST STATION,SUDP,3,5,S,YU,5796
2018-08-01,17:33,Wednesday,COXWELL STATION,TUNOA,3,5,E,BD,0
2018-08-01,17:33,Wednesday,KING STATION,MUPAA,0,0,S,YU,6101
2018-08-01,17:37,Wednesday,KENNEDY BD STATION,TUNOA,3,5,W,BD,0
2018-08-01,17:40,Wednesday,VAUGHAN MC STATION,SUAE,0,0,,YU,0
2018-08-01,17:45,Wednesday,COXWELL STATION,TUNOA,3,5,W,BD,0
2018-08-01,17:55,Wednesday,FINCH STATION,MUSC,0,0,S,YU,6121
2018-08-01,17:59,Wednesday,BATHURST STATION,PUMST,0,0,,BD,0
2018-08-01,18:03,Wednesday,KENNEDY BD STATION,MUIRS,0,0,,BD,0
2018-08-01,18:05,Wednesday,COXWELL STATION,TUNOA,3,5,E,BD,0
2018-08-01,18:08,Wednesday,LAWRENCE EAST STATION,ERDO,4,9,S,SRT,3014
2018-08-01,18:15,Wednesday,BROADVIEW STATION,MUD,3,5,W,BD,5230
2018-08-01,18:18,Wednesday,WILSON STATION,EUBK,0,0,N,YU,5956
2018-08-01,18:55,Wednesday,WILSON STATION,TUCC,5,7,S,YU,5756
2018-08-01,19:02,Wednesday,WILSON STATION,TUCC,6,8,S,YU,5896
2018-08-01,19:06,Wednesday,LANSDOWNE STATION,SUDP,0,0,W,BD,5032
2018-08-01,19:21,Wednesday,WARDEN STATION,MUSC,0,0,W,BD,5057
2018-08-01,19:59,Wednesday,LANSDOWNE STATION,MUSC,0,0,E,BD,5086
2018-08-01,20:08,Wednesday,EGLINTON WEST STATION,MUPAA,0,0,N,YU,5841
2018-08-01,21:14,Wednesday,DUNDAS WEST STATION,MUIS,0,0,,BD,0
2018-08-01,21:26,Wednesday,WARDEN STATION,MUIS,0,0,,BD,0
2018-08-01,21:36,Wednesday,ST PATRICK STATION,MUIS,0,0,N,YU,0
